Team Name,Play Type,Player,POSS,%TIME,%TIME RANK,PTS,PPP,PPP RANK,PPP RATING,FG ATT,FG MADE,FG MISS,FG%,EFG%,SSQ,PPS,SSM,TS%,TSA,TO%,%FT,FTA/FGA,%SF,SCORE%,2 FG ATT,2 FG MADE,2 FG MISS,2 FG%,3FG ATT,3 FG MADE,3 FG MISS,3 FG%,3PA/FGA
Sheffield Sharks,P&R Ball Handler,#3Rodney Chatman,82,37.3%,86%,87,1.061,86%,Excellent,53,25,28,47.2%,57.5%,0.89,1.15,+0.26,64.4%,68,18.3%,22.0%,0.62,19.5%,47.6%,30,14,16,46.7%,23,11,12,47.8%,0.43
Sheffield Sharks,P&R Ball Handler,#24Nick Kern,46,20.9%,50%,40,0.870,53%,Good,30,16,14,53.3%,53.3%,0.95,1.07,+0.12,54.0%,37,21.7%,21.7%,0.53,17.4%,43.5%,28,16,12,57.1%,2,0,2,0.0%,0.07
Sheffield Sharks,P&R Ball Handler,#1Dirk Williams,39,17.7%,33%,31,0.795,31%,Below Average,29,13,16,44.8%,48.3%,0.90,0.97,+0.07,49.0%,32,17.9%,7.7%,0.21,7.7%,38.5%,17,11,6,64.7%,12,2,10,16.7%,0.41
Sheffield Sharks,P&R Ball Handler,#2Prentiss Nixon,38,17.3%,75%,35,0.921,69%,Very Good,32,12,20,37.5%,43.8%,0.88,0.88,0.00,49.9%,35,7.9%,7.9%,0.22,7.9%,39.5%,19,8,11,42.1%,13,4,9,30.8%,0.41
Sheffield Sharks,P&R Ball Handler,#11Rodney Glasgow,11,5.0%,11%,12,1.091,89%,Excellent,8,4,4,50.0%,62.5%,0.81,1.25,+0.44,67.6%,9,18.2%,9.1%,0.25,9.1%,45.5%,5,2,3,40.0%,3,2,1,66.7%,0.38
Sheffield Sharks,P&R Ball Handler,#23Jalen Deloach,2,0.9%,-,0,0.000,-,-,0,0,0,-,-,-,-,-,-,0,100.0%,0.0%,-,0.0%,0.0%,0,0,0,-,0,0,0,-,-
Sheffield Sharks,P&R Ball Handler,#9Jordan Ratinho,2,0.9%,-,0,0.000,-,-,2,0,2,0.0%,0.0%,0.79,0.00,-0.79,0.0%,2,0.0%,0.0%,0.00,0.0%,0.0%,1,0,1,0.0%,1,0,1,0.0%,0.50
Sheffield Sharks,Spot Up,#9Jordan Ratinho,33,18.8%,91%,34,1.030,62%,Good,27,12,15,44.4%,55.6%,1.00,1.11,+0.11,57.4%,30,9.1%,9.1%,0.22,9.1%,45.5%,11,6,5,54.5%,16,6,10,37.5%,0.59
Sheffield Sharks,Spot Up,#4William Lee,30,17.0%,65%,36,1.200,77%,Very Good,29,12,17,41.4%,60.3%,1.02,1.21,+0.19,59.4%,30,0.0%,3.3%,0.10,3.3%,43.3%,6,1,5,16.7%,23,11,12,47.8%,0.79
Sheffield Sharks,Spot Up,#1Dirk Williams,29,16.5%,23%,38,1.310,87%,Excellent,27,12,15,44.4%,63.0%,1.01,1.26,+0.25,66.1%,29,0.0%,6.9%,0.15,6.9%,48.3%,4,2,2,50.0%,23,10,13,43.5%,0.85
Sheffield Sharks,Spot Up,#3Rodney Chatman,21,11.9%,1%,21,1.000,58%,Good,16,6,10,37.5%,56.3%,1.06,1.13,+0.07,59.1%,18,14.3%,9.5%,0.25,9.5%,38.1%,1,0,1,0.0%,15,6,9,40.0%,0.94
