league,season,team,team_abbrev,player_name,height,position,age,GP,MIN,PTS,FGM,FGA,FG_pct,ThreePM,ThreePA,ThreeP_pct,FTM,FTA,FT_pct,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PPG,MPG,RPG,APG,SPG,BPG,TOPG,FPG,MIN_pct,POSS,PACE_EST,PTS_per100,AST_per100,REB_per100,OREB_per100,DREB_per100,STL_per100,BLK_per100,TOV_per100,FGA_per100,FTA_per100,ThreePA_per100,ThreePM_per100,PF_per100,TS_pct,eFG_pct,TS_pct_calc,eFG_pct_calc,TM_TS_pct,ThreePA_rate,FT_rate,Total_S_pct,ORB_pct,DRB_pct,TRB_pct,AST_pct,TOV_pct,TOV_pct_calc,STL_pct,BLK_pct,USG_pct,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,AST_TO,AST_ratio,OREB_ratio,DREB_ratio,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_FT,GmSc,GmSc_per_game,BPM,OBPM,DBPM,VORP,Position_Est,player_url,team_url
Superliga,2025-2026,Teuta,TEUT,Jahmal Abbey-Wright,196,G/F,28,10,295,159,59,98,60.2,12,34,35.3,29,43,67.4,20,28,48,18,10,3,18,10,15.9,29.5,4.8,1.8,1,0.3,1.8,1,73.8,544.5,54.4,29.2,3.3,8.8,3.7,5.1,1.8,0.6,3.3,18,7.9,6.2,2.2,1.8,68,66.3,68,66.3,58.4,34.7,0.439,162.2,8.5,11.4,10,11.2,13.3,13.3,1.8,1,22.9,0.7,1.6,221.9,107.4,114.5,118.4,10.2,1,11.8,41.7,58.3,59.1,22.6,18.2,133.5,13.3,5.9,4.9,0.9,0.4,3.3,https://basketball.eurobasket.com/player/Abbey-Wright-Jahmal/459954,https://basketball.eurobasket.com/team/KB-Teuta-Durres/5520
Superliga,2025-2026,Apolonia,APOL,Quincy Ademokoya,198,G,24,10,302,154,60,111,54.1,24,64,37.5,10,18,55.6,7,29,36,25,6,7,17,13,15.4,30.2,3.6,2.5,0.6,0.7,1.7,1.3,75.5,575.9,57.6,26.7,4.3,6.3,1.2,5,1,1.2,3,19.3,3.1,11.1,4.2,2.3,64.7,64.9,64.7,64.9,65.8,57.7,0.162,138.7,3.9,13.8,9.3,12.1,12.5,12.5,1.1,3,21.2,0.7,1.4,227.3,103.9,123.4,107.2,8.5,1.47,15.5,19.4,80.6,46.8,46.8,6.5,116.9,11.7,20.7,12.6,8,1.1,3.6,https://basketball.eurobasket.com/player/Ademokoya-Quincy/560092,https://basketball.eurobasket.com/team/Apolonia-Fier/5518
Superliga,2025-2026,,,Daniel Ago,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,https://basketball.eurobasket.com/player/Ago-Daniel/796802,
Superliga,2025-2026,Beselidhja,BESE,Lion Alimani,186,G,23,10,172,86,30,57,52.6,7,18,38.9,19,33,57.6,8,19,27,19,9,0,13,19,8.6,17.2,2.7,1.9,0.9,0,1.3,1.9,43,377.5,37.7,22.8,5,7.2,2.1,5,2.4,0,3.4,15.1,8.7,4.8,1.9,5,60.1,58.8,60.1,58.8,64.5,31.6,0.579,150.9,5.5,10.3,8.1,12.3,15.4,15.4,2.5,0,19.7,0.8,1.5,207.9,76.4,131.5,58.6,8.1,1.46,18.4,29.6,70.4,53.5,24.4,22.1,65.5,6.6,48,26.7,21.3,1.4,2.7,https://basketball.eurobasket.com/player/Alimani-Lion/606582,https://basketball.eurobasket.com/team/Beselidhja-Lezhe/66015
Superliga,2025-2026,Vllaznia,VLLA,Arlando Arnold,185,G,24,9,259.2,109,42,89,47.2,11,38,28.6,14,20,72.7,4,34,38,50,18,3,12,18,12.1,28.8,4.2,5.6,2,0.3,1.3,2,72,490.5,54.5,22.2,10.2,7.7,0.8,6.9,3.7,0.6,2.4,18.1,4.1,7.7,2.2,3.7,55.7,53.4,55.7,53.4,55.9,42.7,0.225,122.5,1.7,14.8,8.2,29.5,10.9,10.9,3.6,1.1,19.9,0.9,1.2,205.2,97.4,107.8,114.2,9.2,4.17,31.3,10.5,89.5,56.9,30.3,12.8,110,12.2,18.6,10.1,8.4,0.9,2,https://basketball.eurobasket.com/player/Arnold-Arlando/518957,https://basketball.eurobasket.com/team/Vllaznia-Shkodra/629
Superliga,2025-2026,Partizani,PART,Emmanuel Austin,178,PG,,7,247.8,153,53,124,42.7,12,29,41.5,35,53,65.8,3,23,26,19,16,1,24,13,21.9,35.4,3.7,2.7,2.3,0.1,3.4,1.9,88.5,515.4,73.6,29.7,3.7,5,0.6,4.5,3.1,0.2,4.7,24.1,10.3,5.6,2.3,2.5,51.9,47.6,51.9,47.6,48.2,23.4,0.427,123.4,1.2,9.7,5.3,15.8,14,14,3.1,0.4,29.9,0.8,1.2,141,108.3,32.7,65.9,7.7,0.79,10,11.5,88.5,53.6,23.5,22.9,90,12.9,-15.7,-6.4,-9.3,-0.5,2.4,https://basketball.eurobasket.com/player/Austin-Emmanuel/618866,https://basketball.eurobasket.com/team/Partizani-Tirana/1430
Superliga,2025-2026,Beselidhja,BESE,Tony Bagaviki,192,G/F,18,9,79.2,29,12,30,40,3,12,23.1,2,5,33.3,1,9,10,7,6,1,5,4,3.2,8.8,1.1,0.8,0.7,0.1,0.6,0.4,22,173.8,19.3,16.7,4,5.8,0.6,5.2,3.5,0.6,2.9,17.3,2.9,6.9,1.7,2.3,45,45,45,45,64.5,40,0.167,96.7,1.5,10.6,6.6,9.6,13.4,13.4,3.6,1.3,18.8,0.6,1,161.4,76.4,85,19.4,5.1,1.4,15.8,10,90,62.1,31,6.9,20,2.2,45.3,23.9,21.3,0.6,2.6,https://basketball.eurobasket.com/player/Bagaviki-Tony/791295,https://basketball.eurobasket.com/team/Beselidhja-Lezhe/66015
Superliga,2025-2026,Vllaznia,VLLA,Raili Bajama,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,1,0,0,0,0,5,3.8,3.8,0,26.4,26.4,0,26.4,0,0,0,0,0,0,0,0,0,0,0,0,55.9,0,0,0,0,56.2,27.9,61.2,0,0,0,0,0,1.2,0,443,97.4,345.6,1.8,11.2,1,0,0,100,0,0,0,1,1,30.7,15.5,15.2,0,3,https://basketball.eurobasket.com/player/Bajama-Raili/797062,https://basketball.eurobasket.com/team/Vllaznia-Shkodra/629
Superliga,2025-2026,Partizani,PART,Prian Bako,,,,4,20,5,2,5,40,1,4,30,0,0,0,2,5,7,1,0,0,3,0,1.3,5,1.8,0.3,0,0,0.8,0,12.5,41.6,10.4,12,2.4,16.8,4.8,12,0,0,7.2,12,0,9.6,2.4,0,50,50,50,50,48.2,80,0,100,9.9,26,17.8,8.3,37.5,37.5,0,0,17.3,0.4,1,115.9,108.3,7.6,5,2.9,0.33,11.1,28.6,71.4,40,60,0,2.9,0.7,-22.8,-10.6,-12.2,-0.1,3.6,https://basketball.eurobasket.com/player/Bako-Prian/796803,https://basketball.eurobasket.com/team/Partizani-Tirana/1430
Superliga,2025-2026,Teuta,TEUT,Jurgen Ballanca,183,PG,18,4,16,9,2,5,40,1,1,100,4,6,66.7,1,1,2,1,3,0,3,2,2.3,4,0.5,0.3,0.8,0,0.8,0.5,10,29.5,7.4,30.5,3.4,6.8,3.4,3.4,10.2,0,10.2,16.9,20.3,3.4,3.4,6.8,58.9,50,58.9,50,58.4,20,1.2,180,7.8,7.5,7.7,10.1,28.2,28.2,10,0,33.3,0.7,1.8,126.6,107.4,19.2,4.8,8.9,0.33,8.6,50,50,22.2,33.3,44.4,6.4,1.6,4.8,-1.5,6.2,0,2.4,https://basketball.eurobasket.com/player/Ballanca-Jurgen/705149,https://basketball.eurobasket.com/team/KB-Teuta-Durres/5520
