country,league,season,scraped_at,Player,player_url,player_name,height,position,age,GP,EFF,MPG,PPG,RPG,ORB,DRB,APG,BPG,SPG,PF,FTA,FTM,FT_pct,2PA,2PM,2P_pct,3PA,3PM,3P_pct,TO,team,team_abbrev,team_url
Albania,Superliga,2025-2026,2026-01-10T18:30:03.020536,Abbey-Wright Jahmal 196-G/F-28,https://basketball.eurobasket.com/player/Abbey-Wright-Jahmal/459954,Jahmal Abbey-Wright,196,G/F,28,10,18.3,29.5,15.9,4.8,2.0,2.8,1.8,0.3,1.0,1.0,4.3,2.9,67.4,6.4,4.7,73.4,3.4,1.2,35.3,1.8,Teuta,TEUT,https://basketball.eurobasket.com/team/KB-Teuta-Durres/5520
Albania,Superliga,2025-2026,2026-01-10T18:30:03.310854,Ademokoya Quincy 198-G-24,https://basketball.eurobasket.com/player/Ademokoya-Quincy/560092,Quincy Ademokoya,198,G,24,10,15.0,30.2,15.4,3.6,0.7,2.9,2.5,0.7,0.6,1.3,1.8,1.0,55.6,4.7,3.6,76.6,6.4,2.4,37.5,1.7,Apolonia,APOL,https://basketball.eurobasket.com/team/Apolonia-Fier/5518
Albania,Superliga,2025-2026,2026-01-10T18:30:03.603916,Ago Daniel -18,https://basketball.eurobasket.com/player/Ago-Daniel/796802,Daniel Ago,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,,,
Albania,Superliga,2025-2026,2026-01-10T18:30:03.909459,Alimani Lion 186-G-23,https://basketball.eurobasket.com/player/Alimani-Lion/606582,Lion Alimani,186,G,23,10,9.4,17.2,8.6,2.7,0.8,1.9,1.9,0.0,0.9,1.9,3.3,1.9,57.6,3.9,2.3,59.0,1.8,0.7,38.9,1.3,Beselidhja,BESE,https://basketball.eurobasket.com/team/Beselidhja-Lezhe/66015
Albania,Superliga,2025-2026,2026-01-10T18:30:04.195849,Arnold Arlando 185-G-24,https://basketball.eurobasket.com/player/Arnold-Arlando/518957,Arlando Arnold,185,G,24,9,16.8,28.8,12.1,4.2,0.4,3.8,5.6,0.3,2.0,2.0,2.2,1.6,72.7,5.7,3.4,59.6,4.2,1.2,28.6,1.3,Vllaznia,VLLA,https://basketball.eurobasket.com/team/Vllaznia-Shkodra/629
Albania,Superliga,2025-2026,2026-01-10T18:30:04.472363,Austin Emmanuel 178-PG,https://basketball.eurobasket.com/player/Austin-Emmanuel/618866,Emmanuel Austin,178,PG,,7,16.3,35.4,21.9,3.7,0.4,3.3,2.7,0.1,2.3,1.9,7.6,5.0,65.8,13.6,5.9,43.4,4.1,1.7,41.5,3.4,Partizani,PART,https://basketball.eurobasket.com/team/Partizani-Tirana/1430
Albania,Superliga,2025-2026,2026-01-10T18:30:04.749891,Bagaviki Tony 192-G/F-18,https://basketball.eurobasket.com/player/Bagaviki-Tony/791295,Tony Bagaviki,192,G/F,18,9,2.8,8.8,3.2,1.1,0.1,1.0,0.8,0.1,0.7,0.4,0.6,0.2,33.3,2.0,1.0,50.0,1.3,0.3,23.1,0.6,Beselidhja,BESE,https://basketball.eurobasket.com/team/Beselidhja-Lezhe/66015
Albania,Superliga,2025-2026,2026-01-10T18:30:05.034115,Bajama Raili,https://basketball.eurobasket.com/player/Bajama-Raili/797062,Raili Bajama,,,,1,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vllaznia,VLLA,https://basketball.eurobasket.com/team/Vllaznia-Shkodra/629
Albania,Superliga,2025-2026,2026-01-10T18:30:05.331605,Bako Prian -20,https://basketball.eurobasket.com/player/Bako-Prian/796803,Prian Bako,,,,4,1.8,5.0,1.3,1.8,0.5,1.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,100.0,1.0,0.3,30.0,0.8,Partizani,PART,https://basketball.eurobasket.com/team/Partizani-Tirana/1430
Albania,Superliga,2025-2026,2026-01-10T18:30:05.627277,Ballanca Jurgen 183-PG-18,https://basketball.eurobasket.com/player/Ballanca-Jurgen/705149,Jurgen Ballanca,183,PG,18,4,1.8,4.0,2.3,0.5,0.3,0.3,0.3,0.0,0.8,0.5,1.5,1.0,66.7,1.0,0.3,30.0,0.3,0.3,100.0,0.8,Teuta,TEUT,https://basketball.eurobasket.com/team/KB-Teuta-Durres/5520
Albania,Superliga,2025-2026,2026-01-10T18:30:05.903763,Bani Slejd -G-18,https://basketball.eurobasket.com/player/Bani-Slejd/751864,Slejd Bani,,,,6,-0.2,5.0,0.0,0.3,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,Apolonia,APOL,https://basketball.eurobasket.com/team/Apolonia-Fier/5518
Albania,Superliga,2025-2026,2026-01-10T18:30:06.205614,Bates Jaylen 201-F-25,https://basketball.eurobasket.com/player/Bates-Jaylen/546175,Jaylen Bates,201,F,25,9,18.1,29.0,14.7,5.8,2.2,3.6,1.4,0.1,2.1,1.2,3.4,2.1,61.8,6.2,4.4,71.0,3.3,1.2,36.4,1.8,Apolonia,APOL,https://basketball.eurobasket.com/team/Apolonia-Fier/5518
Albania,Superliga,2025-2026,2026-01-10T18:30:06.480385,Bazhdari Samuel -16,https://basketball.eurobasket.com/player/Bazhdari-Samuel/781681,Samuel Bazhdari,,,,2,1.0,3.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,Vllaznia,VLLA,https://basketball.eurobasket.com/team/Vllaznia-Shkodra/629
Albania,Superliga,2025-2026,2026-01-10T18:30:06.778574,Beba Kristi -SG-23,https://basketball.eurobasket.com/player/Beba-Kristi/653127,Kristi Beba,,,,2,0.5,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,Skenderbeu,SKEN,https://basketball.eurobasket.com/team/Skenderbeu-Korce/2120
Albania,Superliga,2025-2026,2026-01-10T18:30:07.080639,Bega Detjon 180-PG-24,https://basketball.eurobasket.com/player/Bega-Detjon/400970,Detjon Bega,180,PG,24,8,2.6,13.1,3.5,1.5,0.6,0.9,1.1,0.0,0.8,1.6,0.8,0.4,50.0,1.3,0.6,46.2,1.6,0.6,37.5,1.1,Partizani,PART,https://basketball.eurobasket.com/team/Partizani-Tirana/1430
Albania,Superliga,2025-2026,2026-01-10T18:30:07.358726,Beqo Elvis 191-F-31,https://basketball.eurobasket.com/player/Beqo-Elvis/276412,Elvis Beqo,191,F,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,,,
Albania,Superliga,2025-2026,2026-01-10T18:30:07.626814,Berberi Naum -19,https://basketball.eurobasket.com/player/Berberi-Naum/760290,Naum Berberi,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,,,
Albania,Superliga,2025-2026,2026-01-10T18:30:07.944979,Berdo Igli -G-30,https://basketball.eurobasket.com/player/Berdo-Igli/653135,Igli Berdo,,,,7,5.1,31.7,9.4,4.9,0.7,4.1,1.0,0.0,0.7,2.7,3.1,2.6,83.9,6.6,2.6,39.4,3.9,0.6,15.4,2.9,Flamurtari,FLAM,https://basketball.eurobasket.com/team/Flamurtari-Vlore/5510
Albania,Superliga,2025-2026,2026-01-10T18:30:08.246575,Bilali Enes 190-SF-17,https://basketball.eurobasket.com/player/Bilali-Enes/743420,Enes Bilali,190,SF,17,7,5.1,12.3,4.0,2.1,0.3,1.9,1.4,0.1,0.7,1.0,2.0,1.6,80.0,1.6,0.6,37.5,1.9,0.4,21.1,0.9,Beselidhja,BESE,https://basketball.eurobasket.com/team/Beselidhja-Lezhe/66015
Albania,Superliga,2025-2026,2026-01-10T18:30:08.510405,Bircaj Fjorentin 205-F-36,https://basketball.eurobasket.com/player/Bircaj-Fjorentin/180031,Fjorentin Bircaj,205,F,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,,,
