Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Oxford Hoops Senior Men,"A. Marzec, M. Hilsdon, E. Otto, P. Wrencher Jr, O. Berzins",8,4618,131,50,129,38.8,13,40,32.5,18,23,78.3,32,58,90,35,15,9,31,15,123,73.1,71.3,74.9,33.7,32.1,43.8,47.1,70,39,67.4,15.1,17.8,31,95.5,147,63,144,43.8,15,58,25.9,6,12,50,28,50,78,41,15,8,23,26,129,49,49.2,13.4,32.6,40.3,102,-6.5,63,30,47.6,25,7,28,40,13,32.5,12,11,3,5,57,35,61.4,28,12,42.9,58,15,25.9,14,7,1,1
Worcester Wolves Senior Men,"H. Ferreira, G. Stergiopoulos, D. Antonio, E. Burgess, W. Santhe",9,4114,155,65,116,56,14,36,38.9,11,15,73.3,24,34,58,40,29,11,31,28,118,76.2,75.5,76.9,31.8,31.2,62.1,63.2,61.5,44.4,50.7,16,12.9,31,119.8,121,44,104,42.3,15,38,39.5,18,26,69.2,33,30,63,33,19,5,48,17,119,49.5,52.4,29.4,49.3,36.5,91.8,28,62,43,69.4,18,8,44.4,36,14,38.9,20,8,0,3,52,25,48.1,13,4,30.8,38,15,39.5,25,15,5,3
Liverpool Senior Men,"L. Rogerson-Evans, D. Sofia, K. Ulett-Waul, A. Gayle",8,3790,129,45,97,46.4,17,44,38.6,22,38,57.9,21,54,75,23,14,5,33,24,113,81.6,81.7,81.5,29.4,29.5,55.2,56.7,51.1,31.8,66.7,19.4,39.2,45.4,100,112,42,114,36.8,10,41,24.4,18,28,64.3,27,45,72,16,19,2,28,34,105,41.2,44.3,18.1,33.3,36,87.1,12.9,35,23,65.7,18,5,27.8,44,17,38.6,9,16,0,8,47,18,38.3,26,14,53.8,41,10,24.4,10,14,1,3
Manchester Magic Senior Men I,"L. Lara-Sanchez, D. Davies, B. Goodall, S. Gordon, J. Walton",5,2979,101,37,86,43,11,33,33.3,16,17,94.1,16,39,55,26,12,2,24,18,84,80.7,80.9,80.5,29.7,29.8,49.4,54,70.3,32.7,66.1,16.7,19.8,38.4,100.6,78,33,83,39.8,5,28,17.9,7,16,43.8,20,33,53,13,19,7,28,18,83,42.8,43.3,23.7,33.9,33.7,78.1,22.6,45,23,51.1,8,3,37.5,33,11,33.3,11,11,1,1,40,23,57.5,15,5,33.3,28,5,17.9,13,6,2,7
Solent Kestrels Senior Men,"G. Durand, L. Busumbru, A. Briggs, A. Arissol, E. Round",6,3052,106,45,90,50,8,28,28.6,8,15,53.3,13,36,49,26,18,7,12,12,81,77.5,75.4,79.7,31.8,30.1,54.4,54.9,57.8,26.5,61,8.9,16.7,31.1,110.6,79,34,91,37.4,10,24,41.7,1,7,14.3,23,36,59,14,8,3,31,16,85,42.9,42,24.8,39,26.4,78,32.6,19,16,84.2,40,19,47.5,23,5,21.7,6,3,1,2,24,13,54.2,39,10,25.6,22,9,40.9,20,5,3,3
Worcester Wolves Senior Men,"H. Ferreira, D. Antonio, E. Burgess, F. Rennie, W. Santhe",4,2766,96,37,80,46.2,11,36,30.6,11,15,73.3,18,33,51,25,16,1,21,14,77,75.5,78.1,72.9,30.7,32.9,53.1,55.4,67.6,38.3,57.9,15.8,18.8,45,106.7,65,25,78,32.1,8,30,26.7,7,11,63.6,24,29,53,15,12,3,25,13,62,37.2,39.2,23.2,42.1,38.5,77.4,29.3,27,18,66.7,17,8,47.1,36,11,30.6,10,9,1,1,31,13,41.9,17,4,23.5,30,8,26.7,13,8,0,4
Barking Abbey Senior Men I,#,1,1940,70,29,59,49.2,12,19,63.2,0,0,0,0,0,0,21,7,1,12,0,71,82.9,87.8,77.9,27.3,30.8,59.3,59.3,72.4,0,0,13,0,32.2,98.6,35,16,51,31.4,3,21,14.3,0,0,0,0,0,0,7,7,1,12,0,63,34.3,34.3,19,0,41.2,55.6,43,6,5,83.3,0,0,0,0,0,0,8,3,0,1,7,4,57.1,0,0,0,0,0,0,7,1,0,4
London Stars Senior Men,"J. Jarrett, N. Cassel, O. Striuga, R. Martin, N. Zajankauskas",4,2606,97,35,86,40.7,15,42,35.7,12,16,75,15,34,49,24,13,6,15,21,70,84.3,85.5,83.1,28.1,28.9,49.4,52.1,68.6,27.8,60.7,11.4,18.6,48.8,104.4,70,27,78,34.6,8,31,25.8,8,13,61.5,22,39,61,11,9,1,28,14,68,39.7,41.8,25.1,39.3,39.7,77.5,26.9,30,16,53.3,14,4,28.6,42,15,35.7,9,3,1,2,38,18,47.4,9,1,11.1,31,8,25.8,13,9,2,4
Oxford Hoops Senior Men,"A. Marzec, J. Cummins, P. Wrencher Jr, O. Berzins, B. Read Strahan",6,2163,72,29,66,43.9,7,20,35,7,12,58.3,17,23,40,19,4,2,18,15,70,79.3,80.8,77.7,29.7,30.9,49.2,50.5,65.5,41.5,60.5,16.6,18.2,30.3,98.8,74,29,64,45.3,10,30,33.3,6,11,54.5,15,24,39,21,8,1,16,11,65,53.1,53.7,18.9,39.5,46.9,105.6,-6.8,31,16,51.6,14,5,35.7,20,7,35,4,9,3,2,21,13,61.9,12,6,50,30,10,33.3,6,3,1,6
Sheffield Arrows Senior Men,"D. Soares, H. Ibrahim, G. Brownell, M. Ibrahim, J. Paredes",6,1993,76,31,68,45.6,9,31,29,5,7,71.4,10,32,42,12,3,1,12,13,68,86.3,87.5,85.1,27.4,28.2,52.2,53.5,38.7,26.3,78,12.6,10.3,45.6,104.6,76,28,66,42.4,8,23,34.8,12,15,80,9,28,37,6,6,0,7,12,62,48.5,52.3,8.8,22,34.8,107.5,-2.9,26,20,76.9,11,2,18.2,31,9,29,4,5,0,3,31,16,51.6,12,4,33.3,23,8,34.8,2,4,0,1
