Canonical,Team,Numbers,Variations
K. Forsythe,Liverpool Senior Men,0,K. Forsythe
K. Ulett-Waul,Liverpool Senior Men,5,K. Ulett-Waul
L. Rogerson-Evans,Liverpool Senior Men,0/6/8,L. Rogerson-Evans
D. Sofia,Liverpool Senior Men,1/10/11/14/9,D. Sofia
T. Dubiel,Liverpool Senior Men,12/13,T. Dubiel
D. Walsh,Liverpool Senior Men,4,D. Walsh
L. Harris,Liverpool Senior Men,7,L. Harris
A. Gayle,Liverpool Senior Men,10/13/8/9,A. Gayle
E. Olubodun,Liverpool Senior Men,10/11/7,E. Olubodun
K. Mcnally,Liverpool Senior Men,11/13,K. Mcnally
E. Cain,Liverpool Senior Men,12/13/8,E. Cain
P. Deveney,Liverpool Senior Men,10/14/9,P. Deveney
W. Self,St Helens Saints Senior Men,11/4/5/6/7,W. Self
C. Murtagh,St Helens Saints Senior Men,9,C. Murtagh
S. Simmonds,St Helens Saints Senior Men,12,S. Simmonds
D. Lufadeju,St Helens Saints Senior Men,14,D. Lufadeju
B. Tew,St Helens Saints Senior Men,15,B. Tew
J. Collamat,St Helens Saints Senior Men,4/5/6,J. Collamat
L. Lara-Sanchez,St Helens Saints Senior Men,11/13/4/5/6,L. Lara-Sanchez
R. Reynolds,St Helens Saints Senior Men,7,R. Reynolds
S. Obika,St Helens Saints Senior Men,13/15/6/8,S. Obika
K. Jones,St Helens Saints Senior Men,10/8,K. Jones
N. Conaty,St Helens Saints Senior Men,11,N. Conaty
E. Evans,St Helens Saints Senior Men,10/13,E. Evans
H. Yusuf,Greenwich Titans Senior Men,2/6,H. Yusuf
L. Macaraig,Greenwich Titans Senior Men,4,L. Macaraig
A. Charles,Greenwich Titans Senior Men,5,A. Charles
I. Temilola,Greenwich Titans Senior Men,13/14,I. Temilola
J. Green,Greenwich Titans Senior Men,21,J. Green
J. Sabaliauskas,Greenwich Titans Senior Men,3/6/7,J. Sabaliauskas
P. Kamat,Greenwich Titans Senior Men,6,P. Kamat
B. Deogun,Greenwich Titans Senior Men,8,B. Deogun
S. Mantis,Greenwich Titans Senior Men,9,S. Mantis
A. Hughes,Greenwich Titans Senior Men,10,A. Hughes
M. Barnett,Greenwich Titans Senior Men,11,M. Barnett
A. Arissol,Solent Kestrels Senior Men,5,A. Arissol
E. Round,Solent Kestrels Senior Men,6,E. Round
G. Durand,Solent Kestrels Senior Men,10,G. Durand
L. Busumbru,Solent Kestrels Senior Men,11,L. Busumbru
A. Briggs,Solent Kestrels Senior Men,15,A. Briggs
B. Cope,Solent Kestrels Senior Men,3,B. Cope
J. Ofman,Solent Kestrels Senior Men,4,J. Ofman
E. Lotriet,Solent Kestrels Senior Men,8,E. Lotriet
T. Blower,Solent Kestrels Senior Men,9,T. Blower
G. Andrews,Solent Kestrels Senior Men,12,G. Andrews
D. Cimochowski,Solent Kestrels Senior Men,14,D. Cimochowski
W. Kitenge,Solent Kestrels Senior Men,16,W. Kitenge
M. James,Cardiff Met Archers Senior Men I,5,M. James
L. Scotland,Cardiff Met Archers Senior Men I,6/7,L. Scotland
S. Scruggs,Cardiff Met Archers Senior Men I,9,S. Scruggs
G. Williams,Cardiff Met Archers Senior Men I,10,G. Williams
A. Bajwa,Cardiff Met Archers Senior Men I,14,A. Bajwa
C. Smith,Cardiff Met Archers Senior Men I,14/21/4,C. Smith
L. Davies,Cardiff Met Archers Senior Men I,6,L. Davies
J. Dawe,Cardiff Met Archers Senior Men I,8,J. Dawe
E. Andam,Cardiff Met Archers Senior Men I,11,E. Andam
R. Cornelius,Cardiff Met Archers Senior Men I,10/12/13/18,R. Cornelius
A. Rosario,Cardiff Met Archers Senior Men I,13/4/6/7/8/9,A. Rosario
J. Tudor,Cardiff Met Archers Senior Men I,11/13/15/9,J. Tudor
H. Sheehan,Myerscough Basketball Academy Senior Men I,0,H. Sheehan
C. Sanchez Falette,Myerscough Basketball Academy Senior Men I,4/6,C. Sanchez Falette
E. Akubuo,Myerscough Basketball Academy Senior Men I,7/8,E. Akubuo
D. Azancot,Myerscough Basketball Academy Senior Men I,7/8,D. Azancot
Z. Trezvant,Myerscough Basketball Academy Senior Men I,12/14,Z. Trezvant
J. Bobkowski,Myerscough Basketball Academy Senior Men I,10/5/6,J. Bobkowski
O. Esingle,Myerscough Basketball Academy Senior Men I,9,O. Esingle
S. Laditan-Adebiyi,Myerscough Basketball Academy Senior Men I,10/13/15/24/5/6,S. Laditan-Adebiyi
F. Morgan,Myerscough Basketball Academy Senior Men I,14,F. Morgan
D. Okhuoya,Myerscough Basketball Academy Senior Men I,21,D. Okhuoya
A. Ibirinde,Myerscough Basketball Academy Senior Men I,13/23,A. Ibirinde
R. Oberia,Birmingham City University Senior Men,3,R. Oberia
J. Miller,Birmingham City University Senior Men,7,J. Miller
R. Quinland,Birmingham City University Senior Men,8,R. Quinland
R. Faure-Daley,Birmingham City University Senior Men,11,R. Faure-Daley
C. Hayden,Birmingham City University Senior Men,16/17,C. Hayden
M. Mahamoud,Birmingham City University Senior Men,14/2,M. Mahamoud
E. Haywood,Birmingham City University Senior Men,4,E. Haywood
E. Adebambo,Birmingham City University Senior Men,14/5,E. Adebambo
S. Lyn,Birmingham City University Senior Men,12/17/9,S. Lyn
J. Graham,Birmingham City University Senior Men,10,J. Graham
C. Lynch,Birmingham City University Senior Men,11/13/14/16/17/2,C. Lynch
E. Nweke,Birmingham City University Senior Men,15/16,E. Nweke
G. Brownell,Sheffield Arrows Senior Men,11/21/4,G. Brownell
S. Matewe,Sheffield Arrows Senior Men,12/14/15/26,S. Matewe
P. Walsh,Sheffield Arrows Senior Men,15/2/5,P. Walsh
D. Soares,Sheffield Arrows Senior Men,10/23,D. Soares
A. Tavares,Sheffield Arrows Senior Men,44,A. Tavares
J. Paredes,Sheffield Arrows Senior Men,25/7,J. Paredes
Z. Goodwin-Hockney,Sheffield Arrows Senior Men,10/11/13,Z. Goodwin-Hockney
M. Ibrahim,Sheffield Arrows Senior Men,14/26/44/50,M. Ibrahim
B. Moncrieffe,London Stars Senior Men,4,B. Moncrieffe
O. Striuga,London Stars Senior Men,8,O. Striuga
R. Martin,London Stars Senior Men,9,R. Martin
J. Jarrett,London Stars Senior Men,15,J. Jarrett
N. Zajankauskas,London Stars Senior Men,99,N. Zajankauskas
K. Sinkevicius,London Stars Senior Men,1,K. Sinkevicius
S. Stiklakis,London Stars Senior Men,17/6,S. Stiklakis
D. Vazgys,London Stars Senior Men,7,D. Vazgys
J. Hayes,London Stars Senior Men,11,J. Hayes
J. Jackson,London Elite Senior Men I,3/4/6,J. Jackson
H. Loader,London Elite Senior Men I,5,H. Loader
N. Erokwu,London Elite Senior Men I,9,N. Erokwu
D. Magloire,London Elite Senior Men I,11,D. Magloire
A. Pyne,London Elite Senior Men I,27,A. Pyne
F. Bozzelli,London Elite Senior Men I,0/14,F. Bozzelli
M. Eziashi,London Elite Senior Men I,2,M. Eziashi
D. Idowu,London Elite Senior Men I,12/17,D. Idowu
W. Mumuni,London Elite Senior Men I,24,W. Mumuni
O. Babalola,Manchester Magic Senior Men I,13/3,O. Babalola
S. Gordon,Manchester Magic Senior Men I,6,S. Gordon
J. Walton,Manchester Magic Senior Men I,8,J. Walton
D. Davies,Manchester Magic Senior Men I,13,D. Davies
J. Kubacki,Manchester Magic Senior Men I,10/17,J. Kubacki
N. Togo,Manchester Magic Senior Men I,1,N. Togo
N. Brown,Manchester Magic Senior Men I,1/2/7,N. Brown
K. Lee,Manchester Magic Senior Men I,12/5/9,K. Lee
J. Pearce,Manchester Magic Senior Men I,14,J. Pearce
B. Goodall,Manchester Magic Senior Men I,15,B. Goodall
M. Hilsdon,Oxford Hoops Senior Men,3,M. Hilsdon
O. Berzins,Oxford Hoops Senior Men,5,O. Berzins
A. Marzec,Oxford Hoops Senior Men,14,A. Marzec
E. Otto,Oxford Hoops Senior Men,30,E. Otto
P. Wrencher Jr,Oxford Hoops Senior Men,33,P. Wrencher Jr
M. Robinson,Oxford Hoops Senior Men,0/6,M. Robinson
M. Adelakun,Oxford Hoops Senior Men,10,M. Adelakun
F. Wabwire,Oxford Hoops Senior Men,11,F. Wabwire
M. Keita Sakine,Oxford Hoops Senior Men,18/23,M. Keita Sakine
Z. Missouri,Teesside Lions Senior Men,2,Z. Missouri
W. Day,Teesside Lions Senior Men,6,W. Day
B. Sproul,Teesside Lions Senior Men,10/28,B. Sproul
O. Adeniyi,Teesside Lions Senior Men,30,O. Adeniyi
S. Forster,Teesside Lions Senior Men,34,S. Forster
G. Groves,Teesside Lions Senior Men,18/20,G. Groves
B. Maldutis,Teesside Lions Senior Men,20/4,B. Maldutis
S. Gakuba,Teesside Lions Senior Men,22/8,S. Gakuba
Z. Lawson,Teesside Lions Senior Men,27/53,Z. Lawson
J. Wise-Malcolm,Teesside Lions Senior Men,31,J. Wise-Malcolm
C. Smythe,Teesside Lions Senior Men,22/45/7,C. Smythe
F. Rogers,Teesside Lions Senior Men,29/49/9,F. Rogers
C. Keys,Leicester Warriors Senior Men,6,C. Keys
P. Chingombe,Leicester Warriors Senior Men,14/6/8,P. Chingombe
M. Nelson,Leicester Warriors Senior Men,9,M. Nelson
A. Kalugin-Ugo,Leicester Warriors Senior Men,10,A. Kalugin-Ugo
B. Agrobo,Leicester Warriors Senior Men,11,B. Agrobo
P. Banda,Leicester Warriors Senior Men,14/4/6/7,P. Banda
D. Tosia,Leicester Warriors Senior Men,5,D. Tosia
D. Mcdonald,Leicester Warriors Senior Men,12,D. Mcdonald
K. Cross,Leicester Warriors Senior Men,13/8,K. Cross
E. Toure Jabby,Leicester Warriors Senior Men,14/15,E. Toure Jabby
D. Antonio,Worcester Wolves Senior Men,2/4,D. Antonio
C. Okibe,Worcester Wolves Senior Men,3/30,C. Okibe
F. Rennie,Worcester Wolves Senior Men,5,F. Rennie
W. Santhe,Worcester Wolves Senior Men,6,W. Santhe
H. Ferreira,Worcester Wolves Senior Men,10/8,H. Ferreira
H. Godwin,Worcester Wolves Senior Men,1/10,H. Godwin
I. Dapaah,Worcester Wolves Senior Men,11/14,I. Dapaah
L. Ferreira,Worcester Wolves Senior Men,12,L. Ferreira
G. Stergiopoulos,Worcester Wolves Senior Men,13/9,G. Stergiopoulos
C. Rufus Shaba,Worcester Wolves Senior Men,15,C. Rufus Shaba
E. Burgess,Worcester Wolves Senior Men,21/23,E. Burgess
E. Neblett,Worcester Wolves Senior Men,22/3,E. Neblett
T. Lister,Sheffield Sharks Senior Men,0/18,T. Lister
D. Kom,Sheffield Sharks Senior Men,2/34/8,D. Kom
G. Cousins,Sheffield Sharks Senior Men,8,G. Cousins
S. Hanson-Young,Sheffield Sharks Senior Men,10/12,S. Hanson-Young
C. Alexander,Sheffield Sharks Senior Men,15/31,C. Alexander
W. Skaines,Sheffield Sharks Senior Men,3,W. Skaines
O. Baldwin,Sheffield Sharks Senior Men,1/31/6/66/7/8,O. Baldwin
O. Mccarthy,Sheffield Sharks Senior Men,9,O. Mccarthy
D. Quinland,Sheffield Sharks Senior Men,11,D. Quinland
C. Andrews,Sheffield Sharks Senior Men,21/22,C. Andrews
C. Johnstone,Sheffield Sharks Senior Men,34/9,C. Johnstone
J. Stewart,Cobham Cobras Senior Men,6,J. Stewart
M. Dias Mendes,Cobham Cobras Senior Men,17,M. Dias Mendes
J. Muzikevicius,Cobham Cobras Senior Men,21,J. Muzikevicius
M. Coupe,Cobham Cobras Senior Men,30,M. Coupe
L. Mustre,Cobham Cobras Senior Men,33/7,L. Mustre
I. Inwugwu,Cobham Cobras Senior Men,3,I. Inwugwu
A. Wilding,Cobham Cobras Senior Men,4,A. Wilding
G. Rundle,Cobham Cobras Senior Men,5,G. Rundle
C. Ntifo,Cobham Cobras Senior Men,19/77,C. Ntifo
V. Steponavicius,Cobham Cobras Senior Men,20,V. Steponavicius
R. Akpofure,Cobham Cobras Senior Men,91,R. Akpofure
D. Orija,Cobham Cobras Senior Men,13/30/99,D. Orija
L. Sayles,Barking Abbey Senior Men I,4,L. Sayles
I. Warari,Barking Abbey Senior Men I,6,I. Warari
R. Connolly,Barking Abbey Senior Men I,12/8,R. Connolly
O. Anyanwu,Barking Abbey Senior Men I,12/14/15/22/32/7,O. Anyanwu
J. Mendes,Barking Abbey Senior Men I,23,J. Mendes
M. Filho,Barking Abbey Senior Men I,5,M. Filho
S. Dobson-Smith,Barking Abbey Senior Men I,7/9,S. Dobson-Smith
K. Mabaya,Barking Abbey Senior Men I,10/5,K. Mabaya
F. Oguntuase,Barking Abbey Senior Men I,11,F. Oguntuase
E. Tomking,Barking Abbey Senior Men I,10/15/24/32/8,E. Tomking
