Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Barnet Bulldogs Senior Men,6,S. Cooper,,11,30.8,338.9,259,23.5,81,177,45.8,38,89,42.7,59,71,83.1,10,61,71,36,37,1,34,26,56.5,62.2,29.2,106.9,29.0,10.0,2.5,16.2,9.1,20.9,5.5,0.3,14.0,0.4,17.52,10.6,6.91,56,33,58.9,32,10,31.2,89,38,42.7,11,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
St Helens Saints Senior Men,14,D. Lufadeju,,14,34.8,486.6,332,23.7,109,230,47.4,39,93,41.9,75,92,81.5,40,74,114,65,45,1,44,39,55.9,61.4,26.1,105.6,28.3,7.9,6.9,12.8,9.8,23.7,4.5,0.2,14.0,0.4,17.47,11.39,6.07,76,49,64.5,61,21,34.4,93,39,41.9,15,22,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Solent Kestrels Senior Men,11,L. Busumbru,,10,31.2,312.4,122,12.2,44,83,53.0,7,22,31.8,27,46,58.7,15,54,69,54,14,7,20,11,57.2,59.1,15.7,99.0,15.1,2.7,3.8,15.0,9.2,26.5,2.2,2.0,16.2,0.55,15.55,7.62,7.93,41,28,68.3,16,7,43.8,19,6,31.6,14,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Solent Kestrels Senior Men,5,A. Arissol,,9,30.5,274.3,151,16.8,56,126,44.4,20,62,32.3,19,23,82.6,10,27,37,27,30,2,24,13,52.4,55.5,23.4,94.3,20.7,8.5,2.9,8.3,5.5,16.6,5.3,0.6,15.0,0.18,15.5,7.49,8.01,24,18,75,35,17,48.6,54,18,33.3,11,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester Magic Senior Men I,8,J. Walton,,13,29.5,383.2,239,18.4,89,191,46.6,43,95,45.3,18,26,69.2,9,47,56,65,20,0,37,20,57.9,59.0,26.5,99.8,23.6,9.4,2.1,10.4,6.3,32.4,2.7,0.0,15.5,0.14,15.29,8.98,6.31,42,23,54.8,53,23,43.4,95,43,45.3,17,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester Magic Senior Men I,10,P. Gordon,,6,20.8,125.0,87,14.5,32,60,53.3,7,22,31.8,16,19,84.2,5,34,39,12,11,0,10,4,59.2,63.6,27.0,111.0,19.0,4.8,3.7,22.0,13.5,19.1,4.6,0.0,12.8,0.32,13.54,6.95,6.59,35,24,68.6,3,1,33.3,22,7,31.8,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheffield Arrows Senior Men,23,D. Soares,,16,37.1,593.9,226,14.1,87,181,48.1,33,94,35.1,19,42,45.2,39,125,164,75,35,25,35,40,57.2,56.6,16.1,96.4,16.9,7.0,5.3,16.6,11.0,20.0,2.8,3.6,14.9,0.23,13.28,8.05,5.23,80,52,65,6,2,33.3,94,33,35.1,16,12,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheffield Arrows Senior Men,24,H. Ibrahim,,15,37.7,565.1,371,24.7,134,270,49.6,13,51,25.5,90,121,74.4,52,135,187,73,27,9,65,35,52.0,57.4,28.3,95.6,29.9,4.1,7.6,18.8,13.4,23.5,2.3,1.4,16.7,0.45,13.09,9.02,4.07,147,95,64.6,72,26,36.1,51,13,25.5,21,32,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Birmingham City University Senior Men,11,R. Faure-Daley,,15,27.8,416.7,161,10.7,57,160,35.6,31,100,31.0,16,23,69.6,15,72,87,105,69,1,52,45,45.3,47.3,20.1,72.5,12.3,7.7,2.7,13.8,8.1,39.0,7.6,0.2,23.4,0.14,13.01,4.47,8.54,26,17,65.4,33,8,24.2,100,31,31,38,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
London Stars Senior Men,9,R.  Martin,,1,31.8,31.8,20,20.0,7,14,50.0,1,3,33.3,5,8,62.5,5,12,17,9,1,2,7,3,53.6,57.1,25.9,81.6,21.6,3.2,12.1,30.8,21.2,43.2,1.4,5.7,28.5,0.57,12.9,6.78,6.12,9,5,55.6,2,1,50,3,1,33.3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
