game_id,game_date,team,points,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,pf_drawn,blk_against,poss,pace
2742274,2025-09-27,Liverpool Senior Men,108,38,93,28,56,10,37,22,41,28,35,63,16,15,4,24,24,26,3,112.8,89.3
2742274,2025-09-27,St Helens Saints Senior Men,105,35,96,24,50,11,46,24,30,31,46,77,17,14,3,32,26,24,4,110.5,89.3
2742395,2025-09-27,Greenwich Titans Senior Men,61,25,73,23,49,2,24,9,12,14,34,48,12,10,5,27,22,15,1,91.2,90.1
2742395,2025-09-27,Solent Kestrels Senior Men,91,35,87,28,53,7,34,14,22,25,37,62,26,16,1,16,15,22,5,89.1,90.1
2742276,2025-09-27,Cardiff Met Archers Senior Men I,71,26,63,20,47,6,16,13,18,11,29,40,18,11,2,17,17,16,2,77.6,78.5
2742276,2025-09-27,Myerscough Basketball Academy Senior Men I,75,29,74,18,39,11,35,6,9,18,31,49,20,8,2,20,16,16,2,79.5,78.5
2742267,2025-09-27,Birmingham City University Senior Men,89,36,84,22,44,14,40,3,5,12,47,59,19,14,2,21,25,9,2,94.9,95.3
2742267,2025-09-27,Sheffield Arrows Senior Men,74,26,81,22,51,4,30,18,29,19,38,57,14,14,2,19,9,24,2,95.8,95.3
2742394,2025-09-27,London Stars Senior Men,95,35,83,26,53,9,30,16,23,27,41,68,28,7,6,26,15,20,5,92.5,90.3
2742394,2025-09-27,London Elite Senior Men I,70,27,74,19,44,8,30,8,12,8,25,33,13,18,5,17,22,15,6,88.1,90.3
2742273,2025-09-27,Manchester Magic Senior Men I,79,34,83,27,55,7,28,4,13,24,20,44,17,14,6,11,13,14,6,77.6,75.9
2742273,2025-09-27,Oxford Hoops Senior Men,53,20,55,16,40,4,15,9,12,17,33,50,12,6,6,31,14,13,6,74.1,75.9
2742272,2025-09-27,Teesside Lions Senior Men,53,19,77,13,51,6,26,9,14,24,30,54,9,8,1,15,15,12,3,74.1,77.6
2742272,2025-09-27,Leicester Warriors Senior Men,81,33,75,26,53,7,22,8,12,14,38,52,23,10,3,15,12,15,1,81.0,77.6
2742271,2025-09-27,Worcester Wolves Senior Men,70,25,81,19,55,6,26,14,23,27,27,54,12,19,4,16,25,20,5,81.8,80.5
2742271,2025-09-27,Sheffield Sharks Senior Men,60,18,54,13,31,5,23,19,34,23,37,60,16,7,5,28,20,25,4,79.2,80.5
2742393,2025-09-28,Cobham Cobras Senior Men,61,20,55,15,36,5,19,16,24,15,30,45,15,4,1,23,19,21,0,75.5,78.2
2742393,2025-09-28,Barking Abbey Senior Men I,66,26,78,25,55,1,23,13,21,29,28,57,11,15,0,21,21,17,1,80.9,78.2
2742392,2025-10-04,Barnet Bulldogs Senior Men,95,35,82,27,52,8,30,17,29,20,25,45,27,17,2,23,18,23,3,98.8,96.9
2742392,2025-10-04,Greenwich Titans Senior Men,86,34,72,28,47,6,25,12,26,17,33,50,22,15,3,28,24,18,2,95.0,96.9
2742391,2025-10-04,Barking Abbey Senior Men I,72,24,68,22,49,2,19,22,26,21,32,53,21,14,3,23,19,24,4,80.9,81.8
2742391,2025-10-04,CoLA Southwark Pride Senior Men,61,19,61,10,37,9,24,14,25,20,25,45,11,13,4,28,24,19,3,82.7,81.8
