Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Leicester Warriors Senior Men,"A. Kalugin-Ugo, J. Jackson, M. Alechicus Legania, P. Banda, M. Nelson","Leicester Warriors Senior Men|10,4,5,6,9",1,13.2,794.0,14,6,24,25.0,1,10,10.0,1,2,50.0,0,0,0,5,0,0,7,0,20,31.9,43.9,73.2,-29.3,1.06,-6
Liverpool Senior Men,"A. Gayle, D. Sofia, T. Dubiel, K. Ulett-Waul, L. Rogerson-Evans","Liverpool Senior Men|10,11,12,5,6",2,12.5,752.0,17,8,17,47.1,0,4,0.0,1,6,16.7,0,0,0,5,0,0,6,0,27,25.6,66.3,90.1,-23.8,1.36,-10
Oxford Hoops Senior Men,"M. Adelakun, A. Marzec, M. Keita Sakine, P. Wrencher Jr, O. Berzins","Oxford Hoops Senior Men|10,14,18,33,5",2,11.8,707.0,17,6,19,31.6,0,6,0.0,5,10,50.0,0,0,0,2,0,0,7,0,21,30.4,55.9,70.1,-14.2,1.44,-4
Oxford Hoops Senior Men,"A. Marzec, J. Cummins, P. Wrencher Jr, O. Berzins, B. Read Strahan","Oxford Hoops Senior Men|14,23,33,5,9",2,10.6,637.0,20,9,16,56.2,2,2,100.0,0,1,0.0,0,0,0,5,0,0,5,0,10,21.4,93.3,37.4,55.9,1.88,10
CoLA Southwark Pride Senior Men,"D. Banjoko, T. Gass, A. Wol, A. Nwokolo, K. Hawes","CoLA Southwark Pride Senior Men|12,13,14,15,6",2,9.4,562.0,15,6,14,42.9,0,2,0.0,3,4,75.0,0,0,0,2,0,0,4,0,11,19.8,75.9,55.7,20.2,1.6,4
Liverpool Senior Men,"L. Rogerson-Evans, T. Dubiel, K. Ulett-Waul, A. Gayle","Liverpool Senior Men|0,12,5,9",2,8.9,533.0,15,5,14,35.7,0,3,0.0,5,6,83.3,0,0,0,3,0,0,7,0,24,23.6,63.5,84.9,-21.4,1.69,-9
Sheffield Arrows Senior Men,"D. Soares, S. Matewe, H. Ibrahim, G. Brownell, J. Paredes","Sheffield Arrows Senior Men|23,26,33,4,7",2,8.0,480.0,17,7,16,43.8,2,7,28.6,1,3,33.3,0,0,0,2,0,0,3,0,5,20.3,83.7,42.1,41.6,2.12,12
Liverpool Senior Men,"L. Rogerson-Evans, D. Sofia, K. Ulett-Waul, A. Gayle","Liverpool Senior Men|0,1,5,9",3,7.8,465.0,18,6,14,42.9,3,9,33.3,3,5,60.0,0,0,0,4,0,0,5,0,21,21.2,84.9,107.6,-22.7,2.32,-3
Teesside Lions Senior Men,"Z. Missouri, M. Felletti-O’Donnell, H. Omitowoju, J. Wise-Malcolm, B. Maldutis","Teesside Lions Senior Men|2,23,27,31,4",1,7.7,462.0,17,5,17,29.4,0,3,0.0,7,7,100.0,0,0,0,3,0,0,2,0,16,22.1,77.0,98.8,-21.8,2.21,1
Leicester Warriors Senior Men,"A. Kalugin-Ugo, D. Mcdonald, M. Alechicus Legania, P. Chingombe, M. Nelson","Leicester Warriors Senior Men|10,12,5,6,9",2,7.6,454.0,19,8,12,66.7,1,2,50.0,2,3,66.7,0,0,0,7,0,0,2,0,10,15.3,124.0,54.2,69.8,2.51,9
Liverpool Senior Men,"D. Sofia, T. Dubiel, K. Ulett-Waul, A. Gayle","Liverpool Senior Men|1,12,5,9",4,7.3,439.0,27,11,15,73.3,0,2,0.0,5,7,71.4,0,0,0,4,0,0,9,0,13,27.1,99.7,59.7,40.0,3.69,14
Worcester Wolves Senior Men,"L. Ferreira, G. Stergiopoulos, E. Burgess, W. Santhe, E. Yeboah","Worcester Wolves Senior Men|12,13,21,6,9",2,7.2,433.0,7,3,9,33.3,1,4,25.0,0,1,0.0,0,0,0,2,0,0,4,0,11,13.4,52.1,67.4,-15.3,0.97,-4
Oxford Hoops Senior Men,"A. Marzec, A. Prescott-Cornejo, J. Cummins, P. Wrencher Jr, B. Read Strahan","Oxford Hoops Senior Men|14,15,23,33,9",1,6.7,404.0,15,6,9,66.7,1,2,50.0,2,2,100.0,0,0,0,4,0,0,4,0,7,13.9,108.1,44.4,63.7,2.23,8
Worcester Wolves Senior Men,"H. Ferreira, D. Antonio, E. Burgess, F. Rennie, W. Santhe","Worcester Wolves Senior Men|10,2,21,5,6",3,6.3,379.0,6,3,13,23.1,0,3,0.0,0,2,0.0,0,0,0,0,0,0,3,0,12,16.9,35.5,93.2,-57.6,0.95,-6
Worcester Wolves Senior Men,"L. Ferreira, G. Stergiopoulos, D. Antonio, E. Burgess, W. Santhe","Worcester Wolves Senior Men|12,13,2,21,6",3,6.3,380.0,13,6,12,50.0,1,4,25.0,0,0,0,0,0,0,4,0,0,2,0,12,14.0,92.9,106.0,-13.1,2.05,1
CoLA Southwark Pride Senior Men,"A. Wol, K. Hawes, K. Hawes, D. Banjoko, O. Leigh-Hales","CoLA Southwark Pride Senior Men|14,5,6,8,9",2,6.2,369.0,5,2,8,25.0,0,2,0.0,1,2,50.0,0,0,0,0,0,0,2,0,5,10.9,46.0,46.5,-0.5,0.81,0
Myerscough Basketball Academy Senior Men I,"S. Laditan-Adebiyi, Z. Trezvant, C. Sanchez Falette, D. Azancot, O. Esingle","Myerscough Basketball Academy Senior Men I|10,12,4,7,9",3,6.2,372.0,9,3,11,27.3,0,0,0,3,5,60.0,0,0,0,3,0,0,3,0,4,16.2,55.6,26.1,29.4,1.45,5
London Lions Senior Men II,"M. John, M. Andre, A. Dugou, A. Ogidan, J. Ako - Mensah","London Lions Senior Men II|1,11,4,7,8",2,6.2,374.0,13,4,7,57.1,2,3,66.7,3,3,100.0,0,0,0,1,0,0,1,0,11,9.3,139.5,92.6,46.9,2.09,2
Greenwich Titans Senior Men,"I. Temilola, H. Yusuf, A. Charles, P. Kamat, J. Palmer","Greenwich Titans Senior Men|13,2,5,6,7",1,6.2,372.0,7,2,6,33.3,0,0,0,3,6,50.0,0,0,0,0,0,0,4,0,5,12.6,55.4,31.5,23.9,1.13,2
Oxford Hoops Senior Men,"M. Adelakun, A. Marzec, P. Wrencher Jr, O. Berzins, B. Read Strahan","Oxford Hoops Senior Men|10,14,33,5,9",1,6.1,365.0,15,5,11,45.5,0,2,0.0,5,5,100.0,0,0,0,1,0,0,2,0,6,15.2,98.7,46.2,52.5,2.47,9
Worcester Wolves Senior Men,"H. Ferreira, G. Stergiopoulos, D. Antonio, E. Burgess, W. Santhe","Worcester Wolves Senior Men|10,13,2,21,6",3,6.0,362.0,15,6,12,50.0,0,4,0.0,3,3,100.0,0,0,0,2,0,0,5,0,10,18.3,81.9,67.8,14.1,2.49,5
Liverpool Senior Men,"K. Forsythe, D. Sofia, K. Ulett-Waul, L. Rogerson-Evans, P. Deveney","Liverpool Senior Men|0,10,5,6,9",1,6.0,362.0,9,3,8,37.5,2,4,50.0,1,2,50.0,0,0,0,3,0,0,2,0,15,10.9,82.7,139.4,-56.7,1.49,-6
CoLA Southwark Pride Senior Men,"K. Capanzana, D. Banjoko, T. Gass, A. Wol, K. Hawes","CoLA Southwark Pride Senior Men|11,12,13,14,5",3,5.9,352.0,16,5,9,55.6,2,4,50.0,4,6,66.7,0,0,0,1,0,0,2,0,7,13.6,117.3,44.8,72.5,2.73,9
