Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
Solent Kestrels Senior Men,,Barking Abbey Senior Men I,,1,1794,29.9,64.3,35,16,51,31.4,3,21,14.3,0,0,0,0,0,0,7,7,1,10,0,66,27,55,49.1,12,19,63.2,0,0,0,0,0,0,21,7,1,12,0,61.0,67.0,57.4,98.5,-41.1,98.5,57.4,41.1,-31,7,4,57.1,0,0,0,0,0,0,4,3,75,0,0,0,0,0,0,6,1,0,3,8,3,0,1,0,5,16,0,5,14
Birmingham City University Senior Men,"C. Hayden, J. Miller, R. Faure-Daley, R. Oberia, R. Quinland",Sheffield Arrows Senior Men,"A. Tavares, D. Soares, G. Brownell, P. Walsh, S. Matewe",1,719,12.0,28.1,28,12,31,38.7,4,15,26.7,0,1,0,6,18,24,6,4,1,4,4,8,3,22,13.6,0,11,0,2,4,50,3,14,17,2,4,0,6,3,29.3,26.9,95.4,29.8,65.6,29.8,95.4,-65.6,20,9,5,55.6,6,2,33.3,15,4,26.7,4,2,50,7,1,14.3,11,0,0,2,2,0,0,3,1,0,2,6,15,4,0,2,2
Birmingham City University Senior Men,"C. Hayden, D. Ogodan, R. Faure-Daley, R. Oberia, S. Toluwase",Sheffield Sharks Senior Men,"D. Kom, M. Moore, M. Tuck, O. Baldwin, S. Hanson-Young",1,625,10.4,24.9,22,10,26,38.5,2,10,20,0,0,0,4,11,15,7,4,0,3,4,25,8,20,40,4,11,36.4,5,5,100,1,12,13,4,1,2,4,0,24.7,25.1,89,99.5,-10.5,99.5,89,10.5,-3,10,7,70,6,1,16.7,10,2,20,8,4,50,1,0,0,11,4,36.4,2,1,0,0,1,3,0,0,2,12,4,0,11,2
Myerscough Basketball Academy Senior Men I,"C. Sanchez Falette, H. Sheehan, O. Esingle, S. Laditan-Adebiyi, Z. Trezvant",Teesside Lions Senior Men,"C. Smythe, F. Rogers, H. Omitowoju, M. Felletti-O’Donnell, Z. Missouri",1,801,13.3,24.0,32,15,33,45.5,2,13,15.4,0,2,0,11,10,21,7,5,0,2,1,19,6,20,30,5,14,35.7,2,2,100,4,8,12,6,0,0,7,3,24.7,23.6,129.4,80.5,48.9,80.5,129.4,-48.9,13,14,10,71.4,5,2,40,13,2,15.4,1,0,0,5,1,20,14,5,35.7,0,0,2,0,6,0,0,1,11,6,10,6,0,3
Sheffield Arrows Senior Men,"D. Soares, G. Brownell, H. Ibrahim, J. Paredes, M. Ibrahim",Oxford Hoops Senior Men,"E. Otto, M. Adelakun, M. Hilsdon, O. Berzins, P. Wrencher Jr",1,673,11.2,22.7,33,13,22,59.1,6,11,54.5,1,2,50,3,7,10,7,3,0,2,1,19,8,16,50,2,6,33.3,1,1,100,1,7,8,2,1,0,8,2,22.0,23.4,150.1,81.3,68.8,81.3,150.1,-68.8,14,7,6,85.7,4,1,25,11,6,54.5,8,5,62.5,2,1,50,6,2,33.3,2,0,0,0,3,3,0,2,6,11,11,0,2,0
Richmond Knights Senior Men,"C. Vines, J. Murray-White, J. Tahraoui, K. Hypolite-Sealy, K. Smith",London Stars Senior Men,"B. Moncrieffe, J. Hayes, N. Zajankauskas, O. Striuga, R. Martin",1,580,9.7,22.3,18,8,19,42.1,0,2,0,2,4,50,5,8,13,4,4,2,5,2,15,6,16,37.5,2,7,28.6,1,1,100,2,8,10,3,3,2,9,4,21.2,23.3,84.8,64.4,20.4,64.4,84.8,-20.4,3,12,6,50,5,2,40,2,0,0,3,2,66.7,6,2,33.3,7,2,28.6,2,1,0,2,3,1,1,4,6,8,6,0,7,7
Sheffield Sharks Senior Men,"C. Andrews, D. Kom, G. Cousins, O. Baldwin, S. Hanson-Young",Worcester Wolves Senior Men,"D. Antonio, E. Burgess, E. Yeboah, H. Ferreira, H. Godwin",1,688,11.5,22.2,16,5,16,31.2,3,4,75,3,4,75,5,11,16,1,1,0,9,3,23,9,20,45,3,5,60,2,3,66.7,1,7,8,9,6,0,2,3,21.9,22.3,73.2,103,-29.8,103,73.2,29.8,-7,10,2,20,2,0,0,4,3,75,10,4,40,3,0,0,5,3,60,4,4,0,1,0,2,0,0,7,5,0,0,7,16
Sheffield Sharks Senior Men,"D. Kom, H. Wildie, M. Tuck, O. Baldwin, S. Hanson-Young",Oxford Hoops Senior Men,"A. Marzec, J. Cummins, M. Hilsdon, O. Berzins, P. Wrencher Jr",1,742,12.4,21.2,23,10,28,35.7,2,10,20,1,1,100,7,8,15,4,3,1,1,3,21,9,19,47.4,3,6,50,0,1,0,3,11,14,4,1,1,4,1,21.9,20.5,104.8,102.3,2.5,102.3,104.8,-2.5,2,11,7,63.6,7,1,14.3,10,2,20,7,3,42.9,6,3,50,6,3,50,1,0,0,0,3,0,1,0,4,8,5,2,8,2
Birmingham City University Senior Men,"E. Nweke, M. Mahamoud, R. Faure-Daley, R. Oberia, S. Toluwase",Worcester Wolves Senior Men,"D. Antonio, E. Burgess, F. Rennie, H. Ferreira, W. Santhe",1,649,10.8,20.8,21,7,18,38.9,2,9,22.2,5,5,100,6,9,15,4,2,0,7,5,19,6,14,42.9,4,9,44.4,3,4,75,0,5,5,7,4,0,5,3,20.8,20.8,101.1,91.5,9.5,91.5,101.1,-9.5,2,7,5,71.4,2,0,0,9,2,22.2,0,0,0,5,2,40,9,4,44.4,2,4,0,1,4,1,0,0,4,4,3,0,2,5
Worcester Wolves Senior Men,"E. Burgess, E. Yeboah, G. Stergiopoulos, H. Ferreira, W. Santhe",Sheffield Arrows Senior Men,"D. Soares, H. Ibrahim, J. Paredes, K. Bagga, M. Ibrahim",1,606,10.1,20.7,20,8,21,38.1,0,5,0,4,5,80,5,10,15,2,3,0,3,7,21,7,17,41.2,4,9,44.4,3,6,50,3,9,12,3,1,0,3,3,21.2,20.2,94.2,104.1,-9.9,104.1,94.2,9.9,-1,9,5,55.6,7,3,42.9,5,0,0,4,3,75,4,0,0,9,4,44.4,1,2,0,0,2,1,0,0,10,5,4,2,7,2
