Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
A. Maitland,Barking Abbey Senior Men I,14/15,A. Maitland,"D. Orija, I. Warari, J. Mendes, K. Mabaya",1,8.1,3,1,3,33.3,1,3,33.3,0,0,0,0,0,0,0,0,1,0,1,3,0,3,3.0,25.8,111.6,107.4,4.2,50.0,50.0,0.0,0.0,0,0,0,0,0,0,3,1,33.3,0,0,0,0,3,0,0
A. Maitland,Barking Abbey Senior Men I,14/15,A. Maitland,"D. Orija, E. Tomking, M. Filho, R. Connolly",1,6.9,4,2,3,66.7,0,0,0,0,0,0,1,2,3,0,0,0,1,0,3,0,4,4.0,33.9,101.8,62.2,39.6,66.7,66.7,0.0,25.0,3,2,66.7,0,0,0,0,0,0,0,1,0,0,4,0,4
A. Maitland,Barking Abbey Senior Men I,14/15,A. Maitland,"E. Tomking, J. Mendes, K. Mabaya, M. Filho",1,6.4,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,1,1,0,0,0,1,2,2,2.0,16.8,109.1,100.7,8.4,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A. Maitland,Barking Abbey Senior Men I,14/15,A. Maitland,"E. Tomking, J. Mendes, M. Filho, R. Connolly",2,6.4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0.0,0.0,31.2,112.8,-81.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Maitland,Barking Abbey Senior Men I,14/15,A. Maitland,"J. Mendes, O. Anyanwu, R. Connolly, S. Dobson-Smith",2,6.0,3,1,3,33.3,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3.0,55.1,64.3,110.2,-45.8,50.0,50.0,0.0,0.0,0,0,0,1,0,0,2,1,50,0,0,0,0,0,0,0
A. Maitland,Barking Abbey Senior Men I,14/15,A. Maitland,"J. Mendes, K. Mabaya, M. Filho, R. Connolly",1,4.6,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,1,0,0,0,0,1,3,6,6.0,66.7,88.9,74.5,14.4,150.0,150.0,100.0,0.0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,3,0
A. Maitland,Barking Abbey Senior Men I,14/15,A. Maitland,"K. Mabaya, M. Filho, O. Anyanwu, R. Connolly",3,4.5,0,0,1,0.0,0,1,0.0,0,0,0,0,1,1,1,0,0,1,0,2,2,2,0.7,16.2,113.5,79.7,33.8,0.0,0.0,0,33.3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
A. Maitland,Barking Abbey Senior Men I,14/15,A. Maitland,"E. Tomking, K. Mabaya, M. Filho, O. Anyanwu",2,4.2,2,1,1,100.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,5,2.5,58.2,139.6,86.4,53.3,100.0,100.0,100.0,0.0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Maitland,Barking Abbey Senior Men I,14/15,A. Maitland,"D. Orija, E. Tomking, O. Anyanwu, R. Connolly",1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,7,7.0,88.3,88.3,82.0,6.3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Maitland,Barking Abbey Senior Men I,14/15,A. Maitland,"I. Warari, J. Mendes, L. Sayles, O. Anyanwu",2,3.9,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0.0,0.0,66.7,112.6,-45.9,0.0,0.0,0,50.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
