Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Newcastle Knights,"S. Trunley, J. Thames, H. Abdul, M. Jones, M. Matthews","Newcastle Knights|10,11,3,5,8",10,S. Trunley,3,H. Abdul,3,9,3,0,1,3.0,9.0
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, H. Abdul, M. Jones","Newcastle Knights|1,10,11,3,5",10,S. Trunley,3,H. Abdul,3,8,2,1,2,1.5,4.0
Milton Keynes Breakers,"D. Jackson, J. Dietrich, X. Wilson, J. Spencer, C. Thompson","Milton Keynes Breakers|1,12,21,23,8",23,J. Spencer,8,C. Thompson,2,6,2,0,1,2.0,6.0
Reading Rockets,"M. Bryant, C. Creek, J. Bouknight, E. Poorman, V. Olarerin","Reading Rockets|10,14,4,6,8",4,J. Bouknight,14,C. Creek,2,6,2,0,2,1.0,3.0
Essex Rebels,"K. Martin, M. Brown, A. Idiata-Mendez, T. Child, H. Gent","Essex Rebels|10,2,20,22,36",2,M. Brown,22,T. Child,2,6,2,0,1,2.0,6.0
Newcastle Knights,"S. Trunley, J. Thames, H. Abdul, M. Jones, M. Matthews","Newcastle Knights|10,11,3,5,8",8,M. Matthews,10,S. Trunley,2,6,2,0,1,2.0,6.0
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, H. Abdul, M. Jones","Newcastle Knights|1,10,11,3,5",11,J. Thames,3,H. Abdul,2,6,2,0,2,1.0,3.0
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, H. Abdul, M. Jones","Newcastle Knights|1,10,11,3,5",11,J. Thames,10,S. Trunley,2,6,2,0,2,1.0,3.0
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, H. Abdul, M. Jones","Newcastle Knights|1,10,11,3,5",5,M. Jones,3,H. Abdul,2,6,2,0,2,1.0,3.0
Bristol Hurricanes,"E. Dusha, K. Hill, D. Ubiaro, V. Dilys","Bristol Hurricanes|12,2,31,55",12,E. Dusha,2,K. Hill,2,6,2,0,1,2.0,6.0
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, W. Neighbour, M. Jones","Newcastle Knights|1,10,11,15,5",1,B. Dean,11,J. Thames,2,5,1,1,1,2.0,5.0
Reading Rockets,"L. Sayles, C. Creek, J. Bouknight, E. Poorman, V. Olarerin","Reading Rockets|11,14,4,6,8",6,E. Poorman,8,V. Olarerin,2,5,1,1,1,2.0,5.0
Reading Rockets,"M. Bryant, C. Creek, J. Bouknight, E. Poorman, V. Olarerin","Reading Rockets|10,14,4,6,8",14,C. Creek,8,V. Olarerin,2,4,0,2,1,2.0,4.0
Reading Rockets,"M. Bryant, C. Creek, J. Bouknight, E. Poorman, V. Olarerin","Reading Rockets|10,14,4,6,8",14,C. Creek,6,E. Poorman,2,4,0,2,2,1.0,2.0
Derby Trailblazers,"C. Washington, J. Pathmarajah, S. Walker, R. Marsden, C. Brown","Derby Trailblazers|13,22,3,30,4",4,C. Brown,3,S. Walker,2,4,0,2,1,2.0,4.0
Newcastle Knights,"S. Trunley, J. Thames, H. Abdul, M. Jones, M. Matthews","Newcastle Knights|10,11,3,5,8",5,M. Jones,11,J. Thames,2,4,0,2,1,2.0,4.0
Loughborough Riders,"J. Campbell, M. Joiner, J. Cook, M. Gordon, B. Woog","Loughborough Riders|0,11,12,22,7",11,M. Joiner,12,J. Cook,2,4,0,2,2,1.0,2.0
Derby Trailblazers,"J. Pathmarajah, S. Walker, C. Brown, R. May-Thompson, M. Smith","Derby Trailblazers|22,3,4,7,9",4,C. Brown,3,S. Walker,2,4,0,2,2,1.0,2.0
Yorkshire Dragons,"J. Whelan, L. Rooney, J. Melke, A. Lycoudis, C. Johnson","Yorkshire Dragons|23,3,5,7,9",7,A. Lycoudis,3,L. Rooney,2,4,0,2,1,2.0,4.0
Derby Trailblazers,"C. Washington, J. Pathmarajah, R. Marsden, C. Brown, M. Smith","Derby Trailblazers|13,22,30,4,9",4,C. Brown,9,M. Smith,2,4,0,2,1,2.0,4.0
Milton Keynes Breakers,"B. Baker-Mccann, M. New Jr, X. Wilson, B. Freckleton, D. Jackson","Milton Keynes Breakers|11,15,21,7,9",21,X. Wilson,11,B. Baker-Mccann,1,3,1,0,1,1.0,3.0
Milton Keynes Breakers,"C. Thompson, B. Baker-Mccann, M. New Jr, B. Freckleton, D. Jackson","Milton Keynes Breakers|10,11,15,7,9",11,B. Baker-Mccann,10,C. Thompson,1,3,1,0,1,1.0,3.0
Milton Keynes Breakers,"C. Thompson, B. Baker-Mccann, M. New Jr, B. Freckleton, D. Jackson","Milton Keynes Breakers|10,11,15,7,9",9,D. Jackson,15,M. New Jr,1,3,1,0,1,1.0,3.0
Milton Keynes Breakers,"C. Thompson, J. Dietrich, X. Wilson, J. Spencer, D. Jackson","Milton Keynes Breakers|10,12,21,23,9",9,D. Jackson,23,J. Spencer,1,3,1,0,1,1.0,3.0
Reading Rockets,"M. Bryant, C. Creek, J. Bouknight, M. Allman, V. Olarerin","Reading Rockets|10,14,4,5,8",4,J. Bouknight,14,C. Creek,1,3,1,0,1,1.0,3.0
Birmingham Rockets,"R. Blain, Z. Powell, E. Donaldson, L. Mcgregor, M. Gayle","Birmingham Rockets|0,14,3,6,8",8,M. Gayle,14,Z. Powell,1,3,1,0,1,1.0,3.0
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, M. Jones, M. Matthews","Newcastle Knights|1,10,11,5,8",1,B. Dean,10,S. Trunley,1,3,1,0,1,1.0,3.0
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, J. Soodeen, M. Jones","Newcastle Knights|1,10,11,12,5",11,J. Thames,10,S. Trunley,1,3,1,0,1,1.0,3.0
Milton Keynes Breakers,"D. Jackson, J. Dietrich, X. Wilson, J. Spencer, C. Thompson","Milton Keynes Breakers|1,12,21,23,8",21,X. Wilson,8,C. Thompson,1,3,1,0,1,1.0,3.0
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, W. Neighbour, M. Jones","Newcastle Knights|1,10,11,15,5",11,J. Thames,10,S. Trunley,1,3,1,0,1,1.0,3.0
Derby Trailblazers,"J. Pathmarajah, S. Walker, C. Brown, E. Oliver, R. May-Thompson","Derby Trailblazers|22,3,4,6,7",22,J. Pathmarajah,6,E. Oliver,1,3,1,0,1,1.0,3.0
Bristol Hurricanes,"D. Edozie, E. Dusha, D. Ubiaro, C. Samuels, V. Dilys","Bristol Hurricanes|1,12,31,4,55",4,C. Samuels,12,E. Dusha,1,3,1,0,1,1.0,3.0
Nottingham Hoods,"T. Williams, M. Savery-Richards, L. Maitland, D. Nixon Ii, E. Bailey","Nottingham Hoods|1,14,23,24,6",24,D. Nixon Ii,1,T. Williams,1,3,1,0,1,1.0,3.0
Derby Trailblazers,"J. Pathmarajah, S. Walker, H. Beverley Jr, E. Oliver, R. May-Thompson","Derby Trailblazers|22,3,5,6,7",3,S. Walker,6,E. Oliver,1,3,1,0,1,1.0,3.0
London Cavaliers,"J. Manning, M. Collins, M. Beasley, D. Braster, D. Ainembabazi","London Cavaliers|10,13,15,23,3",10,J. Manning,15,M. Beasley,1,3,1,0,1,1.0,3.0
London Cavaliers,"J. Manning, M. Collins, D. Braster, D. Ainembabazi, A. Roberts","London Cavaliers|10,13,23,3,4",10,J. Manning,3,D. Ainembabazi,1,3,1,0,1,1.0,3.0
London Cavaliers,"J. Manning, M. Collins, M. Beasley, D. Braster, A. Roberts","London Cavaliers|10,13,15,23,4",23,D. Braster,10,J. Manning,1,3,1,0,1,1.0,3.0
Essex Rebels,"M. Amako, K. Martin, M. Brown, A. Idiata-Mendez, H. Gent","Essex Rebels|1,10,2,20,36",10,K. Martin,1,M. Amako,1,3,1,0,1,1.0,3.0
Hemel Storm,"K. Walker, T. Johnson, M. Norman, B. Inger, S. Newman","Hemel Storm|11,12,2,3,4",12,T. Johnson,11,K. Walker,1,3,1,0,1,1.0,3.0
Hemel Storm,"K. Walker, T. Johnson, M. Norman, B. Inger, S. Newman","Hemel Storm|11,12,2,3,4",4,S. Newman,3,B. Inger,1,3,1,0,1,1.0,3.0
Yorkshire Dragons,"D. Ulph, L. Rooney, J. Melke, C. Johnson, N. Lewis","Yorkshire Dragons|10,14,5,9,93",10,D. Ulph,9,C. Johnson,1,3,1,0,1,1.0,3.0
Nottingham Hoods,"D. Nixon Ii, B. Johnson, A. Sandu-Nelson, L. Maitland, M. Savery-Richards","Nottingham Hoods|12,25,5,55,8",5,A. Sandu-Nelson,55,L. Maitland,1,3,1,0,1,1.0,3.0
Derby Trailblazers,"J. Pathmarajah, R. Marsden, C. Brown, E. Oliver, R. May-Thompson","Derby Trailblazers|22,30,4,6,7",6,E. Oliver,4,C. Brown,1,3,1,0,1,1.0,3.0
Nottingham Hoods,"D. Nixon Ii, E. Bailey, S. Akano, M. Savery-Richards, T. Williams","Nottingham Hoods|12,6,7,8,9",9,T. Williams,12,D. Nixon Ii,1,3,1,0,1,1.0,3.0
Bristol Hurricanes,"D. Edozie, J. Claar, D. Ubiaro, C. Samuels, V. Dilys","Bristol Hurricanes|1,24,31,4,55",4,C. Samuels,24,J. Claar,1,3,1,0,1,1.0,3.0
Loughborough Riders,"M. Joiner, P. Karras, M. Gordon, J. Cook, L. Campbell","Loughborough Riders|11,15,22,31,4",11,M. Joiner,4,L. Campbell,1,3,1,0,1,1.0,3.0
Essex Rebels,"M. Amako, K. Martin, M. Brown, A. Idiata-Mendez, T. Child","Essex Rebels|1,10,2,20,22",1,M. Amako,22,T. Child,1,3,1,0,1,1.0,3.0
Essex Rebels,"M. Amako, K. Martin, M. Brown, T. Child, T. Hudson","Essex Rebels|1,10,2,22,9",2,M. Brown,22,T. Child,1,3,1,0,1,1.0,3.0
Loughborough Riders,"J. Campbell, M. Joiner, P. Karras, M. Gordon, J. Cook","Loughborough Riders|0,11,15,22,31",22,M. Gordon,0,J. Campbell,1,3,1,0,1,1.0,3.0
Milton Keynes Breakers,"D. Jackson, M. New Jr., X. Wilson, J. Spencer, C. Thompson","Milton Keynes Breakers|1,15,21,23,8",23,J. Spencer,15,M. New Jr.,1,3,1,0,1,1.0,3.0
Reading Rockets,"M. Bryant, C. Creek, E. Poorman, L. Champion, V. Olarerin","Reading Rockets|10,14,6,7,8",10,M. Bryant,14,C. Creek,1,3,1,0,1,1.0,3.0
Reading Rockets,"M. Bryant, C. Creek, J. Bouknight, E. Poorman, V. Olarerin","Reading Rockets|10,14,4,6,8",10,M. Bryant,8,V. Olarerin,1,3,1,0,1,1.0,3.0
Milton Keynes Breakers,"D. Jackson, B. Baker-Mccann, M. New Jr., X. Wilson, J. Spencer","Milton Keynes Breakers|1,11,15,21,23",23,J. Spencer,21,X. Wilson,1,3,1,0,1,1.0,3.0
Essex Rebels,"K. Martin, M. Brown, A. Idiata-Mendez, T. Child, T. Hudson","Essex Rebels|10,2,20,22,9",2,M. Brown,22,T. Child,1,3,1,0,1,1.0,3.0
Birmingham Rockets,"R. Blain, O. Jackman, Z. Powell, F. Mughaal, M. Gayle","Birmingham Rockets|0,13,14,7,8",14,Z. Powell,7,F. Mughaal,1,3,1,0,1,1.0,3.0
Essex Rebels,"K. Martin, R. Udeh, M. Brown, T. Child, T. Hudson","Essex Rebels|10,14,2,22,9",2,M. Brown,10,K. Martin,1,3,1,0,1,1.0,3.0
Essex Rebels,"K. Martin, R. Udeh, M. Brown, T. Child, T. Hudson","Essex Rebels|10,14,2,22,9",10,K. Martin,22,T. Child,1,3,1,0,1,1.0,3.0
Bristol Flyers II,"Y. Hafid, J. Craggs, R. Eigbe, N. Ladjimi, G. Landolfi","Bristol Flyers II|0,12,13,24,7",12,J. Craggs,13,R. Eigbe,1,3,1,0,1,1.0,3.0
