Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
London Cavaliers,"J. Manning, M. Collins, M. Beasley, D. Braster, A. Roberts",16,15189,585,229,453,50.6,74,169,43.8,53,91,58.2,85,201,286,121,33,23,83,75,471,73.8,74.5,73.1,32.2,32.8,58.7,59.3,52.8,35.6,74.2,11.9,20.1,37.3,124.1,520,203,466,43.6,69,200,34.5,45,63,71.4,70,154,224,113,40,14,58,89,462,51,52.7,10.5,25.8,42.9,112.4,11.7,205,122,59.5,78,32,41,169,74,43.8,41,19,6,17,197,109,55.3,69,25,36.2,200,69,34.5,30,17,3,8
Birmingham Rockets,"R. Blain, Z. Powell, L. Okosieme, E. Donaldson, L. Mcgregor",15,10622,347,136,294,46.3,28,80,35,47,82,57.3,52,143,195,81,35,23,68,55,332,75,75.1,75,32.0,32.0,51,52.6,59.6,29.1,72.6,14.2,27.9,27.2,104.4,334,126,317,39.7,50,138,36.2,32,49,65.3,54,127,181,74,41,12,61,76,331,47.6,49.3,15.3,27.4,43.5,100.7,3.8,148,85,57.4,66,23,34.8,80,28,35,33,25,1,9,120,56,46.7,59,20,33.9,138,50,36.2,27,20,2,12
Milton Keynes Breakers,"D. Jackson, J. Dietrich, X. Wilson, J. Spencer, C. Thompson",12,8133,306,120,255,47.1,33,94,35.1,33,50,66,50,106,156,84,25,16,36,42,252,74.7,74.5,74.8,32.2,32.1,53.5,55.2,70,35.2,72.1,9.1,19.6,36.9,121.2,251,95,235,40.4,36,100,36,25,39,64.1,41,92,133,61,26,12,53,52,253,48.1,49.8,17.4,27.9,42.6,99,22.2,117,71,60.7,43,16,37.2,94,33,35.1,22,10,1,3,84,45,53.6,48,11,22.9,100,36,36,26,17,1,9
Yorkshire Dragons,"D. Ulph, J. Whelan, J. Mielke, C. Johnson, N. Lewis",7,7126,304,111,234,47.4,36,96,37.5,46,65,70.8,39,90,129,54,35,7,29,56,242,82,81.7,82.4,29.4,29.1,55.1,57.9,48.6,30.2,72.6,8.4,27.8,41,125.4,246,86,202,42.6,29,81,35.8,45,63,71.4,34,90,124,48,19,10,59,62,244,49.8,53.5,20.4,27.4,40.1,100.6,24.8,120,71,59.2,18,4,22.2,96,36,37.5,14,9,0,6,80,48,60,41,9,22,81,29,35.8,23,22,1,13
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, H. Abdul, M. Jones",7,7662,289,104,226,46,44,118,37.3,37,50,74,35,83,118,66,24,7,33,40,236,75,74,76,32.4,31.6,55.8,58.3,63.5,28.5,68,9.5,22.1,52.2,122.4,262,104,216,48.1,22,84,26.2,32,52,61.5,39,88,127,57,18,7,53,45,242,53.2,54.8,18.2,32,38.9,107.9,14.5,67,39,58.2,41,21,51.2,118,44,37.3,16,13,0,4,91,66,72.5,41,16,39,84,22,26.2,23,20,3,7
Worthing Thunder,"M. Bryan-Amaning, J. Hopkins, E. Maynard, A. Scarborough, E. Dadds",12,5378,200,72,164,43.9,14,40,35,42,62,67.7,34,77,111,40,20,4,33,35,182,80.2,81.5,78.9,29.4,30.4,48.2,52.3,55.6,33.7,70,12.5,37.8,24.4,109.5,150,61,164,37.2,16,64,25,12,30,40,33,67,100,38,21,6,40,48,176,42.1,42.3,18.4,30,39,84.8,24.7,95,47,49.5,28,10,35.7,40,14,35,11,14,1,7,69,38,55.1,31,7,22.6,64,16,25,12,18,3,7
Derby Trailblazers,"C. Washington, J. Pathmarajah, S. Walker, C. Brown, R. May-Thompson",9,5466,232,90,172,52.3,23,53,43.4,29,44,65.9,32,68,100,55,26,7,28,29,179,78.3,79,77.6,30.4,30.9,59,60.6,61.1,34,81.9,10.2,25.6,30.8,129,190,74,151,49,25,53,47.2,17,25,68,15,62,77,48,19,4,37,40,176,57.3,58.6,18.6,18.1,35.1,107.6,21.4,82,53,64.6,37,14,37.8,53,23,43.4,9,15,2,2,63,39,61.9,35,10,28.6,53,25,47.2,12,17,1,7
Hemel Storm,"D. Nelson-Henry, K. Walker, S. Lewis, M. Norman, S. Newman",7,5190,192,76,142,53.5,17,56,30.4,23,31,74.2,12,58,70,56,21,5,32,34,168,77.5,78,77,30.8,31.2,59.5,61.7,73.7,17.1,65.9,13.1,21.8,39.4,113.9,191,72,157,45.9,19,49,38.8,28,33,84.8,30,58,88,38,18,8,32,41,166,51.9,55.7,15.7,34.1,31.2,114.7,-0.8,78,59,75.6,8,0,0,56,17,30.4,7,19,2,4,72,43,59.7,36,10,27.8,49,19,38.8,16,8,0,8
Loughborough Riders,"J. Campbell, C. Nyarko, M. Gordon, J. Cook, T. Akinsuku",7,4869,177,66,143,46.2,27,64,42.2,18,31,58.1,21,65,86,46,20,11,35,37,163,78.7,80.7,76.7,29.7,31.3,55.6,56.5,69.7,25,65.7,14.7,21.7,44.8,108,166,65,152,42.8,13,42,31,23,39,59,34,63,97,37,20,8,27,26,155,47,49.1,13.8,34.3,27.6,106.6,1.4,62,36,58.1,17,3,17.6,64,27,42.2,16,15,0,4,83,42,50.6,27,10,37,42,13,31,15,10,1,1
Worthing Thunder,"M. Bryan-Amaning, J. Hopkins, E. Maynard, B. Adeluola, E. Dadds",13,4708,161,56,130,43.1,10,33,30.3,39,55,70.9,15,60,75,27,12,3,27,29,159,80.1,81.3,78.8,29.5,30.5,46.9,52.2,48.2,18.3,69,13,42.3,25.4,100.9,186,75,155,48.4,22,56,39.3,14,25,56,27,67,94,51,12,4,22,46,154,55.5,56,11.7,31,36.1,120.3,-19.4,65,36,55.4,32,10,31.2,33,10,30.3,11,10,1,5,72,47,65.3,27,6,22.2,56,22,39.3,5,10,0,7
