Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Leicester Riders,"Donald Carey Jr, Marc Loving, Spencer Johnson, Raequan Battle, Nathaniel Martin","Leicester Riders|13,2,20,21,41",13,Donald Carey Jr,21,Raequan Battle,5,14,4,1,2,2.5,7.0
Leicester Riders,"Donald Carey Jr, Marc Loving, Spencer Johnson, Raequan Battle, Nathaniel Martin","Leicester Riders|13,2,20,21,41",13,Donald Carey Jr,20,Spencer Johnson,3,7,1,2,2,1.5,3.5
Surrey 89ers,"Isiah Small, Tyrin Lawrence, Kino Lily Jr, Michael Graham, Ronald Polite Iii","Surrey 89ers|0,10,12,21,7",12,Kino Lily Jr,0,Isiah Small,3,7,1,2,1,3.0,7.0
Leicester Riders,"Donald Carey Jr, Marc Loving, Spencer Johnson, Raequan Battle, Nathaniel Martin","Leicester Riders|13,2,20,21,41",20,Spencer Johnson,2,Marc Loving,3,7,1,2,2,1.5,3.5
Caledonia Gladiators,"Daniel Carr, Charles Jet Speelman, Matthew Ragsdale, Kyle Jimenez, Fraser Malcolm","Caledonia Gladiators|14,22,24,6,7",6,Kyle Jimenez,22,Charles Jet Speelman,3,7,1,2,1,3.0,7.0
Newcastle Eagles,"Cole Long, Ray'sean Taylor, Mitch Clarke, Deion Hammond, Gus Okafor","Newcastle Eagles|15,3,41,8,99",41,Mitch Clarke,8,Deion Hammond,2,6,2,0,2,1.0,3.0
London Lions,"Chaundee Brown Jr, Karolis Lukosiunas, Tarik Phillip, Deane Williams, Shavar Reynolds Jr","London Lions|15,16,22,31,33",33,Shavar Reynolds Jr,31,Deane Williams,2,6,2,0,1,2.0,6.0
Cheshire Phoenix,"Patrick Robinson, Michael Diggins, Laquincy Rideau, Frankie Policelli, Skyler White","Cheshire Phoenix|13,2,3,5,99",13,Patrick Robinson,5,Frankie Policelli,2,6,2,0,1,2.0,6.0
B. Braun Sheffield Sharks,"Dirk Williams, Jalen Deloach, Rodney Chatman Iii, Mervin James, Jordan Ratinho","B. Braun Sheffield Sharks|1,23,3,5,9",5,Mervin James,1,Dirk Williams,2,6,2,0,1,2.0,6.0
Cheshire Phoenix,"Patrick Robinson, Jaxon Brenchley, Matthew Zona, Frankie Policelli, Damiri Lindo","Cheshire Phoenix|13,23,24,5,9",13,Patrick Robinson,5,Frankie Policelli,2,6,2,0,1,2.0,6.0
Cheshire Phoenix,"Michael Diggins, Jaxon Brenchley, Laquincy Rideau, Frankie Policelli, Skyler White","Cheshire Phoenix|2,23,3,5,99",3,Laquincy Rideau,5,Frankie Policelli,2,6,2,0,1,2.0,6.0
Cheshire Phoenix,"Michael Diggins, Jaxon Brenchley, Laquincy Rideau, Frankie Policelli, Skyler White","Cheshire Phoenix|2,23,3,5,99",3,Laquincy Rideau,99,Skyler White,2,6,2,0,1,2.0,6.0
B. Braun Sheffield Sharks,"Dirk Williams, Jalen Deloach, Rodney Chatman Iii, Mervin James, Jordan Ratinho","B. Braun Sheffield Sharks|1,23,3,5,9",1,Dirk Williams,23,Jalen Deloach,3,6,0,3,2,1.5,3.0
B. Braun Sheffield Sharks,"Rodney Glasgow Jr, Mike Ochereobia, Prentiss Nixon, Rodney Chatman Iii, William Lee","B. Braun Sheffield Sharks|11,15,2,3,4",2,Prentiss Nixon,3,Rodney Chatman Iii,2,6,2,0,1,2.0,6.0
Caledonia Gladiators,"Totonitoluwa Fagbenle, Charles Jet Speelman, Matthew Ragsdale, Lloyd Alvin Bryan Jr, Kyle Jimenez","Caledonia Gladiators|11,22,24,56,6",6,Kyle Jimenez,56,Lloyd Alvin Bryan Jr,3,6,0,3,1,3.0,6.0
Caledonia Gladiators,"Totonitoluwa Fagbenle, Charles Jet Speelman, Matthew Ragsdale, Lloyd Alvin Bryan Jr, Kyle Jimenez","Caledonia Gladiators|11,22,24,56,6",6,Kyle Jimenez,24,Matthew Ragsdale,2,6,2,0,1,2.0,6.0
Caledonia Gladiators,"Daniel Carr, Charles Jet Speelman, Matthew Ragsdale, Kyle Jimenez, Fraser Malcolm","Caledonia Gladiators|14,22,24,6,7",6,Kyle Jimenez,7,Fraser Malcolm,2,6,2,0,1,2.0,6.0
Cheshire Phoenix,"Tobias Cameron, Jaxon Brenchley, Matthew Zona, Laquincy Rideau, Frankie Policelli","Cheshire Phoenix|11,23,24,3,5",3,Laquincy Rideau,5,Frankie Policelli,2,6,2,0,1,2.0,6.0
London Lions,"Jonathan Williams, Aaryn Rai, Deane Williams, Shavar Reynolds Jr, Amin Adamu","London Lions|13,21,31,33,5",33,Shavar Reynolds Jr,31,Deane Williams,2,6,2,0,1,2.0,6.0
Bristol Flyers,"Owen Mccormack, Joseph Anderson, William Yoakum, Pasquale Landolfi, Darnell Brodie","Bristol Flyers|13,22,3,40,51",22,Joseph Anderson,13,Owen Mccormack,2,6,2,0,2,1.0,3.0
London Lions,"Ethan Price, Chasson Jermar Randle, Aaryn Rai, Deane Williams, Shavar Reynolds Jr","London Lions|10,2,21,31,33",31,Deane Williams,2,Chasson Jermar Randle,2,6,2,0,1,2.0,6.0
Leicester Riders,"Donald Carey Jr, Marc Loving, Spencer Johnson, Raequan Battle, Nathaniel Martin","Leicester Riders|13,2,20,21,41",41,Nathaniel Martin,21,Raequan Battle,2,5,1,1,2,1.0,2.5
Leicester Riders,"Donald Carey Jr, Marc Loving, Spencer Johnson, Raequan Battle, Nathaniel Martin","Leicester Riders|13,2,20,21,41",13,Donald Carey Jr,2,Marc Loving,2,5,1,1,2,1.0,2.5
