Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
Leicester Riders,"Donald Carey Jr, Marc Loving, Nathaniel Martin, Raequan Battle, Spencer Johnson",Surrey 89ers,"Isiah Small, Kino Lily Jr, Michael Graham, Ronald Polite Iii, Tyrin Lawrence",1,604,10.1,20.2,23,9,15,60,4,6,66.7,1,2,50,0,6,6,7,2,0,4,7,25,8,15,53.3,1,7,14.3,8,8,100,1,7,8,6,1,0,3,3,19.9,20.4,115.7,122.2,-6.6,122.2,115.7,6.6,-2,4,2,50,5,3,60,6,4,66.7,6,5,83.3,2,2,100,7,1,14.3,4,0,0,0,2,1,0,0,0,6,6,0,13,6
Leicester Riders,"Donald Carey Jr, Marc Loving, Nathaniel Martin, Raequan Battle, Spencer Johnson",Manchester Basketball,"Gabriel Osbuhein, Kaiyem Cleary, Max Jones, Oluwaseyi Adetukasi, Patrick Smith Jr",1,511,8.5,17.2,8,3,9,33.3,2,3,66.7,0,1,0,0,8,8,2,0,0,6,0,25,11,20,55,3,7,42.9,0,0,0,1,6,7,7,6,1,0,4,15.4,18.9,51.8,132.1,-80.3,132.1,51.8,80.3,-17,4,1,25,2,0,0,3,2,66.7,12,8,66.7,1,0,0,7,3,42.9,1,5,0,0,0,0,0,0,0,2,0,3,8,10
Manchester Basketball,"Matthew Nicholson, Max Jones, Oluwaseyi Adetukasi, Patrick Smith Jr, Zak Irvin",Bristol Flyers,"Cameron Holden, Darnell Brodie, Joseph Anderson, William Yoakum, Zachary Anderson",1,540,9.0,16.9,19,8,16,50,3,7,42.9,0,0,0,2,10,12,2,2,0,3,3,12,5,15,33.3,1,5,20,1,2,50,1,6,7,2,1,0,2,1,16.9,16.9,112.7,71,41.7,71,112.7,-41.7,7,4,3,75,5,2,40,7,3,42.9,5,1,20,5,3,60,5,1,20,1,1,0,1,1,1,0,0,2,3,2,1,5,2
Bristol Flyers,"Joseph Anderson, Milos Dugalic, Owen Mccormack, William Yoakum, Zachary Anderson",London Lions,"Amin Adamu, Deane Williams, Jonathan Williams, Kameron Mcgusty, Ryan Mikesell",1,535,8.9,15.1,14,4,13,30.8,2,8,25,4,4,100,3,5,8,4,4,0,4,1,11,4,11,36.4,1,5,20,2,2,100,2,6,8,2,3,2,5,7,15.6,14.7,90,74.6,15.4,74.6,90,-15.4,3,3,1,33.3,2,1,50,8,2,25,6,3,50,0,0,0,5,1,20,2,2,0,0,1,3,0,1,3,0,6,2,0,4
B. Braun Sheffield Sharks,"Dirk Williams, Jalen Deloach, Jordan Ratinho, Mervin James, Rodney Chatman Iii",Caledonia Gladiators,"Charles Jet Speelman, Kyle Jimenez, Lloyd Alvin Bryan Jr, Matthew Ragsdale, Totonitoluwa Fagbenle",1,497,8.3,14.8,23,10,13,76.9,1,2,50,2,2,100,1,3,4,6,1,0,3,2,18,8,13,61.5,2,4,50,0,0,0,2,2,4,5,1,0,3,1,15.8,13.9,145.5,129.9,15.6,129.9,145.5,-15.6,5,9,8,88.9,2,1,50,2,1,50,3,2,66.7,6,4,66.7,4,2,50,0,3,0,0,1,1,1,0,2,4,6,2,2,5
B. Braun Sheffield Sharks,"Dirk Williams, Jalen Deloach, Jordan Ratinho, Mervin James, Rodney Chatman Iii",Cheshire Phoenix,"Frankie Policelli, Laquincy Rideau, Michael Diggins, Patrick Robinson, Skyler White",1,373,6.2,12.6,12,4,11,36.4,1,4,25,3,4,75,3,7,10,4,0,0,2,2,17,6,12,50,3,6,50,2,3,66.7,0,5,5,4,0,2,0,5,12.0,13.3,100.4,127.6,-27.2,127.6,100.4,27.2,-5,5,2,40,2,1,50,4,1,25,5,3,60,1,0,0,6,3,50,0,0,0,2,0,0,0,0,7,1,0,0,3,2
B. Braun Sheffield Sharks,"Dirk Williams, Jordan Ratinho, Mervin James, Nick Kern Jr, Prentiss Nixon",Caledonia Gladiators,"Charles Jet Speelman, Daniel Carr, Fraser Malcolm, Kyle Jimenez, Matthew Ragsdale",1,310,5.2,11.7,17,7,11,63.6,2,5,40,1,1,100,1,5,6,7,3,0,2,0,4,2,7,28.6,0,5,0,0,0,0,0,3,3,1,0,0,4,1,12.4,11.0,137.4,36.4,101.1,36.4,137.4,-101.1,13,4,4,100,2,1,50,5,2,40,1,1,100,1,1,100,5,0,0,0,0,0,2,0,3,1,0,2,7,4,0,0,2
Cheshire Phoenix,"Jaxon Brenchley, Laquincy Rideau, Patrick Robinson, Skyler White, Tobias Cameron",Newcastle Eagles,"Cole Long, Gus Okafor, Maceo Jack, Mitch Clarke, Terrell Burden Jr",1,296,4.9,11.1,11,4,9,44.4,1,3,33.3,2,2,100,1,4,5,2,1,1,2,5,15,5,9,55.6,2,5,40,3,3,100,0,4,4,2,1,1,1,1,10.8,11.3,101.8,132.5,-30.8,132.5,101.8,30.8,-4,4,3,75,2,0,0,3,1,33.3,2,1,50,2,2,100,5,2,40,1,0,0,1,0,1,0,0,2,5,2,0,2,0
Manchester Basketball,"Kaiyem Cleary, Matthew Nicholson, Max Jones, Oluwaseyi Adetukasi, Patrick Smith Jr",Surrey 89ers,"Haydn Ling, Isiah Small, Kino Lily Jr, Ronald Polite Iii, Tyrin Lawrence",1,329,5.5,10.9,13,6,11,54.5,1,2,50,0,0,0,2,4,6,3,1,0,2,1,11,5,9,55.6,1,1,100,0,0,0,0,3,3,2,1,1,2,1,10.9,11.0,119.7,100,19.7,100,119.7,-19.7,2,7,4,57.1,2,1,50,2,1,50,4,2,50,4,2,50,1,1,100,1,1,0,0,1,1,0,0,4,2,2,0,5,0
Cheshire Phoenix,"Frankie Policelli, Jaxon Brenchley, Laquincy Rideau, Michael Diggins, Skyler White",London Lions,"Aaryn Rai, Chaundee Brown Jr, Deane Williams, Shavar Reynolds Jr, Tarik Phillip",1,362,6.0,10.5,20,8,15,53.3,3,7,42.9,1,1,100,4,4,8,2,2,0,0,2,6,3,8,37.5,0,3,0,0,0,0,1,3,4,1,0,0,3,2,11.2,9.9,179.2,60.4,118.8,60.4,179.2,-118.8,14,7,4,57.1,1,1,100,7,3,42.9,3,2,66.7,2,1,50,3,0,0,0,0,0,0,0,2,0,1,2,5,8,0,0,0
