Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Leicester Riders,"Donald Carey Jr, Marc Loving, Nathaniel Martin, Raequan Battle, Spencer Johnson",2,2285,19.1,93,31,58,53.4,15,28,53.6,16,20,80,3,28,31,26,6,1,12,15,76,79.7,79.5,79.9,30.2,30.0,66.4,69.6,83.9,10.7,90.3,11.5,34.5,48.3,122.8,92,36,66,54.5,9,27,33.3,11,14,78.6,3,25,28,24,8,1,7,18,76,61.4,63.7,8.8,9.7,40.9,121,15,8,53.3,15,8,53.3,28,15,53.6,6,6,0,0,1.9,28,19,67.9,11,8,72.7,27,9,33.3,4,3,0,0,5,22,14,5,31,20
B. Braun Sheffield Sharks,"Dirk Williams, Jalen Deloach, Jordan Ratinho, Mervin James, Rodney Chatman Iii",3,1592,19.9,63,22,39,56.4,7,13,53.8,12,19,63.2,4,19,23,18,2,1,6,12,50,73.9,75.5,72.3,31.8,33.2,65.4,66.5,81.8,18.2,82.6,8.4,48.7,33.3,125.9,58,23,45,51.1,7,18,38.9,5,7,71.4,4,18,22,15,1,4,4,12,48,58.9,60.3,7.7,17.4,40,120.9,18,12,66.7,8,3,37.5,13,7,53.8,1,3,0,2,5,18,11,61.1,9,5,55.6,18,7,38.9,1,2,1,0,9,12,6,2,9,7
Newcastle Eagles,"Cole Long, Gus Okafor, Maceo Jack, Mitch Clarke, Ray'sean Taylor",4,1237,0.0,50,16,27,59.3,5,11,45.5,13,21,61.9,2,16,18,3,3,0,13,14,48,91,92.3,89.7,26.0,26.8,68.5,69,18.8,14.3,59.3,24.9,77.8,40.7,105.1,55,17,43,39.5,4,14,28.6,17,24,70.8,11,12,23,5,7,0,4,15,46,44.2,51.3,6.9,40.7,32.6,119,6,4,66.7,10,7,70,11,5,45.5,5,3,1,4,-13.8,14,10,71.4,15,3,20,14,4,28.6,1,2,0,1,2,21,1,14,10,13
Manchester Basketball,"Kaiyem Cleary, Matthew Nicholson, Max Jones, Oluwaseyi Adetukasi, Patrick Smith Jr",4,1460,14.8,52,21,42,50,7,14,50,3,4,75,6,15,21,12,5,4,9,7,46,76.7,75.6,77.7,31.7,30.9,58.3,59.4,57.1,30,75,13.9,9.5,33.3,113,53,23,43,53.5,3,6,50,4,6,66.7,5,14,19,12,4,2,7,8,47,57,58.1,13.3,25,14,112.1,20,10,50,8,4,50,14,7,50,4,1,1,3,0.9,21,10,47.6,16,10,62.5,6,3,50,4,3,0,0,7,12,8,4,17,8
Cheshire Phoenix,"Frankie Policelli, Jaxon Brenchley, Laquincy Rideau, Michael Diggins, Skyler White",2,1225,9.2,60,23,40,57.5,9,19,47.4,5,8,62.5,6,10,16,10,5,1,3,11,40,73.6,79.3,67.9,30.3,35.3,68.8,68.9,43.5,33.3,55.6,5.3,20,47.5,148.3,30,13,30,43.3,2,11,18.2,2,4,50,8,12,20,8,0,1,11,9,35,46.7,47.2,25.7,44.4,36.7,86.5,18,12,66.7,3,2,66.7,19,9,47.4,1,1,0,1,61.8,13,9,69.2,6,2,33.3,11,2,18.2,2,5,1,3,9,21,15,5,4,3
Cheshire Phoenix,"Frankie Policelli, Laquincy Rideau, Michael Diggins, Patrick Robinson, Skyler White",3,1069,12.0,44,15,36,41.7,6,18,33.3,8,12,66.7,4,14,18,9,3,2,1,8,38,83,85.8,80.2,28.0,29.9,50,53.3,60,18.2,77.8,2,33.3,50,115.2,37,15,32,46.9,4,11,36.4,3,4,75,4,18,22,11,0,1,6,7,36,53.1,54.8,15.1,22.2,34.4,103.6,12,6,50,6,3,50,18,6,33.3,0,0,0,1,11.6,12,7,58.3,9,4,44.4,11,4,36.4,2,1,0,3,9,16,9,7,3,0
Bristol Flyers,"Cameron Holden, Darnell Brodie, Joseph Anderson, William Yoakum, Zachary Anderson",4,1135,11.0,26,10,27,37,4,10,40,2,3,66.7,2,10,12,4,2,0,9,7,35,71.3,74.4,68.3,32.3,35.1,44.4,45.9,40,11.8,83.3,21.8,11.1,37,73.9,32,14,26,53.8,3,10,30,1,1,100,2,15,17,4,6,3,8,7,32,59.6,60.5,23.2,16.7,38.5,99.1,9,2,22.2,8,4,50,10,4,40,5,3,1,0,-25.2,8,7,87.5,8,4,50,10,3,30,3,2,0,3,4,9,7,2,3,6
Bristol Flyers,"Cameron Holden, Joseph Anderson, Marcus Delpeche, William Yoakum, Zachary Anderson",2,1245,6.8,32,13,33,39.4,4,13,30.8,2,2,100,6,12,18,9,6,0,8,9,35,69.6,67.7,71.4,35.4,33.6,45.5,47.2,69.2,31.6,63.2,15.7,6.1,39.4,91.1,40,17,34,50,4,11,36.4,2,4,50,7,13,20,10,3,3,8,7,37,55.9,55.9,18.3,36.8,32.4,107.9,16,8,50,4,1,25,13,4,30.8,3,1,0,4,-16.8,19,11,57.9,4,2,50,11,4,36.4,4,2,0,2,5,5,8,7,11,8
Surrey 89ers,"Isiah Small, Kino Lily Jr, Michael Graham, Ronald Polite Iii, Tyrin Lawrence",1,926,10.4,43,15,24,62.5,1,8,12.5,12,14,85.7,2,11,13,9,3,0,5,4,33,85.5,85.6,85.5,28.0,28.1,64.6,71.3,60,22.2,78.6,11.3,58.3,33.3,130.2,33,12,26,46.2,5,11,45.5,4,5,80,3,7,10,9,4,0,8,12,33,55.8,58.5,22.1,21.4,42.3,100,11,9,81.8,5,5,100,8,1,12.5,3,2,0,0,30.2,8,4,50,7,3,42.9,11,5,45.5,4,3,0,1,2,17,12,0,8,8
Cheshire Phoenix,"Damiri Lindo, Frankie Policelli, Jaxon Brenchley, Patrick Robinson, Skyler White",3,829,0.3,43,16,26,61.5,0,5,0,11,14,78.6,3,9,12,6,2,0,2,4,31,90.2,91.2,89.2,26.3,26.9,61.5,66.9,37.5,25,75,5,53.8,19.2,136.6,43,17,28,60.7,6,11,54.5,3,4,75,3,9,12,6,1,1,4,10,31,71.4,72.2,11.8,25,39.3,139.5,19,15,78.9,2,1,50,5,0,0,1,1,0,0,-3,13,11,84.6,4,0,0,11,6,54.5,2,2,0,0,4,12,4,2,6,2
