Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jalen Deloach, Jordan Ratinho, Mervin James, Rodney Chatman Iii",3,26.5,18,6,10,60.0,5,6,83.3,1,2,50.0,0,1,1,3,0,0,2,1,12,6,24,8.0,47.9,125.9,122.4,3.4,85.0,82.7,50.0,12.6,2,0,0,2,1,50,6,5,83.3,1,0,0,1,5,1,0
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jalen Deloach, Mervin James, Nick Kern Jr, Rodney Chatman Iii",3,8.2,5,2,2,100.0,1,1,100.0,0,0,0,0,2,2,0,0,1,1,1,3,0,5,1.7,26.5,106.0,139.5,-33.5,125.0,125.0,0.0,33.3,1,1,100,0,0,0,1,1,100,0,1,0,0,0,2,0
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Mike Ochereobia, Prentiss Nixon, Rodney Glasgow Jr, William Lee",2,7.3,0,0,1,0.0,0,1,0.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0.0,0.0,86.5,108.8,-22.3,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jordan Ratinho, Mervin James, Nick Kern Jr, Prentiss Nixon",1,5.2,3,1,2,50.0,1,2,50.0,0,0,0,0,0,0,2,0,0,0,0,2,4,7,7.0,56.6,137.4,36.4,101.1,75.0,75.0,200.0,0.0,0,0,0,0,0,0,2,1,50,0,0,0,0,0,0,0
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jalen Deloach, Mervin James, Nick Kern Jr, Prentiss Nixon",2,4.2,0,0,2,0.0,0,2,0.0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0.0,0.0,84.8,115.2,-30.5,0.0,0.0,0,33.3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jordan Ratinho, Mike Ochereobia, Nick Kern Jr, Rodney Chatman Iii",2,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,94.1,88.1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jalen Deloach, Prentiss Nixon, Rodney Chatman Iii, William Lee",2,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,66.7,114.3,-47.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Mike Ochereobia, Rodney Chatman Iii, Rodney Glasgow Jr, William Lee",1,3.3,0,0,2,0.0,0,1,0.0,0,0,0,1,1,2,1,1,0,0,0,1,2,2,2.0,32.1,176.6,0.0,176.6,0.0,0.0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jordan Ratinho, Mervin James, Nick Kern Jr, Rodney Chatman Iii",1,3.0,0,0,3,0.0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,41.8,186.0,-144.2,0.0,0.0,0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Dirk Williams,B. Braun Sheffield Sharks,1,Dirk Williams,"Jalen Deloach, Mervin James, Nick Kern Jr, Rodney Glasgow Jr",2,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.0,0.0,148.4,31.5,116.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
