Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
London Lions,Deane Williams,31,Deane Williams,8,24.2,193.2,80.0,10.0,30.0,56.0,53.6,9.0,25.0,36,11.0,15.0,73.3,13.0,28.0,41.0,19.0,3.0,6.0,17.0,19.0,63.9,17.9,13.5,3.2,6.9,40,120.0,15.0,20.3,4,1.3,7,0,28.6,11.0,3,4.93,-2.19,7.13,4.0,2.8,22.0,17.0,77.3,9.0,4.0,44.4,25.0,9.0,36,5.0,10.0,0.0,2.0,14.0,9.0,16.0
London Lions,Tarik Phillip,22,Tarik Phillip,8,23.0,184.4,77.0,9.6,25.0,68.0,36.8,8.0,26.0,30.8,19.0,28.0,67.9,6.0,23.0,29.0,36.0,8.0,4.0,22.0,15.0,92.5,27.1,13.0,6.1,4.9,65,142.0,17.8,24.0,15,3.8,7,11,63.3,12.8,4,2.79,-3.9,6.69,2.4,2.8,29.0,13.0,44.8,13.0,4.0,30.8,26.0,8.0,30.8,14.0,6.0,0.0,2.0,7.0,10.0,20.0
London Lions,Aaryn Rai,21,Aaryn Rai,8,25.1,200.4,64.0,8.0,24.0,41.0,58.5,4.0,12.0,33.3,12.0,22.0,54.5,15.0,39.0,54.0,9.0,4.0,3.0,12.0,19.0,45.8,12.3,10.8,1.5,9.1,19,83.0,10.4,14.0,5,2.5,1,5,78.1,3.2,2,2.7,-3.67,6.36,4.4,3.8,24.0,16.0,66.7,5.0,4.0,80,12.0,4.0,33.3,3.0,3.0,0.0,6.0,14.0,15.0,14.0
London Lions,Amin Adamu,5,Amin Adamu,8,19.5,156.3,62.0,7.8,23.0,53.0,43.4,9.0,23.0,39.1,7.0,10.0,70,6.0,18.0,24.0,18.0,5.0,0.0,14.0,18.0,62.8,21.7,10.5,3.0,4.1,40,102.0,12.8,17.2,4,2.0,5,2,34.0,5.9,2,1.05,-4.67,5.72,2.6,3.3,19.0,10.0,52.6,11.0,4.0,36.4,23.0,9.0,39.1,7.0,6.0,0.0,1.0,7.0,10.0,16.0
London Lions,Ciaran Sandy,3,Ciaran Sandy,8,8.0,64.0,17.0,2.1,6.0,13.0,46.2,0.0,5.0,0,5.0,6.0,83.3,0.0,3.0,3.0,1.0,6.0,0.0,1.0,11.0,16.0,13.5,2.9,0.2,0.5,2,19.0,2.4,3.2,1,0.5,4,2,10.2,4.9,2,1.52,-8.26,9.78,2.0,4.5,1.0,1.0,100,7.0,5.0,71.4,5.0,0.0,0,0.0,0.0,0.0,1.0,4.0,4.0,6.0
London Lions,Matthew Goodwin,55,Matthew Goodwin,8,2.9,22.9,4.0,0.5,2.0,5.0,40,0.0,1.0,0,0.0,0.0,0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,4.0,6.7,15.9,0.7,0.3,0.2,5,9.0,1.1,1.5,2,2.0,1,0,100.0,1.0,1,-8.73,-12.47,3.73,2.7,4.2,0.0,0.0,0,4.0,2.0,50,1.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
London Lions,Shavar Reynolds Jr,33,Shavar Reynolds Jr,7,22.0,153.9,59.0,8.4,23.0,52.0,44.2,2.0,11.0,18.2,11.0,15.0,73.3,6.0,9.0,15.0,24.0,2.0,0.0,13.0,22.0,63.0,22.1,10.0,4.1,2.5,53,112.0,16.0,18.9,10,2.5,9,2,50.6,11.9,4,-1.81,-6.11,4.31,2.2,3.1,16.0,9.0,56.2,25.0,12.0,48,11.0,2.0,18.2,9.0,2.0,0.0,2.0,7.0,8.0,3.0
London Lions,Ethan Price,10,Ethan Price,7,19.1,133.8,59.0,8.4,17.0,33.0,51.5,1.0,10.0,10,24.0,30.0,80,5.0,23.0,28.0,8.0,5.0,3.0,7.0,18.0,46.3,18.7,10.0,1.4,4.7,18,77.0,11.0,13.0,8,2.7,4,4,69.4,5.8,3,4.47,-3.68,8.15,3.8,3.2,20.0,15.0,75,3.0,1.0,33.3,10.0,1.0,10,2.0,4.0,0.0,1.0,8.0,13.0,15.0
London Lions,Karolis Lukosiunas,16,Karolis Lukosiunas,6,15.0,90.1,41.0,6.8,14.0,30.0,46.7,13.0,26.0,50,0.0,0.0,0,3.0,7.0,10.0,3.0,5.0,0.0,4.0,13.0,29.8,17.8,6.9,0.5,1.7,7,48.0,8.0,8.1,0,0,0,0,0,0.0,0,6.7,-0.46,7.16,2.6,3.3,0.0,0.0,0,4.0,1.0,25,26.0,13.0,50,3.0,1.0,0.0,0.0,8.0,9.0,12.0
Cheshire Phoenix,Patrick Robinson,13,Patrick Robinson,5,28.5,142.6,123.0,24.6,37.0,72.0,51.4,3.0,12.0,25,46.0,55.0,83.6,6.0,18.0,24.0,23.0,5.0,1.0,9.0,13.0,95.2,32.2,29.7,5.5,5.8,52,175.0,35.0,42.2,13,6.5,10,10,45.1,15.4,2,9.54,4.85,4.69,2.4,1.0,42.0,27.0,64.3,18.0,7.0,38.9,12.0,3.0,25,2.0,6.0,0.0,1.0,12.0,32.0,11.0
