game_id,game_date,team,points,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,pf_drawn,blk_against,poss,pace
2778589,2026-01-23,Leicester Riders,94,33,65,20,38,13,27,15,20,8,22,30,24,6,0,11,21,18,2,76.5,77.5
2778589,2026-01-23,Surrey 89ers,102,36,62,30,43,6,19,24,30,7,25,32,28,5,2,10,18,20,0,78.5,77.5
2787330,2026-01-23,Newcastle Eagles,68,20,52,13,32,7,20,21,30,7,18,25,12,11,2,15,21,20,0,73.4,74.8
2787330,2026-01-23,London Lions,94,33,60,25,44,8,16,20,20,9,28,37,18,10,0,17,21,20,2,76.2,74.8
2787331,2026-01-25,Manchester Basketball,92,35,63,21,36,14,27,8,9,9,35,44,14,10,4,21,12,15,0,78.0,78.1
2787331,2026-01-25,Bristol Flyers,67,28,69,24,45,4,24,7,8,7,18,25,15,11,0,13,15,11,4,78.2,78.1
2778590,2026-01-25,B. Braun Sheffield Sharks,100,37,73,26,47,11,26,15,23,13,34,47,17,1,2,14,22,20,3,84.6,84.2
2778590,2026-01-25,Cheshire Phoenix,103,36,76,27,43,9,33,22,29,9,27,36,17,8,3,4,21,22,2,83.8,84.2
2807810,2026-02-13,London Lions,89,31,64,22,41,9,23,18,26,14,29,43,20,3,4,14,23,24,1,76.1,76.4
2807810,2026-02-13,Cheshire Phoenix,72,22,58,17,32,5,26,23,28,7,23,30,10,6,1,14,25,23,4,76.8,76.5
2808091,2026-02-13,Surrey 89ers,87,35,73,29,55,6,18,11,19,15,31,46,17,2,3,11,15,19,1,77.1,77.3
2808091,2026-02-13,Manchester Basketball,101,39,86,26,52,13,34,10,15,19,25,44,21,4,1,4,19,15,3,77.5,77.3
2808092,2026-02-15,Manchester Basketball,99,37,71,27,46,10,25,15,19,9,31,40,21,9,9,17,21,11,3,87.5,87.6
2808092,2026-02-15,Surrey 89ers,92,33,80,27,56,6,24,20,25,15,28,43,15,10,3,13,14,21,9,87.6,87.6
2807811,2026-02-15,Cheshire Phoenix,84,29,74,21,45,8,29,18,23,13,25,38,14,9,4,7,24,23,4,77.5,76.7
2807811,2026-02-15,London Lions,76,29,63,24,42,5,21,13,19,10,33,43,20,3,4,15,24,21,4,76.0,76.7
2798637,2026-02-01,London Lions,74,27,56,24,36,3,20,17,28,4,37,41,21,5,2,12,23,24,0,76.6,76.6
2798637,2026-02-01,Newcastle Eagles,68,23,65,15,35,8,30,14,20,7,29,36,13,6,0,10,24,23,2,76.7,76.6
2704989,2025-12-12,Newcastle Eagles,94,30,63,18,33,12,30,22,26,5,29,34,22,1,8,12,15,23,3,81.7,80.9
2704989,2025-12-12,B. Braun Sheffield Sharks,89,34,75,28,55,6,20,15,19,14,32,46,17,8,3,11,25,15,8,80.1,80.9
2714367,2025-12-14,B. Braun Sheffield Sharks,90,36,69,32,49,4,20,14,19,11,26,37,25,8,4,9,16,12,2,75.6,74.8
2714367,2025-12-14,Caledonia Gladiators,79,28,62,17,27,11,35,12,17,8,25,33,20,3,2,13,13,16,4,73.9,74.7
2704988,2025-12-14,Leicester Riders,111,38,77,25,45,13,32,22,27,10,35,45,28,6,3,13,9,22,5,90.9,80.8
2704988,2025-12-14,Manchester Basketball,108,45,87,30,53,15,34,3,7,9,28,37,28,10,5,10,22,9,3,90.9,80.8
2714366,2025-12-12,Bristol Flyers,62,21,52,13,31,8,21,12,23,9,21,30,18,8,0,17,21,22,3,70.3,69.1
2714366,2025-12-12,London Lions,71,23,49,17,31,6,18,19,23,6,25,31,19,9,3,15,22,21,0,67.9,69.1
2767732,2025-12-14,London Lions,87,32,61,22,39,10,22,13,22,11,19,30,20,5,1,15,24,21,1,75.9,74.8
2767732,2025-12-14,Surrey 89ers,83,28,57,19,31,9,26,18,26,10,24,34,22,11,1,16,21,24,1,73.7,74.8
2791769,2026-01-02,Newcastle Eagles,100,36,65,23,37,13,28,15,23,5,31,36,27,7,4,16,25,22,5,86.3,86.8
2791769,2026-01-02,Cheshire Phoenix,89,31,68,24,41,7,27,20,30,9,27,36,19,8,5,15,22,25,4,87.3,86.8
2792598,2026-01-02,London Lions,77,26,62,13,29,13,33,12,17,17,25,42,13,8,3,17,24,20,2,69.2,69.3
2792598,2026-01-02,Bristol Flyers,58,19,57,14,32,5,25,15,25,14,21,35,16,9,2,16,20,24,3,69.4,69.3
2792597,2026-01-04,Bristol Flyers,76,23,59,16,35,7,24,23,31,11,26,37,19,13,2,14,20,24,2,75.5,75.2
2792597,2026-01-04,London Lions,77,27,58,18,33,9,25,14,20,8,27,35,16,7,2,16,27,20,2,75.0,75.2
2791770,2026-01-04,Cheshire Phoenix,112,32,83,21,48,11,35,37,46,20,25,45,14,10,1,7,28,27,3,89.3,90.4
2791770,2026-01-04,Newcastle Eagles,105,36,62,28,39,8,23,25,33,3,32,35,14,4,3,18,27,28,1,91.5,90.4
