Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Artland Dragons,"Linus Ruf, Benjamin Forrest Burnham, Amir Jabbar Hinton, Timo Lanmüller, Connor Van Anthony","Artland Dragons|20,25,3,7,9",10,47.7,2861.0,119,38,73,52.1,9,20,45.0,34,39,87.2,0,0,0,25,0,0,6,0,86,96.2,123.8,85.6,38.2,2.5,33
RheinStars Köln,"Cedric Cezell Russell Jr, Adam John Paige, Björn Rohwer, Justin Onyejiaka, Jasper Günther","RheinStars Köln|0,13,15,22,6",2,11.5,690.0,15,6,8,75.0,3,3,100.0,0,2,0.0,0,0,0,2,0,0,0,0,15,8.9,168.9,112.6,56.3,1.3,0
Uni Baskets Münster,"Timetric Jerome Hodges, Julian Lamont Larry, Cosmo Grühn, Paul Viefhues, Nicholas Khalil Mc Mullen","Uni Baskets Münster|1,10,22,3,4",2,11.1,664.0,17,6,18,33.3,4,13,30.8,1,1,100.0,0,0,0,5,0,0,4,0,22,22.4,75.8,93.5,-17.8,1.54,-5
Bayer Giants Leverkusen,"Sebastian Brach, Donte Nicholas, John Williams Jr, Dennis Heinzmann, Kobe Langley","Bayer Giants Leverkusen|10,15,21,22,8",4,10.1,603.0,26,8,16,50.0,5,10,50.0,5,7,71.4,0,0,0,1,0,0,3,0,26,22.1,117.8,114.4,3.3,2.59,0
HAKRO Merlins Crailsheim,"Tyreese Blunt, Antonio Dewane Madlock JR, Marvin Ogunsipe, Anthony Malik Gaines, Vincent Malik Shahid","HAKRO Merlins Crailsheim|0,22,26,9,99",1,10.0,601.0,6,2,4,50.0,2,2,100.0,0,0,0,0,0,0,0,0,0,1,0,5,5.0,120.0,128.9,-8.9,0.6,1
Bozic Estriche Knights Kirchheim,"Phillip Montreal Russelll, Tyrel Maurice Morgan, Nil Failenschmid Clavera, Nicolas Bretzel, Tylan James Pope","Bozic Estriche Knights Kirchheim|1,11,15,21,9",2,8.8,529.0,15,4,17,23.5,2,10,20.0,5,6,83.3,0,0,0,3,0,0,1,0,18,20.6,72.7,92.2,-19.5,1.7,-3
Uni Baskets Münster,"Andrew O'Brien, Timetric Jerome Hodges, Nicholas Khalil Mc Mullen, Thore Dilschmann, Neil Masnic","Uni Baskets Münster|0,1,4,6,8",2,8.2,489.0,18,5,8,62.5,5,7,71.4,3,4,75.0,0,0,0,4,0,0,6,0,8,15.8,114.2,51.2,63.1,2.21,10
BBC Bayreuth,"KeVaughn Allen, Rayshawn Rene Mart, Artem Kovalov, Moritz Plescher, Nat Diallo","BBC Bayreuth|23,3,35,6,8",3,8.1,485.0,13,4,15,26.7,2,7,28.6,3,4,75.0,0,0,0,1,0,0,4,0,22,20.8,62.6,95.8,-33.2,1.61,-9
GIESSEN 46ers,"Daniel Alexander Norl, Robin Benzing, Aiden Warnholtz, Simon Krajcovic, Kyle Anthony Castlin","GIESSEN 46ers|1,12,3,55,7",2,7.9,472.0,16,6,13,46.2,2,5,40.0,2,4,50.0,0,0,0,3,0,0,2,0,16,16.8,95.5,108.4,-12.9,2.03,0
VfL SparkassenStars Bochum,"Myreon Lamar Jones JR, Niklas Geske, Lars Kamp, Kilian Dietz, Jonas Grof","VfL SparkassenStars Bochum|0,4,7,8,9",4,7.8,471.0,12,3,12,25.0,1,6,16.7,5,6,83.3,0,0,0,2,0,0,2,0,8,16.6,72.1,53.8,18.4,1.53,4
Paderborn Baskets,"Efosa K Irobun Osawe, Karl Bühner, Branden Michael Maughmer, Grant Teichmann, Jonathan Klussmann","Paderborn Baskets|0,11,2,6,71",3,7.8,469.0,21,9,13,69.2,3,6,50.0,0,2,0.0,0,0,0,3,0,0,1,0,18,14.9,141.1,118.4,22.7,2.69,3
HAKRO Merlins Crailsheim,"Tyreese Blunt, Jose Gabriel de Oliveira Neto, Brock Boone Gardner, Anthony Malik Gaines, Vincent Malik Shahid","HAKRO Merlins Crailsheim|0,1,4,9,99",3,7.5,452.0,7,3,6,50.0,1,3,33.3,0,0,0,0,0,0,2,0,0,1,0,5,7.0,100.0,75.3,24.7,0.93,2
Bozic Estriche Knights Kirchheim,"Phillip Montreal Russelll, Tyrel Maurice Morgan, Nicolas Bretzel, Lucas Mayer, Tylan James Pope","Bozic Estriche Knights Kirchheim|1,11,21,8,9",2,7.5,449.0,19,8,12,66.7,1,2,50.0,2,5,40.0,0,0,0,3,0,0,0,0,10,14.2,133.8,78.4,55.4,2.54,9
GIESSEN 46ers,"Robin Benzing, Luis Elias König Figge, Aiden Warnholtz, Simon Krajcovic, Kyle Anthony Castlin","GIESSEN 46ers|12,14,3,55,7",2,7.0,419.0,18,7,13,53.8,2,4,50.0,2,4,50.0,0,0,0,3,0,0,2,0,10,16.8,107.4,77.6,29.8,2.58,8
Tigers Tübingen,"Bernard Joel Pelote III, Melkisedek Kwaku Moreaux, Miles Lamar Tention, Kaya Kaan Hakan Bayram, Silas Kaan Osezua Oriane","Tigers Tübingen|1,23,3,5,7",1,7.0,423.0,8,2,4,50.0,1,2,50.0,3,6,50.0,0,0,0,1,0,0,0,0,16,6.6,120.5,189.6,-69.1,1.13,-8
Eisbären Bremerhaven,"Elijah Jahi Miller, Jacob David Biss, Hendrik Warner, Jemarl Lemuel Baker Jr., Jannis von Seckendorff","Eisbären Bremerhaven|0,3,31,8,90",2,6.9,416.0,7,3,11,27.3,0,4,0.0,1,4,25.0,0,0,0,2,0,0,0,0,7,12.8,54.9,58.9,-4.1,1.01,0
Eisbären Bremerhaven,"Elijah Jahi Miller, Carlos Deshawn Carter, Adrian Breitlauch, Jemarl Lemuel Baker Jr., Jannis von Seckendorff","Eisbären Bremerhaven|0,6,7,8,90",2,6.9,416.0,12,5,7,71.4,2,2,100.0,0,0,0,0,0,0,3,0,0,1,0,10,8.0,150.0,105.0,45.0,1.73,2
Paderborn Baskets,"Karl Bühner, Jalen Lee Johnson, Branden Michael Maughmer, Grant Teichmann, Jonathan Klussmann","Paderborn Baskets|11,13,2,6,71",2,6.7,403.0,9,1,6,16.7,0,2,0.0,7,8,87.5,0,0,0,1,0,0,1,0,18,10.5,85.6,167.3,-81.7,1.34,-9
BBC Bayreuth,"Tehree Johnathan Horn, KeVaughn Allen, Willem Brandwijk, Lenny Liedtke, Nat Diallo","BBC Bayreuth|2,23,39,55,8",2,6.6,396.0,2,1,7,14.3,0,5,0.0,0,0,0,0,0,0,0,0,0,1,0,14,8.0,25.0,130.1,-105.1,0.3,-12
Artland Dragons,"Fynn Lastring, Benjamin Forrest Burnham, Amir Jabbar Hinton, Timo Lanmüller, Connor Van Anthony","Artland Dragons|16,25,3,7,9",5,6.5,393.0,17,7,13,53.8,0,3,0.0,3,3,100.0,0,0,0,2,0,0,2,0,21,16.3,104.2,119.9,-15.7,2.6,-4
Bayer Giants Leverkusen,"Sebastian Brach, Dennis Heinzmann, Luca Finn Kahl, Lok Lol Wur, Kobe Langley","Bayer Giants Leverkusen|10,22,3,4,8",2,6.5,388.0,2,1,12,8.3,0,7,0.0,0,2,0.0,0,0,0,2,0,0,0,0,4,12.9,15.5,30.8,-15.2,0.31,-2
Uni Baskets Münster,"Andrew O'Brien, Cosmo Grühn, Paul Viefhues, Nicholas Khalil Mc Mullen, Thore Dilschmann","Uni Baskets Münster|0,22,3,4,6",1,6.3,381.0,17,6,9,66.7,5,8,62.5,0,2,0.0,0,0,0,3,0,0,3,0,10,12.9,132.0,85.0,47.0,2.68,7
Paderborn Baskets,"Efosa K Irobun Osawe, Branden Michael Maughmer, Aaron Kayser, Grant Teichmann, Jonathan Klussmann","Paderborn Baskets|0,2,22,6,71",2,6.1,367.0,15,5,10,50.0,2,3,66.7,3,4,75.0,0,0,0,1,0,0,0,0,17,11.8,127.6,138.0,-10.4,2.45,-2
Bozic Estriche Knights Kirchheim,"Phillip Montreal Russelll, Nicholas Gerard Spinoso, Nil Failenschmid Clavera, Gian Bahattin Aydinoglu, Lucas Mayer","Bozic Estriche Knights Kirchheim|1,13,15,4,8",1,6.1,364.0,6,3,7,42.9,0,4,0.0,0,0,0,0,0,0,0,0,0,3,0,9,10.0,60.0,102.7,-42.7,0.99,-3
PS Karlsruhe LIONS,"David Opowu Ejah, David Allan Cohn, Tyrese Williams, Gabriel Kuku, Wesley Chima Oba","PS Karlsruhe LIONS|25,34,5,6,7",3,6.0,359.0,12,4,10,40.0,2,4,50.0,2,2,100.0,0,0,0,3,0,0,1,0,24,11.9,101.0,144.2,-43.2,2.01,-12
Nürnberg Falcons BC,"Evan Derek Taylor, Julius Wolf, Trevor James Baskin, Vincent Friederici, Tim Köpple","Nürnberg Falcons BC|10,16,22,30,5",4,5.8,348.0,11,3,7,42.9,2,4,50.0,3,3,100.0,0,0,0,1,0,0,3,0,22,11.3,97.2,175.7,-78.5,1.9,-11
HAKRO Merlins Crailsheim,"Tyreese Blunt, Marvin Ogunsipe, Brock Boone Gardner, Anthony Malik Gaines, Vincent Malik Shahid","HAKRO Merlins Crailsheim|0,26,4,9,99",2,5.7,340.0,12,5,9,55.6,1,5,20.0,1,1,100.0,0,0,0,2,0,0,1,0,10,10.4,114.9,92.9,22.0,2.12,2
Bayer Giants Leverkusen,"Sebastian Brach, Ricardo Lynch, Donte Nicholas, John Williams Jr, Dennis Heinzmann","Bayer Giants Leverkusen|10,11,15,21,22",4,5.6,335.0,9,4,7,57.1,0,2,0.0,1,2,50.0,0,0,0,0,0,0,1,0,10,8.9,101.4,85.0,16.3,1.61,-1
GIESSEN 46ers,"Robin Benzing, Jonathan Maier, Aiden Warnholtz, Simon Krajcovic, Kyle Anthony Castlin","GIESSEN 46ers|12,13,3,55,7",2,5.6,334.0,9,2,8,25.0,0,4,0.0,5,8,62.5,0,0,0,1,0,0,1,0,5,12.5,71.9,59.2,12.6,1.62,4
