Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
Bozic Estriche Knights Kirchheim,"Lucas Mayer, Nicholas Gerard Spinoso, Nil Failenschmid Clavera, Phillip Montreal Russelll, Tylan James Pope",Bayer Giants Leverkusen,"Donte Nicholas, Kobe Langley, Ricardo Lynch, Sebastian Brach, Sören Urbansky",1,525,8.8,15.8,20,8,15,53.3,2,5,40,2,2,100,1,4,5,5,2,0,1,5,18,7,12,58.3,1,4,25,3,4,75,1,6,7,4,0,0,3,6,15.8,15.7,126.5,114.7,11.8,114.7,126.5,-11.8,2,8,5,62.5,2,1,50,0,0,0,8,6,75,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,7,7,2,4,2
Uni Baskets Münster,"Andrew O'Brien, Cosmo Grühn, Curtis Tarell Jones Jr, Jesse Chidera Ani, Philip Anthony Alston",EPG Baskets Koblenz,"Aleksa Kovacevic, Calvin Wishart, Decorian Jeffries, Devonte Jasai McCall, Marko Bacak",1,511,8.5,15.5,16,6,18,33.3,3,10,30,1,1,100,4,6,10,2,2,0,1,2,16,6,13,46.2,2,7,28.6,2,2,100,1,8,9,4,0,1,3,2,15.2,15.8,105.5,101.2,4.3,101.2,105.5,-4.3,0,8,3,37.5,0,0,0,0,0,0,4,4,100,2,0,0,0,0,0,0,1,0,0,1,2,0,0,2,2,2,2,5,0
Nürnberg Falcons BC,"Carter Dean Whitt, Christian Feneberg, Lars Lagerpusch, Tim Köpple, Tom Stoiber",Bozic Estriche Knights Kirchheim,"Lucas Mayer, Nicolas Bretzel, Phillip Montreal Russelll, Tylan James Pope, Tyrel Maurice Morgan",1,493,8.2,15.2,23,7,12,58.3,4,7,57.1,5,6,83.3,1,4,5,1,4,1,2,4,19,7,12,58.3,5,6,83.3,0,0,0,1,3,4,4,1,0,4,4,15.3,14.9,150.3,127.3,23,127.3,150.3,-23,4,3,3,100,2,0,0,0,0,0,5,2,40,1,0,0,0,0,0,1,1,0,0,3,1,0,0,3,12,9,3,0,0
Uni Baskets Münster,"Andrew O'Brien, Caleb Lee Zurliene, Cosmo Grühn, Jesse Chidera Ani, Thore Dilschmann",GIESSEN 46ers,"Aiden Warnholtz, Daniel Alexander Norl, Devon Goodman, Domagoj Vukovic, Till Gloger",1,443,7.4,15.1,12,5,14,35.7,1,7,14.3,1,2,50,3,5,8,2,3,1,2,3,16,6,14,42.9,1,6,16.7,3,3,100,2,7,9,3,0,1,3,3,14.0,15.9,85.8,100.8,-15,100.8,85.8,15,-4,6,4,66.7,1,0,0,0,0,0,8,5,62.5,0,0,0,0,0,0,1,0,0,1,3,0,0,0,4,0,0,0,0,6
Artland Dragons,"Amir Jabbar Hinton, Benjamin Forrest Burnham, Connor Van Anthony, Linus Ruf, Timo Lanmüller",PS Karlsruhe LIONS,"David Opowu Ejah, Isaiah Rayshaud Hart, Joshua Olenyi, Julian Albus, Tyrese Williams",1,443,7.4,15.1,16,5,9,55.6,2,4,50,4,5,80,1,6,7,3,1,0,4,4,21,8,16,50,3,6,50,2,2,100,2,4,6,4,4,0,1,4,14.3,15.7,111.5,133.4,-21.9,133.4,111.5,21.9,-5,3,2,66.7,2,1,50,0,0,0,8,3,37.5,2,2,100,0,0,0,0,4,0,0,1,0,0,0,4,3,3,5,6,10
Bozic Estriche Knights Kirchheim,"Aeneas Jung, Gian Bahattin Aydinoglu, Lucas Mayer, Phillip Montreal Russelll, Tylan James Pope",Tigers Tübingen,"Bernard Joel Pelote III, JaCobi Allen Wood, Melkisedek Kwaku Moreaux, Miles Lamar Tention, Silas Kaan Osezua Oriane",1,496,8.3,15.0,16,6,11,54.5,1,4,25,3,4,75,0,6,6,1,1,0,3,5,17,6,12,50,3,8,37.5,2,3,66.7,0,6,6,5,2,0,1,5,15.8,14.3,101.5,118.7,-17.2,118.7,101.5,17.2,-1,5,4,80,2,1,50,0,0,0,3,2,66.7,1,1,100,0,0,0,0,3,0,0,1,0,0,0,0,5,3,0,5,2
PS Karlsruhe LIONS,"Brandon Angelo Porter, Gabriel Kuku, Isaiah Rayshaud Hart, Maurice Marko Pluskota, Tyrese Williams",Artland Dragons,"Connor Van Anthony, Dejan Bruce, Elijah Ndi, Fynn Lastring, Nathan Joseph Petrone",1,531,8.8,14.6,21,9,13,69.2,3,6,50,0,0,0,1,5,6,7,1,1,2,5,16,7,15,46.7,1,4,25,1,1,100,3,3,6,7,2,0,3,4,13.9,15.2,150.8,105.1,45.7,105.1,150.8,-45.7,5,6,5,83.3,1,1,100,0,0,0,7,3,42.9,4,3,75,0,0,0,2,0,0,0,1,0,0,2,3,2,0,2,3,2
BBC Bayreuth,"Artem Kovalov, Moritz Plescher, Nat Diallo, Rayshawn Rene Mart, Tehree Johnathan Horn",Artland Dragons,"Amir Jabbar Hinton, Benjamin Forrest Burnham, Connor Van Anthony, Linus Ruf, Timo Lanmüller",1,424,7.1,14.4,13,5,9,55.6,0,3,0,3,4,75,1,3,4,2,1,0,4,7,21,8,12,66.7,0,1,0,5,5,100,1,4,5,3,2,0,2,2,13.9,15.1,93.5,138.8,-45.3,138.8,93.5,45.3,-8,5,5,100,1,0,0,0,0,0,8,7,87.5,3,1,33.3,0,0,0,2,1,0,1,1,1,0,0,2,6,4,2,6,6
HAKRO Merlins Crailsheim,"Antonio Dewane Madlock JR, Jose Gabriel de Oliveira Neto, Keyshaun Darrius Langley, Nico Santana Mojica, Tyreese Blunt",GIESSEN 46ers,"Daniel Alexander Norl, Jonathan Maier, Kyle Anthony Castlin, Martin Junakovic, Robin Benzing",1,478,8.0,14.1,20,8,13,61.5,3,7,42.9,1,2,50,0,6,6,6,2,0,1,2,11,4,13,30.8,1,6,16.7,2,2,100,2,6,8,2,0,0,2,2,14.9,13.5,134.4,81.6,52.8,81.6,134.4,-52.8,9,5,5,100,1,0,0,0,0,0,3,1,33.3,4,2,50,0,0,0,0,0,0,1,2,0,0,0,0,4,2,4,3,3
Bozic Estriche Knights Kirchheim,"Aeneas Jung, Charles Tyrone Harris Jr., Gian Bahattin Aydinoglu, Tylan James Pope, Tyrel Maurice Morgan",Uni Baskets Münster,"Andrew O'Brien, Cosmo Grühn, Neil Masnic, Philip Anthony Alston, Thore Dilschmann",1,510,8.5,14.0,16,7,14,50,2,5,40,0,0,0,0,6,6,5,2,0,1,2,8,4,11,36.4,0,5,0,0,0,0,1,7,8,1,1,0,3,2,15.0,12.9,106.7,61.9,44.8,61.9,106.7,-44.8,8,7,4,57.1,2,1,50,0,0,0,5,4,80,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,4,4,2,2,0
