Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Worcester Wolves Senior Men,E. Burgess,21/23,E. Burgess,20,28.7,575.0,349.0,17.4,146.0,255.0,57.3,5.0,17.0,29.4,52.0,73.0,71.2,82.0,120.0,202.0,30.0,26.0,14.0,36.0,42.0,231.5,19.8,21.4,1.8,12.4,70,419.0,20.9,25.6,30,3.3,24,6,56.3,27.6,9,8.27,3.38,4.89,5.0,1.7,164.0,111.0,67.7,73.0,29.0,39.7,17.0,5.0,29.4,45.0,0.0,13.0,14.0,0.0,9.0,106.0,78.0,94.0
Oxford Hoops Senior Men,P. Wrencher Jr,33,P. Wrencher Jr,20,33.1,662.8,342.0,17.1,124.0,305.0,40.7,4.0,28.0,14.3,90.0,131.0,68.7,96.0,138.0,234.0,29.0,13.0,6.0,39.0,18.0,293.4,22.3,21.2,1.8,14.5,62,404.0,20.2,25.1,10,2.5,11,3,40.6,14.3,4,-0.04,1.49,-1.53,4.4,2.5,193.0,89.0,46.1,83.0,30.0,36.1,28.0,4.0,14.3,39.0,1.0,13.0,21.0,2.0,3.0,98.0,68.0,63.0
Myerscough Basketball Academy Senior Men I,H. Sheehan,0,H. Sheehan,20,26.3,525.4,282.0,14.1,84.0,233.0,36.1,60.0,165.0,36.4,54.0,67.0,80.6,8.0,56.0,64.0,23.0,11.0,1.0,41.0,31.0,283.7,27.4,17.9,1.5,4.1,54,336.0,16.8,21.3,34,3.4,22,16,58.5,32.0,10,2.73,0.13,2.61,2.7,2.7,46.0,18.0,39.1,20.0,4.0,20,165.0,60.0,36.4,14.0,4.0,20.0,16.0,1.0,4.0,62.0,71.0,43.0
Sheffield Arrows Senior Men,D. Soares,10/23,D. Soares,20,37.3,745.2,267.0,13.3,104.0,217.0,47.9,38.0,112.0,33.9,21.0,48.0,43.8,48.0,151.0,199.0,102.0,47.0,29.0,43.0,51.0,223.8,14.1,15.7,6.0,11.7,234,501.0,25.1,29.4,15,2.1,14,9,41.8,22.0,7,6.82,1.19,5.63,3.5,2.4,96.0,64.0,66.7,8.0,2.0,25,112.0,38.0,33.9,36.0,3.0,20.0,15.0,1.0,7.0,55.0,85.0,58.0
Liverpool Senior Men,K. Ulett-Waul,5,K. Ulett-Waul,20,32.9,658.1,238.0,11.9,88.0,218.0,40.4,23.0,84.0,27.4,39.0,61.0,63.9,13.0,53.0,66.0,78.0,24.0,0.0,55.0,40.0,275.4,19.3,13.4,4.4,3.7,181,419.0,20.9,23.6,26,2.0,31,8,37.7,47.5,13,-1.5,-3.57,2.07,1.8,2.6,109.0,62.0,56.9,23.0,3.0,13,84.0,23.0,27.4,43.0,6.0,26.0,23.0,0.0,6.0,39.0,109.0,50.0
Leicester Warriors Senior Men,M. Nelson,9,M. Nelson,20,27.1,542.8,204.0,10.2,66.0,194.0,34,16.0,69.0,23.2,56.0,91.0,61.5,25.0,50.0,75.0,20.0,28.0,3.0,49.0,53.0,247.7,21.7,11.9,1.2,4.4,41,245.0,12.2,14.3,26,2.4,26,9,43.4,35.0,11,-6.0,-6.58,0.59,3.0,4.0,107.0,45.0,42.1,17.0,5.0,29.4,69.0,16.0,23.2,21.0,0.0,18.0,27.0,0.0,4.0,29.0,34.0,59.0
Sheffield Arrows Senior Men,M. Ibrahim,14/26/44/50,M. Ibrahim,20,22.5,450.0,191.0,9.6,78.0,149.0,52.3,15.0,36.0,41.7,20.0,39.0,51.3,38.0,64.0,102.0,25.0,4.0,7.0,37.0,41.0,158.6,16.5,11.2,1.5,6.0,106,297.0,14.8,17.4,8,1.6,6,1,62.1,6.4,5,-0.83,-1.99,1.16,3.9,3.2,93.0,56.0,60.2,20.0,7.0,35,36.0,15.0,41.7,32.0,5.0,7.0,21.0,2.0,7.0,60.0,26.0,29.0
Sheffield Sharks Senior Men,D. Kom,2/34/8,D. Kom,20,24.0,480.5,183.0,9.2,67.0,207.0,32.4,30.0,90.0,33.3,19.0,32.0,59.4,24.0,36.0,60.0,45.0,19.0,8.0,59.0,32.0,245.8,25.0,11.2,2.7,3.7,150,333.0,16.6,20.3,10,1.2,13,3,34.9,18.3,8,-4.1,-4.21,0.11,2.3,2.8,67.0,24.0,35.8,50.0,13.0,26,90.0,30.0,33.3,17.0,3.0,28.0,23.0,0.0,8.0,29.0,52.0,38.0
Myerscough Basketball Academy Senior Men I,O. Esingle,9,O. Esingle,20,20.6,411.9,172.0,8.6,71.0,146.0,48.6,9.0,39.0,23.1,21.0,44.0,47.7,12.0,64.0,76.0,68.0,22.0,8.0,33.0,35.0,178.9,22.1,10.9,4.3,4.8,145,317.0,15.8,20.1,15,2.5,7,5,81.5,11.2,6,5.95,-0.59,6.54,2.3,1.8,79.0,51.0,64.6,28.0,11.0,39.3,39.0,9.0,23.1,25.0,1.0,15.0,15.0,0.0,3.0,31.0,51.0,39.0
Sheffield Arrows Senior Men,S. Matewe,12/14/15/26,S. Matewe,20,20.1,401.0,143.0,7.2,57.0,146.0,39,12.0,45.0,26.7,17.0,29.0,58.6,19.0,44.0,63.0,13.0,6.0,5.0,24.0,37.0,157.2,18.4,8.4,0.8,3.7,72,215.0,10.8,12.6,25,4.2,17,3,68.2,20.3,6,-4.57,-4.98,0.41,3.4,4.5,68.0,37.0,54.4,33.0,8.0,24.2,45.0,12.0,26.7,20.0,1.0,10.0,7.0,0.0,7.0,32.0,40.0,25.0
Birmingham City University Senior Men,E. Haywood,4,E. Haywood,20,15.0,299.2,132.0,6.6,43.0,123.0,35,25.0,79.0,31.6,21.0,40.0,52.5,5.0,28.0,33.0,37.0,18.0,0.0,34.0,40.0,162.8,24.6,7.6,2.1,1.9,85,217.0,10.8,12.4,3,0.8,5,0,30.0,6.0,4,-0.36,-4.53,4.17,2.0,2.8,28.0,12.0,42.9,16.0,6.0,37.5,79.0,25.0,31.6,8.0,5.0,19.0,12.0,0.0,3.0,28.0,31.0,49.0
Teesside Lions Senior Men,B. Maldutis,20/4,B. Maldutis,20,15.4,307.9,120.0,6.0,44.0,113.0,38.9,23.0,61.0,37.7,9.0,13.0,69.2,16.0,27.0,43.0,15.0,21.0,2.0,21.0,35.0,118.8,19.1,7.4,0.9,2.7,38,158.0,7.9,9.8,0,0.0,3,0,0.0,3.0,1,-1.04,-3.18,2.14,2.6,3.1,29.0,16.0,55.2,23.0,5.0,21.7,61.0,23.0,37.7,10.0,5.0,15.0,4.0,0.0,2.0,18.0,26.0,33.0
Worcester Wolves Senior Men,G. Stergiopoulos,13/9,G. Stergiopoulos,20,18.6,371.6,95.0,4.8,34.0,104.0,32.7,17.0,60.0,28.3,10.0,18.0,55.6,19.0,55.0,74.0,41.0,28.0,3.0,26.0,28.0,114.2,15.1,5.8,2.5,4.5,146,241.0,12.1,14.7,10,1.7,14,2,33.6,17.9,6,2.62,-3.67,6.29,2.8,3.6,36.0,17.0,47.2,8.0,0.0,0,60.0,17.0,28.3,10.0,1.0,18.0,5.0,0.0,3.0,22.0,23.0,41.0
Myerscough Basketball Academy Senior Men I,E. Akubuo,7/8,E. Akubuo,20,13.8,276.3,69.0,3.5,24.0,78.0,30.8,11.0,42.0,26.2,10.0,21.0,47.6,17.0,30.0,47.0,21.0,10.0,6.0,15.0,28.0,81.8,15.0,4.4,1.3,3.0,167,236.0,11.8,15.0,8,1.3,8,6,37.6,13.6,6,0.05,-4.29,4.34,3.1,4.2,29.0,11.0,37.9,6.0,2.0,33.3,42.0,11.0,26.2,4.0,1.0,5.0,6.0,0.0,4.0,18.0,13.0,18.0
Worcester Wolves Senior Men,C. Okibe,3/30,C. Okibe,20,10.4,208.2,53.0,2.6,20.0,41.0,48.8,0.0,0.0,0,13.0,19.0,68.4,15.0,47.0,62.0,1.0,4.0,3.0,15.0,15.0,47.4,11.2,3.2,0.1,3.8,2,55.0,2.8,3.4,4,4.0,2,0,100.0,2.0,1,-1.97,-5.39,3.42,4.7,4.5,29.0,16.0,55.2,12.0,4.0,33.3,0.0,0.0,0,6.0,0.0,0.0,7.0,4.0,4.0,19.0,13.0,11.0
Sheffield Arrows Senior Men,H. Ibrahim,24/33/9,H. Ibrahim,19,37.8,717.7,468.0,24.6,169.0,344.0,49.1,14.0,60.0,23.3,116.0,160.0,72.5,69.0,179.0,248.0,94.0,34.0,10.0,80.0,43.0,408.4,26.7,27.5,5.5,14.6,239,707.0,37.2,41.5,33,3.3,22,20,53.6,38.8,10,6.67,2.68,3.99,3.8,1.2,197.0,126.0,64,87.0,29.0,33.3,60.0,14.0,23.3,86.0,3.0,24.0,41.0,1.0,14.0,101.0,175.0,117.0
Liverpool Senior Men,L. Rogerson-Evans,0/00/6/8,K. Forsythe; L. Rogerson-Evans,19,42.6,809.1,392.0,20.6,152.0,368.0,41.3,48.0,164.0,29.3,40.0,60.0,66.7,34.0,127.0,161.0,75.0,36.0,12.0,55.0,52.0,398.8,22.8,22.1,4.2,9.1,214,606.0,31.9,34.1,45,3.2,44,13,45.3,61.7,14,2.93,-0.76,3.69,3.0,2.4,141.0,86.0,61,63.0,18.0,28.6,164.0,48.0,29.3,49.0,7.0,23.0,21.0,0.0,11.0,62.0,161.0,75.0
Oxford Hoops Senior Men,A. Marzec,14,A. Marzec,19,33.1,628.4,286.0,15.1,95.0,217.0,43.8,43.0,104.0,41.3,53.0,66.0,80.3,35.0,45.0,80.0,29.0,9.0,1.0,45.0,24.0,245.8,19.7,17.8,1.8,5.0,62,348.0,18.3,21.6,21,3.5,9,7,86.9,13.1,6,-1.09,0.41,-1.5,2.7,2.1,80.0,39.0,48.8,31.0,11.0,35.5,104.0,43.0,41.3,23.0,5.0,12.0,26.0,0.0,7.0,48.0,78.0,39.0
Sheffield Sharks Senior Men,S. Hanson-Young,10/12,S. Hanson-Young,19,32.4,615.2,280.0,14.7,85.0,278.0,30.6,49.0,173.0,28.3,61.0,83.0,73.5,8.0,95.0,103.0,79.0,23.0,0.0,57.0,29.0,349.0,27.7,17.1,4.8,6.3,158,438.0,23.1,26.8,13,1.3,19,9,28.3,28.0,10,-0.66,-1.6,0.94,2.0,1.6,71.0,25.0,35.2,34.0,11.0,32.4,173.0,49.0,28.3,22.0,25.0,33.0,18.0,0.0,6.0,55.0,72.0,50.0
