Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Milton Keynes Breakers,23,J. Spencer,,18,32.6,587.0,265,14.7,82,190,43.2,32,97,33.0,69,76,90.8,8,111,119,140,28,4,55,40,51.6,59.3,20.2,95.2,18.1,6.6,1.3,18.1,9.8,34.6,2.4,0.7,19.8,0.4,14.49,6.64,7.85,63,38,60.3,29,11,37.9,97,32,33,37,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Reading Rockets,8,V. Olarerin,,19,32.1,610.7,404,21.3,157,319,49.2,34,121,28.1,56,65,86.2,49,60,109,47,41,5,39,40,54.5,58.1,27.1,104.5,27.4,8.2,8.0,10.3,9.1,12.7,3.5,0.9,10.1,0.2,13.46,8.37,5.09,162,110,67.9,36,13,36.1,121,34,28.1,18,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Essex Rebels,2,M. Brown,,18,35.2,633.7,429,23.8,155,317,48.9,39,103,37.9,80,93,86.0,23,70,93,106,70,4,67,45,55.0,59.9,27.7,101.0,28.3,6.8,3.4,10.3,6.8,31.1,5.3,0.5,15.8,0.29,13.3,7.18,6.13,162,97,59.9,52,19,36.5,103,39,37.9,32,25,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle Knights,11,J. Thames,,19,38.3,726.8,473,24.9,180,329,54.7,27,79,34.2,86,108,79.6,40,105,145,85,32,9,49,32,58.8,62.8,24.5,111.2,29.2,4.9,5.4,14.7,10.0,18.7,2.2,1.1,11.5,0.33,12.88,9.46,3.42,197,131,66.5,53,22,41.5,79,27,34.2,17,26,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle Knights,1,B. Dean,,16,35.9,575.1,341,21.3,128,247,51.8,42,96,43.8,43,53,81.1,17,69,86,80,30,0,40,24,60.3,63.1,22.8,109.9,25.4,7.1,2.9,12.3,7.5,21.1,2.6,0.0,12.9,0.21,12.4,9.05,3.35,71,46,64.8,80,40,50,96,42,43.8,21,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Reading Rockets,4,J. Bouknight,,19,29.1,553.8,265,13.9,95,215,44.2,38,100,38.0,37,48,77.1,10,37,47,99,34,0,38,48,53.0,56.1,21.2,96.7,18.0,6.8,1.8,7.0,4.3,25.9,3.2,0.0,13.9,0.22,11.75,6.21,5.54,61,39,63.9,54,18,33.3,100,38,38,24,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Milton Keynes Breakers,8,T. C,,1,19.6,19.6,13,13.0,5,8,62.5,1,4,25.0,2,4,50.0,0,3,3,2,2,0,1,1,68.8,66.6,23.7,120.8,16.0,4.9,0.0,13.3,7.7,16.5,5.2,0.0,9.3,0.5,11.63,5.31,6.32,1,1,100,3,3,100,4,1,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nottingham Hoods,1,T. Williams,,18,35.0,629.5,397,22.1,153,343,44.6,34,138,24.6,57,88,64.8,19,84,103,98,43,10,43,35,49.6,52.0,29.2,93.5,27.4,9.5,2.9,14.1,8.3,29.3,3.4,1.5,10.1,0.26,11.35,6.08,5.27,158,103,65.2,47,16,34,138,34,24.6,23,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Yorkshire Dragons,4,J. Jefferson,,2,34.7,69.5,43,21.5,14,30,46.7,3,11,27.3,12,16,75.0,2,5,7,4,6,0,1,5,51.7,58.0,23.6,113.0,28.2,7.2,2.6,7.9,5.0,9.1,4.5,0.0,2.6,0.53,11.29,6.18,5.11,12,5,41.7,7,6,85.7,11,3,27.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milton Keynes Breakers,21,X. Wilson,,18,26.3,472.8,268,14.9,116,231,50.2,8,31,25.8,28,41,68.3,49,92,141,54,25,22,37,38,51.9,53.8,25.9,93.7,18.5,2.1,10.2,19.0,14.6,19.5,2.7,4.8,12.9,0.18,11.15,5.26,5.9,126,83,65.9,74,25,33.8,31,8,25.8,16,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
