Game Date,Home Team,Away Team,Period,Event Time,Team Side,Origination Play Type,Origination Sub Type 1,Origination Sub Type 2,Origination Sub Type 3,Origination Sub Type 4,Origination Player,Shot Play Type,Shot Sub Type 1,Shot Sub Type 2,Shot Sub Type 3,Shot Sub Type 4,Shot Sub Type 5,Shot Sub Type 6,Shot Player,Result,Result 2
02/22/26,Cheshire,Surrey 89ers,,,unknown,,,,,,,,,,,,,,,,
02/22/26,Cheshire,Surrey 89ers,,,unknown,,,,,,,,,,,,,,,,
02/22/26,Cheshire,Surrey 89ers,,,unknown,,,,,,,,,,,,,,,,
02/22/26,Cheshire,Surrey 89ers,,,unknown,,,,,,,,,,,,,,,,
02/22/26,Cheshire,Surrey 89ers,,,unknown,,,,,,,,,,,,,,,,
02/22/26,Cheshire,Surrey 89ers,,,unknown,,,,,,,,,,,,,,,,
02/22/26,Cheshire,Surrey 89ers,Q1,,unknown,,,,,,,,,,,,,,,,
02/22/26,Cheshire,Surrey 89ers,Q1,'09:34,home,,,,,,,No Play Type,No Dribble Jumper,Guarded,Long/3pt,,,,Frankie Policelli,Miss 3 Pts,
02/22/26,Cheshire,Surrey 89ers,Q1,'09:26,away,,,,,,,Transition,Left Wing,No Dribble Jumper,Open,Long/3pt,,,Tayo Ogedengbe,Make 3 Pts,
02/22/26,Cheshire,Surrey 89ers,Q1,'09:10,home,,,,,,,P&R Ball Handler,Right P&R,Baseline,Dribble Off Pick,,,,Frankie Policelli,Turnover,
02/22/26,Cheshire,Surrey 89ers,Q1,'08:51,away,,,,,,,Post-Up,Right Block,Face-up,Drive Baseline,,,,Isiah Small,Miss 2 Pts,
02/22/26,Cheshire,Surrey 89ers,Q1,'08:42,home,,,,,,,Spot-Up,No Dribble Jumper,Open,Long/3pt,,,,Skyler White,Make 3 Pts,
02/22/26,Cheshire,Surrey 89ers,Q1,'08:02,home,P&R Ball Handler,High P&R,Dribble Off Pick,Defense Commits,,Laquincy Rideau,P&R Roll Man,Rolls to Basket,,,,,,Michael Diggins,Make 2 Pts,
02/22/26,Cheshire,Surrey 89ers,Q1,'07:52,away,,,,,,,Transition,Left Wing,No Dribble Jumper,Open,Long/3pt,,,Isiah Small,Miss 3 Pts,
02/22/26,Cheshire,Surrey 89ers,Q1,'07:43,home,,,,,,,Transition,Trailer,No Dribble Jumper,Open,Long/3pt,,,Skyler White,Miss 3 Pts,
02/22/26,Cheshire,Surrey 89ers,Q1,'07:36,away,,,,,,,Transition,Ballhandler,To Basket,,,,,Tyrin Lawrence,Make 2 Pts,
02/22/26,Cheshire,Surrey 89ers,Q1,'07:28,home,,,,,,,Transition,First Middle,No Dribble Jumper,Guarded,Long/3pt,,,Skyler White,Make 3 Pts,
02/22/26,Cheshire,Surrey 89ers,Q1,'07:04,away,,,,,,,P&R Ball Handler,High P&R,Go Away from Pick,Dribble Jumper,Short to < 17',,,Tyrin Lawrence,Make 2 Pts,
02/22/26,Cheshire,Surrey 89ers,Q1,'06:55,home,,,,,,,Transition,Right Wing,,,,,,Michael Diggins,Turnover,
02/22/26,Cheshire,Surrey 89ers,Q1,'06:47,away,,,,,,,Transition,Ballhandler,,,,,,Kino Lily Jr,Turnover,
02/22/26,Cheshire,Surrey 89ers,Q1,'06:44,home,,,,,,,Transition,Leak Outs,To Basket,,,,,Skyler White,Make 2 Pts,
02/22/26,Cheshire,Surrey 89ers,Q1,'06:16,away,,,,,,,Post-Up,Left Block,Right Shoulder,Dribble Move,To Drop Step,,,Tayo Ogedengbe,Miss 2 Pts,
02/22/26,Cheshire,Surrey 89ers,Q1,'06:16,away,,,,,,,Offensive Rebound,Short,Run Offense,,,,,Tayo Ogedengbe,Run Offense,
02/22/26,Cheshire,Surrey 89ers,Q1,'06:00,home,,,,,,,Spot-Up,No Dribble Jumper,Guarded,Long/3pt,,,,Skyler White,Make 3 Pts,
