# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 218
# Qualified players exported: 123
# Total stints used: 3578
# Garbage time stints excluded: 257
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Milton Keynes Breakers,23,J. Spencer,1176,3.24,3.71,6.95
Nottingham Hoods,24,D. Nixon Ii,916,2.65,3.21,5.86
Birmingham Rockets,3,E. Donaldson,1249,2.16,3.23,5.39
Worthing Thunder,4,A. Scarborough,868,2.47,2.64,5.11
Reading Rockets,10,M. Bryant,984,1.6,3.49,5.1
Newcastle Knights,10,S. Trunley,1323,4.12,0.82,4.94
Milton Keynes Breakers,21,X. Wilson,926,2.89,1.73,4.62
Milton Keynes Breakers,7,B. Freckleton,466,1.49,3.06,4.55
Birmingham Rockets,8,M. Gayle,624,3.65,0.82,4.47
Essex Rebels,2,M. Brown,1339,2.79,1.17,3.96
Reading Rockets,12,T. Nsangu,719,2.31,1.63,3.94
Bristol Hurricanes,31,D. Ubiaro,990,2.3,1.29,3.59
London Cavaliers,10,J. Manning,1206,2.85,0.73,3.57
Newcastle Knights,8,M. Matthews,613,2.01,1.33,3.33
Newcastle Knights,5,M. Jones,1015,1.7,1.39,3.09
Reading Rockets,4,J. Bouknight,1081,2.13,0.86,2.99
Derby Trailblazers,9,M. Smith,430,1.16,1.8,2.96
London Cavaliers,13,M. Collins,1101,2.29,0.55,2.85
Birmingham Rockets,13,O. Jackman,813,1.87,0.67,2.54
Nottingham Hoods,1,T. Williams,1297,1.1,1.29,2.39
Newcastle Knights,1,B. Dean,1225,2.84,-0.49,2.35
Hemel Storm,4,S. Newman,1307,1.28,1.01,2.29
Birmingham Rockets,14,Z. Powell,1181,0.68,1.41,2.09
London Cavaliers,4,A. Roberts,1230,2.52,-0.43,2.08
Loughborough Riders,4,L. Campbell,366,0.72,1.26,1.98
Yorkshire Dragons,10,D. Ulph,1311,0.19,1.69,1.88
Worthing Thunder,15,J. Hopkins,1310,1.01,0.85,1.86
Reading Rockets,8,V. Olarerin,1171,2.73,-0.9,1.82
Milton Keynes Breakers,12,J. Dietrich,906,1.74,-0.03,1.7
Hemel Storm,11,K. Walker,820,1.78,-0.08,1.7
Loughborough Riders,36,T. Akinsuku,917,0.83,0.84,1.67
Derby Trailblazers,22,J. Pathmarajah,1164,2.24,-0.57,1.67
