Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Loughborough Riders,J. Cook,12/31,J. Cook,21,29.0,609.2,331.0,15.8,119.0,285.0,41.8,60.0,174.0,34.5,33.0,38.0,86.8,22.0,57.0,79.0,39.0,19.0,8.0,22.0,24.0,289.7,24.2,27.6,3.3,6.6,5,336.0,16.0,28.0,12,2.0,22,3,25.7,26.3,6,1.62,0.02,1.61,2.9,2.7,44.0,28.0,63.6,67.0,31.0,46.3,174.0,60.0,34.5,6.0,12.0,0.0,4.0,29.0,114.0,66.0
Yorkshire Dragons,J. Whelan,23,J. Whelan,21,28.3,593.9,327.0,15.6,122.0,267.0,45.7,15.0,78.0,19.2,68.0,83.0,81.9,26.0,48.0,74.0,24.0,25.0,8.0,52.0,71.0,316.3,26.4,27.3,2.0,6.2,0,327.0,15.6,27.3,32,3.2,22,7,63.8,31.1,10,-2.79,-5.38,2.59,3.0,3.4,160.0,104.0,65,29.0,3.0,10.3,78.0,15.0,19.2,16.0,25.0,0.0,11.0,46.0,129.0,56.0
Yorkshire Dragons,R. Ani,1,R. Ani,21,11.6,243.2,91.0,4.3,29.0,70.0,41.4,6.0,29.0,20.7,27.0,40.0,67.5,19.0,16.0,35.0,17.0,20.0,9.0,15.0,24.0,80.3,16.3,18.5,3.5,7.1,0,91.0,4.3,18.5,3,1.0,5,2,25.5,5.9,3,2.42,-3.28,5.7,3.0,3.7,40.0,23.0,57.5,1.0,0.0,0,29.0,6.0,20.7,7.0,4.0,0.0,4.0,19.0,26.0,22.0
Loughborough Riders,L. Campbell,4,L. Campbell,21,10.7,225.0,86.0,4.1,35.0,73.0,47.9,15.0,34.0,44.1,1.0,2.0,50,7.0,13.0,20.0,25.0,7.0,1.0,23.0,29.0,86.3,19.5,19.4,5.6,4.5,3,89.0,4.2,20.1,5,5.0,2,0,125.0,3.0,1,-4.2,-5.56,1.36,2.3,2.7,22.0,14.0,63.6,17.0,6.0,35.3,34.0,15.0,44.1,11.0,8.0,0.0,4.0,15.0,26.0,13.0
Loughborough Riders,S. Wylie,43,S. Wylie,21,13.2,277.0,70.0,3.3,23.0,68.0,33.8,21.0,61.0,34.4,3.0,5.0,60,6.0,14.0,20.0,17.0,5.0,0.0,7.0,20.0,68.4,12.6,12.8,3.1,3.7,0,70.0,3.3,12.8,4,4.0,3,2,51.5,3.9,1,-4.29,-5.1,0.82,2.4,4.2,4.0,2.0,50,3.0,0.0,0,61.0,21.0,34.4,3.0,1.0,0.0,3.0,8.0,18.0,15.0
Loughborough Riders,D. Hadley,5,D. Hadley,21,11.0,231.6,61.0,2.9,25.0,61.0,41,6.0,29.0,20.7,5.0,7.0,71.4,10.0,21.0,31.0,12.0,4.0,2.0,14.0,30.0,65.4,14.4,13.4,2.6,6.8,3,64.0,3.0,14.0,0,0,0,0,0,0.0,0,-7.41,-8.56,1.15,3.3,4.3,27.0,18.0,66.7,5.0,1.0,20,29.0,6.0,20.7,6.0,5.0,0.0,3.0,4.0,30.0,21.0
Loughborough Riders,O. Curran,6,O. Curran,21,6.6,138.8,14.0,0.7,5.0,17.0,29.4,2.0,9.0,22.2,2.0,4.0,50,9.0,12.0,21.0,15.0,8.0,1.0,19.0,5.0,27.6,10.1,5.1,5.5,7.7,0,14.0,0.7,5.1,0,0,0,0,0,0.0,0,-6.13,-8.54,2.41,2.4,4.3,7.0,3.0,42.9,1.0,0.0,0,9.0,2.0,22.2,10.0,8.0,0.0,1.0,3.0,5.0,5.0
Newcastle Knights,J. Thames,11,J. Thames,20,38.3,766.8,506.0,25.3,193.0,353.0,54.7,27.0,83.0,32.5,93.0,116.0,80.2,44.0,115.0,159.0,88.0,34.0,9.0,50.0,33.0,393.6,25.6,33.0,5.7,10.4,32,538.0,26.9,35.1,68,6.8,50,16,59.6,61.0,10,6.48,2.68,3.8,3.2,1.8,210.0,141.0,67.1,60.0,25.0,41.7,83.0,27.0,32.5,17.0,26.0,0.0,7.0,86.0,177.0,143.0
Worthing Thunder,J. Hopkins,15,J. Hopkins,20,34.3,686.1,432.0,21.6,150.0,309.0,48.5,24.0,79.0,30.4,108.0,141.0,76.6,32.0,84.0,116.0,40.0,26.0,6.0,48.0,43.0,371.6,26.4,30.8,2.9,8.3,7,439.0,21.9,31.3,30,3.8,25,14,48.1,32.2,8,2.54,-1.12,3.66,3.2,1.9,183.0,112.0,61.2,47.0,14.0,29.8,79.0,24.0,30.4,15.0,14.0,0.0,19.0,48.0,175.0,94.0
Reading Rockets,V. Olarerin,8,V. Olarerin,20,31.9,638.2,414.0,20.7,160.0,328.0,48.8,36.0,126.0,28.6,58.0,67.0,86.6,49.0,66.0,115.0,51.0,43.0,5.0,42.0,43.0,336.5,27.9,34.3,4.2,9.5,2,416.0,20.8,34.4,35,5.0,28,5,57.9,31.2,7,8.05,1.88,6.17,2.9,2.3,166.0,111.0,66.9,36.0,13.0,36.1,126.0,36.0,28.6,19.0,21.0,0.0,2.0,93.0,134.0,124.0
Birmingham Rockets,Z. Powell,14,Z. Powell,20,29.8,595.4,350.0,17.5,131.0,286.0,45.8,19.0,58.0,32.8,69.0,91.0,75.8,21.0,78.0,99.0,84.0,27.0,7.0,57.0,35.0,347.6,29.4,29.6,7.1,8.4,14,364.0,18.2,30.7,9,1.3,18,9,20.5,22.0,7,3.18,-2.53,5.71,2.5,2.3,115.0,74.0,64.3,112.0,38.0,33.9,58.0,19.0,32.8,20.0,32.0,0.0,5.0,37.0,152.0,78.0
Birmingham Rockets,E. Donaldson,3,E. Donaldson,20,31.9,637.9,324.0,16.2,120.0,257.0,46.7,36.0,96.0,37.5,48.0,61.0,78.7,40.0,94.0,134.0,60.0,13.0,2.0,52.0,54.0,284.0,22.4,25.5,4.7,10.6,15,339.0,16.9,26.7,23,2.9,18,8,53.4,23.5,8,1.49,-3.1,4.59,3.4,2.8,111.0,69.0,62.2,50.0,15.0,30,96.0,36.0,37.5,23.0,23.0,0.0,6.0,63.0,84.0,65.0
Birmingham Rockets,R. Blain,0,R. Blain,20,32.7,654.0,322.0,16.1,127.0,239.0,53.1,14.0,49.0,28.6,54.0,96.0,56.2,30.0,97.0,127.0,72.0,40.0,13.0,44.0,38.0,283.4,21.8,24.8,5.5,9.8,12,334.0,16.7,25.7,31,3.4,21,11,60.0,32.8,9,5.3,-2.19,7.49,2.9,2.7,160.0,106.0,66.2,30.0,7.0,23.3,49.0,14.0,28.6,20.0,14.0,0.0,10.0,34.0,135.0,64.0
Reading Rockets,J. Bouknight,4,J. Bouknight,20,29.4,587.2,284.0,14.2,101.0,231.0,43.7,41.0,108.0,38,41.0,53.0,77.4,12.0,38.0,50.0,104.0,34.0,0.0,41.0,51.0,272.0,24.5,25.6,9.4,4.5,14,298.0,14.9,26.8,18,2.6,19,7,40.8,26.1,7,5.24,-0.08,5.31,1.4,1.9,65.0,42.0,64.6,58.0,18.0,31,108.0,41.0,38,26.0,11.0,0.0,4.0,24.0,82.0,74.0
Milton Keynes Breakers,D. Jackson,1/10/9,D. Jackson,20,26.7,534.5,277.0,13.8,104.0,234.0,44.4,43.0,112.0,38.4,26.0,35.0,74.3,27.0,67.0,94.0,46.0,24.0,5.0,36.0,39.0,248.1,23.9,26.8,4.5,9.1,8,285.0,14.2,27.6,10,1.7,14,4,31.7,19.8,6,4.01,-1.74,5.75,3.0,3.0,95.0,50.0,52.6,25.0,10.0,40,112.0,43.0,38.4,12.0,18.0,0.0,6.0,40.0,111.0,63.0
Bristol Flyers II,N. Ladjimi,24/8,N. Ladjimi,20,25.4,508.6,275.0,13.8,93.0,253.0,36.8,70.0,196.0,35.7,19.0,20.0,95,11.0,41.0,52.0,19.0,14.0,0.0,38.0,35.0,277.2,27.1,26.9,1.9,5.1,2,277.0,13.8,27.1,0,0.0,1,0,0.0,1.0,1,-3.83,-1.89,-1.94,2.6,1.9,21.0,10.0,47.6,36.0,13.0,36.1,196.0,70.0,35.7,19.0,13.0,0.0,6.0,29.0,88.0,42.0
Worthing Thunder,E. Maynard,22,E. Maynard,20,30.0,599.7,271.0,13.6,104.0,274.0,38,26.0,98.0,26.5,37.0,59.0,62.7,28.0,48.0,76.0,32.0,25.0,3.0,25.0,19.0,285.1,23.2,22.1,2.6,6.2,8,279.0,13.9,22.8,24,3.0,27,2,43.0,28.9,8,-2.0,-4.21,2.21,2.6,3.7,68.0,32.0,47.1,107.0,45.0,42.1,98.0,26.0,26.5,9.0,12.0,0.0,4.0,50.0,85.0,78.0
Loughborough Riders,J. Campbell,0,J. Campbell,20,30.4,607.7,267.0,13.3,104.0,269.0,38.7,49.0,151.0,32.5,10.0,15.0,66.7,15.0,78.0,93.0,122.0,27.0,3.0,73.0,35.0,320.3,26.8,22.3,10.2,7.8,2,269.0,13.4,22.5,9,3.0,7,3,54.1,10.3,3,-1.57,-3.08,1.52,1.8,1.8,85.0,46.0,54.1,33.0,9.0,27.3,151.0,49.0,32.5,52.0,19.0,0.0,2.0,26.0,75.0,43.0
Essex Rebels,T. Child,22,T. Child,20,33.2,664.6,266.0,13.3,95.0,250.0,38,60.0,164.0,36.6,16.0,24.0,66.7,18.0,56.0,74.0,116.0,25.0,3.0,59.0,46.0,289.5,21.8,19.9,8.7,5.5,13,279.0,13.9,20.9,23,3.8,16,2,68.1,19.9,6,-0.85,-2.58,1.73,1.9,2.3,45.0,23.0,51.1,40.0,11.0,27.5,164.0,60.0,36.6,35.0,20.0,0.0,4.0,41.0,77.0,74.0
