Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
ETB Miners,4,Quashawn Tyrese Lane,,21,30.4,638.2,335,16.0,110,216,50.9,17,45,37.8,98,115,85.2,20,79,99,129,30,1,66,34,54.9,62.8,23.2,100.7,21.0,2.8,3.7,13.9,8.9,36.3,2.4,0.2,19.8,0.53,13.37,7.19,6.18,122,70,57.4,49,23,46.9,0,0,0,29,25,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Itzehoe Eagles,2,Walter J McBride,,19,32.4,614.9,356,18.7,135,280,48.2,47,124,37.9,39,52,75.0,22,50,72,81,43,2,40,37,56.6,58.8,24.4,103.8,23.9,8.3,4.1,9.4,6.7,24.7,3.5,0.4,11.7,0.19,11.81,7.66,4.16,108,66,61.1,48,22,45.8,0,0,0,24,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BBC Coburg,13,Darius Dawson,,20,29.7,594.1,359,17.9,138,220,62.7,8,18,44.4,75,95,78.9,38,112,150,45,26,16,47,43,64.5,68.6,23.7,116.3,23.4,1.2,8.4,23.4,16.1,14.2,2.3,2.8,15.2,0.43,11.81,6.4,5.41,174,124,71.3,28,6,21.4,0,0,0,14,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ETB Miners,10,Mychael Paulo,,22,27.9,614.2,300,13.6,110,249,44.2,51,137,37.2,29,39,74.4,22,73,95,59,32,8,23,39,54.4,56.4,20.8,103.7,17.8,8.1,4.2,13.2,8.8,17.7,2.7,1.4,8.0,0.16,11.37,6.6,4.78,63,41,65.1,49,18,36.7,0,0,0,14,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Baskets Juniors TSG Westerstede,0,Jon'll Larenz Fugett,,17,34.8,592.1,412,24.2,127,324,39.2,59,190,31.1,99,126,78.6,20,58,78,93,32,2,59,43,48.3,54.3,30.9,94.0,30.0,13.8,3.8,11.8,7.7,29.1,2.7,0.4,13.5,0.39,11.32,7.85,3.47,108,58,53.7,26,10,38.5,0,0,0,30,20,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Porsche BBA Ludwigsburg,20,Simon Feneberg,,20,29.1,582.4,281,14.1,98,217,45.2,52,143,36.4,33,43,76.7,20,57,77,91,27,1,39,42,57.1,59.6,21.0,102.2,18.6,9.5,3.9,12.6,8.0,28.0,2.4,0.2,14.2,0.2,11.28,5.98,5.3,62,39,62.9,12,7,58.3,0,0,0,19,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Seawolves Academy,11,Jalen Page,,22,32.8,722.5,500,22.7,169,359,47.1,54,149,36.2,108,128,84.4,26,104,130,128,45,7,90,42,54.6,60.2,30.9,98.9,28.5,8.5,4.2,15.1,9.9,38.8,3.1,0.8,17.8,0.36,10.88,6.71,4.17,134,76,56.7,76,39,51.3,0,0,0,47,27,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Dresden Titans,25,Sebastian Heck,,16,28.0,448.3,146,9.1,56,105,53.3,10,30,33.3,24,38,63.2,37,88,125,95,45,20,40,46,58.1,60.0,16.2,90.3,11.6,2.4,10.2,22.0,16.4,33.9,5.1,4.5,24.7,0.36,10.8,4.02,6.78,73,45,61.6,2,1,50,0,0,0,17,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
LOK BERNAU,24,Guy Artman Nahmias,,21,26.8,562.9,293,14.0,99,208,47.6,36,99,36.4,59,71,83.1,14,55,69,102,37,0,46,49,56.2,61.2,21.0,102.7,16.9,5.7,2.7,10.8,6.7,30.1,3.3,0.0,16.1,0.34,10.58,5.22,5.36,86,52,60.5,23,11,47.8,0,0,0,20,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
TSV Neustadt temps Shooters,10,Matej Jelovcic,,19,33.3,633.0,421,22.2,126,300,42.0,46,152,30.3,123,160,76.9,38,112,150,76,40,0,66,59,49.7,56.8,28.7,96.5,27.3,9.8,6.4,19.2,12.7,21.8,3.1,0.0,15.1,0.53,10.32,5.88,4.45,80,47,58.8,68,33,48.5,0,0,0,29,24,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
