Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
BMA365 Bamberg Baskets,"Balint R., Watson I., Williams C., Onu E., Demonia D.","BMA365 Bamberg Baskets|11,2,24,35,8",26,87.8,5271.0,178,53,129,41.1,24,64,37.5,48,61,78.7,0,0,0,35,0,0,23,0,197,178.8,99.5,99.0,0.6,2.03,-19
Telekom Baskets Bonn,"Aminu J., Garrett Jr. J., Birts T., Kessens M., Murphy G.","Telekom Baskets Bonn|21,4,5,6,7",19,57.5,3448.0,142,50,101,49.5,22,50,44.0,20,31,64.5,0,0,0,26,0,0,18,0,85,132.6,107.1,76.9,30.1,2.47,57
Fitness First Würzburg Baskets,"Mintz D., Skladanowski C., Stove J., Edigin Jr E., Carr M.","Fitness First Würzburg Baskets|10,19,22,27,5",13,52.2,3133.0,99,34,69,49.3,11,27,40.7,20,24,83.3,0,0,0,13,0,0,19,0,83,98.6,100.4,86.0,14.4,1.9,16
SYNTAINICS MBC,"Thomas K., Gunn R., Callison C., Planinic J., Foster M.","SYNTAINICS MBC|0,21,23,44,5",13,44.2,2655.0,81,28,65,43.1,10,30,33.3,15,21,71.4,0,0,0,16,0,0,14,0,111,88.2,91.8,122.4,-30.6,1.83,-30
VET-CONCEPT Gladiators Trier,"Linßen M., Roland J., King U., Adekunle N., Brooks E.","VET-CONCEPT Gladiators Trier|12,15,20,22,55",12,35.9,2154.0,72,26,55,47.3,10,25,40.0,10,11,90.9,0,0,0,17,0,0,16,0,75,75.8,94.9,103.4,-8.4,2.01,-3
SKYLINERS,"Johnson L., LeDee J., Pape T., Alleyne N., Christmas W.","SKYLINERS|0,13,19,4,8",11,30.4,1827.0,46,19,50,38.0,3,16,18.8,5,9,55.6,0,0,0,9,0,0,9,0,48,63.0,73.1,90.3,-17.2,1.51,-2
SKYLINERS,"Johnson L., Pape T., Hawkins R., Alleyne N., Christmas W.","SKYLINERS|0,19,33,4,8",7,29.3,1760.0,47,20,54,37.0,4,20,20.0,3,3,100.0,0,0,0,8,0,0,8,0,48,63.3,74.2,87.7,-13.4,1.6,-1
Fitness First Würzburg Baskets,"Mintz D., Ivey B., Skladanowski C., Stove J., Edigin Jr E.","Fitness First Würzburg Baskets|10,11,19,22,27",7,27.2,1632.0,57,19,35,54.3,12,21,57.1,7,10,70.0,0,0,0,12,0,0,9,0,47,48.4,117.8,93.8,24.0,2.1,10
RASTA Vechta,"Brown T., Verge Jr. A., Herkenhoff P., Dandridge M., Bamba T.","RASTA Vechta|10,11,14,23,5",5,24.7,1480.0,38,13,35,37.1,2,14,14.3,10,12,83.3,0,0,0,5,0,0,11,0,37,51.3,74.1,71.6,2.5,1.54,1
MHP RIESEN Ludwigsburg,"Polas Bartolo Y., Buchanan T., Tischler B., Smith S., Kellman K.","MHP RIESEN Ludwigsburg|13,2,24,3,32",7,20.5,1228.0,27,10,26,38.5,2,10,20.0,5,5,100.0,0,0,0,3,0,0,5,0,52,33.2,81.3,129.1,-47.8,1.32,-25
