Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
MLP Academics Heidelberg,"Weathers M., Ersek E., Keßen M., Weathers M., Flowers M.","MLP Academics Heidelberg|0,11,15,20,6",None,Player None,200,Damariae Horne,2,6,2,0,2,1.0,3.0
MLP Academics Heidelberg,"Weathers M., Osunniyi O., Weathers M., Neskovic D.","MLP Academics Heidelberg|0,12,20,7",None,Player None,200,Damariae Horne,2,5,1,1,2,1.0,2.5
MLP Academics Heidelberg,"Weathers M., Ersek E., Keßen M., Seric M., McClain K.","MLP Academics Heidelberg|0,11,15,21,3",None,Player None,100,Damariae Horne,1,3,1,0,1,1.0,3.0
MLP Academics Heidelberg,"Williamson S., Ersek E., Keßen M., Würzner N., Reed II E.","MLP Academics Heidelberg|10,11,15,2,43",None,Player None,100,Damariae Horne,1,3,1,0,1,1.0,3.0
MLP Academics Heidelberg,"Weathers M., Williamson S., Osunniyi O., Reed II E.","MLP Academics Heidelberg|0,10,12,43",None,Player None,100,Damariae Horne,1,3,1,0,1,1.0,3.0
MLP Academics Heidelberg,"Weathers M., Williamson S., Damariae Horne, Osunniyi O., Reed II E., Zipser P.","MLP Academics Heidelberg|0,10,100,12,43,9",None,Player None,100,Damariae Horne,1,3,1,0,1,1.0,3.0
MLP Academics Heidelberg,"Ersek E., Keßen M., Seric M., McClain K., Zipser P.","MLP Academics Heidelberg|11,15,21,3,9",None,Player None,100,Damariae Horne,1,3,1,0,1,1.0,3.0
MLP Academics Heidelberg,"Weathers M., Damariae Horne, Ersek E., Seric M., Zipser P.","MLP Academics Heidelberg|0,100,11,21,9",None,Player None,100,Damariae Horne,1,3,1,0,1,1.0,3.0
MLP Academics Heidelberg,"Weathers M., Williamson S., Damariae Horne, Seric M., Zipser P.","MLP Academics Heidelberg|0,10,100,21,9",None,Player None,100,Damariae Horne,1,3,1,0,1,1.0,3.0
MLP Academics Heidelberg,"Keßen M., Weathers M., Damariae Horne, Seric M., McClain K., Reed II E., Zipser P.","MLP Academics Heidelberg|15,20,200,21,3,43,9",None,Player None,200,Damariae Horne,1,3,1,0,1,1.0,3.0
MLP Academics Heidelberg,"Weathers M., Koch N., Damariae Horne, Osunniyi O., Weathers M., Seric M., Neskovic D.","MLP Academics Heidelberg|0,1,100,12,20,21,7",None,Player None,100,Damariae Horne,1,3,1,0,1,1.0,3.0
MLP Academics Heidelberg,"Weathers M., Keßen M., Weathers M., Flowers M., Neskovic D.","MLP Academics Heidelberg|0,15,20,6,7",None,Player None,200,Damariae Horne,1,3,1,0,1,1.0,3.0
MLP Academics Heidelberg,"Weathers M., Keßen M., Weathers M., Damariae Horne, Neskovic D.","MLP Academics Heidelberg|0,15,20,200,7",None,Player None,200,Damariae Horne,1,3,1,0,1,1.0,3.0
MLP Academics Heidelberg,"Williamson S., Keßen M., Weathers M., Seric M., Flowers M., Zipser P.","MLP Academics Heidelberg|10,15,20,21,6,9",None,Player None,100,Damariae Horne,1,3,1,0,1,1.0,3.0
MLP Academics Heidelberg,"Ersek E., Osunniyi O., Seric M., McClain K., Zipser P.","MLP Academics Heidelberg|11,12,21,3,9",None,Player None,100,Damariae Horne,1,2,0,1,1,1.0,2.0
MLP Academics Heidelberg,"Weathers M., Ersek E., Osunniyi O., Seric M., McClain K., Zipser P.","MLP Academics Heidelberg|0,11,12,21,3,9",None,Player None,100,Damariae Horne,1,2,0,1,1,1.0,2.0
MLP Academics Heidelberg,"Ersek E., Keßen M., Weathers M., Seric M., McClain K., Reed II E., Zipser P.","MLP Academics Heidelberg|11,15,20,21,3,43,9",None,Player None,200,Damariae Horne,1,2,0,1,1,1.0,2.0
MLP Academics Heidelberg,"Koch N., Ersek E., Keßen M., Würzner N., Weathers M., Seric M.","MLP Academics Heidelberg|1,11,15,2,20,21",None,Player None,100,Damariae Horne,1,2,0,1,1,1.0,2.0
MLP Academics Heidelberg,"Ersek E., Osunniyi O., Weathers M., Neskovic D.","MLP Academics Heidelberg|11,12,20,7",None,Player None,200,Damariae Horne,1,2,0,1,1,1.0,2.0
MLP Academics Heidelberg,"Ersek E., Keßen M., Weathers M., McClain K., Flowers M., Zipser P.","MLP Academics Heidelberg|11,15,20,3,6,9",None,Player None,200,Damariae Horne,1,2,0,1,1,1.0,2.0
MLP Academics Heidelberg,"Ersek E., Osunniyi O., Keßen M., Weathers M., McClain K., Zipser P.","MLP Academics Heidelberg|11,12,15,20,3,9",None,Player None,200,Damariae Horne,1,2,0,1,1,1.0,2.0
