Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
BMA365 Bamberg Baskets,"Balint R., Demonia D., Onu E., Watson I., Williams C.",26,55754,886.5,338,112,257,43.6,45,131,34.4,69,90,76.7,42,88,130,66,26,17,37,102,290,12.4,12.5,12.2,192.3,196.1,52.3,57,58.9,28.2,55,9.3,35,51,116.6,341,107,255,42,41,116,35.3,86,115,74.8,72,107,179,67,22,10,50,83,284,50,55.8,14.1,45,45.5,119.9,105,63,60,21,4,19,131,45,34.4,21,12,0,4,-3.3,105,53,50.5,34,13,38.2,116,41,35.3,21,15,0,14,47,62,50,77,65,42
Telekom Baskets Bonn,"Aminu J., Birts T., Garrett Jr. J., Kessens M., Murphy G.",19,39210,636.4,183,62,128,48.4,27,60,45,32,53,60.4,30,38,68,42,20,3,23,39,146,8.6,9,8.2,267.7,291.6,59,60.5,67.7,39.5,63.3,10.6,41.4,46.9,125,138,51,111,45.9,17,44,38.6,19,25,76,22,46,68,23,13,4,36,39,134,53.6,56.6,22.8,36.7,39.6,102.6,63,33,52.4,5,2,40,60,27,45,11,10,0,2,22.3,53,33,62.3,14,1,7.1,44,17,38.6,16,13,0,7,43,28,46,31,13,11
Fitness First Würzburg Baskets,"Carr M., Edigin Jr E., Mintz D., Skladanowski C., Stove J.",13,25217,400.0,137,46,101,45.5,13,40,32.5,32,37,86.5,14,46,60,21,12,4,25,38,127,12.2,12.1,12.2,198.1,196.5,52,58.4,45.7,25.5,69.7,15.3,36.6,39.6,107.6,149,52,116,44.8,19,49,38.8,26,32,81.2,20,41,61,35,11,3,19,35,128,53,57.3,12.7,30.3,42.2,116.1,54,29,53.7,7,4,57.1,40,13,32.5,9,8,0,8,-8.5,53,30,56.6,14,3,21.4,49,19,38.8,10,6,0,3,15,27,30,30,24,14
Telekom Baskets Bonn,"Birts T., Comithier A., Garrett Jr. J., Kessens M., Murphy G.",10,769,4.0,122,42,106,39.6,10,54,18.5,28,50,56,37,47,84,28,9,3,12,21,104,330.3,325.6,335.1,7.4,7.2,44.3,47.7,66.7,52.1,81,7.1,47.2,50.9,117,108,37,97,38.1,13,55,23.6,21,24,87.5,11,34,45,21,8,2,12,41,107,44.8,50.2,10,19,56.7,100.6,46,32,69.6,6,0,0,54,10,18.5,7,3,0,2,16.4,38,22,57.9,4,2,50,55,13,23.6,8,4,0,0,41,28,20,16,16,14
SYNTAINICS MBC,"Callison C., Foster M., Gunn R., Planinic J., Thomas K.",13,27268,439.0,99,35,83,42.2,13,38,34.2,16,24,66.7,13,31,44,21,7,2,20,35,100,9,8.8,9.1,271.4,264.2,50,52.9,60,25.5,52.5,14.9,28.9,45.8,98.5,133,53,108,49.1,13,35,37.1,14,23,60.9,28,38,66,27,13,5,13,34,103,55.1,56.3,9.9,47.5,32.4,128.9,29,16,55.2,16,6,37.5,38,13,34.2,7,9,0,4,-30.3,58,35,60.3,15,5,33.3,35,13,37.1,7,5,0,1,15,13,22,26,14,26
SKYLINERS,"Alleyne N., Christmas W., Johnson L., LeDee J., Pape T.",11,23816,390.4,87,33,77,42.9,4,23,17.4,17,24,70.8,12,35,47,18,8,2,18,22,93,9.1,9.4,8.8,256.1,273.3,45.5,49.7,54.5,26.7,77.8,14.6,31.2,29.9,93.5,94,34,77,44.2,12,32,37.5,14,19,73.7,10,33,43,23,12,2,12,27,87,51.9,55.1,12.3,22.2,41.6,107.9,41,21,51.2,13,8,61.5,23,4,17.4,6,10,0,2,-14.3,35,20,57.1,10,2,20,32,12,37.5,5,7,0,0,10,22,18,9,14,24
VET-CONCEPT Gladiators Trier,"Adekunle N., Brooks E., King U., Linßen M., Roland J.",12,25119,405.3,95,35,78,44.9,12,35,34.3,13,14,92.9,14,26,40,24,14,1,22,32,91,8.7,8.7,8.6,275.5,278.8,52.6,56.4,68.6,32.6,72.2,16.9,17.9,44.9,104.2,98,34,68,50,9,29,31,21,30,70,10,29,39,19,12,7,19,19,90,56.6,60.3,19,27.8,42.6,108.8,36,21,58.3,7,2,28.6,35,12,34.3,11,8,0,3,-4.6,31,19,61.3,8,6,75,29,9,31,7,10,0,2,13,14,22,9,26,23
Telekom Baskets Bonn,"Birts T., Comithier A., Cooks Z., Heckmann P., Jongkuch K.",5,277,0.7,92,33,65,50.8,9,21,42.9,17,22,77.3,8,29,37,15,11,4,20,26,86,746.3,746.2,746.5,3.2,3.2,57.7,61.6,45.5,25,64.4,18.2,33.8,32.3,106.8,78,27,68,39.7,6,20,30,18,29,62.1,16,24,40,11,9,5,21,23,86,44.1,48.3,20.6,35.6,29.4,90.5,36,20,55.6,8,4,50,21,9,42.9,7,11,0,2,16.3,43,20,46.5,5,1,20,20,6,30,13,5,0,3,13,16,31,19,9,12
SYNTAINICS MBC,"Callison C., Foster M., Gunn R., Planinic J., Reaves S.",5,4746,67.6,80,27,68,39.7,12,31,38.7,14,22,63.6,19,23,42,14,9,2,11,15,71,35.6,35.7,35.6,67.3,67.4,48.5,51.5,51.9,41.3,74.2,10.7,32.4,45.6,113.4,84,27,57,47.4,11,23,47.8,19,22,86.4,8,27,35,16,3,3,12,22,70,57,63,15.3,25.8,40.4,119.3,29,9,31,8,6,75,31,12,38.7,5,5,0,1,-5.9,26,15,57.7,8,1,12.5,23,11,47.8,7,4,0,1,19,8,18,11,17,19
SKYLINERS,"Alleyne N., Caisin R., Christmas W., Pape T., Swope I.",4,597,3.7,86,26,47,55.3,9,21,42.9,25,31,80.6,5,22,27,6,13,3,13,16,69,269.8,277.2,262.4,8.7,9.1,64.9,70.9,23.1,20.8,66.7,16.3,66,44.7,124.7,55,17,49,34.7,5,22,22.7,16,22,72.7,11,19,30,12,7,3,18,25,65,39.8,46.9,23.5,33.3,44.9,84.3,21,12,57.1,5,5,100,21,9,42.9,6,6,0,1,40.4,24,12,50,3,0,0,22,5,22.7,7,7,0,4,18,22,27,1,17,16
