Canonical,Team,Numbers,Variations
Keppeler D.,BMA365 Bamberg Baskets,31,Keppeler D.
Krimmer M.,BMA365 Bamberg Baskets,27,Krimmer M.
Ensminger Z.,BMA365 Bamberg Baskets,1,Ensminger Z.
Petkovic A.,BMA365 Bamberg Baskets,15,Petkovic A.
Höllerl N.,BMA365 Bamberg Baskets,55,Höllerl N.
Onu E.,BMA365 Bamberg Baskets,35,Onu E.
Watson I.,BMA365 Bamberg Baskets,2,Watson I.
Döntgens F.,BMA365 Bamberg Baskets,7,Döntgens F.
Demonia D.,BMA365 Bamberg Baskets,8,Demonia D.
Balint R.,BMA365 Bamberg Baskets,11,Balint R.
Williams C.,BMA365 Bamberg Baskets,24,Williams C.
Crowley A.,BMA365 Bamberg Baskets,85,Crowley A.
Hundt B.,ALBA BERLIN,33,Hundt B.
Mattisseck J.,ALBA BERLIN,9,Mattisseck J.
Agbakoko N.,ALBA BERLIN,17,Agbakoko N.
Delow M.,ALBA BERLIN,6,Delow M.
Kayil J.,ALBA BERLIN,7,Kayil J.
Griesel S.,ALBA BERLIN,5,Griesel S.
Bean J.,ALBA BERLIN,34,Bean J.
Artman Nahmias G.,ALBA BERLIN,24,Artman Nahmias G.
Wood M.,ALBA BERLIN,11,Wood M.
Roberts J.,ALBA BERLIN,13,Roberts J.
Echodas M.,ALBA BERLIN,14,Echodas M.
O'Connell A.,ALBA BERLIN,3,O'Connell A.
Nufer A.,ALBA BERLIN,20,Nufer A.
Tischler N.,EWE Baskets Oldenburg,11,Tischler N.
Zubcic T.,EWE Baskets Oldenburg,33,Zubcic T.
Hinrichs S.,EWE Baskets Oldenburg,21,Hinrichs S.
Harms J.,EWE Baskets Oldenburg,20,Harms J.
Hounnou R.,EWE Baskets Oldenburg,5,Hounnou R.
Woodard J.,EWE Baskets Oldenburg,10,Woodard J.
Fobbs B.,EWE Baskets Oldenburg,4,Fobbs B.
Lofton K.,EWE Baskets Oldenburg,0,Lofton K.
Kyser M.,EWE Baskets Oldenburg,12,Kyser M.
Clemons C.,EWE Baskets Oldenburg,3,Clemons C.
Giffey N.,FC Bayern München Basketball,5,Giffey N.
