# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 348
# Qualified players exported: 146
# Total stints used: 4258
# Garbage time stints excluded: 157
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Veolia Towers Hamburg,13,Breunig M.,349,3.35,2.41,5.77
ALBA BERLIN,34,Bean J.,587,2.18,2.79,4.98
RASTA Vechta,41,Pandi L.,330,4.99,-0.21,4.78
Telekom Baskets Bonn,4,Garrett Jr. J.,591,2.92,1.62,4.54
SKYLINERS,19,Pape T.,540,1.45,2.92,4.37
ratiopharm ulm,7,Jensen T.,493,1.23,2.94,4.17
MHP RIESEN Ludwigsburg,7,Hughes E.,482,1.21,2.86,4.07
ALBA BERLIN,9,Mattisseck J.,445,1.09,2.9,3.99
MLP Academics Heidelberg,12,Osunniyi O.,264,0.93,2.67,3.6
Veolia Towers Hamburg,34,Williams R.,262,2.48,1.11,3.59
SKYLINERS,16,Caisin R.,543,1.57,1.73,3.3
BMA365 Bamberg Baskets,2,Watson I.,710,2.18,1.11,3.29
SKYLINERS,1,Swope I.,698,1.13,2.15,3.28
VET-CONCEPT Gladiators Trier,9,Hollersbacher M.,478,2.15,0.94,3.09
ALBA BERLIN,13,Roberts J.,446,1.33,1.66,2.99
ratiopharm ulm,43,Sengfelder C.,358,0.85,2.14,2.99
ratiopharm ulm,15,Simon J.,300,-0.77,3.64,2.87
FC Bayern München Basketball,5,Giffey N.,258,1.82,1.0,2.82
EWE Baskets Oldenburg,12,Kyser M.,428,2.57,0.11,2.68
MHP RIESEN Ludwigsburg,18,Wohlfarth-Bottermann J.,259,2.86,-0.3,2.56
VET-CONCEPT Gladiators Trier,21,Rapieque E.,322,2.6,-0.14,2.46
Fitness First Würzburg Baskets,10,Mintz D.,485,0.92,1.53,2.46
SYNTAINICS MBC,44,Planinic J.,392,2.54,-0.2,2.34
RASTA Vechta,11,Verge Jr. A.,551,0.94,1.4,2.33
