Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
FC Bayern München Basketball,11,Lucic V.,,13,21.6,280.2,145,11.2,41,73,56.2,19,40,47.5,44,50,88.0,12,44,56,26,9,2,12,18,69.2,76.3,18.1,135.5,15.2,4.2,6.0,18.2,12.7,14.2,1.7,0.9,11.2,0.68,12.16,6.46,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Bayern München Basketball,16,Jovic S.,,10,18.2,182.4,66,6.6,24,42,57.1,5,16,31.2,13,16,81.2,5,29,34,49,15,1,19,11,63.1,67.3,17.9,97.0,9.0,2.2,3.8,18.6,11.8,41.9,4.4,0.6,27.9,0.38,12.07,4.84,7.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Bayern München Basketball,44,Baldwin K.,,7,20.5,143.4,62,8.9,26,49,53.1,7,17,41.2,3,5,60.0,3,17,20,26,6,3,5,8,60.2,60.5,18.4,110.3,12.1,3.3,2.7,14.3,8.7,29.8,2.2,2.2,8.9,0.1,11.71,5.62,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Telekom Baskets Bonn,7,Murphy G.,,24,26.0,623.8,272,11.3,113,262,43.1,27,105,25.7,19,33,57.6,35,81,116,170,44,2,36,37,48.3,49.2,22.6,87.0,15.0,5.8,6.3,16.9,11.3,48.0,3.8,0.4,11.5,0.13,11.14,5.4,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Bayern München Basketball,13,Obst A.,,19,21.9,416.6,279,14.7,88,188,46.8,47,122,38.5,56,61,91.8,6,31,37,32,18,0,28,25,59.3,64.9,27.7,114.9,20.3,8.9,2.0,8.8,5.7,13.5,2.4,0.0,11.5,0.32,10.75,6.08,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Bayern München Basketball,10,Jessup J.,,23,23.3,536.9,254,11.0,94,200,47.0,43,107,40.2,23,27,85.2,19,50,69,44,20,4,16,40,57.8,59.9,20.3,111.5,15.2,6.4,4.7,11.0,8.1,14.1,2.0,0.9,7.0,0.14,10.16,5.28,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Bayern München Basketball,26,Dinwiddie S.,,6,26.7,160.1,77,12.8,22,56,39.3,13,32,40.6,20,23,87.0,1,14,15,21,2,1,9,7,50.9,58.2,22.2,102.5,17.7,7.4,0.8,9.7,5.4,21.7,0.7,0.6,12.0,0.41,10.09,5.59,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Bayern München Basketball,32,Gabriel W.,,17,19.0,323.1,170,10.0,63,93,67.7,1,4,25.0,43,72,59.7,35,44,79,11,11,20,27,35,68.3,68.2,22.6,112.1,13.8,0.3,15.0,16.0,15.5,6.2,1.9,7.0,17.8,0.77,9.21,4.04,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EWE Baskets Oldenburg,3,Clemons C.,,24,30.6,735.1,454,18.9,153,334,45.8,72,176,40.9,76,86,88.4,10,68,78,102,41,0,61,65,56.6,61.0,28.2,104.9,25.7,10.0,1.8,11.9,6.9,26.2,3.0,0.0,14.1,0.26,9.12,5.81,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Bayern München Basketball,0,Dimitrijevic N.,,6,19.9,119.6,56,9.3,16,37,43.2,5,15,33.3,19,21,90.5,2,10,12,21,3,1,8,12,50.0,60.6,21.5,103.2,12.5,3.3,2.5,9.4,6.4,28.5,1.4,0.9,14.7,0.57,8.98,3.96,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBA BERLIN,15,Hermannsson M.,,17,24.2,411.8,223,13.1,73,164,44.5,25,66,37.9,52,57,91.2,11,31,42,83,12,0,34,33,52.1,59.0,24.7,100.0,17.4,5.1,3.2,9.0,6.1,34.8,1.6,0.0,15.2,0.35,8.9,4.96,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBA BERLIN,34,Bean J.,,25,22.6,566.0,293,11.7,107,207,51.7,29,72,40.3,50,65,76.9,47,105,152,31,25,8,22,35,58.7,62.2,20.6,113.7,15.5,3.8,10.2,22.5,16.4,9.8,2.4,1.8,8.5,0.31,8.74,4.93,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigers Tübingen,24,Wood J.,,1,28.9,28.9,22,22.0,8,18,44.4,3,11,27.3,3,3,100.0,1,0,1,6,2,0,3,3,52.8,56.9,38.3,98.6,31.4,15.7,3.6,0.0,1.9,59.6,4.0,0.0,13.4,0.17,8.66,7.15,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
