Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
Coviran Granada,"Elias Valtonen, Lluís Costa, Luka Bozic, Matt Thomas, Zach Hankins",Real Madrid,"Chuma Okeke, David Kramer, Mario Hezonja, Theo Maledon, W. Tavares",1,576,9.6,16.6,20,8,16,50,3,7,42.9,1,2,50,3,1,4,3,1,1,2,5,30,13,15,86.7,2,2,100,2,3,66.7,1,6,7,8,0,3,2,5,16.0,17.2,124.8,173.9,-49.1,173.9,124.8,49.1,-10,0,0,0,9,5,55.6,7,3,42.9,1,1,100,12,10,83.3,2,2,100,0,0,0,2,0,1,0,1,5,0,2,5,0,4
Unicaja,"Chris Duarte, J. Webb, Kendrick Perry, Nihad Djedovic, Olek Balcerowski",UCAM Murcia,"David DeJulius, Dylan Ennis, Emanuel Cate, Sander Raieste, Toni Nakic",1,530,8.8,15.9,14,5,13,38.5,1,3,33.3,3,4,75,1,5,6,5,2,1,2,2,21,8,16,50,3,5,60,2,3,66.7,3,7,10,6,0,2,2,3,15.7,16.1,89.2,130.4,-41.1,130.4,89.2,41.1,-7,0,0,0,10,4,40,3,1,33.3,2,2,100,9,3,33.3,5,3,60,1,1,0,0,2,0,0,0,2,0,4,4,0,2
UCAM Murcia,"David DeJulius, Dylan Ennis, Emanuel Cate, Sander Raieste, Toni Nakic",Joventut Badalona,"Ante Tomic, Cameron Hunt, Miguel Allen, Ricky Rubio, Yannick Kraag",1,531,8.8,15.8,19,8,15,53.3,3,6,50,0,0,0,1,7,8,5,1,2,2,5,18,7,18,38.9,3,4,75,1,2,50,4,6,10,6,0,1,1,2,15.9,15.6,119.3,115.4,3.9,115.4,119.3,-3.9,1,0,0,0,9,5,55.6,6,3,50,0,0,0,14,4,28.6,4,3,75,0,2,0,0,1,0,0,0,0,0,0,2,0,2
Río Breogán,"Arturs Kurucs, Danko Brankovic, DeWayne Russell, Keandre Cook, Mihajlo Andric",Real Madrid,"Alex Len, Chuma Okeke, David Kramer, Facu Campazzo, Mario Hezonja",1,488,8.1,15.8,6,2,12,16.7,2,8,25,0,2,0,1,4,5,3,1,0,3,1,29,11,18,61.1,5,6,83.3,2,2,100,3,10,13,8,3,1,1,2,14.9,16.7,40.2,174,-133.7,174,40.2,133.7,-23,1,0,0,3,0,0,8,2,25,3,3,100,9,3,33.3,6,5,83.3,2,0,1,0,1,0,0,0,0,0,0,2,0,5
Real Madrid,"Facu Campazzo, Gabriele Procida, Mario Hezonja, Sergio Llull, W. Tavares",Unicaja,"Chris Duarte, Jonathan Barreiro, Kendrick Perry, Olek Balcerowski, Tyson Pérez",1,395,6.6,13.9,18,6,11,54.5,1,6,16.7,5,5,100,0,6,6,5,1,0,1,1,16,6,17,35.3,2,6,33.3,2,2,100,5,5,10,1,1,0,1,2,14.2,13.5,126.8,118.3,8.5,118.3,126.8,-8.5,2,2,2,100,3,3,100,6,1,16.7,0,0,0,11,4,36.4,6,2,33.3,1,0,0,0,0,1,0,0,0,0,0,4,0,3
Real Madrid,"Alberto Abalde, Facu Campazzo, Mario Hezonja, Sergio Llull, W. Tavares",Barça,"Kevin Punter, Miles Norris, Myles Cale, Tomas Satoransky, Willy Hernangómez",1,484,8.1,13.4,23,9,13,69.2,3,6,50,2,2,100,2,3,5,6,2,0,1,3,21,8,13,61.5,4,6,66.7,1,1,100,1,2,3,4,0,0,2,2,12.7,14.1,180.5,148.9,31.6,148.9,180.5,-31.6,2,2,2,100,5,4,80,6,3,50,1,0,0,6,4,66.7,6,4,66.7,1,0,0,0,0,1,1,0,4,0,3,2,0,0
Coviran Granada,"Elias Valtonen, Jonathan Rousselle, Luka Bozic, Matt Thomas, Zach Hankins",Baskonia,"Clement Frisch, Hamidou Diallo, Mamadi Diakite, Markquis Nowell, Rafael Villar",1,463,7.7,12.7,19,6,10,60,1,3,33.3,6,6,100,1,4,5,2,2,0,1,1,16,7,13,53.8,2,6,33.3,0,0,0,2,3,5,2,0,1,2,6,12.6,12.9,151.2,124.4,26.7,124.4,151.2,-26.7,3,1,1,100,6,4,66.7,3,1,33.3,1,1,100,6,4,66.7,6,2,33.3,0,1,0,0,2,0,0,0,2,0,6,4,0,0
Casademont Zaragoza,"Bojan Dubljevic, Marco Spissu, Miguel González, Santi Yusta, Trae Bell-Haynes",Real Madrid,"Alberto Abalde, Facu Campazzo, Gabriel Deck, Trey Lyles, W. Tavares",1,315,5.2,12.7,14,6,11,54.5,1,3,33.3,1,2,50,0,3,3,2,3,0,1,2,14,6,9,66.7,1,3,33.3,1,1,100,0,6,6,4,1,1,3,3,12.9,12.4,108.7,112.5,-3.8,112.5,108.7,3.8,0,0,0,0,8,5,62.5,3,1,33.3,2,2,100,4,3,75,3,1,33.3,1,0,0,0,2,1,0,0,0,0,4,0,0,3
La Laguna Tenerife,"Aaron Doornekamp, Giorgi Shermadini, Joan Sastre, Marcelinho Huertas, Rokas Giedraitis",Recoletas Salud San Pablo Burgos,"J. Samuels, Jhivvan Jackson, Jon Axel Gudmundsson, Leo Meindl, Luke Fischer",1,409,6.8,12.6,15,5,10,50,2,3,66.7,3,4,75,2,3,5,4,2,0,2,3,18,7,11,63.6,1,2,50,3,3,100,1,4,5,3,2,0,2,5,12.0,13.2,125.2,135.8,-10.6,135.8,125.2,10.6,-3,0,0,0,7,3,42.9,3,2,66.7,0,0,0,9,6,66.7,2,1,50,2,0,0,0,2,0,0,0,0,0,0,0,0,4
Río Breogán,"Aleksandar Aranitovic, Bakary Dibba, Dominik Mavra, Dragan Apic, Francis Alonso",Real Madrid,"Andrés Feliz, Gabriele Procida, Sergio Llull, Trey Lyles, Usman Garuba",1,378,6.3,12.3,18,7,14,50,2,6,33.3,2,2,100,3,4,7,3,2,0,1,3,12,5,9,55.6,1,4,25,1,1,100,0,3,3,2,0,0,3,1,12.1,12.4,148.3,96.5,51.9,96.5,148.3,-51.9,6,0,0,0,8,5,62.5,6,2,33.3,1,1,100,4,3,75,4,1,25,0,1,0,0,2,0,0,1,7,0,2,0,0,0
