Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
UCAM Murcia,"Emanuel Cate, Sander Raieste, Dylan Ennis, David DeJulius, Toni Nakic",16,5640,208,78,177,44.1,29,79,36.7,23,26,88.5,35,72,107,50,11,9,22,39,155,73.9,73.3,74.5,32.7,32.2,52.3,55.2,64.1,36.1,73.5,8.4,14.7,44.6,120.8,188,70,168,41.7,24,55,43.6,24,36,66.7,26,62,88,38,11,11,19,45,161,48.8,51.1,9.4,26.5,32.7,107.4,13.4,7,7,100,91,42,46.2,79,29,36.7,14,5,0,3,2,2,100,111,44,39.6,55,24,43.6,8,6,0,5
Dreamland Gran Canaria,"Mike Tobey, Isaiah Wong, L. Labeyrie, Andrew Albicy, Nico Brussino",15,5826,193,69,143,48.3,24,65,36.9,31,42,73.8,14,55,69,40,18,6,27,43,153,70.8,71.5,70.1,33.6,34.2,56.6,59.8,58,18.9,73.3,11.8,29.4,45.5,111.2,180,64,138,46.4,22,62,35.5,30,37,81.1,20,60,80,43,19,5,37,60,145,54.3,58.3,19.3,26.7,44.9,105.8,5.5,4,4,100,74,41,55.4,65,24,36.9,16,8,1,2,6,6,100,70,36,51.4,62,22,35.5,20,11,1,5
UCAM Murcia,"Devontae Cacok, Sander Raieste, Dylan Ennis, David DeJulius, Toni Nakic",15,4864,190,66,137,48.2,29,68,42.6,29,39,74.4,22,50,72,41,13,2,27,45,145,75.4,78.5,72.2,30.6,33.2,58.8,61.6,62.1,28.9,75.8,12.2,28.5,49.6,119.4,162,62,129,48.1,17,45,37.8,21,22,95.5,16,54,70,30,17,3,25,51,136,54.7,58.4,15.3,24.2,34.9,110.7,8.6,2,2,100,67,35,52.2,68,29,42.6,12,9,1,5,8,8,100,76,37,48.7,45,17,37.8,10,10,1,4
Río Breogán,"Keandre Cook, Jordan Sakho, Mihajlo Andric, DeWayne Russell, Arturs Kurucs",14,4426,153,58,124,46.8,21,63,33.3,16,21,76.2,21,31,52,27,14,3,19,43,110,67.9,70.9,64.9,33.9,37.0,55.2,57.4,46.6,30.4,62,10.6,16.9,50.8,117,167,61,110,55.5,25,47,53.2,20,22,90.9,19,48,67,37,11,2,20,31,108,66.8,69.8,14.3,38,42.7,139.4,-22.4,2,2,100,59,35,59.3,63,21,33.3,10,5,0,4,5,5,100,58,31,53.4,47,25,53.2,13,4,1,2
Surne Bilbao,"Martin Krampelj, Darrun Hilliard, Margiris Normantas, Harald Frey, Tryggvi Hlinason",10,4084,142,53,109,48.6,16,39,41,20,21,95.2,20,35,55,32,18,4,24,29,107,70.9,70.5,71.2,34.0,33.7,56,60,60.4,37,71.4,13.8,19.3,35.8,118.3,141,55,103,53.4,14,41,34.1,17,20,85,14,34,48,36,16,9,24,33,113,60.2,63.1,17.7,28.6,39.8,116.4,1.9,13,13,100,57,24,42.1,39,16,41,13,9,1,1,6,5,83.3,56,36,64.3,41,14,34.1,15,6,1,2
Río Breogán,"Keandre Cook, Danko Brankovic, Mihajlo Andric, DeWayne Russell, Arturs Kurucs",13,3826,143,56,111,50.5,22,51,43.1,9,16,56.2,15,30,45,37,15,5,12,28,104,72.2,72,72.4,33.3,33.1,60.4,60.6,66.1,25.9,61.2,7.2,14.4,45.9,124.5,140,55,104,52.9,14,37,37.8,16,20,80,19,43,62,29,9,3,23,30,107,59.6,62.1,16.9,38.8,35.6,121.2,3.3,6,4,66.7,54,30,55.6,51,22,43.1,3,5,1,3,11,11,100,56,30,53.6,37,14,37.8,13,5,2,3
Río Breogán,"Bakary Dibba, Francis Alonso, Aleksandar Aranitovic, Dominik Mavra, Dragan Apic",12,3332,123,43,95,45.3,15,40,37.5,22,27,81.5,20,33,53,22,14,3,19,29,101,76,74.3,77.7,32.3,30.9,53.2,57.5,51.2,40.8,67.3,12.8,28.4,42.1,119.2,117,41,91,45.1,12,37,32.4,23,28,82.1,16,29,45,23,10,3,22,24,99,51.6,56.6,17.6,32.7,40.7,108.5,10.7,2,2,100,53,26,49.1,40,15,37.5,8,6,0,5,3,3,100,51,26,51,37,12,32.4,9,8,0,5
Dreamland Gran Canaria,"Pierre Pelos, Mike Tobey, Isaiah Wong, Andrew Albicy, Nico Brussino",12,3078,100,36,77,46.8,8,25,32,20,25,80,12,28,40,24,9,2,15,25,81,71.7,70.8,72.6,33.9,33.1,51.9,56.8,66.7,27.9,59.6,11.8,32.5,32.5,110.2,117,36,80,45,22,49,44.9,23,32,71.9,19,31,50,28,9,6,18,23,85,58.8,62.2,16.1,40.4,61.3,125.7,-15.6,3,2,66.7,49,26,53.1,25,8,32,8,5,0,2,1,1,100,30,13,43.3,49,22,44.9,11,5,0,2
Bàsquet Girona,"Otis Livingston, Martinas Geben, Sergi Martínez, Mindaugas Susinskas, Derek Needham",8,2668,99,37,76,48.7,17,39,43.6,8,10,80,11,35,46,25,9,3,13,25,74,74.3,73.7,75,32.6,32.0,59.9,61.6,67.6,27.5,71.4,11,13.2,51.3,120.8,78,24,72,33.3,8,33,24.2,22,25,88,14,29,43,12,10,1,15,18,75,38.9,47,15.3,28.6,45.8,93.6,27.2,5,5,100,32,15,46.9,39,17,43.6,9,3,0,1,0,0,0,39,16,41,33,8,24.2,5,7,0,3
Valencia Basket,"Brancou Badio, Kameron Taylor, Darius Thompson, Nate Reuvers, Jaime Pradilla",10,2362,97,37,69,53.6,13,32,40.6,10,12,83.3,7,31,38,25,8,7,12,19,74,79,79.6,78.5,30.2,30.6,63,65.3,67.6,23.3,73.8,10.8,17.4,46.4,123.9,71,28,71,39.4,7,30,23.3,8,12,66.7,11,23,34,10,8,1,13,27,70,44.4,46.5,14.6,26.2,42.3,91.9,32,4,4,100,33,20,60.6,32,13,40.6,7,2,1,2,1,1,100,40,20,50,30,7,23.3,7,3,0,3
