Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Adam Hanga,Asisa Joventut,88,Adam Hanga,"Cameron Hunt, Henri Drell, Ricky Rubio, Simon Birgander",1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,145.5,122.1,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Hanga,Asisa Joventut,88,Adam Hanga,"Cameron Hunt, Michael Ruzic, Ricky Rubio, Yannick Kraag",1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,77.3,58.9,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Hanga,Asisa Joventut,88,Adam Hanga,"Cameron Hunt, Guillem Vives, Henri Drell, Simon Birgander",1,1.9,3,1,2,50.0,1,1,100.0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,3.0,92.9,185.8,69.4,116.3,75.0,75.0,0.0,0.0,0,0,0,1,0,0,1,1,100,0,0,0,0,0,0,3,0,0
Adam Hanga,Asisa Joventut,88,Adam Hanga,"Ante Tomic, Cameron Hunt, Ludde Hakanson, Michael Ruzic",1,1.8,2,1,2,50.0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,2.0,69.9,69.9,0.0,69.9,50.0,50.0,0.0,0.0,0,0,0,1,1,100,1,0,0,0,0,0,0,0,0,0,0,2
Adam Hanga,Asisa Joventut,88,Adam Hanga,"Cameron Hunt, Guillem Vives, Michael Ruzic, Simon Birgander",1,1.3,0,0,2,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0.0,0.0,66.7,173.6,-106.9,0.0,0.0,0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Hanga,Asisa Joventut,88,Adam Hanga,"Guillem Vives, Ludde Hakanson, Michael Ruzic, Simon Birgander",1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3.0,150.0,150.0,35.6,114.4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Hanga,Asisa Joventut,88,Adam Hanga,"Ante Tomic, Cameron Hunt, Michael Ruzic, Ricky Rubio",1,1.1,3,1,1,100.0,0,0,0,1,1,100.0,0,0,0,0,0,0,0,1,1,0,3,3.0,105.8,105.8,106.4,-0.6,100.0,104.2,0.0,0.0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
Adam Hanga,Asisa Joventut,88,Adam Hanga,"Cameron Hunt, Ricky Rubio, Simon Birgander, Yannick Kraag",1,1.1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,146.0,0.0,146.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Hanga,Asisa Joventut,88,Adam Hanga,"Cameron Hunt, Michael Ruzic, Ricky Rubio, Simon Birgander",1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,106.4,72.5,33.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ante Tomic,Asisa Joventut,44,Ante Tomic,"Cameron Hunt, Henri Drell, Ludde Hakanson, Yannick Kraag",1,5.1,4,2,3,66.7,0,0,0,0,0,0,1,0,1,0,0,0,1,1,3,0,4,4.0,38.8,97.1,100.0,-2.9,66.7,66.7,0.0,25.0,0,0,0,3,2,66.7,0,0,0,0,0,0,0,0,1,2,0,0
Ante Tomic,Asisa Joventut,44,Ante Tomic,"Cameron Hunt, Michael Ruzic, Ricky Rubio, Yannick Kraag",1,4.7,2,0,0,0,0,0,0,2,2,100.0,0,0,0,0,0,0,0,0,1,0,2,2.0,25.6,153.6,70.3,83.3,0,113.6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
