# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 594
# Qualified players exported: 181
# Total stints used: 5321
# Garbage time stints excluded: 178
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Real Madrid,12,Theo Maledon,484,1.55,4.04,5.59
Dreamland Gran Canaria,2,Isaiah Wong,652,3.18,2.14,5.31
Real Madrid,1,David Kramer,353,2.9,2.37,5.27
Bàsquet Girona,4,Pep Busquets,771,3.91,1.06,4.96
Kosner Baskonia,1,Mamadi Diakite,364,2.21,2.72,4.93
Recoletas Salud San Pablo Burgos,19,Raul Neto,611,2.37,2.24,4.61
Hiopos Lleida,2,Corey Walden,639,0.35,4.23,4.58
Joventut Badalona,12,Ludde Hakanson,521,0.5,3.99,4.49
Valencia Basket,5,Sergio de Larrea,386,2.03,2.44,4.47
Joventut Badalona,17,Sam Dekker,323,1.33,3.09,4.42
Real Madrid,8,Chuma Okeke,376,1.28,2.86,4.13
Surne Bilbao,10,Martin Krampelj,491,1.63,2.5,4.12
UCAM Murcia,13,Wilhelm Falk,271,0.74,3.22,3.96
Barça,8,Darío Brizuela,442,1.38,2.52,3.9
Valencia Basket,24,Matt Costello,532,0.28,3.59,3.87
Joventut Badalona,35,Simon Birgander,521,0.14,3.72,3.86
Barça,14,Willy Hernangómez,549,3.04,0.72,3.76
Surne Bilbao,32,Tryggvi Hlinason,537,2.01,1.68,3.69
Hiopos Lleida,1,James Batemon,793,0.65,2.82,3.47
Valencia Basket,0,Brancou Badio,506,-0.57,4.03,3.46
Río Breogán,10,Francis Alonso,705,1.68,1.76,3.44
Real Madrid,6,Alberto Abalde,435,1.28,2.12,3.4
UCAM Murcia,15,Emanuel Cate,674,-0.08,3.47,3.39
Barça,5,Miles Norris,315,3.05,0.27,3.31
Kosner Baskonia,11,Trent Forrest,307,3.84,-0.59,3.26
Kosner Baskonia,9,Luwawu-Cabarrot,425,0.73,2.49,3.22
Real Madrid,7,Facu Campazzo,662,1.57,1.46,3.03
UCAM Murcia,1,Michael Forrest,544,1.39,1.59,2.98
Valencia Basket,1,Kameron Taylor,528,4.42,-1.47,2.95
Kosner Baskonia,10,Matteo Spagnolo,395,0.9,1.94,2.83
UCAM Murcia,12,Jonah Radebaugh,480,0.51,2.16,2.67
BAXI Manresa,N/A,A. Reyes,648,0.38,2.29,2.66
Dreamland Gran Canaria,5,Ziga Samar,435,0.23,2.4,2.63
UCAM Murcia,2,Sander Raieste,717,1.23,1.3,2.53
Bàsquet Girona,8,Mark Hughes,613,1.86,0.6,2.45
Bàsquet Girona,25,Nikola Maric,420,-0.14,2.52,2.39
Kosner Baskonia,7,Rodions Kurucs,390,1.17,1.14,2.31
La Laguna Tenerife,35,Fran Guerra,486,1.55,0.6,2.16
Real Madrid,9,Gabriele Procida,334,1.7,0.29,1.98
Casademont Zaragoza,2,Trae Bell-Haynes,357,-0.05,1.94,1.89
UCAM Murcia,5,David DeJulius,821,1.0,0.89,1.89
Recoletas Salud San Pablo Burgos,40,Luke Fischer,510,1.53,0.33,1.85
Coviran Granada,11,Elias Valtonen,358,1.8,0.03,1.82
Joventut Badalona,9,Ricky Rubio,611,0.61,1.08,1.7
MoraBanc Andorra,3,Aaron Best,298,0.88,0.8,1.68
BAXI Manresa,2,Hugo Benitez,386,1.67,-0.02,1.64
MoraBanc Andorra,99,Artem Pustovyi,266,0.82,0.82,1.64
Valencia Basket,12,Neal Sako,372,-1.01,2.55,1.53
Río Breogán,17,Aleksandar Aranitovic,686,2.23,-0.71,1.52
Kosner Baskonia,17,Gytis Radzevicius,355,1.98,-0.54,1.44
La Laguna Tenerife,15,Joan Sastre,392,1.52,-0.08,1.44
Barça,23,Tornike Shengelia,556,0.18,1.25,1.43
UCAM Murcia,8,Howard Sant-Roos,682,0.52,0.9,1.42
Unicaja,4,Tyler Kalinoski,324,1.07,0.31,1.38
Valencia Basket,3,Nate Reuvers,568,1.95,-0.6,1.36
Recoletas Salud San Pablo Burgos,27,Ethan Happ,523,-0.88,2.23,1.35
Bàsquet Girona,29,Mindaugas Susinskas,553,-0.84,2.17,1.33
Río Breogán,4,DeWayne Russell,720,2.1,-0.93,1.17
Surne Bilbao,7,Justin Jaworski,485,-0.02,1.14,1.12
Real Madrid,22,W. Tavares,529,-0.39,1.49,1.1
