Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Asisa Joventut,9,R. Rubio,,2,20.6,41.2,27,13.5,8,17,47.1,2,7,28.6,9,12,75.0,4,1,5,12,0,0,3,3,52.9,60.6,27.2,106.8,22.7,5.9,11.6,2.3,6.5,53.6,0.0,0.0,11.9,0.71,16.14,8.75,7.4,1,0,0,10,6,60,7,2,28.6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Asisa Joventut,88,A. Hanga,,1,16.2,16.2,10,10.0,4,9,44.4,1,3,33.3,1,1,100.0,2,1,3,2,2,0,0,2,50.0,53.0,24.7,105.9,18.5,5.6,15.9,5.1,9.4,30.7,8.6,0.0,0.0,0.11,15.02,6.15,8.87,1,0,0,6,3,50,3,1,33.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosner Baskonia,9,Luwawu-Cabarrot,,11,22.3,245.4,223,20.3,63,124,50.8,32,76,42.1,65,70,92.9,32,4,36,30,14,0,15,30,63.7,72.0,31.5,131.3,31.8,10.8,15.8,2.2,9.3,22.5,3.7,0.0,8.8,0.56,14.81,10.71,4.1,4,0,0,48,31,64.6,76,32,42.1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
Unicaja,11,J. Cobbs,,2,16.1,32.2,30,15.0,11,17,64.7,6,8,75.0,2,2,100.0,1,0,1,4,1,0,0,3,82.4,83.9,26.4,167.8,24.5,6.5,4.9,0.0,2.3,27.1,2.1,0.0,0.0,0.12,14.35,11.08,3.27,0,0,0,9,5,55.6,8,6,75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia Basket,8,J. Montero,,16,20.2,323.6,225,14.1,76,176,43.2,35,87,40.2,38,42,90.5,25,9,34,50,22,1,19,15,53.1,57.8,28.7,105.4,22.3,8.6,9.2,3.1,6.1,26.3,4.4,0.3,8.9,0.24,13.15,7.57,5.58,12,3,25,86,38,44.2,87,35,40.2,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia Basket,1,K. Taylor,,15,21.4,320.7,164,10.9,64,120,53.3,21,43,48.8,15,21,71.4,45,10,55,36,18,7,15,30,62.1,63.4,19.8,113.7,17.3,4.5,16.5,3.7,10.2,18.0,3.6,2.3,10.4,0.17,13.03,7.14,5.89,12,2,16.7,75,41,54.7,43,21,48.8,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Baskonia,11,T. Forrest,,2,26.1,52.1,32,16.0,6,13,46.2,1,6,16.7,19,19,100.0,5,0,5,12,3,0,4,1,50.0,74.9,21.0,126.2,23.0,4.3,11.3,0.0,5.8,34.9,3.3,0.0,15.8,1.46,12.8,8.62,4.19,1,1,100,6,4,66.7,6,1,16.7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia Basket,4,J. Pradilla,,20,21.0,419.1,214,10.7,81,134,60.4,17,42,40.5,35,51,68.6,72,44,116,50,15,2,30,22,66.8,68.4,19.4,114.8,16.8,3.3,20.1,12.2,16.1,18.8,2.3,0.5,16.1,0.38,12.51,7.27,5.24,52,8,15.4,84,57,67.9,42,17,40.5,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
Asisa Joventut,44,A. Tomic,,2,18.6,37.2,23,11.5,8,13,61.5,0,1,0.0,7,9,77.8,11,2,13,3,0,0,1,7,61.5,67.8,21.4,128.1,19.4,0.8,35.3,5.2,18.6,15.4,0.0,0.0,5.6,0.69,12.49,6.98,5.5,2,0,0,12,8,66.7,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosner Baskonia,11,T. Forrest,,7,24.8,173.5,88,12.6,28,46,60.9,6,15,40.0,26,30,86.7,15,4,19,26,9,2,15,5,67.4,74.3,19.4,118.6,19.5,3.3,10.4,3.0,6.9,23.1,3.3,1.1,20.2,0.65,12.44,7.67,4.77,5,1,20,30,21,70,15,6,40,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
