Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
Fitness First Würzburg Baskets,"Carr M., Mintz D., Muenkat D., Stove J., Thompson C.",Science City Jena,"Braxton JR K., Dunn-Martin T., Herrera A., Osobor G., Washington E., Wieskamp J.",1,668,11.1,21.6,22,8,19,42.1,2,7,28.6,4,4,100,2,8,10,3,3,3,2,1,24,8,18,44.4,5,10,50,3,4,75,2,8,10,4,1,1,5,1,20.4,22.6,107.8,106.1,1.7,106.1,107.8,-1.7,-2,9,5,55.6,3,1,33.3,7,2,28.6,5,2,40,3,1,33.3,10,5,50,1,1,0,0,2,2,0,1,6,5,7,0,7,8
Fitness First Würzburg Baskets,"Carr M., Ivey B., Mintz D., Muenkat D., Saffer L.",Basketball Löwen Braunschweig,"Flanigan C., NGuessan D., Njie B., Obiesie J., Schröder B.",1,706,11.8,21.1,27,8,19,42.1,2,8,25,9,11,81.8,5,7,12,6,3,0,3,6,21,7,16,43.8,3,7,42.9,4,6,66.7,3,7,10,5,1,1,5,9,21.9,20.8,123.1,101.2,21.9,101.2,123.1,-21.9,6,10,6,60,1,0,0,8,2,25,8,4,50,1,0,0,7,3,42.9,1,1,0,1,2,2,0,1,10,4,7,4,2,4
Fitness First Würzburg Baskets,"Carr M., Edigin Jr E., Ivey B., Muenkat D., Pjanic A.",Basketball Löwen Braunschweig,"NGuessan D., Njie B., Obiesie J., Scuka L., Sherfield G.",1,579,9.7,15.9,19,6,13,46.2,2,3,66.7,5,6,83.3,6,6,12,3,2,1,6,9,19,5,15,33.3,2,9,22.2,7,10,70,5,1,6,5,4,0,2,5,15.2,16.5,124.8,114.9,9.9,114.9,124.8,-9.9,0,6,3,50,4,1,25,3,2,66.7,4,1,25,2,2,100,9,2,22.2,3,2,0,1,0,2,0,0,7,2,4,9,2,8
FC Bayern München Basketball,"Giffey N., Jessup J., Kratzer L., Lucic V., Obst A., da Silva O.",BMA365 Bamberg Baskets,"Crowley A., Demonia D., Onu E., Watson I., Williams C.",1,416,6.9,15.1,23,6,13,46.2,4,8,50,7,8,87.5,3,2,5,3,4,0,3,2,22,7,10,70,5,6,83.3,3,4,75,2,4,6,5,1,0,4,3,16.3,14.2,141,155.4,-14.4,155.4,141,14.4,1,3,2,66.7,2,0,0,8,4,50,4,2,50,0,0,0,6,5,83.3,1,1,0,1,4,0,0,0,3,2,4,5,2,5
EWE Baskets Oldenburg,"Clemons C., Fobbs B., Kyser M., Penn E., Woodard J.",Science City Jena,"Bohannon N., Carter C., Christen R., Krause K., Washington E.",1,494,8.2,14.9,25,8,17,47.1,7,12,58.3,2,2,100,4,2,6,7,1,0,2,6,22,6,8,75,5,7,71.4,5,8,62.5,1,4,5,4,1,0,4,3,15.1,14.8,165.9,148.6,17.4,148.6,165.9,-17.4,3,5,1,20,0,0,0,12,7,58.3,1,1,100,0,0,0,7,5,71.4,2,0,0,0,0,3,0,1,8,3,6,2,2,7
VET-CONCEPT Gladiators Trier,"Adekunle N., Brooks E., King U., Linßen M., Roland J.",Telekom Baskets Bonn,"Aminu J., Birts T., Garrett Jr. J., Kessens M., Murphy G.",2,365,6.1,13.1,11,4,6,66.7,1,3,33.3,2,2,100,0,4,4,5,1,1,6,4,21,9,13,69.2,3,5,60,0,1,0,1,2,3,5,5,0,1,2,12.9,13.6,85.4,154.6,-69.2,154.6,85.4,69.2,-10,3,3,100,0,0,0,3,1,33.3,8,6,75,0,0,0,5,3,60,2,3,0,1,0,1,0,0,0,2,2,2,6,8
Eisbären Bremerhaven,"Biss J., Breitlauch A., Carter C., Falkenthal R., Warner H.",EWE Baskets Oldenburg,"Fobbs B., Kyser M., Lofton K., Tischler N., Woodard J.",1,377,6.3,12.9,12,5,10,50,0,4,0,2,2,100,0,2,2,3,1,1,1,0,26,11,15,73.3,4,5,80,0,0,0,2,5,7,6,1,0,1,2,11.9,13.9,101,187.6,-86.6,187.6,101,86.6,-14,6,5,83.3,0,0,0,4,0,0,9,6,66.7,1,1,100,5,4,80,1,0,0,0,0,1,0,0,0,4,2,2,8,4
Telekom Baskets Bonn,"Birts T., Comithier A., Cooks Z., Heckmann P., Jongkuch K.",FC Bayern München Basketball,"Dinwiddie S., Giffey N., Hollatz J., McCormack D., Obst A.",1,412,6.9,12.5,9,4,12,33.3,0,3,0,1,2,50,2,3,5,3,2,0,1,5,17,3,8,37.5,3,6,50,8,10,80,2,6,8,2,0,0,3,2,11.7,13.3,76.7,128.2,-51.5,128.2,76.7,51.5,-8,6,4,66.7,3,0,0,3,0,0,2,0,0,0,0,0,6,3,50,0,1,0,0,1,2,0,0,2,2,4,5,2,0
MLP Academics Heidelberg,"Keßen M., McClain K., Neskovic D., Seric M., Würzner N.",FC Bayern München Basketball,"Dimitrijevic N., Giffey N., Jovic S., Voigtmann J., da Silva O.",1,388,6.5,11.9,12,4,10,40,2,5,40,2,2,100,0,1,1,3,2,1,2,6,13,4,10,40,1,3,33.3,4,5,80,6,6,12,1,1,1,4,3,12.9,10.7,93.2,121.5,-28.4,121.5,93.2,28.4,-1,5,2,40,0,0,0,5,2,40,7,3,42.9,0,0,0,3,1,33.3,1,0,0,1,0,3,0,1,0,2,2,5,0,2
RASTA Vechta,"Bamba T., Brown T., Thiemann L., Verge Jr. A., van Slooten L.",EWE Baskets Oldenburg,"Fobbs B., Fugett J., Hinrichs S., Kyser M., Tucker D.",1,373,6.2,11.9,11,5,12,41.7,1,4,25,0,0,0,0,3,3,3,0,0,1,4,17,6,10,60,1,3,33.3,4,4,100,1,7,8,4,1,0,0,2,13.0,10.7,84.6,159,-74.4,159,84.6,74.4,-6,8,4,50,0,0,0,4,1,25,5,4,80,2,1,50,3,1,33.3,0,1,0,0,0,0,0,0,0,0,2,2,2,0
