Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
BK KVIS Pardubice,"R. Moffatt, L. Kovář, Z. Key, R. Bonham, J. Bryant",25,10120,353,127,291,43.6,37,119,31.1,62,77,80.5,48,124,172,86,28,16,37,68,301,70.9,71.5,70.3,33.6,34.1,50,54.3,67.7,28.9,73.8,8.3,26.5,40.9,117.1,290,114,282,40.4,38,120,31.7,24,38,63.2,44,118,162,68,17,10,54,92,296,47.2,48.5,15.3,26.2,42.6,97.9,19.3,123,70,56.9,49,20,40.8,117,37,31.6,17,10,2,8,105,57,54.3,54,19,35.2,118,37,31.4,21,23,6,4
SLUNETA  Ústí nad Labem,"A. Pecháček, N. Johnson, J. Potoček, T. Vyoral, L. Pecka",24,6941,239,87,187,46.5,29,85,34.1,36,46,78.3,32,86,118,49,20,8,46,54,212,73.7,73.4,74,32.7,32.4,54.3,57.7,56.3,31.7,72.9,15.2,24.6,45.5,112.5,210,79,192,41.1,27,94,28.7,25,43,58.1,32,69,101,47,23,8,44,58,214,48.2,49.8,17.3,27.1,49,98.1,14.4,70,43,61.4,31,15,48.4,85,29,34.1,17,11,2,16,74,38,51.4,24,14,58.3,94,27,28.7,11,18,1,14
BK Opava,"W. Person Jr, C. Brown Jr, Š. Puršl, R. Kouřil, J. Slavík",12,4605,164,65,130,50,14,47,29.8,20,35,57.1,21,53,74,49,11,3,19,30,137,72.1,71.7,72.5,33.5,33.1,55.4,56.4,75.4,29.2,76.8,8.9,26.9,36.2,119.1,157,62,129,48.1,15,51,29.4,18,25,72,16,51,67,35,7,5,21,48,139,53.9,56.1,13,23.2,39.5,112.8,6.3,62,42,67.7,21,9,42.9,47,14,29.8,11,5,0,3,49,32,65.3,29,15,51.7,51,15,29.4,7,8,2,4
BK Olomoucko,"M. Nelson, K. Elvis, J. Andre, K. Filewich, O. Šiška",11,3927,152,61,114,53.5,16,45,35.6,14,20,70,21,35,56,34,9,2,17,27,114,68.5,69.7,67.2,34.4,35.7,60.5,61.9,55.7,37.5,64.8,9.8,17.5,39.5,133.3,140,53,105,50.5,17,45,37.8,17,24,70.8,19,35,54,37,9,3,18,18,109,58.6,60.6,13.5,35.2,42.9,127.3,6,41,27,65.9,28,18,64.3,45,16,35.6,8,5,1,3,43,26,60.5,17,10,58.8,45,17,37.8,10,5,0,3
BK Opava,"W. Person Jr, C. Brown Jr, R. Kouřil, J. Slavík, J. Švandrlík",11,3557,141,50,100,50,17,50,34,24,33,72.7,17,35,52,32,7,6,15,30,108,71.6,72.9,70.4,32.9,34.1,58.5,61.6,64,31.5,68.6,9.3,33,50,130.5,139,52,95,54.7,16,40,40,19,31,61.3,16,37,53,38,8,3,16,29,104,63.2,64,12.8,31.4,42.1,133.3,-2.7,34,25,73.5,15,8,53.3,50,17,34,5,8,0,2,32,24,75,23,12,52.2,40,16,40,8,4,2,2
USK Praha,"J. Montgomery, T. Henderson Jr., D. Vlk, O. Švec, T. Tainamo",12,3404,132,47,89,52.8,10,32,31.2,28,34,82.4,12,40,52,34,9,4,20,30,107,75.9,75.8,76,31.7,31.6,58.4,63.5,72.3,28.6,61.5,12.7,38.2,36,122.8,124,45,103,43.7,9,42,21.4,25,37,67.6,25,30,55,25,7,1,18,33,107,48.1,52,13.1,38.5,40.8,115,7.8,39,28,71.8,18,9,50,32,10,31.2,7,8,2,3,45,29,64.4,16,7,43.8,42,9,21.4,8,6,1,3
SK Slavia Praha,"M. Ježek, R. Jones, J. Matušík, D. Böhm, M. Dáňa",11,3196,114,42,89,47.2,12,31,38.7,18,34,52.9,21,33,54,21,10,4,16,29,95,71.2,71.3,71.1,33.6,33.8,53.9,54.8,50,38.2,66,11.4,38.2,34.8,120,99,34,84,40.5,12,42,28.6,19,24,79.2,17,34,51,28,7,2,21,29,94,47.6,52.3,18.2,34,50,104.6,15.4,44,23,52.3,14,7,50,31,12,38.7,4,8,0,4,28,17,60.7,14,5,35.7,42,12,28.6,9,3,4,5
SLUNETA  Ústí nad Labem,"A. Pecháček, N. Johnson, T. Vyoral, L. Pecka, F. Kábrt",15,2671,84,28,66,42.4,6,26,23.1,22,37,59.5,11,32,43,16,4,0,17,28,84,72.8,76.2,69.4,31.5,34.6,47,51,57.1,24.4,64,14.7,56.1,39.4,99.1,86,32,78,41,11,42,26.2,11,17,64.7,18,34,52,17,14,1,13,29,77,48.1,50.3,13.2,36,53.8,111.3,-12.2,31,17,54.8,9,5,55.6,26,6,23.1,8,7,0,2,22,16,72.7,13,5,38.5,42,11,26.2,2,5,1,5
PUMPA Basket Brno,"Š. Svoboda, A. Kejval, V. Půlpán, J. Groves, R. Williams",7,2686,87,32,73,43.8,6,30,20,17,25,68,17,37,54,18,7,4,19,25,82,72.6,73.8,71.3,32.5,33.6,47.9,51.8,56.2,37.8,66.1,15.7,34.2,41.1,105.4,81,29,85,34.1,12,43,27.9,11,14,78.6,19,28,47,20,6,3,11,29,79,41.2,44.4,10.8,33.9,50.6,101.5,3.9,28,17,60.7,15,9,60,30,6,20,6,6,1,6,26,10,38.5,16,7,43.8,43,12,27.9,7,1,1,2
BK Olomoucko,"K. Elvis, J. Andre, J. Holmes, K. Filewich, O. Šiška",7,2750,103,44,78,56.4,10,28,35.7,5,9,55.6,11,35,46,27,9,4,14,16,81,70.6,71.2,69.9,33.7,34.3,62.8,62.8,61.4,31.4,72.9,11.4,11.5,35.9,126.3,76,30,73,41.1,6,27,22.2,10,17,58.8,13,24,37,20,10,2,16,21,80,45.2,47.2,16.6,27.1,37,94.8,31.5,30,23,76.7,20,11,55,28,10,35.7,10,2,1,1,31,19,61.3,15,5,33.3,27,6,22.2,10,6,0,0
