Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
ERA Basketball Nymburk,10,S. Rice,,23,19.7,454.0,341,14.8,104,190,54.7,31,83,37.3,102,122,83.6,24,59,83,96,34,18,57,45,62.9,70.0,27.8,113.4,18.0,4.4,5.7,12.3,9.3,31.9,3.7,4.2,19.0,0.64,14.5,7.08,7.42,85,64,75.3,19,6,31.6,83,31,37.3,31,20,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ERA Basketball Nymburk,7,M. Santos - Silva,,14,15.9,222.9,153,10.9,65,91,71.4,0,0,0,23,41,56.1,36,51,87,26,26,6,8,42,71.4,70.2,21.7,130.7,13.0,0.0,16.7,23.1,19.9,19.7,5.6,3.0,6.8,0.45,13.22,5.93,7.3,79,56,70.9,12,9,75,0,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BK KVIS Pardubice,4,J. Bryant,,28,27.7,775.5,584,20.9,197,405,48.6,45,132,34.1,145,168,86.3,35,113,148,118,59,4,70,69,54.2,61.0,30.7,106.4,26.2,5.9,4.6,14.7,9.7,28.2,3.9,0.5,12.8,0.41,12.98,7.04,5.94,202,122,60.4,68,28,41.2,128,44,34.4,30,34,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ERA Basketball Nymburk,19,O. Sehnal,,22,21.0,462.4,199,9.0,71,144,49.3,29,79,36.7,28,45,62.2,10,72,82,137,19,0,40,35,59.4,60.7,18.6,97.6,11.0,4.4,2.3,14.7,8.9,40.6,2.0,0.0,19.6,0.31,12.82,5.98,6.84,51,37,72.5,14,5,35.7,79,29,36.7,30,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ERA Basketball Nymburk,32,J. Shumate,,16,20.6,328.9,172,10.8,63,121,52.1,24,68,35.3,22,31,71.0,24,42,66,31,10,18,11,30,62.0,63.9,18.6,118.1,13.0,5.1,7.9,12.0,10.1,13.2,1.5,5.8,7.6,0.26,12.0,6.17,5.83,44,36,81.8,9,3,33.3,68,24,35.3,5,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ERA Basketball Nymburk,2,J. Brickus,,18,18.8,338.1,114,6.3,43,93,46.2,18,47,38.3,10,12,83.3,15,49,64,87,17,4,25,33,55.9,58.0,15.6,92.5,7.8,3.2,4.9,13.5,9.6,33.3,2.5,1.2,20.3,0.13,11.52,4.98,6.54,25,17,68,21,8,38.1,47,18,38.3,14,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ERA Basketball Nymburk,77,V. Hruban,,25,16.9,421.3,237,9.5,84,156,53.8,30,69,43.5,39,48,81.2,21,47,68,51,29,13,26,49,63.5,66.9,20.2,116.7,11.5,3.3,5.3,10.5,8.0,17.6,3.4,3.3,12.8,0.31,11.2,5.11,6.09,52,43,82.7,35,11,31.4,69,30,43.5,17,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERA Basketball Nymburk,73,F. Rylich,,26,19.0,494.7,236,9.1,86,180,47.8,46,112,41.1,18,25,72.0,9,34,43,50,44,0,16,64,60.6,61.8,17.6,114.0,11.0,5.2,2.0,6.5,4.4,14.2,4.4,0.0,7.7,0.14,10.73,4.61,6.12,55,37,67.3,13,3,23.1,112,46,41.1,8,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ERA Basketball Nymburk,11,M. Svoboda,,24,19.4,465.0,250,10.4,88,188,46.8,39,101,38.6,35,43,81.4,18,50,68,41,20,4,24,24,57.2,60.4,20.9,108.3,12.6,5.1,4.2,10.1,7.3,12.5,2.1,0.9,10.4,0.23,9.97,5.04,4.92,68,45,66.2,18,3,16.7,101,39,38.6,9,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ERA Basketball Nymburk,17,J. Bohačík,,21,20.5,431.5,234,11.1,72,174,41.4,47,130,36.2,43,59,72.9,10,37,47,65,14,0,28,48,54.9,58.5,22.2,102.6,13.5,7.5,2.5,8.1,5.5,20.9,1.6,0.0,12.3,0.34,9.8,4.85,4.96,31,17,54.8,13,8,61.5,130,47,36.2,18,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BK KVIS Pardubice,13,R. Moffatt,,26,28.8,747.7,266,10.2,93,218,42.7,62,164,37.8,18,27,66.7,33,93,126,49,44,0,10,60,56.9,57.9,13.9,110.9,12.8,7.9,4.4,12.5,8.5,9.8,3.0,0.0,4.2,0.12,9.61,5.02,4.59,39,26,66.7,15,5,33.3,157,59,37.6,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BK KVIS Pardubice,3,R. Bonham,,27,26.3,710.5,414,15.3,137,335,40.9,49,167,29.3,91,106,85.8,18,90,108,123,42,6,74,61,48.2,54.2,27.8,90.9,19.3,7.8,2.6,12.8,7.7,29.1,3.0,0.9,16.2,0.32,9.12,4.42,4.7,123,71,57.7,42,15,35.7,162,48,29.6,44,24,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
SLUNETA  Ústí nad Labem,4,T. Vyoral,,27,27.6,745.6,433,16.0,117,303,38.6,70,210,33.3,129,140,92.1,10,101,111,141,19,2,56,60,50.2,59.4,24.8,102.9,20.4,9.9,1.4,13.3,7.4,33.9,1.3,0.3,13.3,0.46,9.08,5.53,3.55,27,17,63,66,30,45.5,210,70,33.3,38,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
ERA Basketball Nymburk,31,M. Kříž,,24,17.9,430.7,192,8.0,69,124,55.6,22,58,37.9,32,45,71.1,28,56,84,39,14,1,25,50,64.5,66.8,16.5,113.7,9.7,2.9,7.0,12.2,9.7,12.5,1.6,0.2,14.8,0.36,9.08,4.1,4.98,61,43,70.5,5,4,80,58,22,37.9,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
