Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
London Lions,21,Aaryndeep Rai,,1,26.1,26.1,7,7.0,3,5,60.0,1,1,100.0,0,1,0.0,3,4,7,1,2,3,2,3,70.0,64.3,12.9,94.1,9.9,1.4,12.1,19.8,15.6,5.2,4.4,12.4,26.9,0.2,11.19,2.93,8.26,4,2,50,0,0,0,1,1,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheshire Phoenix,13,Patrick Robinson,,27,26.1,703.4,540,20.0,185,312,59.3,23,58,39.7,147,201,73.1,36,76,112,115,23,4,55,47,63.0,67.4,27.3,118.6,24.3,2.6,5.0,11.2,8.0,28.6,1.6,0.5,12.1,0.64,10.12,7.4,2.72,193,133,68.9,61,29,47.5,58,23,39.7,18,27,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,15,Chaundee Brown Jr,,7,25.3,177.1,105,15.0,38,62,61.3,8,18,44.4,21,24,87.5,6,24,30,7,5,0,3,10,67.7,72.4,20.8,139.0,20.2,3.5,4.3,14.2,9.7,6.9,1.5,0.0,4.0,0.39,10.09,4.94,5.15,29,22,75.9,15,8,53.3,18,8,44.4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol Flyers,22,Joseph Anderson,,26,30.5,791.8,349,13.4,131,308,42.5,54,168,32.1,33,42,78.6,11,54,65,133,49,1,37,34,51.3,53.4,20.9,96.0,17.6,8.5,1.4,7.3,4.3,30.4,3.3,0.1,10.2,0.14,9.38,4.28,5.09,71,51,71.8,69,26,37.7,168,54,32.1,26,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,1,Joel Scott,,12,23.1,277.6,180,15.0,68,117,58.1,13,30,43.3,31,42,73.8,26,36,62,10,9,2,9,25,63.7,66.4,24.9,124.6,20.7,3.4,11.6,14.2,13.0,6.7,1.8,0.8,6.2,0.36,9.17,4.59,4.58,70,44,62.9,17,11,64.7,30,13,43.3,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B. Braun Sheffield Sharks,1,Dirk Williams,,24,31.7,759.9,351,14.6,127,264,48.1,61,140,43.6,36,48,75.0,10,89,99,66,24,21,30,42,59.7,61.6,19.1,111.4,19.1,7.6,1.4,11.5,6.8,14.4,1.6,2.9,9.5,0.18,8.68,5.08,3.6,70,43,61.4,54,23,42.6,140,61,43.6,11,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Surrey 89ers,12,Kino Lily Jr,,24,33.6,806.9,421,17.5,155,330,47.0,84,183,45.9,27,34,79.4,12,46,58,105,26,0,46,30,59.7,61.0,21.4,107.7,22.4,9.7,1.6,5.9,3.8,21.4,1.7,0.0,11.8,0.1,8.52,6.45,2.07,38,17,44.7,109,54,49.5,183,84,45.9,22,19,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester Riders,13,Donald Carey Jr,,16,32.3,516.3,259,16.2,81,183,44.3,32,85,37.6,65,73,89.0,13,59,72,114,28,0,63,28,53.0,60.2,24.3,93.1,20.9,6.9,2.7,13.0,7.7,36.5,2.8,0.0,22.7,0.4,8.22,4.61,3.6,64,35,54.7,34,14,41.2,85,32,37.6,35,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
London Lions,33,Shavar Reynolds Jr,,16,22.9,366.9,171,10.7,63,127,49.6,14,28,50.0,31,35,88.6,12,20,32,79,9,1,28,36,55.1,60.0,22.4,100.4,14.7,2.4,3.9,5.9,5.0,37.2,1.3,0.3,16.4,0.28,8.19,2.98,5.2,38,20,52.6,61,29,47.5,28,14,50,20,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester Basketball,0,Patrick Smith Jr,,25,24.5,613.6,311,12.4,109,240,45.4,52,124,41.9,41,47,87.2,21,73,94,83,25,5,39,35,56.2,59.7,21.8,103.8,15.8,6.3,3.5,11.8,7.8,21.5,2.1,0.7,13.0,0.2,7.09,4.56,2.54,52,31,59.6,64,26,40.6,124,52,41.9,19,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Caledonia Gladiators,10,Ria'n Holland,,1,32.1,32.1,15,15.0,3,6,50.0,3,5,60.0,6,7,85.7,0,5,5,1,2,0,1,2,75.0,82.6,14.4,148.8,18.9,6.3,0.0,14.8,8.5,4.3,3.1,0.0,9.9,1.17,6.98,3.71,3.27,0,0,0,1,0,0,5,3,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle Eagles,3,Ray'sean Taylor,,26,28.3,736.1,443,17.0,143,312,45.8,48,142,33.8,109,130,83.8,16,98,114,106,36,2,50,63,53.5,60.0,25.8,105.7,21.1,6.8,2.2,14.8,8.2,26.1,2.5,0.3,11.9,0.42,6.87,3.67,3.2,104,68,65.4,66,27,40.9,142,48,33.8,31,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheshire Phoenix,99,Skyler White,,28,24.8,693.5,371,13.2,125,278,45.0,79,188,42.0,42,58,72.4,33,107,140,50,20,21,28,80,59.2,61.1,20.2,111.9,16.1,8.2,4.6,15.9,10.1,11.0,1.4,2.7,8.4,0.21,6.85,5.05,1.81,43,26,60.5,46,19,41.3,188,79,42,12,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester Basketball,11,Jordan Johnson,,25,21.1,526.8,322,12.9,108,244,44.3,40,105,38.1,66,84,78.6,11,47,58,122,19,1,49,35,52.5,57.3,28.0,97.6,16.3,5.3,2.2,8.9,5.6,38.4,1.8,0.2,14.9,0.34,6.67,4.27,2.4,89,56,62.9,50,12,24,105,40,38.1,31,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol Flyers,7,Cameron Holden,,25,29.3,732.4,238,9.5,82,201,40.8,15,48,31.2,59,110,53.6,61,77,138,114,44,10,43,68,44.5,47.7,18.1,81.4,12.5,2.5,8.5,11.3,9.9,25.8,3.2,1.5,14.7,0.55,6.57,1.82,4.75,125,58,46.4,28,9,32.1,48,15,31.2,29,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Surrey 89ers,10,Tyrin Lawrence,,10,29.4,294.0,165,16.5,60,115,52.2,12,42,28.6,33,41,80.5,4,35,39,36,15,5,29,18,57.4,62.0,25.0,101.8,21.0,5.3,1.6,11.9,7.2,20.2,2.6,1.6,17.9,0.36,6.51,3.48,3.03,41,31,75.6,31,16,51.6,42,12,28.6,15,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheshire Phoenix,23,Jaxon Brenchley,,28,26.2,734.1,281,10.0,100,214,46.7,40,105,38.1,41,57,71.9,37,78,115,76,27,6,22,41,56.1,58.8,15.0,107.6,12.2,4.6,4.9,11.0,7.8,14.9,1.8,0.7,8.4,0.27,6.45,4.63,1.82,87,53,60.9,22,7,31.8,105,40,38.1,9,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
