Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Casademont Zaragoza,Santi Yusta,4,S. Yusta,20,26.2,524.4,341.0,17.1,103.0,214.0,48.1,31.0,93.0,33.3,104.0,125.0,83.2,21.0,61.0,82.0,42.0,18.0,6.0,37.0,54.0,273.6,26.8,21.9,2.7,5.3,85,426.0,21.3,27.3,14,1.8,13,11,39.2,18.8,8,3.1,-0.06,3.15,3.0,1.7,7.0,7.0,100,114.0,65.0,57,93.0,31.0,33.3,2.0,10.0,0.0,0.0,0.0,37.0,46.0,68.0,77.0
UCAM Murcia,David DeJulius,5,D. DeJulius,20,24.2,484.4,304.0,15.2,112.0,263.0,42.6,46.0,119.0,38.7,34.0,46.0,73.9,7.0,23.0,30.0,66.0,12.0,0.0,31.0,30.0,295.0,31.9,19.8,4.3,2.0,136,440.0,22.0,28.7,33,4.7,24,4,64.1,26.8,7,2.55,0.67,1.89,1.5,2.0,0.0,0.0,0,144.0,66.0,45.8,119.0,46.0,38.7,0.0,29.0,0.0,0.0,0.0,31.0,27.0,41.0,46.0
Río Breogán,Francis Alonso,10,F. Alonso,20,20.9,417.4,299.0,14.9,80.0,173.0,46.2,44.0,106.0,41.5,95.0,103.0,92.2,7.0,27.0,34.0,24.0,14.0,0.0,24.0,32.0,225.9,28.6,19.8,1.6,2.2,54,353.0,17.6,23.3,34,3.8,23,13,59.2,28.7,9,4.38,3.61,0.77,2.4,1.8,0.0,0.0,0,67.0,36.0,53.7,106.0,44.0,41.5,0.0,16.0,0.0,0.0,0.0,24.0,20.0,56.0,64.0
Recoletas Salud San Pablo Burgos,Jhivvan Jackson,56,J. Jackson,20,25.5,509.5,292.0,14.6,92.0,221.0,41.6,44.0,120.0,36.7,64.0,74.0,86.5,12.0,38.0,50.0,61.0,33.0,1.0,40.0,64.0,270.3,26.3,18.0,3.8,3.1,93,385.0,19.2,23.7,41,3.4,29,15,57.6,36.6,12,1.42,-2.35,3.76,1.9,1.8,0.0,0.0,0,101.0,48.0,47.5,120.0,44.0,36.7,0.0,19.0,0.0,0.0,0.0,40.0,26.0,71.0,59.0
Coviran Granada,Luka Bozic,29,L. Bozic,20,29.1,582.4,281.0,14.1,73.0,161.0,45.3,8.0,31.0,25.8,127.0,164.0,77.4,41.0,78.0,119.0,48.0,29.0,5.0,35.0,40.0,218.1,20.0,18.7,3.2,7.9,95,376.0,18.8,25.0,33,3.7,14,27,63.8,31.9,9,1.73,-1.05,2.78,3.2,2.2,0.0,0.0,0,130.0,65.0,50,31.0,8.0,25.8,0.0,0.0,0.0,0.0,0.0,35.0,51.0,45.0,55.0
Recoletas Salud San Pablo Burgos,Gonzalo Corbalán,10,G. Corbalán,20,24.0,479.0,279.0,13.9,94.0,201.0,46.8,25.0,82.0,30.5,66.0,80.0,82.5,15.0,44.0,59.0,40.0,29.0,3.0,29.0,27.0,240.2,24.9,17.2,2.5,3.6,81,360.0,18.0,22.2,37,3.4,27,7,61.5,34.1,11,2.65,-1.32,3.97,2.5,2.2,8.0,8.0,100,111.0,61.0,55,82.0,25.0,30.5,2.0,8.0,0.0,0.0,0.0,29.0,35.0,65.0,65.0
La Laguna Tenerife,Giorgi Shermadini,19,G. Shermadini,20,22.5,450.1,273.0,13.7,101.0,144.0,70.1,0.0,0.0,0,71.0,87.0,81.6,31.0,76.0,107.0,21.0,2.0,12.0,21.0,41.0,165.4,20.4,18.9,1.5,7.4,50,323.0,16.1,22.4,12,1.7,6,8,63.0,9.5,7,3.88,1.31,2.57,5.0,2.1,25.0,25.0,100,119.0,76.0,63.9,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,21.0,55.0,10.0,52.0
Dreamland Gran Canaria,Isaiah Wong,2,I. Wong,20,20.7,413.8,262.0,13.1,81.0,189.0,42.9,17.0,59.0,28.8,83.0,97.0,85.6,13.0,31.0,44.0,37.0,20.0,3.0,24.0,53.0,233.0,30.9,17.9,2.5,3.0,89,351.0,17.6,23.9,34,3.8,16,22,66.2,26.7,9,1.56,-1.58,3.14,2.3,1.8,3.0,3.0,100,127.0,61.0,48,59.0,17.0,28.8,0.0,10.0,0.0,0.0,0.0,24.0,26.0,40.0,55.0
Unicaja,Chris Duarte,27,C. Duarte,20,18.9,378.7,245.0,12.2,76.0,163.0,46.6,32.0,88.0,36.4,61.0,67.0,91,6.0,39.0,45.0,58.0,11.0,6.0,31.0,39.0,208.8,29.3,16.2,3.8,3.0,111,356.0,17.8,23.5,32,3.6,17,13,70.4,25.7,9,6.1,2.01,4.09,2.5,1.2,3.0,3.0,100,72.0,41.0,56.9,88.0,32.0,36.4,3.0,17.0,0.0,0.0,0.0,31.0,22.0,44.0,68.0
UCAM Murcia,Michael Forrest,1,M. Forrest,20,17.1,342.6,244.0,12.2,79.0,193.0,40.9,39.0,112.0,34.8,47.0,62.0,75.8,8.0,24.0,32.0,41.0,6.0,0.0,41.0,32.0,243.1,37.2,15.9,2.7,2.1,81,325.0,16.2,21.2,10,2.0,7,5,54.3,11.2,5,0.89,-0.48,1.37,2.1,1.9,0.0,0.0,0,81.0,40.0,49.4,112.0,39.0,34.8,0.0,24.0,0.0,0.0,0.0,41.0,34.0,44.0,47.0
