Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Stella Artois Leuven Bears,"Roel BUCUMI, Wilson PRUITT, Tytan ANDERSON, Wen MUKUBU, Guillaume DE MOL","Stella Artois Leuven Bears|11,2,32,4,7",1,10.1,604.0,15,4,19,21.1,1,9,11.1,6,7,85.7,0,0,0,3,0,0,2,0,20,24.1,62.3,102.5,-40.2,1.49,-5
Kangoeroes Basket Mechelen,"Augustas PECIUKEVICIUS, Yannick DAMMEN, Nick STAMPLEY, Joshua HEATH, Zaba BANGALA","Kangoeroes Basket Mechelen|12,2,24,30,5",1,9.4,567.0,20,7,11,63.6,1,1,100.0,5,8,62.5,0,0,0,2,0,0,4,0,12,18.5,108.0,53.0,55.0,2.12,8
Den Helder Suns,"Bryan ANTOINE, Jonas VISSER, Siem UIJTENDAAL, Nick THRAN, Carter GILMORE","Den Helder Suns|0,10,2,33,7",1,4.3,258.0,10,3,7,42.9,2,3,66.7,2,2,100.0,0,0,0,3,0,0,1,0,6,8.9,112.6,52.4,60.2,2.33,4
Hubo Limburg United,"Aubin GATERETSE, Wout LEEMANS, Jalen BLACKMON, Oshean BRATHWAITE, Noah BAUMANN","Hubo Limburg United|10,16,55,6,7",1,3.7,223.0,7,3,6,50.0,0,2,0.0,1,1,100.0,0,0,0,1,0,0,2,0,4,8.4,82.9,38.8,44.2,1.88,3
Hubo Limburg United,"Wout LEEMANS, Marijn VERVERS, Nicholas MUSZYNSKI, Jalen BLACKMON, Noah BAUMANN","Hubo Limburg United|16,3,33,55,7",1,3.6,215.0,8,3,6,50.0,1,2,50.0,1,2,50.0,0,0,0,2,0,0,1,0,2,7.9,101.5,20.0,81.5,2.23,6
Okapi Aalst,"Ozzy MASSEY, Malcolm CARREIRA KREPS, Dante Jr MADDOX, Ivan MARAS, Niels VAN DEN EYNDE","Okapi Aalst|11,18,21,3,9",1,3.6,214.0,12,3,7,42.9,2,6,33.3,4,4,100.0,0,0,0,1,0,0,0,0,5,8.8,137.0,125.0,12.0,3.36,7
Den Helder Suns,"Bryan ANTOINE, Reginald MESIDOR, Siem UIJTENDAAL, Drew STOVER, Carter GILMORE","Den Helder Suns|0,1,2,42,7",1,3.5,211.0,2,1,6,16.7,0,2,0.0,0,0,0,0,0,0,1,0,0,1,0,8,7.0,28.6,116.3,-87.7,0.57,-6
PrismaWorx BAL,"Roel VAN OVERBEEK, Lon LICAN, Ryan MUHR, Kjell DE GRAAF, Kenyuoe ONDAAN","PrismaWorx BAL|1,13,17,33,7",1,3.2,190.0,3,1,3,33.3,1,2,50.0,0,0,0,0,0,0,2,0,0,0,0,8,3.0,100.0,114.3,-14.3,0.95,-5
Stella Artois Leuven Bears,"James BLACKMON, Roel BUCUMI, Wilson PRUITT, Kelton TALFORD, Tytan ANDERSON","Stella Artois Leuven Bears|1,11,2,3,32",1,3.2,195.0,4,2,4,50.0,0,2,0.0,0,2,0.0,0,0,0,2,0,0,1,0,8,5.9,68.0,160.0,-92.0,1.23,-4
Kangoeroes Basket Mechelen,"Yannick DAMMEN, Leander DEDROOG, Nick STAMPLEY, Joshua HEATH, Zaba BANGALA","Kangoeroes Basket Mechelen|2,22,24,30,5",1,2.5,151.0,8,3,4,75.0,2,2,100.0,0,0,0,0,0,0,3,0,0,1,0,2,5.0,160.0,51.5,108.5,3.18,6
