Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Kangoeroes Basket Mechelen,"Yannick DAMMEN, Leander DEDROOG, Nick STAMPLEY, Joshua HEATH, Zaba BANGALA","Kangoeroes Basket Mechelen|2,22,24,30,5",30,Joshua HEATH,24,Nick STAMPLEY,3,9,3,0,1,3.0,9.0
Hubo Limburg United,"Aubin GATERETSE, Wout LEEMANS, Marijn VERVERS, Jalen BLACKMON, Noah BAUMANN","Hubo Limburg United|10,16,3,55,7",3,Marijn VERVERS,10,Aubin GATERETSE,4,8,0,4,1,4.0,8.0
PrismaWorx BAL,"Roel VAN OVERBEEK, Ryan MUHR, Romano SIBILO, Kjell DE GRAAF, Kenyuoe ONDAAN","PrismaWorx BAL|1,17,2,33,7",7,Kenyuoe ONDAAN,2,Romano SIBILO,2,6,2,0,1,2.0,6.0
Landstede Hammers,"Jalen THOMAS, Troy Drake DOBBS, Boyd VAN DER VUURST, Coen STOLK, Devin WHITFIELD","Landstede Hammers|1,11,13,6,9",13,Boyd VAN DER VUURST,11,Troy Drake DOBBS,2,6,2,0,1,2.0,6.0
Kangoeroes Basket Mechelen,"Yannick DAMMEN, Leander DEDROOG, Nick STAMPLEY, Joshua HEATH, Zaba BANGALA","Kangoeroes Basket Mechelen|2,22,24,30,5",30,Joshua HEATH,22,Leander DEDROOG,2,6,2,0,1,2.0,6.0
Filou Oostende,"Max FIEDLER, Aleksandre MERKVILADZE, Pierre-Antoine GILLET, Simon BUYSSE, Joppe MENNES","Filou Oostende|15,23,30,4,8",4,Simon BUYSSE,15,Max FIEDLER,3,6,0,3,1,3.0,6.0
Brussels Basketball,"Louis HAZARD, Demetric HORTON, Arne SCHREVENS, Alexandre LIBERT, Tonko VUKO","Brussels Basketball|10,17,22,5,7",17,Demetric HORTON,5,Alexandre LIBERT,2,6,2,0,1,2.0,6.0
Donar Groningen,"Austin LUKE, Wietze NOSSEK, Damian FORREST, Malik MILLER, Evan TAYLOR","Donar Groningen|1,22,33,4,5",1,Austin LUKE,5,Evan TAYLOR,2,6,2,0,1,2.0,6.0
Union Mons-Hainaut,"Greg MILTON III, Lual DIING, Maks KLANJSCEK, Garrett HIEN, Malik WHITAKER","Union Mons-Hainaut|0,10,13,3,7",13,Maks KLANJSCEK,3,Garrett HIEN,2,6,2,0,1,2.0,6.0
PrismaWorx BAL,"Roel VAN OVERBEEK, Niels VAN HOLST, Ryan MUHR, Kjell DE GRAAF, Kenyuoe ONDAAN","PrismaWorx BAL|1,14,17,33,7",7,Kenyuoe ONDAAN,14,Niels VAN HOLST,2,5,1,1,1,2.0,5.0
Zorg en Zekerheid Leiden,"Jibbe SICKING, Lucas KRUITHOF, Dimitri MACONDA, Nate ROBERTS, Tyreek SCOTT-GRAYSON","Zorg en Zekerheid Leiden|12,17,2,28,5",2,Dimitri MACONDA,17,Lucas KRUITHOF,2,5,1,1,1,2.0,5.0
Val-Dieu Spirou Basket,"Eric NOTTAGE, Njegos SIKIRAS, Zeb JACKSON, Dontrez STYLES, Adedayo POLET","Val-Dieu Spirou Basket|11,16,2,3,5",11,Eric NOTTAGE,2,Zeb JACKSON,2,5,1,1,1,2.0,5.0
Donar Groningen,"Austin LUKE, Wietze NOSSEK, Damian FORREST, Malik MILLER, Evan TAYLOR","Donar Groningen|1,22,33,4,5",1,Austin LUKE,22,Wietze NOSSEK,2,5,1,1,1,2.0,5.0
Hubo Limburg United,"Aubin GATERETSE, Wout LEEMANS, Marijn VERVERS, Jalen BLACKMON, Noah BAUMANN","Hubo Limburg United|10,16,3,55,7",7,Noah BAUMANN,3,Marijn VERVERS,2,4,0,2,1,2.0,4.0
Hubo Limburg United,"Aubin GATERETSE, Wout LEEMANS, Marijn VERVERS, Jalen BLACKMON, Noah BAUMANN","Hubo Limburg United|10,16,3,55,7",55,Jalen BLACKMON,10,Aubin GATERETSE,2,4,0,2,1,2.0,4.0
