Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
Hubo Limburg United,"Aubin GATERETSE, Jalen BLACKMON, Marijn VERVERS, Noah BAUMANN, Wout LEEMANS",Den Helder Suns,"Bryan ANTOINE, Carter GILMORE, Drew STOVER, Reginald MESIDOR, Siem UIJTENDAAL",1,709,11.8,24.1,36,15,25,60,1,5,20,5,5,100,4,12,16,14,1,1,2,3,19,8,24,33.3,2,10,20,1,2,50,4,4,8,4,1,0,4,3,23.8,24.6,150.9,77.2,73.7,77.2,150.9,-73.7,17,2,2,100,18,12,66.7,0,0,0,1,1,100,13,5,38.5,0,0,0,1,1,0,0,1,2,0,1,5,16,4,3,3,2
Stella Artois Leuven Bears,"Guillaume DE MOL, Roel BUCUMI, Tytan ANDERSON, Wen MUKUBU, Wilson PRUITT",Kangoeroes Basket Mechelen,"Augustas PECIUKEVICIUS, Joshua HEATH, Nick STAMPLEY, Yannick DAMMEN, Zaba BANGALA",1,594,9.9,16.1,12,3,19,15.8,1,10,10,5,6,83.3,6,4,10,2,2,0,2,5,20,7,11,63.6,1,1,100,5,8,62.5,2,6,8,2,2,3,4,3,15.1,17.1,79.6,117,-37.4,117,79.6,37.4,-8,2,1,50,7,1,14.3,0,0,0,1,1,100,9,5,55.6,0,0,0,1,1,0,0,1,2,0,1,3,0,7,3,4,2
Donar Groningen,"Austin LUKE, Damian FORREST, Evan TAYLOR, Malik MILLER, Wietze NOSSEK",Union Mons-Hainaut,"Garrett HIEN, Greg MILTON III, Lual DIING, Maks KLANJSCEK, Matteo VERSTRAETE",1,406,6.8,13.9,21,8,11,72.7,5,7,71.4,0,0,0,1,7,8,7,3,0,4,1,8,3,10,30,0,2,0,2,2,100,0,2,2,2,4,0,3,2,13.9,13.9,150.8,57.6,93.1,57.6,150.8,-93.1,13,0,0,0,4,3,75,0,0,0,0,0,0,8,3,37.5,0,0,0,1,3,0,0,2,1,0,0,2,9,3,0,4,4
Zorg en Zekerheid Leiden,"Dimitri MACONDA, Jibbe SICKING, Lucas KRUITHOF, Nate ROBERTS, Stan VAN DEN ELZEN",Landstede Hammers,"Boyd VAN DER VUURST, Coen STOLK, Devin WHITFIELD, Jalen THOMAS, Troy Drake DOBBS",1,406,6.8,11.7,13,6,12,50,1,5,20,0,0,0,2,2,4,3,1,1,2,2,23,8,13,61.5,5,8,62.5,2,2,100,2,3,5,7,1,0,1,2,11.4,12.2,113.7,188.4,-74.7,188.4,113.7,74.7,-10,0,0,0,7,5,71.4,0,0,0,0,0,0,5,3,60,0,0,0,2,0,0,0,1,0,0,0,2,0,0,4,2,2
Stella Artois Leuven Bears,"Guillaume DE MOL, Kelton TALFORD, Roel BUCUMI, Tytan ANDERSON, Wilson PRUITT",Kangoeroes Basket Mechelen,"Joshua HEATH, Mojeed EWUOSHO, Nick STAMPLEY, Yannick DAMMEN, Zaba BANGALA",1,368,6.1,11.7,14,6,12,50,1,3,33.3,1,2,50,3,2,5,2,2,0,3,0,9,4,9,44.4,1,1,100,0,0,0,3,3,6,1,2,2,5,3,12.7,10.8,110.5,83.4,27.1,83.4,110.5,-27.1,5,2,2,100,7,3,42.9,0,0,0,0,0,0,8,3,37.5,0,0,0,1,2,0,0,1,3,0,0,5,2,6,3,5,2
Val-Dieu Spirou Basket,"Dontrez STYLES, Enoch BOAKYE, Eric NOTTAGE, Juwan GARY, Zeb JACKSON",Brussels Basketball,"Alexandre LIBERT, Demetric HORTON, Godwin TSHIMANGA, Louis HAZARD, Tonko VUKO",1,222,3.7,9.0,16,6,10,60,1,3,33.3,3,4,75,1,3,4,2,1,0,1,2,6,2,3,66.7,0,1,0,2,4,50,0,2,2,1,1,0,2,3,11.3,6.8,141.2,88.8,52.4,88.8,141.2,-52.4,10,2,1,50,5,4,80,0,0,0,0,0,0,2,2,100,0,0,0,1,0,0,0,0,2,0,0,1,7,2,0,2,0
PrismaWorx BAL,"Kenyuoe ONDAAN, Kjell DE GRAAF, Niels VAN HOLST, Roel VAN OVERBEEK, Ryan MUHR",Okapi Aalst,"Dante Jr MADDOX, Eddie COLBERT III, Ivan MARAS, Niels VAN DEN EYNDE, Siebe LEDEGEN",1,294,4.9,8.9,12,5,9,55.6,2,5,40,0,0,0,1,1,2,4,0,0,1,2,13,5,7,71.4,1,2,50,2,2,100,1,3,4,2,0,0,2,1,8.9,8.8,134.4,147.6,-13.2,147.6,134.4,13.2,-1,0,0,0,4,3,75,0,0,0,1,1,100,4,3,75,0,0,0,0,0,0,1,0,1,0,1,0,3,0,2,5,0
Filou Oostende,"Andre GUSTAVSON, Haris BRATANOVIC, Noam YAACOV, Pierre-Antoine GILLET, Simon BUYSSE",Rotterdam City Basketball,"Chermano VAN LA PARRA, Jakari SPENCE, James GRAHAM, Tjall DE VAAL, Tydus VERHOEVEN",1,236,3.9,8.8,6,3,8,37.5,0,1,0,0,2,0,3,4,7,1,2,0,2,2,5,1,5,20,0,0,0,3,3,100,0,3,3,0,1,1,3,3,8.2,9.3,73.1,53.6,19.5,53.6,73.1,-19.5,1,2,2,100,5,1,20,0,0,0,0,0,0,5,1,20,0,0,0,1,1,0,0,2,1,0,0,4,0,2,0,2,0
Hubo Limburg United,"Jalen BLACKMON, Marijn VERVERS, Nicholas MUSZYNSKI, Noah BAUMANN, Wout LEEMANS",Den Helder Suns,"Bryan ANTOINE, Carter GILMORE, Drew STOVER, Reginald MESIDOR, Siem UIJTENDAAL",1,296,4.9,8.1,12,3,7,42.9,1,2,50,5,6,83.3,1,4,5,2,0,0,0,1,4,2,9,22.2,0,3,0,0,0,0,2,3,5,1,0,1,1,5,8.6,7.5,140,53.3,86.7,53.3,140,-86.7,8,0,0,0,5,2,40,0,0,0,0,0,0,6,2,33.3,0,0,0,0,0,0,0,0,1,0,0,2,5,3,2,0,0
Zorg en Zekerheid Leiden,"Jibbe SICKING, Lucas KRUITHOF, Nate ROBERTS, Stan VAN DEN ELZEN, Tyreek SCOTT-GRAYSON",Landstede Hammers,"Coen STOLK, Devin WHITFIELD, Erik SAJANTILA, Jalen THOMAS, Leon WILLIAMS",1,109,1.8,7.4,13,5,6,83.3,0,1,0,3,5,60,0,0,0,2,2,0,0,5,9,1,1,100,1,1,100,6,8,75,0,2,2,0,0,0,2,3,8.2,6.5,158.5,138,20.5,138,158.5,-20.5,4,0,0,0,5,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,4,0,5,0
Stella Artois Leuven Bears,"Guillaume DE MOL, Kelton TALFORD, Roel BUCUMI, Tytan ANDERSON, Wilson PRUITT",Kangoeroes Basket Mechelen,"Joshua HEATH, Leander DEDROOG, Nick STAMPLEY, Yannick DAMMEN, Zaba BANGALA",1,244,4.1,7.2,3,0,6,0,0,1,0,3,4,75,0,2,2,2,1,0,0,3,9,2,6,33.3,2,2,100,3,4,75,1,6,7,3,0,0,1,3,7.8,7.3,38.7,122.7,-84.1,122.7,38.7,84.1,-6,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,5,0
PrismaWorx BAL,"Kenyuoe ONDAAN, Kjell DE GRAAF, Roel VAN OVERBEEK, Romano SIBILO, Ryan MUHR",Okapi Aalst,"Dante Jr MADDOX, Eddie COLBERT III, Ivan MARAS, Niels VAN DEN EYNDE, Siebe LEDEGEN",1,181,3.0,7.1,5,1,7,14.3,1,5,20,2,2,100,1,1,2,1,1,0,0,1,11,5,6,83.3,0,0,0,1,1,100,0,5,5,2,0,1,1,3,6.8,7.4,73.4,147.8,-74.4,147.8,73.4,74.4,-6,0,0,0,2,0,0,0,0,0,0,0,0,6,5,83.3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,6,0
