Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Alexandre LIBERT,Brussels Basketball,5,Alexandre LIBERT,"Demetric HORTON, Jared AMBROSE, Louis HAZARD, Tonko VUKO",1,7.2,0,0,2,0.0,0,2,0.0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,2.0,17.3,69.1,115.5,-46.4,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre LIBERT,Brussels Basketball,5,Alexandre LIBERT,"Arne SCHREVENS, Demetric HORTON, Louis HAZARD, Tonko VUKO",1,6.2,9,2,3,66.7,2,2,100.0,3,3,100.0,0,0,0,1,0,0,0,0,4,2,11,11.0,86.2,148.9,124.2,24.7,100.0,104.2,50.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3
Alexandre LIBERT,Brussels Basketball,5,Alexandre LIBERT,"Demetric HORTON, Godwin TSHIMANGA, Louis HAZARD, Tonko VUKO",1,6.2,3,0,0,0,0,0,0,3,4,75.0,0,1,1,0,0,0,3,1,5,0,3,3.0,22.3,126.5,118.5,8.0,0,85.2,0,63.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0
Alexandre LIBERT,Brussels Basketball,5,Alexandre LIBERT,"Demetric HORTON, Godwin TSHIMANGA, Jared AMBROSE, Louis HAZARD",1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,2,2.0,66.7,66.7,115.7,-49.0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alexandre LIBERT,Brussels Basketball,5,Alexandre LIBERT,"Deishuan BOOKER, Demetric HORTON, Godwin TSHIMANGA, Tonko VUKO",1,1.3,3,1,2,50.0,1,2,50.0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,3.0,106.8,142.3,0.0,142.3,75.0,75.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre LIBERT,Brussels Basketball,5,Alexandre LIBERT,"Arne SCHREVENS, Demetric HORTON, Godwin TSHIMANGA, Louis HAZARD",1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,3.0,100.0,200.0,0.0,200.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre LIBERT,Brussels Basketball,5,Alexandre LIBERT,"Arne SCHREVENS, Jamison OVERTON, Louis HAZARD, Tonko VUKO",1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,106.4,-106.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arne SCHREVENS,Brussels Basketball,22,Arne SCHREVENS,"Alexandre LIBERT, Demetric HORTON, Louis HAZARD, Tonko VUKO",1,6.2,2,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2.0,15.7,148.9,124.2,24.7,50.0,50.0,0.0,0.0,0,0,0,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0
Arne SCHREVENS,Brussels Basketball,22,Arne SCHREVENS,"Demetric HORTON, Jomaru BROWN, Louis HAZARD, Tonko VUKO",1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,139.8,147.8,-8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arne SCHREVENS,Brussels Basketball,22,Arne SCHREVENS,"Jamison OVERTON, Jomaru BROWN, Louis HAZARD, Tonko VUKO",1,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0.0,0.0,0.0,146.0,-146.0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arne SCHREVENS,Brussels Basketball,22,Arne SCHREVENS,"Deishuan BOOKER, Jamison OVERTON, Jomaru BROWN, Tonko VUKO",1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,150.0,146.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arne SCHREVENS,Brussels Basketball,22,Arne SCHREVENS,"Demetric HORTON, Jamison OVERTON, Jomaru BROWN, Tonko VUKO",1,1.6,0,0,1,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0.0,0.0,207.7,0.0,207.7,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arne SCHREVENS,Brussels Basketball,22,Arne SCHREVENS,"Alexandre LIBERT, Demetric HORTON, Godwin TSHIMANGA, Louis HAZARD",1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,200.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arne SCHREVENS,Brussels Basketball,22,Arne SCHREVENS,"Alexandre LIBERT, Jamison OVERTON, Louis HAZARD, Tonko VUKO",1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,106.4,-106.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deishuan BOOKER,Brussels Basketball,0,Deishuan BOOKER,"Arne SCHREVENS, Jamison OVERTON, Jomaru BROWN, Tonko VUKO",1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,3.0,150.0,150.0,146.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deishuan BOOKER,Brussels Basketball,0,Deishuan BOOKER,"Alexandre LIBERT, Demetric HORTON, Godwin TSHIMANGA, Tonko VUKO",1,1.3,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,142.3,0.0,142.3,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demetric HORTON,Brussels Basketball,17,Demetric HORTON,"Alexandre LIBERT, Jared AMBROSE, Louis HAZARD, Tonko VUKO",1,7.2,3,1,5,20.0,1,3,33.3,0,0,0,0,2,2,1,0,0,0,0,5,3,6,6.0,51.8,69.1,115.5,-46.4,30.0,30.0,100.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demetric HORTON,Brussels Basketball,17,Demetric HORTON,"Alexandre LIBERT, Arne SCHREVENS, Louis HAZARD, Tonko VUKO",1,6.2,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,3,0,0,0,0,1,6,9,9.0,70.5,148.9,124.2,24.7,150.0,150.0,300.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
Demetric HORTON,Brussels Basketball,17,Demetric HORTON,"Alexandre LIBERT, Godwin TSHIMANGA, Louis HAZARD, Tonko VUKO",1,6.2,3,1,3,33.3,0,0,0,1,1,100.0,0,0,0,2,2,0,0,0,3,5,8,8.0,59.5,126.5,118.5,8.0,33.3,43.6,200.0,0.0,0,0,0,3,1,33.3,0,0,0,0,0,0,0,0,0,0,1,0
Demetric HORTON,Brussels Basketball,17,Demetric HORTON,"Arne SCHREVENS, Jomaru BROWN, Louis HAZARD, Tonko VUKO",1,3.8,3,1,1,100.0,0,0,0,1,1,100.0,0,0,0,2,0,0,0,0,1,4,7,7.0,108.7,139.8,147.8,-8.1,100.0,104.2,200.0,0.0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
Demetric HORTON,Brussels Basketball,17,Demetric HORTON,"Alexandre LIBERT, Godwin TSHIMANGA, Jared AMBROSE, Louis HAZARD",1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,66.7,115.7,-49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demetric HORTON,Brussels Basketball,17,Demetric HORTON,"Arne SCHREVENS, Jamison OVERTON, Jomaru BROWN, Tonko VUKO",1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,207.7,0.0,207.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demetric HORTON,Brussels Basketball,17,Demetric HORTON,"Alexandre LIBERT, Deishuan BOOKER, Godwin TSHIMANGA, Tonko VUKO",1,1.3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,142.3,0.0,142.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demetric HORTON,Brussels Basketball,17,Demetric HORTON,"Alexandre LIBERT, Arne SCHREVENS, Godwin TSHIMANGA, Louis HAZARD",1,1.3,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3.0,100.0,200.0,0.0,200.0,150.0,150.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Godwin TSHIMANGA,Brussels Basketball,24,Godwin TSHIMANGA,"Alexandre LIBERT, Demetric HORTON, Louis HAZARD, Tonko VUKO",1,6.2,2,1,1,100.0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,3,5,5.0,37.2,126.5,118.5,8.0,100.0,100.0,100.0,0.0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
Godwin TSHIMANGA,Brussels Basketball,24,Godwin TSHIMANGA,"Alexandre LIBERT, Demetric HORTON, Jared AMBROSE, Louis HAZARD",1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,66.7,115.7,-49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Godwin TSHIMANGA,Brussels Basketball,24,Godwin TSHIMANGA,"Alexandre LIBERT, Deishuan BOOKER, Demetric HORTON, Tonko VUKO",1,1.3,1,0,0,0,0,0,0,1,2,50.0,0,0,0,0,0,0,0,0,1,0,1,1.0,35.6,142.3,0.0,142.3,0,56.8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Godwin TSHIMANGA,Brussels Basketball,24,Godwin TSHIMANGA,"Alexandre LIBERT, Arne SCHREVENS, Demetric HORTON, Louis HAZARD",1,1.3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,200.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamison OVERTON,Brussels Basketball,6,Jamison OVERTON,"Arne SCHREVENS, Jomaru BROWN, Louis HAZARD, Tonko VUKO",1,2.4,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0.0,0.0,0.0,146.0,-146.0,0.0,0.0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jamison OVERTON,Brussels Basketball,6,Jamison OVERTON,"Arne SCHREVENS, Deishuan BOOKER, Jomaru BROWN, Tonko VUKO",1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,150.0,146.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamison OVERTON,Brussels Basketball,6,Jamison OVERTON,"Arne SCHREVENS, Demetric HORTON, Jomaru BROWN, Tonko VUKO",1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,207.7,0.0,207.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamison OVERTON,Brussels Basketball,6,Jamison OVERTON,"Alexandre LIBERT, Arne SCHREVENS, Louis HAZARD, Tonko VUKO",1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,106.4,-106.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared AMBROSE,Brussels Basketball,27,Jared AMBROSE,"Alexandre LIBERT, Demetric HORTON, Louis HAZARD, Tonko VUKO",1,7.2,0,0,1,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0.0,0.0,69.1,115.5,-46.4,0.0,0.0,0,50.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
