Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Okapi Aalst,"Dante Jr MADDOX, Eddie COLBERT III, Ivan MARAS, Niels VAN DEN EYNDE, Siebe LEDEGEN",21,13788,77.4,558,196,392,50,62,152,40.8,104,119,87.4,51,133,184,121,41,10,62,102,450,78.1,78.3,77.9,30.7,30.8,57.9,62.8,61.7,27,70,9.9,30.4,38.8,124.1,509,192,392,49,52,166,31.3,73,104,70.2,57,138,195,91,36,11,74,128,448,55.6,58.1,14.5,30,42.3,113.7,25,17,68,215,117,54.4,0,0,0,25,28,0,6,10.3,21,16,76.2,205,124,60.5,0,0,0,33,25,0,7,60,111,95,86,105,68
Kangoeroes Basket Mechelen,"Joshua HEATH, Mojeed EWUOSHO, Nick STAMPLEY, Yannick DAMMEN, Zaba BANGALA",18,9930,92.7,328,120,257,46.7,29,74,39.2,59,81,72.8,36,85,121,60,39,22,47,60,299,71.7,72.2,71.3,33.2,33.7,52.3,56,50,27.9,66.4,11.8,31.5,28.8,109.8,331,123,264,46.6,37,110,33.6,48,56,85.7,43,93,136,67,23,9,57,71,295,53.6,57.3,16.5,33.6,41.7,112.2,19,15,78.9,164,76,46.3,0,0,0,16,25,0,3,-2.4,19,19,100,135,67,49.6,0,0,0,23,27,0,2,37,71,70,60,65,58
Den Helder Suns,"Bryan ANTOINE, Carter GILMORE, Drew STOVER, Reginald MESIDOR, Siem UIJTENDAAL",11,8880,71.8,331,126,276,45.7,42,122,34.4,37,52,71.2,40,90,130,59,26,16,39,54,293,77.7,79.2,76.1,30.3,31.5,53.3,55.4,46.8,28,70.3,9.8,18.8,44.2,113,315,117,257,45.5,30,98,30.6,51,64,79.7,38,103,141,77,17,13,41,69,282,51.4,55.2,12.6,29.7,38.1,111.8,15,14,93.3,139,70,50.4,0,0,0,17,14,0,6,1.1,14,13,92.9,145,74,51,0,0,0,16,18,0,5,49,86,59,44,81,45
Zorg en Zekerheid Leiden,"Javian MC COLLUM, Lucas KRUITHOF, Nate ROBERTS, Sam HUURMAN, Tyreek SCOTT-GRAYSON",14,7631,58.8,290,111,208,53.4,29,65,44.6,39,54,72.2,29,76,105,73,30,5,46,59,244,76,76.6,75.3,31.3,31.9,60.3,62.6,65.8,33,74.5,13.1,26,31.2,119.1,248,90,193,46.6,22,77,28.6,46,58,79.3,26,59,85,49,18,6,49,65,239,52.3,56.7,18.3,25.5,39.9,103.6,19,18,94.7,124,64,51.6,0,0,0,19,14,0,4,15.5,9,8,88.9,107,60,56.1,0,0,0,19,21,0,2,47,81,65,32,58,45
Brussels Basketball,"Demetric HORTON, Godwin TSHIMANGA, Jalen FINCH, Jared AMBROSE, Louis HAZARD",14,6968,75.7,231,89,178,50,27,63,42.9,26,42,61.9,20,62,82,50,23,7,35,50,209,71.9,72.1,71.6,33.3,33.5,57.6,58.8,56.2,23.3,63.9,12.4,23.6,35.4,110.4,232,90,189,47.6,22,67,32.8,30,46,65.2,35,66,101,56,18,6,37,44,208,53.4,55.4,15,36.1,35.4,111.5,8,7,87.5,107,55,51.4,0,0,0,15,15,0,2,-1.2,14,12,85.7,108,56,51.9,0,0,0,16,18,0,0,31,51,35,38,49,41
Union Mons-Hainaut,"Garrett HIEN, Greg MILTON III, Lual DIING, Maks KLANJSCEK, Matteo VERSTRAETE",14,6415,72.0,200,77,158,48.7,24,71,33.8,22,30,73.3,18,64,82,54,18,9,42,38,194,73.2,72.5,74,33.1,32.4,56.3,58.4,70.1,22.5,66.7,15.7,19,44.9,103.3,228,92,193,47.7,27,74,36.5,17,29,58.6,32,62,94,44,28,3,28,42,198,54.7,55.4,12,33.3,38.3,115.3,10,10,100,77,43,55.8,0,0,0,24,15,0,1,-12.1,12,9,75,107,56,52.3,0,0,0,13,10,0,2,21,57,21,37,48,44
Den Helder Suns,"Bryan ANTOINE, Carter GILMORE, Drew STOVER, Noah VAN DER HEIDEN, Reginald MESIDOR",12,5818,61.9,193,75,169,44.4,22,68,32.4,21,33,63.6,22,60,82,40,14,10,33,48,190,79.4,78.5,80.3,30.6,29.9,50.9,52.6,53.3,26.2,73.2,12.9,19.5,40.2,101.5,233,82,168,48.8,30,71,42.3,39,46,84.8,22,62,84,56,20,6,31,42,195,57.7,61.9,14.1,26.8,42.3,119.8,8,6,75,93,47,50.5,0,0,0,10,18,0,3,-18.3,10,9,90,87,43,49.4,0,0,0,15,13,0,0,19,50,40,18,62,44
Donar Groningen,"Austin LUKE, Damian FORREST, Dane ERIKSTRUP, Kjeld ZUIDEMA, Malik MILLER",12,5943,60.3,186,67,146,45.9,15,51,29.4,37,52,71.2,26,66,92,46,15,10,48,46,189,75.7,76.3,75.1,31.4,32.0,51,55.1,68.7,32.9,82.5,18.3,35.6,34.9,98.4,201,77,167,46.1,32,67,47.8,15,20,75,14,53,67,47,20,6,27,46,186,55.7,57.2,13.3,17.5,40.1,108.1,13,8,61.5,82,44,53.7,0,0,0,23,16,0,3,-9.7,8,6,75,92,39,42.4,0,0,0,13,11,0,1,33,31,25,21,42,49
LWD Basket,"Christopher MAIDOH, Leo O'BOYLE, Maik BOUWER, Sam MAILLET, Shakael PRYCE",10,5502,45.4,194,69,145,47.6,16,51,31.4,40,58,69,27,51,78,39,18,3,34,49,176,75.2,76.8,73.6,31.3,32.6,53.1,56.9,56.5,35.1,76.1,14,40,35.2,110.2,194,69,134,51.5,17,48,35.4,39,51,76.5,16,50,66,35,16,6,29,51,169,57.8,62,15.6,23.9,35.8,114.9,12,10,83.3,82,43,52.4,0,0,0,10,16,0,5,-4.7,9,9,100,77,43,55.8,0,0,0,14,8,0,3,33,49,33,28,39,35
Okapi Aalst,"Eddie COLBERT III, Glenn TEMMERMAN, Ivan MARAS, Niels VAN DEN EYNDE, Siebe LEDEGEN",19,5626,62.0,190,72,140,51.4,19,52,36.5,27,34,79.4,16,58,74,42,12,6,40,39,176,76.7,74.9,78.5,32.0,30.6,58.2,61.3,58.3,26.7,65.9,16.9,24.3,37.1,108.2,207,75,167,44.9,21,63,33.3,36,49,73.5,30,44,74,40,28,4,29,48,184,51.2,54.9,13.3,34.1,37.7,112.5,6,5,83.3,82,48,58.5,0,0,0,22,17,0,1,-4.3,19,17,89.5,85,37,43.5,0,0,0,7,17,0,2,19,43,32,37,27,57
