# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 251
# Qualified players exported: 173
# Total stints used: 6050
# Garbage time stints excluded: 286
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Filou Oostende,30,Pierre-Antoine GILLET,1084,5.87,3.11,8.98
Hubo Limburg United,55,Jalen BLACKMON,1247,4.91,3.27,8.18
Windrose Giants Antwerp,0,Rasheed BELLO,942,5.24,2.32,7.56
Brussels Basketball,17,Demetric HORTON,955,4.13,2.19,6.32
Okapi Aalst,21,Dante Jr MADDOX,1278,5.28,0.66,5.94
Kangoeroes Basket Mechelen,2,Yannick DAMMEN,948,4.23,1.61,5.85
Stella Artois Leuven Bears,32,Tytan ANDERSON,1290,0.87,4.63,5.5
Brussels Basketball,0,Jalen FINCH,941,3.64,1.2,4.84
House of Talents Spurs Kortrijk,4,Noel COLEMAN,740,4.4,0.25,4.66
Okapi Aalst,15,Mattias PALINCKX,585,2.05,2.6,4.65
Windrose Giants Antwerp,32,Vincent KESTELOOT,959,4.18,0.41,4.59
Windrose Giants Antwerp,10,Andrew FUNK,961,2.2,2.24,4.44
Hubo Limburg United,10,Aubin GATERETSE,696,2.44,1.94,4.37
Heroes Den Bosch,35,Jae'lyn WITHERS,654,2.8,1.33,4.13
Windrose Giants Antwerp,8,Letto VAN DROM,276,2.23,1.89,4.12
Filou Oostende,4,Simon BUYSSE,921,0.66,3.25,3.91
Heroes Den Bosch,26,Keevan VEINOT,814,1.62,2.18,3.8
Kangoeroes Basket Mechelen,30,Joshua HEATH,1218,1.84,1.92,3.76
Donar Groningen,1,Austin LUKE,750,1.97,1.76,3.74
Landstede Hammers,6,Coen STOLK,1250,1.53,2.01,3.54
Zorg en Zekerheid Leiden,5,Tyreek SCOTT-GRAYSON,799,2.33,1.16,3.49
Windrose Giants Antwerp,24,Kevin TUMBA,479,-0.93,4.41,3.48
Kangoeroes Basket Mechelen,12,Augustas PECIUKEVICIUS,433,-1.63,4.96,3.33
Kangoeroes Basket Mechelen,5,Zaba BANGALA,883,1.12,2.2,3.32
House of Talents Spurs Kortrijk,33,Sam HOFMAN,596,2.41,0.87,3.28
Hubo Limburg United,3,Marijn VERVERS,1133,1.67,1.59,3.26
LWD Basket,33,Leo O'BOYLE,913,4.94,-1.71,3.24
Hubo Limburg United,16,Wout LEEMANS,803,1.69,1.51,3.21
House of Talents Spurs Kortrijk,21,Ithiel HORTON,482,0.83,2.32,3.14
Filou Oostende,17,Moussa SYLLA,374,0.6,2.46,3.05
Filou Oostende,31,Noam YAACOV,918,2.61,0.35,2.96
