Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Filou Oostende,Pierre-Antoine GILLET,30,Pierre-Antoine GILLET,23,25.8,593.0,228.0,9.9,78.0,159.0,49.1,60.0,128.0,46.9,12.0,16.0,75,35.0,97.0,132.0,35.0,12.0,3.0,21.0,58.0,146.0,13.3,13.3,2.0,7.7,69,297.0,12.9,17.3,11,1.6,10,2,50.6,12.9,7,5.75,1.88,3.87,3.8,3.3,12.0,9.0,75,19.0,9.0,47.4,0.0,0.0,0,6.0,0.0,12.0,5.0,0.0,0.0,48.0,26.0,27.0
Filou Oostende,Joppe MENNES,8,Joppe MENNES,23,21.9,503.0,135.0,5.9,54.0,103.0,52.4,8.0,36.0,22.2,19.0,40.0,47.5,31.0,46.0,77.0,36.0,19.0,11.0,21.0,33.0,106.2,11.4,7.9,2.1,4.5,87,222.0,9.7,12.9,8,1.6,7,0,57.1,7.0,5,3.37,-1.37,4.75,3.3,4.2,28.0,25.0,89.3,39.0,21.0,53.8,0.0,0.0,0,8.0,0.0,13.0,5.0,0.0,2.0,30.0,34.0,28.0
Okapi Aalst,Dante Jr MADDOX,21,Dante Jr MADDOX,22,30.6,673.0,563.0,25.6,175.0,320.0,54.7,74.0,151.0,49,139.0,156.0,89.1,13.0,124.0,137.0,54.0,27.0,7.0,50.0,40.0,408.6,31.4,32.5,3.1,7.9,123,686.0,31.2,39.6,72,5.5,38,30,70.3,55.2,13,11.51,6.86,4.65,3.5,1.0,7.0,6.0,85.7,162.0,95.0,58.6,0.0,0.0,0,4.0,51.0,8.0,28.0,0.0,12.0,45.0,157.0,108.0
Hubo Limburg United,Jalen BLACKMON,55,Jalen BLACKMON,22,31.4,691.0,543.0,24.7,172.0,353.0,48.7,51.0,139.0,36.7,148.0,166.0,89.2,19.0,50.0,69.0,69.0,16.0,2.0,63.0,54.0,451.2,34.2,32.4,4.1,4.1,134,677.0,30.8,40.4,54,4.9,33,17,66.7,46.5,11,5.24,2.92,2.32,2.3,1.5,2.0,2.0,100,212.0,119.0,56.1,0.0,0.0,0,1.0,20.0,18.0,38.0,0.0,6.0,62.0,164.0,90.0
Okapi Aalst,Eddie COLBERT III,0,Eddie COLBERT III,22,32.8,722.0,369.0,16.8,133.0,271.0,49.1,53.0,131.0,40.5,50.0,63.0,79.4,27.0,146.0,173.0,25.0,23.0,12.0,47.0,47.0,306.0,21.9,21.3,1.4,10.0,49,418.0,19.0,24.1,13,2.2,12,2,50.5,14.9,6,2.35,-0.36,2.71,4.5,3.7,17.0,14.0,82.4,123.0,66.0,53.7,0.0,0.0,0,6.0,3.0,20.0,20.0,0.0,5.0,44.0,110.0,82.0
Windrose Giants Antwerp,Rasheed BELLO,0,Rasheed BELLO,22,24.0,529.0,344.0,15.6,110.0,249.0,44.2,39.0,110.0,35.5,85.0,97.0,87.6,24.0,35.0,59.0,122.0,36.0,2.0,52.0,43.0,306.9,29.7,19.8,7.0,3.4,281,625.0,28.4,36.0,19,6.3,15,8,51.3,19.5,3,10.06,4.26,5.8,1.1,1.0,12.0,9.0,75,127.0,62.0,48.8,0.0,0.0,0,6.0,25.0,24.0,21.0,0.0,3.0,40.0,90.0,69.0
Brussels Basketball,Demetric HORTON,17,Demetric HORTON,22,23.7,522.0,343.0,15.6,116.0,230.0,50.4,69.0,141.0,48.9,42.0,49.0,85.7,11.0,74.0,85.0,62.0,33.0,6.0,34.0,39.0,263.6,26.8,20.7,3.7,5.1,140,483.0,22.0,29.2,17,1.9,18,1,46.1,23.4,9,10.96,5.26,5.7,2.7,1.0,2.0,2.0,100,87.0,45.0,51.7,0.0,0.0,0,1.0,25.0,18.0,9.0,0.0,5.0,42.0,105.0,71.0
Stella Artois Leuven Bears,Tytan ANDERSON,32/8,Tytan ANDERSON,22,33.0,727.0,339.0,15.4,125.0,241.0,51.9,21.0,59.0,35.6,68.0,110.0,61.8,46.0,131.0,177.0,65.0,31.0,12.0,55.0,62.0,286.5,21.1,20.3,3.9,10.6,160,499.0,22.7,29.9,33,3.3,25,15,52.2,33.6,10,4.39,-1.72,6.11,3.9,2.3,32.0,27.0,84.4,150.0,77.0,51.3,0.0,0.0,0,13.0,2.0,20.0,23.0,0.0,3.0,64.0,83.0,70.0
Okapi Aalst,Niels VAN DEN EYNDE,9,Niels VAN DEN EYNDE,22,33.2,731.0,333.0,15.1,115.0,242.0,47.5,30.0,93.0,32.3,73.0,94.0,77.7,9.0,47.0,56.0,162.0,27.0,1.0,66.0,59.0,326.7,23.1,19.2,9.4,3.2,353,686.0,31.2,39.6,26,2.9,17,14,56.1,29.2,9,1.31,0.1,1.21,1.0,1.5,0.0,0.0,0,149.0,85.0,57,0.0,0.0,0,0.0,15.0,40.0,23.0,0.0,3.0,26.0,72.0,58.0
Zorg en Zekerheid Leiden,Lucas KRUITHOF,17,Lucas KRUITHOF,22,32.5,714.0,307.0,14.0,114.0,234.0,48.7,42.0,131.0,32.1,37.0,53.0,69.8,31.0,100.0,131.0,59.0,54.0,2.0,41.0,49.0,256.6,18.4,17.8,3.4,7.6,124,431.0,19.6,25.0,12,1.5,12,5,42.3,14.2,8,4.58,-1.72,6.31,3.0,3.2,5.0,5.0,100,98.0,67.0,68.4,0.0,0.0,0,4.0,4.0,27.0,7.0,0.0,3.0,51.0,72.0,75.0
