game_id,game_date,team,points,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,pf_drawn,blk_against,poss,pace
10577,,House of Talents Spurs Kortrijk,71,23,58,12,24,11,34,14,18,10,21,31,15,5,0,14,20,22,3,67.0,65.6
10577,,Stella Artois Leuven Bears,69,26,62,19,26,7,36,10,12,12,19,31,9,7,3,11,22,20,0,64.3,65.6
10579,,PrismaWorx BAL,64,25,65,19,34,6,31,8,15,9,29,38,11,5,1,18,27,21,1,79.2,80.5
10579,,Zorg en Zekerheid Leiden,83,27,62,18,38,9,24,20,28,6,28,34,16,14,1,14,21,27,1,81.9,80.5
10581,,Union Mons-Hainaut,87,30,61,20,33,10,28,17,23,1,24,25,18,7,4,9,21,23,3,79.0,78.8
10581,,Donar Groningen,93,33,70,22,41,11,29,16,24,13,29,42,17,4,3,12,24,19,4,78.7,78.8
10583,,Filou Oostende,97,36,67,28,45,8,22,17,24,14,27,41,23,4,2,6,20,23,2,68.1,70.5
10583,,Hubo Limburg United,85,27,62,17,38,10,24,21,24,7,16,23,12,4,2,8,23,19,2,72.8,70.5
10585,,Val-Dieu Spirou Basket,98,36,73,27,43,9,30,17,30,9,22,31,22,14,5,14,27,24,4,90.3,87.2
10585,,LWD Basket,84,26,62,18,40,8,22,24,35,16,27,43,18,6,4,23,25,27,5,84.2,87.2
10587,,Rotterdam City Basketball,68,24,63,19,45,5,18,15,23,10,25,35,10,5,0,14,24,20,1,76.1,77.9
10587,,Landstede Hammers,88,28,62,19,34,9,28,23,29,4,28,32,27,9,1,10,20,23,0,79.7,78.3
10589,,Brussels Basketball,85,31,63,25,46,6,17,17,25,9,19,28,14,8,3,11,25,23,2,76.4,74.9
10589,,Okapi Aalst,89,29,63,23,41,6,22,25,32,13,27,40,15,4,2,11,24,25,3,73.3,74.9
10591,,Windrose Giants Antwerp,90,32,71,23,41,9,30,17,23,13,31,44,18,7,1,12,21,22,3,78.8,78.4
10591,,Den Helder Suns,70,25,57,15,30,10,27,10,18,4,25,29,12,5,3,17,22,21,1,78.0,78.4
10593,,Hubo Limburg United,84,31,56,25,40,6,16,16,20,7,23,30,27,1,5,12,19,23,0,68.7,67.3
10593,,Brussels Basketball,85,32,63,22,43,10,20,11,15,8,16,24,14,9,0,5,23,19,5,66.0,67.3
10595,,Den Helder Suns,84,29,80,18,42,11,38,15,22,13,27,40,17,9,4,10,15,20,2,83.9,83.1
10595,,Union Mons-Hainaut,90,38,69,29,48,9,21,5,8,5,32,37,20,5,2,15,20,15,4,82.3,83.1
10597,,Donar Groningen,85,29,68,21,42,8,26,19,26,18,26,44,15,14,6,14,11,21,2,73.1,74.2
10597,,PrismaWorx BAL,61,23,61,12,34,11,27,4,6,9,19,28,14,8,2,22,21,11,6,75.2,74.2
10599,,Zorg en Zekerheid Leiden,111,44,78,33,51,11,27,12,15,11,24,35,27,14,4,12,19,18,3,83.7,82.8
