Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Köping Stars,"Romello White, Marreon Jamar Jackson, Dragos Andrei Diculescu, Sekou Sylla, Romeo Myrthil","Köping Stars|0,3,31,5,7",8,38.0,2280.0,33,12,33,36.4,2,14,14.3,7,8,87.5,0,0,0,6,0,0,2,0,36,38.5,85.7,103.6,-17.9,0.87,-3
Umeå Basket,"Isac Åhnstrand, Adam Rask, William Christopher Dunston Jr, Alexander Yemane, Isak Andersson","Umeå Basket|1,11,12,17,9",2,30.9,1855.0,5,2,2,100.0,1,1,100.0,0,0,0,0,0,0,2,0,0,0,0,6,2.0,250.0,164.8,85.2,0.16,-1
Sloga Uppsala,"Jonathan Ninkingira, Richie Springs, Marko Dujkovic, Milutin Vujicic, Milos Bajic","Sloga Uppsala|12,2,22,27,4",1,30.0,1800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
Södertälje BBK,"Mason Daniel Madsen, Ayanfeoluwa Amoran, Carren Deroyce Wilson JR, Nicholas Spires, Oliver Gehrke","Södertälje BBK|10,11,2,30,31",3,30.0,1800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
Uppsala Basket,"Niklas Larsson, Olle Stümer, Henrik Jädersten, Peter Stümer, Lukas Friberg","Uppsala Basket|13,27,3,4,5",4,21.6,1296.0,13,6,9,66.7,1,2,50.0,0,0,0,0,0,0,3,0,0,1,0,12,10.0,130.0,90.9,39.1,0.6,1
Uppsala Basket,"Vilhelm Bodingh, Niklas Larsson, Henrik Jädersten, Peter Stümer, Lukas Friberg","Uppsala Basket|1,13,3,4,5",3,21.1,1266.0,0,0,2,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,0.0,0.0,0.0,0.0,0
Borås Basket,"Ali Sow, Justin Vander Baan, Oskar Palmquist, AJ Clayton, John Brändmark","Borås Basket|1,18,2,23,66",4,20.8,1248.0,1,0,0,0,0,0,0,1,1,100.0,0,0,0,0,0,0,0,0,3,0.4,227.3,75.0,152.3,0.05,-2
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Richard Mendes, Abdou Medjedoub, Steven Strong Jr","Nässjö Basket|1,11,15,17,2",2,20.0,1200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
BC Luleå,"Felix Broström, Robert Carpenter, Caleb McGill, Daniel Hansson, Gustav Hansson","BC Luleå|17,21,24,6,7",8,19.3,1157.0,40,14,32,43.8,5,17,29.4,7,11,63.6,0,0,0,11,0,0,6,0,51,42.8,93.4,137.2,-43.9,2.07,-11
BC Luleå,"Robert Carpenter, Caleb McGill, Daniel Hansson, Antonio Daye, Gustav Hansson","BC Luleå|21,24,6,67,7",5,14.1,843.0,48,17,23,73.9,6,8,75.0,8,10,80.0,0,0,0,4,0,0,4,0,26,31.4,152.9,102.8,50.0,3.42,22
Södertälje BBK,"Zaccharie Mortant, Jake O´Neil, Ibrahim Magassa, Nicholas Spires, Lukas Novakovic","Södertälje BBK|1,10,3,30,6",4,13.8,830.0,20,7,21,33.3,2,10,20.0,4,6,66.7,0,0,0,4,0,0,2,0,17,25.6,78.0,57.1,20.9,1.45,3
BC Luleå,"Harry Hassler, Tobias Sjöberg, Felix Broström, Daniel Hansson, Gustav Hansson","BC Luleå|13,15,17,6,7",3,12.7,764.0,2,0,4,0.0,0,0,0,2,2,100.0,0,0,0,0,0,0,1,0,5,5.9,34.0,63.5,-29.4,0.16,-3
Jämtland Basket,"Keaston Willis, Denzel George, Michael Christmas, Adam Johansson, Samari Curtis","Jämtland Basket|0,22,25,3,41",3,11.8,708.0,38,12,17,70.6,3,6,50.0,11,13,84.6,0,0,0,6,0,0,2,0,29,24.7,153.7,110.7,43.0,3.22,9
Norrköping Dolphins,"Tim Schüberg, Pierre Hampton, Benjamin Middlebrooks, Zachary Harvey, Nathan Dawit","Norrköping Dolphins|0,15,34,88,94",6,11.6,693.0,34,11,19,57.9,4,10,40.0,8,10,80.0,0,0,0,7,0,0,2,0,17,25.4,133.9,76.7,57.1,2.94,17
Umeå Basket,"Isac Åhnstrand, Adam Rask, William Christopher Dunston Jr, Emanuel Lundmark, Basem Abdulkader","Umeå Basket|1,11,12,7,8",2,11.5,688.0,2,1,3,33.3,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3.0,66.7,66.7,0.0,0.17,0
Jämtland Basket,"Keaston Willis, Denzel George, Michael Christmas, Adam Johansson, Brayden Parker","Jämtland Basket|0,22,25,3,7",2,11.3,676.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,0.0,0.0,0.0,0.0,0
Södertälje BBK,"Zaccharie Mortant, Jake O´Neil, Ayanfeoluwa Amoran, Ibrahim Magassa, Nicholas Spires","Södertälje BBK|1,10,11,3,30",4,11.1,667.0,36,8,14,57.1,4,8,50.0,16,20,80.0,0,0,0,3,0,0,4,0,32,26.8,134.3,103.0,31.4,3.24,4
BC Luleå,"Tobias Sjöberg, Felix Broström, Caleb McGill, Daniel Hansson, Gustav Hansson","BC Luleå|15,17,24,6,7",5,10.2,611.0,23,8,18,44.4,3,9,33.3,4,6,66.7,0,0,0,4,0,0,2,0,21,22.6,101.6,84.1,17.5,2.26,2
