Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
Nässjö Basket,"Anton Johansson, Dartaye Ruffin, Mirko Djeric, Steven Strong Jr, Tyler Patterson",Högsbo Basket,"Anes Zekovic, Charles Barton, Isaiah Hill, Jonathan Peleg, Tony Vitali",1,656,10.9,23.9,25,10,18,55.6,2,7,28.6,3,4,75,1,11,12,7,3,1,4,4,25,9,23,39.1,6,12,50,1,2,50,4,8,12,6,2,0,5,4,22.8,24.9,109.6,100.5,9.1,100.5,109.6,-9.1,0,7,7,100,4,1,25,6,2,33.3,5,2,40,6,1,16.7,9,4,44.4,2,1,0,1,1,3,0,1,5,12,9,4,3,0
Nässjö Basket,"Anton Lindqvist, Dartaye Ruffin, Mirko Djeric, Steven Strong Jr, Tyler Patterson",Sloga Uppsala,"Axel Nordström, Markeith Browning II, Marko Dujkovic, Milutin Vujicic, Richie Springs",1,686,11.4,22.7,21,10,21,47.6,1,8,12.5,0,2,0,4,7,11,5,4,0,3,6,31,12,21,57.1,4,7,57.1,3,3,100,2,9,11,6,0,1,4,1,21.3,24.2,98.8,128.2,-29.4,128.2,98.8,29.4,-10,6,4,66.7,7,5,71.4,8,1,12.5,8,5,62.5,4,2,50,7,4,57.1,0,1,0,2,2,2,0,0,2,11,7,4,0,2
Sloga Uppsala,"Alan Zekovic, Dragan Damjanovic, Markeith Browning II, Marko Dujkovic, Milutin Vujicic",Köping Stars,"ASA Nathaniel Williams, Adam Tafra, Dragos Andrei Diculescu, Lawrence Townsend III, Sekou Sylla",1,559,9.3,21.1,29,12,16,75,4,6,66.7,1,2,50,0,9,9,7,2,1,4,6,17,7,18,38.9,2,8,25,1,1,100,2,5,7,5,3,0,5,4,20.9,21.3,138.9,79.8,59.1,79.8,138.9,-59.1,12,7,5,71.4,1,1,100,5,3,60,6,3,50,2,0,0,8,2,25,1,2,0,1,1,1,0,3,0,8,8,2,4,4
Jämtland Basket,"Adam Johansson, Denzel George, Keaston Willis, Michael Christmas, Samari Curtis",BC Luleå,"Antonio Daye, Caleb McGill, Daniel Hansson, Gustav Hansson, Robert Carpenter",1,566,9.4,17.7,28,10,16,62.5,3,7,42.9,5,6,83.3,4,3,7,6,2,0,2,4,29,12,17,70.6,3,5,60,2,3,66.7,4,5,9,5,2,0,2,6,17.8,17.3,157.4,168,-10.6,168,157.4,10.6,-1,6,5,83.3,0,0,0,6,2,33.3,6,5,83.3,3,3,100,5,3,60,1,1,0,0,0,1,0,1,4,10,0,5,4,2
Norrköping Dolphins,"Benjamin Middlebrooks, Hugo Bergström, Nathan Dawit, Pierre Hampton, Zachary Harvey",BC Luleå,"Caleb McGill, Daniel Hansson, Felix Broström, Gustav Hansson, Robert Carpenter",1,560,9.3,17.7,14,6,18,33.3,2,9,22.2,0,0,0,3,5,8,4,4,0,3,5,19,5,9,55.6,2,4,50,7,8,87.5,0,9,9,5,2,2,5,2,17.8,17.5,78.7,108.4,-29.8,108.4,78.7,29.8,-5,8,4,50,1,0,0,9,2,22.2,3,2,66.7,2,1,50,4,2,50,1,2,0,0,4,1,0,0,0,9,4,0,4,7
BC Luleå,"Caleb McGill, Daniel Hansson, Felix Broström, Lamonte Turner, Tobias Sjöberg",Södertälje BBK,"Carren Deroyce Wilson JR, Mason Daniel Madsen, Mattias Herlitz, Nicholas Spires, Oliver Gehrke",1,590,9.8,17.5,18,8,17,47.1,1,5,20,1,2,50,3,9,12,3,2,0,2,3,15,7,17,41.2,1,5,20,0,0,0,1,7,8,4,2,0,2,2,17.0,17.9,105.9,83.7,22.3,83.7,105.9,-22.3,3,9,7,77.8,3,0,0,5,1,20,9,5,55.6,3,1,33.3,5,1,20,1,1,0,0,0,2,0,0,3,2,3,0,0,3
Nässjö Basket,"Abdou Medjedoub, Josef Fahrenholtz, Mirko Djeric, Steven Strong Jr, Tyler Patterson",Köping Stars,"Dragos Andrei Diculescu, Marreon Jamar Jackson, Romello White, Romeo Myrthil, Sekou Sylla",1,466,7.8,17.2,16,5,11,45.5,2,5,40,4,4,100,1,8,9,3,2,2,5,3,14,6,17,35.3,0,6,0,2,2,100,3,5,8,3,4,1,3,3,16.7,17.7,95.9,79.2,16.6,79.2,95.9,-16.6,2,3,2,66.7,2,0,0,3,1,33.3,7,5,71.4,1,0,0,4,0,0,2,3,0,0,0,1,0,2,0,10,0,4,4,6
Borås Basket,"AJ Clayton, Ali Sow, John Brändmark, KJ Jenkins, Oskar Palmquist",BC Luleå,"Caleb McGill, Daniel Hansson, Gustav Hansson, Robert Carpenter, Sergey Sepman",1,522,8.7,16.3,17,6,14,42.9,1,6,16.7,4,4,100,2,10,12,4,1,0,2,0,12,6,17,35.3,0,7,0,0,0,0,1,6,7,1,2,0,1,2,15.6,16.9,108.8,70.9,38,70.9,108.8,-38,5,2,1,50,4,2,50,6,1,16.7,0,0,0,9,5,55.6,7,0,0,0,2,0,0,1,0,0,0,4,4,2,2,0,0
Nässjö Basket,"Abdou Medjedoub, Anton Lindqvist, Mirko Djeric, Steven Strong Jr, Tyler Patterson",BC Luleå,"Caleb McGill, Daniel Hansson, Felix Broström, Gustav Hansson, Tobias Sjöberg",1,620,10.3,16.0,21,8,21,38.1,3,11,27.3,2,2,100,6,5,11,3,3,0,1,3,18,8,13,61.5,0,3,0,2,2,100,2,7,9,2,1,1,3,4,16.5,15.4,127.6,117.3,10.3,117.3,127.6,-10.3,3,7,4,57.1,3,1,33.3,11,3,27.3,8,7,87.5,2,1,50,3,0,0,0,1,0,0,2,1,0,0,6,2,2,2,0,2
Umeå Basket,"Adam Rask, Alexander Yemane, Glenn Stuart Morison, Isac Åhnstrand, William Christopher Dunston Jr",Norrköping Dolphins,"Dallion Johnson, Hugo Bergström, Nathan Dawit, Ryker Cisarik, Sebastian Forsling",1,394,6.6,15.0,5,2,12,16.7,0,4,0,1,1,100,0,2,2,1,3,0,4,4,15,6,13,46.2,1,4,25,2,2,100,5,10,15,2,2,0,5,1,16.4,13.5,30.4,110.9,-80.5,110.9,30.4,80.5,-10,5,2,40,1,0,0,4,0,0,7,4,57.1,1,1,100,3,1,33.3,0,2,0,2,3,0,0,2,0,0,0,8,2,4
