# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 156
# Qualified players exported: 111
# Total stints used: 5042
# Garbage time stints excluded: 225
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Norrköping Dolphins,0,Tim Schüberg,1124,5.11,4.8,9.91
BC Luleå,1,Lamonte Turner,301,2.22,4.17,6.4
BC Luleå,24,Caleb McGill,1262,2.16,3.9,6.06
Uppsala Basket,3,Henrik Jädersten,780,2.44,3.05,5.49
Borås Basket,1,Ali Sow,1128,1.68,3.24,4.92
Sloga Uppsala,22,Marko Dujkovic,1023,2.47,2.4,4.87
Nässjö Basket,2,Steven Strong Jr,1455,4.67,0.03,4.71
BC Luleå,7,Gustav Hansson,1468,2.27,2.12,4.4
Borås Basket,23,AJ Clayton,1281,3.43,0.57,4.0
Södertälje BBK,3,Ibrahim Magassa,1034,-1.81,5.72,3.92
Norrköping Dolphins,25,Sebastian Forsling,724,1.58,2.01,3.59
Jämtland Basket,7,Brayden Parker,681,-0.4,3.68,3.29
BC Luleå,67,Antonio Daye,514,0.61,2.52,3.12
Köping Stars,0,Romello White,632,2.16,0.95,3.11
Södertälje BBK,12,Nicholas Spires,1308,1.42,1.42,2.85
Uppsala Basket,5,Lukas Friberg,1131,-1.04,3.72,2.68
Jämtland Basket,22,Denzel George,1309,1.63,1.02,2.65
Köping Stars,1,Adam Tafra,644,-0.19,2.79,2.6
Uppsala Basket,1,Vilhelm Bodingh,702,0.31,2.2,2.51
Högsbo Basket,9,Jan Tratnik,575,1.32,1.17,2.5
Jämtland Basket,0,Keaston Willis,1185,2.86,-0.4,2.46
Uppsala Basket,13,Niklas Larsson,1278,1.4,0.98,2.39
Södertälje BBK,2,Carren Deroyce Wilson JR,352,1.56,0.53,2.09
BC Luleå,6,Daniel Hansson,1383,0.37,1.72,2.09
Högsbo Basket,26,Jonathan Peleg,850,-0.21,2.22,2.0
Norrköping Dolphins,88,Zachary Harvey,1301,1.68,0.3,1.97
Norrköping Dolphins,34,Benjamin Middlebrooks,1112,2.03,-0.06,1.97
Sloga Uppsala,27,Milutin Vujicic,1213,0.76,0.99,1.75
Södertälje BBK,10,Mason Daniel Madsen,276,1.88,-0.17,1.71
BC Luleå,21,Robert Carpenter,1090,2.82,-1.13,1.69
Norrköping Dolphins,22,LaDarien Griffin,280,0.95,0.72,1.67
Köping Stars,3,Marreon Jamar Jackson,667,2.25,-0.64,1.61
Nässjö Basket,20,Anton Lindqvist,815,-0.25,1.86,1.61
Nässjö Basket,17,Abdou Medjedoub,913,0.2,1.4,1.6
Borås Basket,18,Justin Vander Baan,1087,0.23,1.35,1.57
Borås Basket,9,Andreas Person,708,1.81,-0.24,1.57
Södertälje BBK,31,Oliver Gehrke,953,1.63,-0.09,1.54
Jämtland Basket,41,Samari Curtis,1038,0.24,1.3,1.54
Uppsala Basket,17,Åke Swahn,326,1.45,0.05,1.5
Umeå Basket,12,William Christopher Dunston Jr,1625,0.02,1.35,1.37
Södertälje BBK,10,Jake O´Neil,981,0.07,1.28,1.35
BC Luleå,15,Tobias Sjöberg,739,-0.47,1.72,1.24
Uppsala Basket,6,Hugo Tidare,572,-1.49,2.64,1.15
Borås Basket,6,William Guténius,850,1.3,-0.19,1.11
Borås Basket,4,Ludvig Johansson,469,-0.25,1.34,1.09
Borås Basket,8,Fredrik Andersson,622,-0.2,1.29,1.09
Borås Basket,2,Oskar Palmquist,1072,0.51,0.4,0.92
Nässjö Basket,4,Anton Johansson,970,-0.86,1.71,0.85
Umeå Basket,9,Isak Andersson,951,0.15,0.64,0.79
Södertälje BBK,11,Ayanfeoluwa Amoran,660,1.23,-0.45,0.78
Umeå Basket,1,Isac Åhnstrand,1235,0.76,-0.03,0.73
Norrköping Dolphins,15,Pierre Hampton,1031,0.8,-0.15,0.65
Nässjö Basket,1,Mirko Djeric,1742,1.49,-0.85,0.64
Jämtland Basket,25,Michael Christmas,1296,3.3,-2.74,0.56
Norrköping Dolphins,23,Dallion Johnson,1027,0.72,-0.2,0.53
Uppsala Basket,27,Olle Stümer,684,-0.67,1.19,0.52
Södertälje BBK,12,Mattias Herlitz,825,-1.59,1.99,0.4
Jämtland Basket,3,Adam Johansson,1123,1.24,-0.96,0.28
Borås Basket,0,KJ Jenkins,1081,-0.8,0.72,-0.08
Köping Stars,12,Tim Jonsson,517,0.0,-0.16,-0.15
Nässjö Basket,24,Josef Fahrenholtz,508,2.92,-3.07,-0.16
Borås Basket,66,John Brändmark,869,0.72,-0.96,-0.25
Jämtland Basket,5,Michael Marsh,508,0.01,-0.45,-0.44
Köping Stars,4,Lawrence Townsend III,1042,-1.2,0.75,-0.45
Umeå Basket,62,Glenn Stuart Morison,493,-1.1,0.57,-0.53
Södertälje BBK,1,Zaccharie Mortant,1158,-0.31,-0.22,-0.53
Norrköping Dolphins,94,Nathan Dawit,1165,0.41,-1.0,-0.59
Umeå Basket,2,Melker Lindblom,856,0.13,-0.78,-0.65
Norrköping Dolphins,5,Ryker Cisarik,754,-0.73,0.07,-0.66
Köping Stars,7,Romeo Myrthil,1354,-1.2,0.51,-0.69
BC Luleå,3,Sergey Sepman,759,0.54,-1.25,-0.71
Uppsala Basket,21,Kaspar Mårtenson,711,-2.0,0.93,-1.07
Norrköping Dolphins,21,Hugo Bergström,928,-2.86,1.73,-1.13
Umeå Basket,8,Basem Abdulkader,562,-0.71,-0.45,-1.16
Jämtland Basket,23,Nils Botold,445,-0.41,-0.77,-1.18
Köping Stars,11,Rickard Rietz,592,-2.74,1.41,-1.33
Högsbo Basket,0,Charles Barton,1365,-0.28,-1.1,-1.38
