Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Uppsala Basket,Peter Stümer,4,Peter Stümer,29,27.2,789.9,427.0,14.7,137.0,301.0,45.5,63.0,166.0,38,90.0,117.0,76.9,22.0,130.0,152.0,92.0,37.0,2.0,67.0,0.0,381.6,25.6,19.3,4.2,6.9,193,620.0,21.4,28.0,45,3.5,28,19,61.9,44.4,13,3.08,-1.54,4.62,2.8,2.0,91.0,56.0,61.5,24.0,9.0,37.5,150.0,57.0,38,35.0,14.0,41.0,18.0,0.0,4.0,64.0,106.0,85.0
Nässjö Basket,Dartaye Ruffin,21,Dartaye Ruffin,29,19.6,569.3,419.0,14.4,165.0,296.0,55.7,8.0,33.0,24.2,81.0,116.0,69.8,47.0,114.0,161.0,25.0,18.0,25.0,35.0,0.0,321.6,29.5,19.2,1.1,7.4,63,482.0,16.6,22.1,34,3.1,22,12,62.3,30.3,11,1.96,0.19,1.77,5.0,2.6,173.0,119.0,68.8,68.0,27.0,39.7,30.0,7.0,23.3,40.0,0.0,11.0,13.0,0.0,5.0,98.0,57.0,39.0
Uppsala Basket,Niklas Larsson,13,Niklas Larsson,29,26.7,775.6,416.0,14.3,148.0,336.0,44,68.0,164.0,41.5,52.0,61.0,85.2,9.0,59.0,68.0,71.0,23.0,0.0,18.0,0.0,357.0,24.4,18.8,3.2,3.1,156,572.0,19.7,25.8,43,3.1,36,16,50.0,47.0,14,1.62,-1.21,2.83,2.1,2.6,29.0,18.0,62.1,97.0,42.0,43.3,138.0,59.0,42.8,10.0,21.0,11.0,4.0,0.0,2.0,68.0,55.0,51.0
Norrköping Dolphins,Benjamin Middlebrooks,34,Benjamin Middlebrooks; Ben Middlebrooks,29,24.6,713.8,406.0,14.0,138.0,278.0,49.6,45.0,112.0,40.2,85.0,133.0,63.9,79.0,129.0,208.0,54.0,36.0,23.0,39.0,0.0,284.7,20.6,18.1,2.4,9.3,128,534.0,18.4,23.8,20,3.3,12,7,66.3,15.1,6,7.06,1.46,5.61,4.4,3.0,115.0,71.0,61.7,30.0,9.0,30,100.0,41.0,41,39.0,1.0,12.0,17.0,0.0,5.0,122.0,77.0,73.0
Nässjö Basket,Mirko Djeric,1,Mirko Djeric,29,33.8,980.9,395.0,13.6,134.0,302.0,44.4,55.0,142.0,38.7,72.0,85.0,84.7,18.0,144.0,162.0,289.0,26.0,0.0,93.0,0.0,397.8,21.2,18.1,13.2,7.4,583,978.0,33.7,44.7,16,2.0,16,4,45.0,19.8,8,0.81,-0.2,1.01,1.5,1.0,48.0,33.0,68.8,96.0,38.0,39.6,133.0,50.0,37.6,25.0,33.0,51.0,16.0,0.0,16.0,57.0,85.0,54.0
Nässjö Basket,Tyler Patterson,11,Tyler Patterson,29,25.0,724.1,304.0,10.5,108.0,228.0,47.4,79.0,177.0,44.6,9.0,12.0,75,13.0,53.0,66.0,20.0,18.0,1.0,18.0,0.0,228.7,16.5,13.9,0.9,3.0,51,355.0,12.2,16.2,29,2.9,15,4,86.5,17.8,10,-0.68,-1.3,0.62,2.6,3.7,13.0,8.0,61.5,34.0,18.0,52.9,162.0,70.0,43.2,3.0,7.0,7.0,9.0,0.0,2.0,36.0,79.0,48.0
Uppsala Basket,Melker Delryd,8,Melker Delryd,29,20.9,605.4,243.0,8.4,79.0,186.0,42.5,40.0,106.0,37.7,45.0,56.0,80.4,34.0,39.0,73.0,32.0,19.0,6.0,29.0,0.0,197.4,17.3,11.0,1.4,3.3,66,309.0,10.7,14.0,9,0.9,14,5,27.8,18.2,10,-0.51,-3.26,2.75,3.0,3.7,34.0,19.0,55.9,28.0,9.0,32.1,96.0,36.0,37.5,12.0,1.0,5.0,18.0,0.0,4.0,59.0,50.0,55.0
Uppsala Basket,Henrik Jädersten,3,Henrik Jädersten,29,18.3,530.0,183.0,6.3,64.0,130.0,49.2,40.0,86.0,46.5,15.0,25.0,60,16.0,72.0,88.0,36.0,12.0,7.0,24.0,0.0,143.0,14.3,8.3,1.6,4.0,75,258.0,8.9,11.7,14,3.5,8,0,87.5,8.0,4,1.12,-2.86,3.98,3.5,3.3,22.0,14.0,63.6,15.0,5.0,33.3,78.0,38.0,48.7,5.0,3.0,7.0,20.0,0.0,1.0,26.0,23.0,30.0
Uppsala Basket,Vilhelm Bodingh,1,Vilhelm Bodingh,29,15.2,440.4,114.0,3.9,46.0,104.0,44.2,3.0,18.0,16.7,19.0,34.0,55.9,40.0,57.0,97.0,29.0,17.0,13.0,23.0,0.0,97.9,11.8,5.1,1.3,4.4,73,187.0,6.4,8.4,10,2.5,5,4,74.0,6.8,4,-1.53,-5.66,4.13,4.3,4.5,61.0,31.0,50.8,13.0,5.0,38.5,14.0,2.0,14.3,6.0,0.0,13.0,4.0,0.0,0.0,40.0,18.0,19.0
BC Luleå,Gustav Hansson,7,Gustav Hansson,28,31.2,872.9,593.0,21.2,188.0,391.0,48.1,68.0,161.0,42.2,149.0,169.0,88.2,16.0,78.0,94.0,181.0,41.0,3.0,60.0,0.0,489.0,29.7,28.0,8.6,4.4,377,970.0,34.6,45.8,67,4.2,52,25,53.2,68.0,16,8.45,4.11,4.34,1.1,1.0,98.0,51.0,52,99.0,49.0,49.5,144.0,63.0,43.8,45.0,42.0,32.0,12.0,0.0,5.0,85.0,105.0,86.0
Borås Basket,Ali Sow,1,Ali Sow,28,24.9,696.7,557.0,19.9,187.0,349.0,53.6,58.0,150.0,38.7,125.0,154.0,81.2,11.0,99.0,110.0,163.0,23.0,9.0,72.0,0.0,458.6,34.2,25.5,7.5,5.0,345,902.0,32.2,41.3,29,4.1,14,15,70.4,22.6,7,10.65,5.15,5.5,1.7,1.0,64.0,48.0,75,105.0,61.0,58.1,134.0,51.0,38.1,42.0,34.0,38.0,23.0,0.0,5.0,68.0,116.0,74.0
Nässjö Basket,Steven Strong Jr,2,Steven Strong Jr,28,30.3,849.7,480.0,17.1,163.0,369.0,44.2,63.0,165.0,38.2,91.0,108.0,84.3,25.0,86.0,111.0,112.0,51.0,-6.0,42.0,0.0,416.2,25.6,22.0,5.1,5.1,247,727.0,26.0,33.3,75,5.4,37,22,80.3,48.7,14,1.9,-0.18,2.07,1.5,2.3,98.0,61.0,62.2,93.0,34.0,36.6,152.0,58.0,38.2,53.0,28.0,22.0,15.0,0.0,3.0,69.0,136.0,105.0
Norrköping Dolphins,Zachary Harvey,88,Zach Harvey; Zachary Harvey,28,27.4,766.2,463.0,16.5,162.0,310.0,52.3,46.0,111.0,41.4,93.0,120.0,77.5,36.0,69.0,105.0,69.0,40.0,5.0,48.0,0.0,359.8,24.2,20.6,3.1,4.7,145,608.0,21.7,27.0,23,3.3,17,12,51.6,25.3,7,5.75,0.5,5.25,2.4,2.4,130.0,84.0,64.6,44.0,15.0,34.1,95.0,38.0,40,55.0,18.0,16.0,17.0,0.0,7.0,96.0,148.0,126.0
Borås Basket,AJ Clayton,23,AJ Clayton,28,27.3,765.4,441.0,15.8,153.0,284.0,53.9,73.0,171.0,42.7,62.0,74.0,83.8,46.0,109.0,155.0,49.0,13.0,25.0,23.0,0.0,281.8,19.1,20.2,2.2,7.1,108,549.0,19.6,25.2,15,2.1,12,0,62.5,15.0,7,7.66,2.71,4.95,3.9,2.4,53.0,42.0,79.2,44.0,27.0,61.4,148.0,63.0,42.6,19.0,2.0,7.0,13.0,1.0,4.0,74.0,77.0,74.0
BC Luleå,Robert Carpenter,21,Robert Carpenter,28,21.7,608.7,431.0,15.4,168.0,271.0,62,30.0,67.0,44.8,65.0,79.0,82.3,68.0,120.0,188.0,17.0,23.0,22.0,25.0,0.0,252.2,22.0,20.4,0.8,8.9,39,470.0,16.8,22.2,30,2.7,19,10,64.1,24.4,11,8.96,4.51,4.45,5.0,2.0,138.0,97.0,70.3,40.0,18.0,45,61.0,28.0,45.9,47.0,2.0,6.0,10.0,0.0,5.0,124.0,49.0,75.0
Sloga Uppsala,Markeith Browning II,3,Markeith Browning II,28,28.1,785.9,405.0,14.5,163.0,377.0,43.2,32.0,115.0,27.8,47.0,78.0,60.3,15.0,103.0,118.0,97.0,30.0,16.0,60.0,0.0,438.1,29.4,19.0,4.5,5.5,194,599.0,21.4,28.1,19,2.7,13,8,57.5,17.5,7,-2.84,-3.76,0.92,2.2,2.1,190.0,100.0,52.6,37.0,13.0,35.1,99.0,26.0,26.3,76.0,13.0,29.0,17.0,0.0,5.0,66.0,113.0,67.0
Umeå Basket,William Christopher Dunston Jr,12,William Christopher Dunston Jr,28,31.4,880.4,393.0,14.0,132.0,239.0,55.2,27.0,97.0,27.8,102.0,135.0,75.6,56.0,210.0,266.0,88.0,74.0,51.0,49.0,0.0,279.7,16.2,18.2,4.1,12.3,205,598.0,21.4,27.7,20,2.0,16,16,43.4,24.0,10,7.91,0.24,7.67,5.0,1.9,125.0,96.0,76.8,11.0,3.0,27.3,93.0,25.0,26.9,68.0,2.0,22.0,11.0,0.0,6.0,101.0,149.0,118.0
Södertälje BBK,Nicholas Spires,12/30,Nicholas Spires; Mattias Herlitz,28,28.9,809.5,387.0,13.8,135.0,275.0,49.1,48.0,115.0,41.7,69.0,87.0,79.3,42.0,140.0,182.0,44.0,21.0,39.0,43.0,0.0,301.7,21.2,20.1,2.3,9.4,217,604.0,21.6,31.3,41,3.4,30,17,54.7,40.5,12,4.66,-0.48,5.14,5.0,2.7,139.0,82.0,59,28.0,13.0,46.4,114.0,44.0,38.6,40.0,1.0,10.0,28.0,0.0,3.0,98.0,53.0,63.0
Sloga Uppsala,Richie Springs,2,Richie Springs,28,28.6,801.3,361.0,12.9,140.0,267.0,52.4,19.0,50.0,38,62.0,83.0,74.7,61.0,135.0,196.0,46.0,19.0,20.0,41.0,0.0,272.2,17.9,16.9,2.2,9.2,96,457.0,16.3,21.4,7,1.8,5,2,59.5,7.9,4,-1.11,-2.35,1.24,4.0,2.7,109.0,69.0,63.3,68.0,33.0,48.5,45.0,17.0,37.8,41.0,0.0,18.0,18.0,0.0,5.0,98.0,45.0,38.0
Högsbo Basket,Anes Zekovic,6,Anes Zekovic,28,31.7,887.6,360.0,12.9,98.0,260.0,37.7,59.0,175.0,33.7,105.0,116.0,90.5,14.0,119.0,133.0,59.0,47.0,9.0,30.0,0.0,314.0,18.2,16.5,2.7,6.1,105,465.0,16.6,21.3,9,1.3,12,6,30.7,17.6,7,-0.74,-3.28,2.53,2.7,3.2,41.0,25.0,61,29.0,7.0,24.1,147.0,51.0,34.7,8.0,11.0,18.0,9.0,0.0,3.0,53.0,65.0,52.0
