Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
ALPHA DIALLO,AS Monaco,11,ALPHA DIALLO,"DANIEL THEIS, ELIE OKOBO, JARON BLOSSOMGAME, MIKE JAMES, NEMANJA NEDOVIC",1,6.4,2,1,3,33.3,0,2,0.0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,2.0,18.3,146.3,150.7,-4.4,33.3,33.3,0.0,25.0,0,0,0,1,1,100,2,0,0,0,0,0,0,0,1,0,0,0
ALPHA DIALLO,AS Monaco,11,ALPHA DIALLO,"DANIEL THEIS, ELIE OKOBO, JARON BLOSSOMGAME, MATTHEW STRAZEL, MIKE JAMES",1,4.0,0,0,3,0.0,0,1,0.0,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0.0,0.0,101.5,133.1,-31.6,0.0,0.0,0,0.0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ALPHA DIALLO,AS Monaco,11,ALPHA DIALLO,"ELIE OKOBO, JARON BLOSSOMGAME, JUHANN BEGARIN, KEVARRIUS HAYES, MIKE JAMES",1,2.7,2,1,1,100.0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,2,2.0,37.1,111.2,82.0,29.2,100.0,100.0,0.0,50.0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,1,2,0,0
ALPHA DIALLO,AS Monaco,11,ALPHA DIALLO,"ELIE OKOBO, JARON BLOSSOMGAME, KEVARRIUS HAYES, MATTHEW STRAZEL, MIKE JAMES",1,2.6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,50.0,140.0,-90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPHA DIALLO,AS Monaco,11,ALPHA DIALLO,"DANIEL THEIS, ELIE OKOBO, JARON BLOSSOMGAME, JUHANN BEGARIN, MIKE JAMES",1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,100.0,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPHA DIALLO,AS Monaco,11,ALPHA DIALLO,"ELIE OKOBO, JUHANN BEGARIN, KEVARRIUS HAYES, MATTHEW STRAZEL, MIKE JAMES, NEMANJA NEDOVIC",1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANIEL THEIS,AS Monaco,10,DANIEL THEIS,"ALPHA DIALLO, ELIE OKOBO, JARON BLOSSOMGAME, MIKE JAMES, NEMANJA NEDOVIC",1,6.4,7,2,3,66.7,1,2,50.0,2,2,100.0,2,0,2,1,0,0,0,2,2,2,9,9.0,82.3,146.3,150.7,-4.4,83.3,90.2,50.0,0.0,0,0,0,1,1,100,2,1,50,0,0,0,0,0,0,7,0,2
DANIEL THEIS,AS Monaco,10,DANIEL THEIS,"ALPHA DIALLO, ELIE OKOBO, JARON BLOSSOMGAME, MATTHEW STRAZEL, MIKE JAMES",1,4.0,2,1,2,50.0,0,1,0.0,0,0,0,0,2,2,1,0,0,0,2,2,2,4,4.0,50.8,101.5,133.1,-31.6,50.0,50.0,100.0,0.0,0,0,0,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0
DANIEL THEIS,AS Monaco,10,DANIEL THEIS,"ELIE OKOBO, JUHANN BEGARIN, MATTHEW STRAZEL, NEMANJA NEDOVIC, TERRY TARPEY",1,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3.0,40.3,121.0,129.7,-8.8,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANIEL THEIS,AS Monaco,10,DANIEL THEIS,"ALPHA DIALLO, ELIE OKOBO, JARON BLOSSOMGAME, JUHANN BEGARIN, MIKE JAMES",1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELIE OKOBO,AS Monaco,0,ELIE OKOBO,"ALPHA DIALLO, DANIEL THEIS, JARON BLOSSOMGAME, MIKE JAMES, NEMANJA NEDOVIC",1,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,146.3,150.7,-4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELIE OKOBO,AS Monaco,0,ELIE OKOBO,"JUHANN BEGARIN, KEVARRIUS HAYES, MATTHEW STRAZEL, NEMANJA NEDOVIC, TERRY TARPEY",1,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,105.5,50.6,54.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELIE OKOBO,AS Monaco,0,ELIE OKOBO,"MATTHEW STRAZEL, MIKE JAMES, NEMANJA NEDOVIC, TERRY TARPEY",1,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,147.1,150.5,-3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELIE OKOBO,AS Monaco,0,ELIE OKOBO,"ALPHA DIALLO, DANIEL THEIS, JARON BLOSSOMGAME, MATTHEW STRAZEL, MIKE JAMES",1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,101.5,133.1,-31.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELIE OKOBO,AS Monaco,0,ELIE OKOBO,"DANIEL THEIS, JUHANN BEGARIN, MATTHEW STRAZEL, NEMANJA NEDOVIC, TERRY TARPEY",1,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,121.0,129.7,-8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELIE OKOBO,AS Monaco,0,ELIE OKOBO,"ALPHA DIALLO, JARON BLOSSOMGAME, JUHANN BEGARIN, KEVARRIUS HAYES, MIKE JAMES",1,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,111.2,82.0,29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELIE OKOBO,AS Monaco,0,ELIE OKOBO,"ALPHA DIALLO, JARON BLOSSOMGAME, KEVARRIUS HAYES, MATTHEW STRAZEL, MIKE JAMES",1,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,140.0,-90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELIE OKOBO,AS Monaco,0,ELIE OKOBO,"JUHANN BEGARIN, KEVARRIUS HAYES, MATTHEW STRAZEL, MIKE JAMES, TERRY TARPEY",1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,133.3,134.5,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELIE OKOBO,AS Monaco,0,ELIE OKOBO,"KEVARRIUS HAYES, MATTHEW STRAZEL, MIKE JAMES, TERRY TARPEY",1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,77.3,138.9,-61.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELIE OKOBO,AS Monaco,0,ELIE OKOBO,"JARON BLOSSOMGAME, JUHANN BEGARIN, KEVARRIUS HAYES, MATTHEW STRAZEL, MIKE JAMES",1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.9,99.7,-48.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELIE OKOBO,AS Monaco,0,ELIE OKOBO,"ALPHA DIALLO, DANIEL THEIS, JARON BLOSSOMGAME, JUHANN BEGARIN, MIKE JAMES",1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELIE OKOBO,AS Monaco,0,ELIE OKOBO,"ALPHA DIALLO, JUHANN BEGARIN, KEVARRIUS HAYES, MATTHEW STRAZEL, MIKE JAMES, NEMANJA NEDOVIC",1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
