Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Panathinaikos AKTOR Athens,10,KOSTAS SLOUKAS,,1,36.1,36.1,24,24.0,7,7,100.0,2,2,100.0,8,10,80.0,1,4,5,3,2,0,0,2,114.3,105.3,15.3,210.5,32.7,2.7,3.6,15.8,9.4,14.3,3.0,0.0,0.0,1.43,22.1,15.57,6.53,0,0,0,5,3,60,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Madrid,0,TREY LYLES,,1,21.7,21.7,16,16.0,6,9,66.7,4,7,57.1,0,0,0,0,4,4,2,0,0,0,0,88.9,88.9,19.0,177.8,22.3,9.7,0.0,17.1,9.0,14.8,0.0,0.0,0.0,0.0,19.44,14.04,5.4,0,0,0,4,2,50,5,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paris Basketball,7,SEBASTIAN HERRERA,,1,23.4,23.4,25,25.0,7,14,50.0,3,9,33.3,8,8,100.0,1,5,6,6,0,0,1,1,60.7,71.3,36.2,135.0,33.4,12.0,4.9,27.6,15.6,57.0,0.0,0.0,5.4,0.57,18.76,13.71,5.05,0,0,0,1,0,0,8,3,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Partizan Mozzart Bet Belgrade,7,MARIO NAKIC,,1,28.4,28.4,16,16.0,5,8,62.5,2,4,50.0,4,4,100.0,4,7,11,5,0,2,1,2,75.0,82.0,17.0,148.7,21.4,5.3,18.2,28.2,23.5,27.2,0.0,6.9,9.3,0.5,18.35,11.69,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Madrid,14,GABRIEL DECK,,1,15.6,15.6,7,7.0,2,4,50.0,1,2,50.0,2,2,100.0,3,5,8,5,0,0,0,3,62.5,71.7,14.4,143.4,9.7,2.8,19.8,29.9,25.1,41.6,0.0,0.0,0.0,0.5,15.41,9.64,5.77,0,0,0,7,4,57.1,4,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anadolu Efes Istanbul,1,RODRIGUE BEAUBOIS,,1,29.1,29.1,20,20.0,5,8,62.5,4,6,66.7,6,6,100.0,1,1,2,3,1,0,1,4,87.5,94.0,20.7,171.8,27.5,8.3,4.7,5.5,5.1,21.6,1.9,0.0,8.6,0.75,15.39,9.01,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olympiacos Piraeus,34,CORY JOSEPH,,1,25.2,25.2,13,13.0,3,4,75.0,0,1,0.0,7,9,77.8,3,7,10,2,2,0,0,1,75.0,81.7,15.7,163.3,18.2,1.4,13.6,39.6,25.1,14.9,4.3,0.0,0.0,2.25,14.24,7.02,7.22,0,0,0,3,2,66.7,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Madrid,11,MARIO HEZONJA,,1,19.6,19.6,8,8.0,4,7,57.1,0,0,0,0,1,0.0,3,6,9,2,0,3,0,3,57.1,53.8,17.5,107.5,11.1,0.0,15.7,28.5,22.5,14.7,0.0,13.6,0.0,0.14,14.24,7.75,6.49,0,0,0,2,2,100,7,4,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Madrid,6,ALBERTO ABALDE,,1,22.7,22.7,14,14.0,6,11,54.5,2,4,50.0,0,1,0.0,2,4,6,1,1,0,0,2,63.6,61.2,23.1,122.4,19.5,5.6,9.0,16.4,12.9,6.9,2.3,0.0,0.0,0.09,13.8,9.19,4.61,0,0,0,0,0,0,3,2,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Madrid,13,IZAN ALMANSA,,1,13.2,13.2,6,6.0,2,4,50.0,2,3,66.7,0,0,0,0,1,1,3,1,0,0,1,75.0,75.0,13.9,150.0,8.4,4.2,0.0,7.0,3.7,30.3,4.0,0.0,0.0,0.0,13.7,8.18,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zalgiris Kaunas,3,SYLVAIN FRANCISCO,,1,25.8,25.8,23,23.0,5,11,45.5,4,9,44.4,9,10,90.0,1,3,4,4,0,1,1,3,63.6,74.7,30.0,140.2,31.4,12.3,5.5,15.0,10.5,27.9,0.0,3.1,6.1,0.91,13.04,11.7,1.34,0,0,0,2,1,50,9,4,44.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
