Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Kosner Baskonia Vitoria-Gasteiz,KOBI SIMMONS,2,KOBI SIMMONS,1,30.8,30.8,27.0,27.0,9.0,15.0,60,2.0,6.0,33.3,7.0,7.0,100,3.0,9.0,12.0,1.0,1.0,0.0,3.0,2.0,17.4,27.1,32.5,1.2,14.4,14,41.0,41.0,49.3,0,0,0,0,0,0.0,0,9.63,5.72,3.9,3.8,2.8,0.0,0.0,0,7.0,3.0,42.9,3.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,6.0
Paris Basketball,SEBASTIAN HERRERA,7,SEBASTIAN HERRERA,1,23.4,23.4,25.0,25.0,7.0,14.0,50,3.0,9.0,33.3,8.0,8.0,100,1.0,5.0,6.0,6.0,0.0,0.0,1.0,1.0,16.8,38.5,33.4,8.0,8.0,2,27.0,27.0,36.1,0,0,0,0,0,0.0,0,23.06,14.76,8.3,3.0,2.0,0.0,0.0,0,1.0,0.0,0,8.0,3.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panathinaikos AKTOR Athens,KOSTAS SLOUKAS,10,KOSTAS SLOUKAS,1,36.1,36.1,24.0,24.0,7.0,7.0,100,2.0,2.0,100,8.0,10.0,80,1.0,4.0,5.0,3.0,2.0,0.0,0.0,2.0,10.0,15.1,32.7,4.1,6.8,2,26.0,26.0,35.4,0,0,0,0,0,0.0,0,17.08,9.93,7.15,2.9,2.4,0.0,0.0,0,5.0,3.0,60,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0
Dubai Basketball,NATE MASON,1,NATE MASON,1,21.2,21.2,23.0,23.0,10.0,16.0,62.5,0.0,1.0,0,3.0,6.0,50,1.0,2.0,3.0,1.0,0.0,1.0,0.0,2.0,16.9,37.5,26.9,1.2,3.5,0,23.0,23.0,26.9,0,0,0,0,0,0.0,0,7.93,3.92,4.01,3.3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zalgiris Kaunas,SYLVAIN FRANCISCO,3,SYLVAIN FRANCISCO,1,25.8,25.8,23.0,23.0,5.0,11.0,45.5,4.0,9.0,44.4,9.0,10.0,90,1.0,3.0,4.0,4.0,0.0,1.0,1.0,3.0,14.8,31.4,31.4,5.5,5.5,10,33.0,33.0,45.1,0,0,0,0,0,0.0,0,15.54,12.15,3.39,3.1,2.1,0.0,0.0,0,2.0,1.0,50,9.0,4.0,44.4,0.0,3.0,0.0,0.0,0.0,1.0,0.0,9.0,5.0
Panathinaikos AKTOR Athens,CEDI OSMAN,6,CEDI OSMAN,1,31.3,31.3,22.0,22.0,9.0,20.0,45,1.0,5.0,20,3.0,3.0,100,0.0,1.0,1.0,3.0,2.0,0.0,2.0,4.0,22.4,38.9,30.0,4.1,1.4,7,29.0,29.0,39.5,0,0,0,0,0,0.0,0,-4.66,-5.39,0.73,2.3,3.8,0.0,0.0,0,5.0,5.0,100,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,9.0
Anadolu Efes Istanbul,RODRIGUE BEAUBOIS,1,RODRIGUE BEAUBOIS,1,29.1,29.1,20.0,20.0,5.0,8.0,62.5,4.0,6.0,66.7,6.0,6.0,100,1.0,1.0,2.0,3.0,1.0,0.0,1.0,4.0,10.2,19.4,27.5,4.1,2.8,0,20.0,20.0,27.5,0,0,0,0,0,0.0,0,13.75,6.16,7.59,2.6,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virtus Bologna,CARSEN EDWARDS,3,CARSEN EDWARDS,1,32.2,32.2,19.0,19.0,6.0,19.0,31.6,3.0,9.0,33.3,4.0,4.0,100,1.0,1.0,2.0,3.0,2.0,0.0,2.0,3.0,20.9,35.2,25.8,4.1,2.7,2,21.0,21.0,28.5,0,0,0,0,0,0.0,0,-1.27,-2.8,1.53,2.2,3.5,0.0,0.0,0,10.0,3.0,30,9.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,2.0,3.0,11.0,0.0
Partizan Mozzart Bet Belgrade,CARLIK JONES,1,CARLIK JONES,1,26.3,26.3,19.0,19.0,8.0,15.0,53.3,0.0,2.0,0,3.0,3.0,100,1.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,15.7,31.8,25.4,4.0,2.7,5,24.0,24.0,32.1,0,0,0,0,0,0.0,0,5.84,-0.27,6.11,2.4,3.4,0.0,0.0,0,13.0,8.0,61.5,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,6.0
Olympiacos Piraeus,OMIROS NETZIPOGLOU,21,OMIROS NETZIPOGLOU,1,25.4,25.4,19.0,19.0,6.0,13.0,46.2,5.0,9.0,55.6,2.0,4.0,50,0.0,3.0,3.0,2.0,1.0,0.0,2.0,1.0,16.1,35.5,26.6,2.8,4.2,0,19.0,19.0,26.6,0,0,0,0,0,0.0,0,8.28,3.9,4.38,2.7,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
