Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Newcastle Eagles,Maceo Jack,14,Maceo Jack,30,31.2,935.5,469.0,15.6,165.0,351.0,47,32.0,100.0,32,107.0,130.0,82.3,22.0,108.0,130.0,62.0,25.0,10.0,49.0,71.0,417.8,22.3,19.4,2.6,5.4,148,617.0,20.6,25.5,56,4.0,37,15,64.2,50.6,14,-1.14,-3.71,2.57,3.2,3.0,127.0,80.0,63,124.0,53.0,42.7,100.0,32.0,32,54.0,6.0,11.0,30.0,0.0,8.0,41.0,159.0,105.0
Cheshire Phoenix,Skyler White,99,Skyler White,30,24.8,745.0,405.0,13.5,137.0,305.0,44.9,88.0,210.0,41.9,43.0,59.0,72.9,34.0,114.0,148.0,53.0,20.0,24.0,29.0,83.0,312.9,20.4,16.4,2.1,6.0,123,528.0,17.6,21.4,43,2.9,28,12,64.6,34.3,15,3.71,0.3,3.42,4.0,2.9,45.0,28.0,62.2,49.0,20.0,40.8,210.0,88.0,41.9,12.0,12.0,13.0,13.0,0.0,3.0,46.0,103.0,50.0
Newcastle Eagles,Cole Long,15,Cole Long,30,29.7,892.2,371.0,12.4,134.0,280.0,47.9,57.0,147.0,38.8,46.0,65.0,70.8,48.0,129.0,177.0,61.0,22.0,32.0,31.0,85.0,279.9,15.7,15.3,2.5,7.3,128,499.0,16.6,20.6,34,3.1,19,7,77.0,22.1,11,1.82,-1.94,3.76,4.5,3.1,74.0,51.0,68.9,59.0,26.0,44.1,147.0,57.0,38.8,24.0,7.0,14.0,13.0,0.0,4.0,64.0,91.0,74.0
Cheshire Phoenix,Michael Diggins,2,Michael Diggins,30,23.9,718.2,312.0,10.4,125.0,278.0,45,32.0,113.0,28.3,30.0,42.0,71.4,46.0,84.0,130.0,31.0,19.0,18.0,35.0,63.0,274.1,18.6,12.6,1.3,5.3,76,388.0,12.9,15.7,30,2.7,21,2,68.6,26.9,11,-2.21,-4.15,1.94,3.9,4.2,113.0,76.0,67.3,52.0,17.0,32.7,113.0,32.0,28.3,27.0,0.0,13.0,14.0,0.0,8.0,63.0,77.0,47.0
Cheshire Phoenix,Jaxon Brenchley,23,Jaxon Brenchley,30,26.1,784.1,301.0,10.0,109.0,229.0,47.6,42.0,112.0,37.5,41.0,57.0,71.9,40.0,84.0,124.0,81.0,30.0,8.0,21.0,43.0,225.7,14.0,12.2,3.3,5.0,195,496.0,16.5,20.1,22,2.2,20,10,45.1,26.4,10,2.72,-0.79,3.52,2.8,3.2,95.0,60.0,63.2,22.0,7.0,31.8,112.0,42.0,37.5,44.0,8.0,9.0,11.0,0.0,1.0,53.0,105.0,56.0
Cheshire Phoenix,Laquincy Rideau,3,Laquincy Rideau,30,25.8,774.1,289.0,9.6,101.0,262.0,38.5,33.0,104.0,31.7,54.0,76.0,71.1,38.0,102.0,140.0,152.0,51.0,5.0,82.0,111.0,325.9,20.5,11.7,6.2,5.7,360,649.0,21.6,26.3,49,3.3,41,12,52.9,51.3,15,-1.14,-5.12,3.98,2.1,2.7,113.0,55.0,48.7,44.0,12.0,27.3,104.0,33.0,31.7,46.0,8.0,42.0,16.0,0.0,24.0,42.0,120.0,67.0
Newcastle Eagles,Mitch Clarke,41,Mitch Clarke,30,23.6,708.5,245.0,8.2,80.0,203.0,39.4,30.0,101.0,29.7,55.0,68.0,80.9,17.0,71.0,88.0,92.0,39.0,3.0,48.0,96.0,253.4,17.9,10.1,3.8,3.6,195,440.0,14.7,18.2,26,2.4,19,10,55.6,30.4,11,-2.03,-5.88,3.85,2.2,3.0,73.0,38.0,52.1,29.0,12.0,41.4,101.0,30.0,29.7,25.0,8.0,28.0,16.0,0.0,4.0,22.0,63.0,51.0
Cheshire Phoenix,Matthew Zona,24,Matthew Zona,30,12.9,386.7,181.0,6.0,64.0,147.0,43.5,33.0,92.0,35.9,20.0,36.0,55.6,29.0,57.0,86.0,14.0,14.0,15.0,16.0,63.0,143.8,18.1,7.3,0.6,3.5,32,213.0,7.1,8.6,11,2.2,4,2,112.7,4.9,5,-0.48,-3.35,2.87,4.5,4.0,34.0,23.0,67.6,21.0,8.0,38.1,92.0,33.0,35.9,7.0,1.0,4.0,3.0,1.0,8.0,27.0,25.0,22.0
Cheshire Phoenix,Patrick Robinson,13,Patrick Robinson,29,26.2,761.0,586.0,20.2,202.0,337.0,59.9,25.0,60.0,41.7,157.0,216.0,72.7,37.0,83.0,120.0,129.0,24.0,4.0,63.0,50.0,439.7,28.1,23.7,5.2,4.9,332,918.0,31.7,37.2,74,4.6,52,27,57.9,69.9,16,7.61,3.81,3.8,2.3,1.0,211.0,146.0,69.2,66.0,31.0,47,60.0,25.0,41.7,115.0,3.0,20.0,33.0,0.0,10.0,50.0,162.0,85.0
Newcastle Eagles,Ray'sean Taylor,3,Ray'sean Taylor,29,28.7,831.6,503.0,17.3,165.0,349.0,47.3,55.0,160.0,34.4,118.0,144.0,81.9,19.0,108.0,127.0,121.0,42.0,2.0,58.0,71.0,433.3,26.0,20.8,5.0,5.2,271,774.0,26.7,31.9,23,2.1,18,15,46.7,27.6,11,4.17,0.05,4.12,2.3,1.1,118.0,81.0,68.6,71.0,29.0,40.8,160.0,55.0,34.4,63.0,34.0,36.0,12.0,0.0,10.0,35.0,161.0,100.0
