Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Real Madrid,"HEZONJA, MARIO, TAVARES, WALTER, ABALDE, ALBERTO, CAMPAZZO, FACUNDO, OKEKE, CHUMA","Real Madrid|11,22,6,7,8",7,"CAMPAZZO, FACUNDO",11,"HEZONJA, MARIO",19,51,13,6,14,1.36,3.64
Hapoel IBI Tel Aviv,"MALCOLM, COLLIN, MICIC, VASILIJE, WAINRIGHT, ISH, OTURU, DAN, BRYANT, ELIJAH","Hapoel IBI Tel Aviv|17,22,24,25,3",22,"MICIC, VASILIJE",25,"OTURU, DAN",19,38,0,19,12,1.58,3.17
Hapoel IBI Tel Aviv,"MALCOLM, COLLIN, MICIC, VASILIJE, WAINRIGHT, ISH, OTURU, DAN, BRYANT, ELIJAH","Hapoel IBI Tel Aviv|17,22,24,25,3",3,"BRYANT, ELIJAH",25,"OTURU, DAN",15,30,0,15,9,1.67,3.33
AS Monaco,"OKOBO, ELIE, THEIS, DANIEL, DIALLO, ALPHA, BLOSSOMGAME, JARON, JAMES, MIKE","AS Monaco|0,10,11,4,55",0,"OKOBO, ELIE",10,"THEIS, DANIEL",13,30,4,9,8,1.62,3.75
AS Monaco,"OKOBO, ELIE, THEIS, DANIEL, DIALLO, ALPHA, BLOSSOMGAME, JARON, JAMES, MIKE","AS Monaco|0,10,11,4,55",55,"JAMES, MIKE",4,"BLOSSOMGAME, JARON",11,27,5,6,7,1.57,3.86
AS Monaco,"OKOBO, ELIE, THEIS, DANIEL, DIALLO, ALPHA, BLOSSOMGAME, JARON, JAMES, MIKE","AS Monaco|0,10,11,4,55",55,"JAMES, MIKE",10,"THEIS, DANIEL",12,26,2,10,10,1.2,2.6
Real Madrid,"HEZONJA, MARIO, TAVARES, WALTER, ABALDE, ALBERTO, CAMPAZZO, FACUNDO, OKEKE, CHUMA","Real Madrid|11,22,6,7,8",7,"CAMPAZZO, FACUNDO",22,"TAVARES, WALTER",13,26,0,13,9,1.44,2.89
Anadolu Efes Istanbul,"LARKIN, SHANE, CORDINIER, ISAIA, SMITS, ROLANDS, OSMANI, ERCAN, WEILER-BABB, NICK","Anadolu Efes Istanbul|0,10,11,24,8",0,"LARKIN, SHANE",24,"OSMANI, ERCAN",10,25,5,5,6,1.67,4.17
AS Monaco,"OKOBO, ELIE, THEIS, DANIEL, DIALLO, ALPHA, BLOSSOMGAME, JARON, JAMES, MIKE","AS Monaco|0,10,11,4,55",55,"JAMES, MIKE",0,"OKOBO, ELIE",9,25,7,2,7,1.29,3.57
Olympiacos Piraeus,"WALKUP, THOMAS, VEZENKOV, SASHA, DORSEY, TYLER, WARD, TYSON, MILUTINOV, NIKOLA","Olympiacos Piraeus|0,14,22,3,33",0,"WALKUP, THOMAS",14,"VEZENKOV, SASHA",11,25,3,8,7,1.57,3.57
Real Madrid,"HEZONJA, MARIO, TAVARES, WALTER, ABALDE, ALBERTO, CAMPAZZO, FACUNDO, OKEKE, CHUMA","Real Madrid|11,22,6,7,8",11,"HEZONJA, MARIO",22,"TAVARES, WALTER",11,22,0,11,7,1.57,3.14
Paris Basketball,"DOKOSSI, ALLAN, OUATTARA, YAKUBA, WILLIS, DEREK, ROBINSON, JUSTIN, HERRERA, SEBASTIAN","Paris Basketball|13,24,35,5,7",5,"ROBINSON, JUSTIN",7,"HERRERA, SEBASTIAN",7,21,7,0,6,1.17,3.5
AS Monaco,"OKOBO, ELIE, THEIS, DANIEL, DIALLO, ALPHA, BLOSSOMGAME, JARON, JAMES, MIKE","AS Monaco|0,10,11,4,55",55,"JAMES, MIKE",11,"DIALLO, ALPHA",8,20,4,4,7,1.14,2.86
