Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
Hapoel IBI Tel Aviv,"BRYANT, ELIJAH, MALCOLM, COLLIN, MICIC, VASILIJE, OTURU, DAN, WAINRIGHT, ISH",Maccabi Rapyd Tel Aviv,"BLATT, TAMIR, BRISSETT, O'SHAE J, HOARD, JAYLEN, SORKIN, ROMAN, WALKER IV, LONNIE",1,735,12.2,24.2,30,10,20,50,2,9,22.2,8,10,80,0,4,4,3,2,0,1,6,32,13,17,76.5,6,8,75,0,0,0,0,9,9,5,1,0,6,6,25.4,23.0,118.1,139.1,-21,139.1,118.1,21,-2,0,0,0,11,8,72.7,9,2,22.2,0,0,0,9,7,77.8,8,6,75,0,0,0,1,0,0,0,6,0,3,10,0,2,2
FC Bayern Munich,"JOVIC, STEFAN, KRATZER, LEON, LUCIC, VLADIMIR, MIKE, ISIAHA, OBST, ANDREAS",Olympiacos Piraeus,"DORSEY, TYLER, MILUTINOV, NIKOLA, VEZENKOV, SASHA, WALKUP, THOMAS, WARD, TYSON",1,666,11.1,22.2,24,10,17,58.8,4,8,50,0,0,0,1,5,6,4,2,0,6,6,29,13,19,68.4,2,5,40,1,1,100,0,5,5,8,4,0,3,4,21.8,22.4,110.3,129.2,-18.9,129.2,110.3,18.9,-5,0,0,0,9,6,66.7,8,4,50,0,0,0,14,11,78.6,5,2,40,0,0,0,6,0,0,0,3,0,7,5,0,4,6
Dubai Basketball,"ABASS, AWUDU, ANDERSON, JUSTIN, KABENGELE, MFIONDU, PETRUSEV, FILIP, WRIGHT IV, MCKINLEY",Maccabi Rapyd Tel Aviv,"BRISSETT, O'SHAE J, CLARK III, JIMMY, HOARD, JAYLEN, SORKIN, ROMAN, WALKER IV, LONNIE",1,586,9.8,20.5,22,8,16,50,2,4,50,4,7,57.1,1,8,9,6,1,0,2,3,24,9,19,47.4,4,9,44.4,2,2,100,1,8,9,5,1,0,2,4,20.1,20.7,109.3,116,-6.7,116,109.3,6.7,-2,0,0,0,12,6,50,4,2,50,0,0,0,10,5,50,9,4,44.4,0,0,0,2,0,0,0,2,2,9,2,2,3,3
Olympiacos Piraeus,"DORSEY, TYLER, FOURNIER, EVAN, MILUTINOV, NIKOLA, VEZENKOV, SASHA, WALKUP, THOMAS",Hapoel IBI Tel Aviv,"BRYANT, ELIJAH, MALCOLM, COLLIN, MICIC, VASILIJE, OTURU, DAN, WAINRIGHT, ISH",1,659,11.0,19.0,19,7,19,36.8,5,12,41.7,0,0,0,2,8,10,4,3,0,3,2,10,4,17,23.5,2,10,20,0,0,0,2,9,11,4,2,0,4,1,19.7,18.2,96.6,54.9,41.7,54.9,96.6,-41.7,9,0,0,0,7,2,28.6,12,5,41.7,0,0,0,7,2,28.6,10,2,20,0,0,0,3,0,0,0,4,2,6,3,0,5,0
EA7 Emporio Armani Milan,"BOLMARO, LEANDRO, BOOKER, DEVIN, BROOKS, ARMONI, ELLIS, QUINN, RICCI, GIAMPAOLO",Olympiacos Piraeus,"DORSEY, TYLER, FOURNIER, EVAN, MILUTINOV, NIKOLA, VEZENKOV, SASHA, WALKUP, THOMAS",1,661,11.0,18.4,25,10,20,50,4,8,50,1,1,100,2,7,9,7,1,0,1,6,18,6,17,35.3,3,7,42.9,3,4,75,2,6,8,3,0,0,2,3,18.8,18.1,133.2,99.2,34,99.2,133.2,-34,7,0,0,0,12,6,50,8,4,50,0,0,0,10,3,30,7,3,42.9,0,0,0,1,0,0,0,2,2,12,2,3,3,1
Partizan Mozzart Bet Belgrade,"BROWN, STERLING, JONES, TYRIQUE, MARINKOVIC, VANJA, MILTON, SHAKE, PARKER, JABARI",FC Bayern Munich,"DINWIDDIE, SPENCER, LUCIC, VLADIMIR, MIKE, ISIAHA, OBST, ANDREAS, VOIGTMANN, JOHANNES",1,575,9.6,17.9,22,9,17,52.9,1,5,20,3,3,100,2,4,6,4,2,0,3,5,21,8,15,53.3,1,4,25,4,4,100,3,5,8,8,2,0,3,4,18.9,16.6,116.6,126.9,-10.3,126.9,116.6,10.3,1,0,0,0,12,8,66.7,5,1,20,0,0,0,11,7,63.6,4,1,25,0,0,0,3,0,0,0,3,2,2,0,2,11,2
FC Barcelona,"CLYBURN, WILL, PUNTER, KEVIN, SATORANSKY, TOMAS, SHENGELIA, TORNIKE, VESELY, JAN",EA7 Emporio Armani Milan,"BOLMARO, LEANDRO, BOOKER, DEVIN, ELLIS, QUINN, RICCI, GIAMPAOLO, SHIELDS, SHAVON",1,499,8.3,17.8,16,7,13,53.8,1,2,50,1,1,100,1,5,6,3,4,1,6,3,14,6,13,46.2,1,5,20,1,1,100,0,4,4,2,2,0,4,3,18.2,17.4,88.1,80.3,7.8,80.3,88.1,-7.8,2,0,0,0,11,6,54.5,2,1,50,0,0,0,8,5,62.5,5,1,20,0,0,0,6,0,0,0,4,2,8,6,0,2,9
Maccabi Rapyd Tel Aviv,"CLARK III, JIMMY, HOARD, JAYLEN, LUNDBERG, IFFE, RAYMAN, WILLIAM, SORKIN, ROMAN",FC Bayern Munich,"GIFFEY, NIELS, HOLLATZ, JUSTUS, MCCORMACK, DAVID, MIKE, ISIAHA, OBST, ANDREAS",1,603,10.1,17.8,26,10,18,55.6,6,8,75,0,0,0,4,5,9,7,0,0,4,3,24,9,13,69.2,4,5,80,2,2,100,0,4,4,5,3,0,4,3,17.7,17.9,146.7,134.2,12.5,134.2,146.7,-12.5,2,0,0,0,10,4,40,8,6,75,0,0,0,8,5,62.5,5,4,80,0,0,0,4,0,0,0,4,2,3,8,0,8,6
EA7 Emporio Armani Milan,"BOOKER, DEVIN, BROOKS, ARMONI, ELLIS, QUINN, LEDAY, ZACH, SHIELDS, SHAVON",Real Madrid,"ABALDE, ALBERTO, CAMPAZZO, FACUNDO, DECK, GABRIEL, LYLES, TREY, TAVARES, WALTER",1,652,10.9,17.7,19,7,13,53.8,2,6,33.3,3,3,100,0,4,4,3,2,3,3,5,25,9,20,45,4,9,44.4,3,4,75,3,6,9,5,2,0,2,2,17.3,18.7,109.7,133.6,-23.9,133.6,109.7,23.9,-6,0,0,0,7,5,71.4,6,2,33.3,0,0,0,11,5,45.5,9,4,44.4,0,0,0,3,0,0,0,2,0,1,3,4,3,4
Partizan Mozzart Bet Belgrade,"BONGA, ISAAC, BROWN, STERLING, FERNANDO, BRUNO, OSETKOWSKI, DYLAN, PAYNE, CAMERON",Hapoel IBI Tel Aviv,"MADAR, YAM, MALCOLM, COLLIN, MICIC, VASILIJE, OTURU, DAN, WAINRIGHT, ISH",1,528,8.8,17.6,16,6,13,46.2,2,4,50,2,2,100,3,6,9,5,2,1,7,3,18,8,16,50,2,7,28.6,0,0,0,2,3,5,7,5,1,4,3,17.1,17.9,93.4,100.8,-7.4,100.8,93.4,7.4,-2,0,0,0,9,4,44.4,4,2,50,0,0,0,9,6,66.7,7,2,28.6,0,0,0,7,0,0,0,4,2,7,7,2,4,12
