Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
AS Monaco,"OKOBO ELIE, THEIS DANIEL, DIALLO ALPHA, BLOSSOMGAME JARON, JAMES MIKE",26,13477,487,173,366,47.3,42,119,35.3,99,124,79.8,55,114,169,109,38,16,55,104,327,73.3,73.8,72.8,32.5,33.0,53,57.9,63,29.6,67.9,9.4,33.9,32.5,117.5,506,190,365,52.1,57,151,37.7,69,91,75.8,54,131,185,105,30,14,64,130,352,59.9,62.5,13.6,32.1,41.4,123.8,-6.3,0,0,0,247,131,53,119,42,35.3,0,0,0,55,0,0,0,214,133,62.1,151,57,37.7,0,0,0,64
Real Madrid,"HEZONJA MARIO, TAVARES WALTER, ABALDE ALBERTO, CAMPAZZO FACUNDO, OKEKE CHUMA",20,12162,438,165,339,48.7,63,156,40.4,45,60,75,55,128,183,107,35,21,48,70,269,70.4,69.3,71.4,34.6,33.6,58,59.9,64.8,33.3,78,9.2,17.7,46,124.7,370,148,327,45.3,43,115,37.4,31,41,75.6,36,110,146,73,22,15,59,98,283,51.8,53.6,14.6,22,35.2,102.2,22.5,0,0,0,183,102,55.7,156,63,40.4,0,0,0,48,0,0,0,212,105,49.5,115,43,37.4,0,0,0,59
Hapoel IBI Tel Aviv,"MALCOLM COLLIN, MICIC VASILIJE, WAINRIGHT ISH, OTURU DAN, BRYANT ELIJAH",19,10305,387,153,272,56.2,38,107,35.5,43,53,81.1,31,94,125,77,31,21,45,74,266,71.5,71.1,71.8,33.7,33.4,63.2,65.5,50.3,27.4,72.9,10.8,19.5,39.3,126.7,353,132,267,49.4,40,100,40,49,56,87.5,35,82,117,80,25,7,56,79,263,56.9,60.5,16.1,27.1,37.5,114.4,12.3,0,0,0,165,115,69.7,107,38,35.5,0,0,0,45,0,0,0,167,92,55.1,100,40,40,0,0,0,56
FC Barcelona,"PUNTER KEVIN, SATORANSKY TOMAS, CLYBURN WILL, SHENGELIA TORNIKE, VESELY JAN",15,7611,284,108,197,54.8,32,67,47.8,36,47,76.6,28,68,96,70,30,6,41,54,212,71.4,71.6,71.2,33.5,33.7,62.9,65.2,64.8,33.3,66.7,12.5,23.9,34,125.1,236,91,199,45.7,22,74,29.7,32,39,82.1,34,56,90,51,24,4,48,57,191,51.3,54.6,18.2,33.3,37.2,104.6,20.6,0,0,0,130,76,58.5,67,32,47.8,0,0,0,41,0,0,0,125,69,55.2,74,22,29.7,0,0,0,48
Olympiacos Piraeus,"WALKUP THOMAS, VEZENKOV SASHA, DORSEY TYLER, MILUTINOV NIKOLA, FOURNIER EVAN",13,7753,269,92,218,42.2,29,92,31.5,56,68,82.4,42,74,116,57,15,2,33,33,200,71,71.9,70.2,33.4,34.2,48.9,54.3,62,36.2,67.9,9.8,31.2,42.2,115.9,264,104,225,46.2,34,98,34.7,22,28,78.6,35,74,109,61,23,6,31,67,193,53.8,55.6,11.6,32.1,43.6,116.4,-0.5,0,0,0,126,63,50,92,29,31.5,0,0,0,33,0,0,0,127,70,55.1,98,34,34.7,0,0,0,31
Olympiacos Piraeus,"WALKUP THOMAS, VEZENKOV SASHA, DORSEY TYLER, WARD TYSON, MILUTINOV NIKOLA",10,5815,222,80,157,51,24,66,36.4,38,45,84.4,25,59,84,61,16,5,35,36,155,75.1,75.4,74.7,31.8,32.1,58.6,62.8,76.2,35.2,76.6,12.8,28.7,42,121.5,204,85,165,51.5,24,60,40,10,18,55.6,18,46,64,54,19,3,28,55,150,58.8,59,13.9,23.4,36.4,112.8,8.7,0,0,0,91,56,61.5,66,24,36.4,0,0,0,35,0,0,0,105,61,58.1,60,24,40,0,0,0,28
AS Monaco,"THEIS DANIEL, DIALLO ALPHA, STRAZEL MATTHEW, BLOSSOMGAME JARON, JAMES MIKE",21,5980,218,74,153,48.4,18,56,32.1,52,58,89.7,22,53,75,45,15,3,24,40,149,69.8,71.5,68.2,33.6,35.2,54.2,61.1,60.8,28.9,63.1,9.7,37.9,36.6,122.4,195,72,158,45.6,23,68,33.8,28,36,77.8,31,54,85,40,13,8,30,55,132,52.8,56.1,14.7,36.9,43,114.8,7.7,0,0,0,97,56,57.7,56,18,32.1,0,0,0,24,0,0,0,90,49,54.4,68,23,33.8,0,0,0,30
Paris Basketball,"FAYE MOUHAMED, HIFI NADIR, MORGAN JEREMY, M'BAYE AMATH, STEVENS LAMAR",10,5363,200,68,143,47.6,29,67,43.3,35,48,72.9,21,50,71,32,11,9,24,48,143,74.3,73.6,75.1,32.6,32.0,57.7,60.9,47.1,29.6,67.6,10.9,33.6,46.9,121.7,209,76,157,48.4,30,75,40,27,36,75,24,50,74,52,11,5,23,56,146,58,60.5,11.7,32.4,47.8,124.6,-2.9,0,0,0,76,39,51.3,67,29,43.3,0,0,0,24,0,0,0,82,46,56.1,75,30,40,0,0,0,23
Fenerbahce Beko Istanbul,"BIBEROVIC TARIK, HALL DEVON, MELLI NICOLO, HORTON TUCKER TALEN, BIRCH KHEM",16,5576,173,69,148,46.6,17,46,37,18,23,78.3,28,63,91,35,8,5,33,43,141,66.1,68.7,63.6,34.9,37.8,52.4,54.7,50.7,37.3,71.6,14.6,15.5,31.1,108.4,120,46,134,34.3,14,50,28,14,26,53.8,25,47,72,24,14,4,29,43,124,39.6,41.3,16.6,28.4,37.3,81.3,27.2,0,0,0,102,52,51,46,17,37,0,0,0,33,0,0,0,84,32,38.1,50,14,28,0,0,0,29
Maccabi Rapyd Tel Aviv,"JAYLEN HOARD, BRISSETT O'SHAE J, BLATT TAMIR, WALKER IV LONNIE, SORKIN ROMAN",12,4615,152,57,117,48.7,14,45,31.1,24,34,70.6,12,44,56,35,9,7,32,40,132,76.1,78.2,74,30.7,32.4,54.7,57.6,61.4,21.1,73.3,16.1,29.1,38.5,101,172,66,132,50,17,50,34,23,30,76.7,16,45,61,41,14,3,16,39,137,56.4,59.2,9.9,26.7,37.9,120.8,-19.8,0,0,0,72,43,59.7,45,14,31.1,0,0,0,32,0,0,0,82,49,59.8,50,17,34,0,0,0,16
