game_id,game_date,team,points,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,pf_drawn,blk_against,poss,pace
EL_E2025_1,,Anadolu Efes Istanbul,85,32,66,23,37,9,29,12,15,13,23,36,15,6,1,14,21,0,0,71.3,71.5
EL_E2025_1,,Maccabi Rapyd Tel Aviv,78,28,65,21,38,7,27,15,17,11,18,29,20,8,3,12,20,0,0,71.7,71.5
EL_E2025_2,,Kosner Baskonia Vitoria-Gasteiz,96,34,72,19,31,15,41,13,16,12,18,30,24,7,3,13,23,0,0,78.1,76.2
EL_E2025_2,,Olympiacos Piraeus,102,32,72,25,46,7,26,31,32,17,23,40,19,10,0,9,16,0,0,74.3,76.2
EL_E2025_3,,Crvena Zvezda Meridianbet Belgrade,82,34,65,28,46,6,19,8,13,9,19,28,19,8,0,10,21,0,0,70.8,71.7
EL_E2025_3,,EA7 Emporio Armani Milan,92,34,60,23,36,11,24,13,18,8,21,29,18,8,0,13,16,0,0,72.7,71.7
EL_E2025_4,,Dubai Basketball,89,34,65,23,45,11,20,10,12,9,19,28,21,5,0,8,19,0,0,66.8,66.1
EL_E2025_4,,Partizan Mozzart Bet Belgrade,76,26,61,19,43,7,18,17,21,14,17,31,16,4,2,11,16,0,0,65.4,66.1
EL_E2025_5,,Hapoel IBI Tel Aviv,103,38,65,25,41,13,24,14,15,8,16,24,19,8,5,12,19,0,0,74.4,71.5
EL_E2025_5,,FC Barcelona,87,32,63,22,38,10,25,13,17,13,17,30,18,9,1,13,16,0,0,68.6,71.5
EL_E2025_6,,Panathinaikos AKTOR Athens,87,31,60,26,42,5,18,20,23,6,18,24,27,5,3,9,20,0,0,71.0,70.1
EL_E2025_6,,FC Bayern Munich,79,28,65,20,37,8,28,15,21,15,17,32,23,3,2,13,27,0,0,69.2,70.1
EL_E2025_7,,Virtus Bologna,74,27,57,19,35,8,22,12,17,6,20,26,15,2,2,10,19,0,0,68.1,68.3
EL_E2025_7,,Real Madrid,68,29,66,26,43,3,23,7,11,9,24,33,12,7,3,10,19,0,0,68.6,68.3
EL_E2025_8,,Fenerbahce Beko Istanbul,96,33,62,18,27,15,35,15,21,4,26,30,25,7,4,16,24,0,0,83.2,82.3
EL_E2025_8,,Paris Basketball,77,25,71,12,40,13,31,14,22,13,27,40,11,10,1,17,21,0,0,81.3,82.3
EL_E2025_9,,AS Monaco,84,35,68,30,50,5,18,9,12,8,23,31,19,4,4,11,22,0,0,74.2,73.5
EL_E2025_9,,Zalgiris Kaunas,89,33,66,21,41,12,25,11,16,7,20,27,21,5,2,8,18,0,0,72.8,73.5
EL_E2025_10,,LDLC ASVEL Villeurbanne,77,28,65,20,39,8,26,13,16,9,25,34,13,5,1,11,22,0,0,73.1,74.1
EL_E2025_10,,Valencia Basket,80,26,70,14,35,12,35,16,23,17,27,44,21,6,3,14,22,0,0,75.1,74.1
EL_E2025_11,,FC Bayern Munich,97,38,66,24,34,14,32,7,11,9,16,25,20,9,1,9,27,0,0,69.5,70.3
EL_E2025_11,,Crvena Zvezda Meridianbet Belgrade,88,27,54,17,29,10,25,24,30,10,17,27,14,2,1,15,19,0,0,71.1,70.3
EL_E2025_12,,Partizan Mozzart Bet Belgrade,80,29,61,18,40,11,21,11,16,4,20,24,15,9,1,9,22,0,0,72.5,70.7
EL_E2025_12,,EA7 Emporio Armani Milan,78,26,51,13,25,13,26,13,19,2,26,28,19,4,4,12,20,0,0,68.9,70.7
EL_E2025_13,,Real Madrid,89,30,63,20,39,10,24,19,26,11,22,33,19,7,4,10,23,0,0,72.3,71.8
EL_E2025_13,,Olympiacos Piraeus,77,24,61,16,34,8,27,21,28,12,21,33,16,6,1,12,23,0,0,71.3,71.8
EL_E2025_14,,Anadolu Efes Istanbul,81,28,59,23,39,5,20,20,21,10,19,29,12,4,2,7,21,0,0,62.0,66.6
EL_E2025_14,,Hapoel IBI Tel Aviv,87,28,63,22,44,6,19,25,28,9,15,24,12,2,2,8,23,0,0,71.3,66.6
EL_E2025_15,,Maccabi Rapyd Tel Aviv,94,29,71,17,40,12,31,24,33,13,16,29,25,13,1,16,24,0,0,88.2,86.3
EL_E2025_15,,Paris Basketball,101,34,70,24,35,10,35,23,31,13,31,44,23,11,2,18,26,0,0,84.4,86.3
EL_E2025_16,,AS Monaco,103,40,67,30,49,10,18,13,18,7,20,27,27,9,3,7,24,0,0,73.8,73.4
EL_E2025_16,,Dubai Basketball,81,27,58,22,34,5,24,22,23,10,18,28,13,5,2,16,25,0,0,73.1,73.4
EL_E2025_17,,LDLC ASVEL Villeurbanne,102,36,72,22,42,14,30,16,24,14,18,32,22,11,3,13,21,0,0,81.0,78.3
EL_E2025_17,,Kosner Baskonia Vitoria-Gasteiz,95,34,63,20,31,14,32,13,18,9,23,32,24,8,1,15,21,0,0,75.6,78.3
EL_E2025_18,,Panathinaikos AKTOR Athens,96,31,72,23,51,8,21,26,30,16,14,30,16,8,1,10,24,0,0,76.2,75.2
EL_E2025_18,,FC Barcelona,103,34,67,18,33,16,34,19,25,16,21,37,23,4,1,15,29,0,0,74.2,75.2
EL_E2025_19,,Valencia Basket,103,38,69,26,39,12,30,15,21,11,24,35,22,5,5,16,20,0,0,80.2,80.2
EL_E2025_19,,Virtus Bologna,94,35,70,27,47,8,23,16,17,9,15,24,22,6,1,13,21,0,0,80.3,80.2
EL_E2025_20,,Zalgiris Kaunas,84,29,58,21,37,8,21,18,27,8,20,28,16,5,5,10,19,0,0,71.3,71.5
EL_E2025_20,,Fenerbahce Beko Istanbul,81,34,69,28,46,6,23,7,10,9,21,30,12,4,3,10,22,0,0,71.8,71.5
EL_E2025_21,,Hapoel IBI Tel Aviv,90,32,56,23,30,9,26,17,24,2,18,20,15,5,1,16,21,0,0,80.0,77.7
