Home_Team,Home_Lineup,Away_Team,Away_Lineup,Games,Total_Seconds,Minutes,Possessions,Home_PTS,Home_FGM,Home_FGA,Home_FG%,Home_3PM,Home_3PA,Home_3P%,Home_FTM,Home_FTA,Home_FT%,Home_OREB,Home_DREB,Home_REB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Away_PTS,Away_FGM,Away_FGA,Away_FG%,Away_3PM,Away_3PA,Away_3P%,Away_FTM,Away_FTA,Away_FT%,Away_OREB,Away_DREB,Away_REB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Home_POSS,Away_POSS,Home_OFF_RTG,Home_DEF_RTG,Home_NET_RTG,Away_OFF_RTG,Away_DEF_RTG,Away_NET_RTG,Point_Diff,Home_RIM_ATT,Home_RIM_MADE,Home_RIM%,Home_OTD_2PT_ATT,Home_OTD_2PT_MADE,Home_OTD_2PT%,Home_OTD_3PT_ATT,Home_OTD_3PT_MADE,Home_OTD_3PT%,Away_RIM_ATT,Away_RIM_MADE,Away_RIM%,Away_OTD_2PT_ATT,Away_OTD_2PT_MADE,Away_OTD_2PT%,Away_OTD_3PT_ATT,Away_OTD_3PT_MADE,Away_OTD_3PT%,Home_PASS_TO,Home_DRIBBLE_TO,Home_DEFENSE_TO,Home_MISC_TO,Away_PASS_TO,Away_DRIBBLE_TO,Away_DEFENSE_TO,Away_MISC_TO,Home_2ND_CHANCE_PTS,Home_FAST_BREAK_PTS,Home_PTS_OFF_TOV,Away_2ND_CHANCE_PTS,Away_FAST_BREAK_PTS,Away_PTS_OFF_TOV
Košice Wolves,,Spišskí Rytieri,,1,1560,26.0,54.0,42,18,47,38.3,6,16,37.5,0,0,0,0,0,0,20,2,1,6,0,65,26,47,55.3,13,28,46.4,0,0,0,0,0,0,19,3,3,8,0,53.0,55.0,79.2,118.2,-38.9,118.2,79.2,38.9,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKM Mimel Lučenec,"Beaubrun, Jalil Omar, Beck, Tervell Tyshawn, Boone Jr, Eric Dean Lewis, Siládi, Matej, Yap Jr, Donavan Ashley",Spišskí Rytieri,"Hill, Isaiah Malik, Jefferson, Joshua Stephen, Kenney, Caleb Jamerson, Páleník, Juraj, Stevanović, Marko",1,995,16.6,30.8,51,21,35,60,7,16,43.8,2,2,100,10,9,19,12,3,2,5,3,38,13,24,54.2,5,12,41.7,7,8,87.5,2,4,6,8,3,0,6,5,30.2,31.4,169,121.1,47.9,121.1,169,-47.9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBK Baník Handlová,"Dragović, Petar, Harris, Jordan Lamont, Henson, Djimon Tyler, Kováčik, Peter, Mc Laughlin, Jeremy Lamar",Patrioti Levice,"Bojanovský, Boris, Dorsey, Gabriel Jerome, Kivimäki, Aatu Albert, Mc Gill, Rickey Isaiah Justin, Wesson Jr, Keith Andre",1,575,9.6,20.7,25,8,14,57.1,5,7,71.4,4,6,66.7,1,10,11,5,2,2,5,3,16,6,18,33.3,2,8,25,2,4,50,3,5,8,5,5,0,4,7,20.6,20.8,121.5,76.9,44.6,76.9,121.5,-44.6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Prievidza,"Alihodzic, Fahro, Hlivák, Dalibor, Thomas, Davontrey Shauni Zhmere, Tolbert Iii, Anderson Sage, Toussaint, Joseph",Patrioti Levice,"Bojanovský, Boris, Carius, William Glen, Dorsey, Gabriel Jerome, Mc Gill, Rickey Isaiah Justin, Wesson Jr, Keith Andre",1,590,9.8,19.7,25,9,20,45,6,10,60,1,2,50,3,8,11,8,0,0,3,4,22,9,20,45,2,6,33.3,2,2,100,3,9,12,4,2,1,1,2,20.9,18.7,119.4,117.8,1.6,117.8,119.4,-1.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKM Mimel Lučenec,"Beaubrun, Jalil Omar, Beck, Tervell Tyshawn, Boone Jr, Eric Dean Lewis, Siládi, Matej, Smith, Tevin Michael",Košice Wolves,"Gaffney, Jalen Makanaokeakua, Halada, Filip, Howard, Myles Derek, Montgomery, Ezekiel La'quan-Abe, Monček, Adam",1,620,10.3,18.3,27,11,23,47.8,3,10,30,2,3,66.7,5,9,14,7,1,0,0,3,14,4,14,28.6,2,7,28.6,4,4,100,1,7,8,3,0,0,3,6,19.0,17.7,142.3,79.1,63.2,79.1,142.3,-63.2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBK Baník Handlová,"Gutalj, Marko, Harris, Jordan Lamont, Henson, Djimon Tyler, Láštic, Juraj, Mc Laughlin, Jeremy Lamar",Spišskí Rytieri,"Hill, Isaiah Malik, Jefferson, Joshua Stephen, Kenney, Caleb Jamerson, Kincel, Samuel, Stevanović, Marko",1,573,9.6,18.1,20,9,19,47.4,1,7,14.3,1,1,100,1,4,5,4,3,1,0,7,19,8,13,61.5,1,3,33.3,2,2,100,1,9,10,4,0,0,5,3,18.4,17.8,108.9,106.7,2.2,106.7,108.9,-2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Komárno,"Covington, Yuri Shamar, Henry, Tyron Desean, Lawrence, Kimani Esque Tyrone, Ormiston, Elijah Gregory, Volárik, Samuel",Spišskí Rytieri,"Hill, Isaiah Malik, Kenney, Caleb Jamerson, Mrviš, Tomáš, Páleník, Juraj, Stevanović, Marko",1,545,9.1,17.8,20,5,14,35.7,2,6,33.3,8,12,66.7,5,7,12,1,1,1,4,4,17,6,16,37.5,1,7,14.3,4,5,80,3,6,9,4,2,0,2,7,18.9,17.0,105.8,100.1,5.7,100.1,105.8,-5.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrioti Levice,"Bojanovský, Boris, Dorsey, Gabriel Jerome, Mc Gill, Rickey Isaiah Justin, Musić, Novak, Wesson Jr, Keith Andre",BKM Mimel Lučenec,"Beaubrun, Jalil Omar, Beck, Tervell Tyshawn, Boone Jr, Eric Dean Lewis, Siládi, Matej, Yap Jr, Donavan Ashley",1,611,10.2,17.6,27,10,18,55.6,5,8,62.5,2,2,100,3,6,9,5,0,2,2,1,24,10,20,50,3,8,37.5,1,2,50,4,5,9,4,2,1,1,5,17.7,17.6,152.8,136.4,16.4,136.4,152.8,-16.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spišskí Rytieri,"Jefferson, Joshua Stephen, Kenney, Caleb Jamerson, Mrviš, Tomáš, Páleník, Juraj, Stevanović, Marko",Košice Wolves,"Gaffney, Jalen Makanaokeakua, Halada, Filip, Howard, Myles Derek, Montgomery, Ezekiel La'quan-Abe, Wolfe, Todd Jacob",1,569,9.5,17.2,17,6,13,46.2,2,4,50,3,3,100,3,8,11,6,1,1,6,3,17,6,16,37.5,4,8,50,1,3,33.3,3,4,7,4,2,0,3,4,17.1,17.4,99.4,97.7,1.7,97.7,99.4,-1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Prievidza,"Bishop Iv, James Edward, Thomas, Davontrey Shauni Zhmere, Tolbert Iii, Anderson Sage, Toussaint, Joseph, Zelizňák, Maroš",Nitra Blue Wings,"Bolek, Lukáš, Ikpe, Tristan Ekong, Jones, Jordan Lamont, Ragland Jr, Guy Evers Kennedy, Underwood, Dimitrius Paul",1,542,9.0,16.9,17,6,17,35.3,3,7,42.9,2,2,100,4,7,11,4,2,0,2,2,18,8,19,42.1,1,6,16.7,1,1,100,4,7,11,5,0,0,3,3,15.6,18.2,109,99.1,9.9,99.1,109,-9.9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
