Team,Player_Number,Player_Name,Conference,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,eFG%,TS%,USG%,ORtg,PTS/100,3PA/100,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FTr,BPM,OBPM,DBPM,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
BC Komárno,4,"Wiggins, Carrington",,1,28.3,28.3,27,27.0,8,10,80.0,6,8,75.0,5,6,83.3,1,0,1,5,2,0,5,4,110.0,106.8,27.4,153.1,32.3,9.6,4.4,0.0,2.0,29.8,3.3,0.0,28.3,0.6,18.5,11.85,6.65,2,2,100,0,0,0,8,6,75,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BKM Lučenec,8,"Siládi, Matej",,1,29.6,29.6,18,18.0,6,7,85.7,6,7,85.7,0,0,0,1,2,3,1,1,0,0,2,128.6,128.6,10.3,257.1,22.8,8.9,2.8,6.6,4.5,6.2,1.6,0.0,0.0,0.0,16.91,11.97,4.94,0,0,0,0,0,0,7,6,85.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKM Lučenec,10,"Wright, Atin Carl",,1,35.7,35.7,27,27.0,9,19,47.4,4,10,40.0,5,6,83.3,2,7,9,2,3,0,2,2,57.9,62.4,28.9,114.2,34.2,12.7,4.6,19.1,11.2,11.3,4.1,0.0,8.5,0.32,16.66,10.42,6.24,6,4,66.7,3,1,33.3,10,4,40,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrioti Levice,0,"Mc Gill, Rickey Isaiah Justin",,27,33.3,899.2,632,23.4,213,448,47.5,49,152,32.2,157,195,80.5,16,82,98,167,66,3,87,49,53.0,59.2,30.9,101.8,29.1,7.0,2.0,9.3,5.8,32.2,3.7,0.3,14.0,0.44,12.72,6.94,5.77,159,98,61.6,137,66,48.2,152,49,32.2,44,32,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitra Blue Wings,4,"Jones, Jordan Lamont",,30,29.9,897.2,563,18.8,214,443,48.3,50,140,35.7,85,111,76.6,33,85,118,127,55,1,81,68,54.0,57.2,27.7,98.3,24.3,6.0,3.7,10.4,6.9,26.2,3.2,0.1,14.1,0.25,9.8,4.74,5.07,157,96,61.1,146,68,46.6,140,50,35.7,36,39,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Prievidza,9,"Reynolds, Noah Craig",,17,26.0,442.8,297,17.5,105,227,46.3,28,90,31.1,59,72,81.9,12,41,53,55,27,8,31,42,52.4,57.4,28.6,102.5,22.4,6.8,2.7,9.9,6.2,22.8,3.2,1.8,10.7,0.32,9.72,4.31,5.41,83,46,55.4,54,31,57.4,90,28,31.1,17,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrioti Levice,25,"Carius, William Glen",,17,28.8,489.5,265,15.6,92,195,47.2,29,80,36.2,52,70,74.3,54,66,120,25,32,7,22,31,54.6,58.7,22.4,106.9,19.5,5.9,11.6,13.8,12.7,8.4,3.4,1.4,8.9,0.36,9.63,5.78,3.85,68,48,70.6,47,15,31.9,80,29,36.2,8,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Prievidza,23,"Smith, Naje' Abdean",,24,22.6,543.4,216,9.0,87,165,52.7,10,36,27.8,32,46,69.6,56,116,172,60,21,41,28,50,55.8,58.3,17.1,101.3,11.6,1.9,10.5,20.9,15.8,18.5,2.0,7.1,13.1,0.28,9.04,3.27,5.77,83,62,74.7,46,15,32.6,36,10,27.8,11,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Slovan Bratislava,3,"Thornton, Raynere",,1,28.9,28.9,17,17.0,7,11,63.6,1,2,50.0,2,5,40.0,2,5,7,2,0,1,1,1,68.2,64.4,23.4,119.7,22.4,2.6,9.9,15.1,13.1,11.9,0.0,3.1,7.0,0.45,8.94,5.97,2.97,4,4,100,5,2,40,2,1,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BKM Mimel Lučenec,3,"Boone Jr, Eric Dean Lewis",,28,33.4,936.3,481,17.2,164,388,42.3,64,191,33.5,89,110,80.9,33,127,160,139,60,15,70,74,50.5,55.1,24.2,95.0,22.4,8.9,3.7,14.4,9.0,25.2,3.3,1.4,13.8,0.28,8.85,5.09,3.75,63,38,60.3,133,62,46.6,191,64,33.5,38,19,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
